character,jap text,Eng,Esp
narrator,"オオアナというのは、最近になって オオサカ市民がこの土地につけた俗称である。
ここは元々、旧ニホン軍の軍需工場が密集する 軍事拠点だったのだが──
今は、見渡す限りの荒れ地があるだけだ。
戦争末期、ウィミィの投下した新型爆弾が 街の景観をここまで変えてしまったのである。
そして── 荒れ地の中央にある、巨大なクレーター。
禍々しく明滅する青い光をたたえたそれを、 一人の科学者がじっと見つめている。","Oana is a common name recently given to this area by the citizens of Osakans.
This area was originally a military base with a concentration of munitions factories of the former Japanese army.
Now there is nothing but wasteland as far as the eye can see.
At the end of the war, the new bomb Dan dropped by Wime had changed the landscape of the city to this extent.
And then… - In the center of the wasteland, there is a huge crater.
A scientist is staring at it, which is filled with a disastrous, flickering blue light.","Oana es el nombre de argot que los ciudadanos de Osakan han dado recientemente a esta zona.
La zona fue originalmente una fortaleza militar con una alta concentración de fábricas de municiones del antiguo ejército japonés.
Ahora no hay más que terrenos baldíos hasta donde alcanza la vista.
Al final de la guerra, la nueva bomba Dan, lanzada por Wime, cambió el paisaje de la ciudad hasta este punto.
Y entonces - en medio del páramo hay un enorme cráter.
Un científico lo observa fijamente, lleno de una desastrosa y parpadeante luz azul."
Saruta Inuo (talking),"まさに、人類の業がもたらした 罪の傷跡だな…………
ガイガーカウンターの数値は……","It's truly a scar of sin brought on by the karma of mankind…………
Geiger counter readings are at ……","Es realmente una cicatriz de pecado causada por el karma de la humanidad…………
Lecturas del contador Geiger: ……"
narrator,　　［ガガガッ、ガガガガ……］,"[gaga, gaga ……]","[Gagga, Gagga, Gagga, ……]"
Saruta Inuo (talking),"酷いものだ…… 戦後一年以上経ったというのに、 放射能の濃度はまるで薄まっていない。
いや……むしろ強くなっている。
これ以上は近付けんな。 私の躰が蝕まれていくだけだ。
この地が以前と同じに戻るには、 あと数十年……いや数百年はかかる。
がめついオオサカ商人ですら、 投資も復興も諦めた不毛の土地……
ゴキブリでさえ裸足で逃げ出す、 命を拒絶する魔の大地……
だが…………
 ……！？　居たっ！！","It's terrible…… It's been over a year since the war, yet the radiation level hasn't diminished at all.
No,…… it's getting rather strong.
I can't get any closer. My body will only be poisoned.
It will take decades…… or even hundreds of years for this place to return to the way it was before.
It is a barren land where even the greedy Osakan merchants have given up on investment and reconstruction……
A land where even cockroaches flee barefoot, a land of evil that refuses life……
But …………
 ……!　There he is!","Es terrible…… Ha pasado más de un año desde la guerra y, sin embargo, los niveles de radiación no han disminuido como si lo hubieran hecho.
No…… es bastante más fuerte.
No puedo acercarme más. Mi cuerpo sólo se envenenará.
Harán falta décadas -…… o incluso cientos de años- para que este lugar vuelva a ser lo que era antes.
Es una tierra estéril en la que incluso los codiciosos comerciantes de Osakan han renunciado a la inversión y a la reconstrucción……
Una tierra de demonios que rechaza la vida, donde hasta las cucarachas huyen descalzas……
Pero …………
 ¡……!　¡Ahí está!"
narrator,"その科学者は、クレーターの周囲で蠢く 何かに気付いて双眼鏡を向ける。
すると──","The scientist notices something stirring around the crater and turns on his binoculars.
Then…","El científico se da cuenta de que algo se agita alrededor del cráter y lo apunta con sus prismáticos.
Entonces…"
Blue type (talking),………………,………………,………………
narrator,──だが、双眼鏡に映った誰かは、 科学者が瞬きするわずかな間に姿を消した。,But someone in the binoculars disappeared within a fraction of a blink of the scientist's eye.,- pero alguien en los prismáticos desapareció en una fracción de parpadeo del científico.
Saruta Inuo (talking),"間違いない、ブルータイプだ……！
学徒動員されていた 女工たちの成れの果て、 放射能の作用で誕生した新人類……
私と同じ科学者が作りし爆弾が生んだ、 望まれぬ新人類……
 …………科学者の一人として、 責任を取らねばなるまい。","It's definitely a Blue type……!
The result of mobilized women workers, a new human race created by radiation: ……
An unwanted new human race created by the bomb Dan, created by the same scientist as me: ……
As one of the………… scientists, I must take responsibility.","¡No hay duda, es un tipo azul……!
El resultado de las colegialas movilizadas, una nueva raza humana creada por la radiación ……
Una nueva raza humana no deseada, nacida de la bomba Dan, creada por los mismos científicos que yo ……
Como uno de los científicos de …………, debo asumir la responsabilidad."
narrator,その科学者は、オオアナに背を向け歩き出す。 ──何かを決意した顔で。,"The scientist turns his back on Oana and walks away. The scientist turns his back on Oana and walks away, looking determined.",El científico da la espalda a Oana y se aleja. Parece decidido a hacer algo.
Nakayama Akari (talking),う~ん……ごめんなさい雉田さん、 もう一度解りやすく、 専門用語を省いて説明して下さる？,"Ummm…… sorry Mr. Pheasant, could you please explain it again in an easy to understand manner and without the jargon?","Ummm…… lo siento Sr. Faisán, ¿podría explicarlo de nuevo de una manera que sea más fácil de entender y omita la jerga?"
Saruta Inuo (talking),"全く、何度同じ事を説明すれば 解って頂けるのですか……！
それに、私の名前は雉田でも 蟹男でもありません。 猿田犬男です！","How many times do I have to explain the same thing to you……!
And my name is neither Pheasant nor Crabman. My name is Saruta Inuo!","¡Cuántas veces tengo que explicarte lo mismo ……!
Y mi nombre no es Faisán ni Cangrejo. ¡Es Saruta Inuo!"
Nakayama Akari (talking),あら嫌だ……ごめんなさいね、 お猿さんと犬で、どうしても さるかに合戦や桃太郎を思い出して……,"Oh no…… sorry, I can't help but think of Saru-Kani-Gassen and Momo Tarou with the monkey and the dog……","Oh no…… lo siento, no puedo evitar pensar en Saru-Kani Gassen y Momo Tarou con el mono y el perro……"
Saruta Inuo (talking),"……………………っええい、とにかく！
いいですか、 ウィミィの投下した新型爆弾には 副次効果として放射能汚染があって……
それが生命体の遺伝子を傷つけ、 体細胞の突然変異を誘発し、結果として ブルータイプが誕生した訳です。
私がこれまで確認したブルータイプは 女性体しか存在しません。 原因は今現在調査中ですが……
おそらく、放射能に耐性を得るための 突然変異に、女性を決定づける ＸＸ染色体が関与していると思われ……","…………………… yeah, whatever!
You see, the new bomb Dan dropped by Wime had a side effect of radioactive contamination ……
It damaged the genes of living organisms and induced mutations in their body cells, resulting in the creation of the Blue type.
The only Blue type I have confirmed so far is the female form. The cause is currently under investigation……
It is likely that the XX chromosome, which determines the female, is involved in the mutation to gain resistance to radioactivity……","¡…………………… sí sí, de todas formas!
Verás, la nueva bomba Dan lanzada por Wime tuvo un efecto secundario de contaminación radiactiva ……
Dañó los genes de los organismos vivos, desencadenando mutaciones en sus células somáticas, lo que dio lugar al  tipo azul.
El único tipo azul que he identificado hasta ahora es la forma femenina. La causa se está investigando actualmente……
Presumiblemente, el cromosoma XX, que determina la hembra, está implicado en la mutación para ganar resistencia a la radiación……"
Nakayama Akari (talking),………………,………………,………………
Saruta Inuo (talking),“何がなんだかちんぷんかんぷん” ……と、顔に書いてありますよ、市長。,"”What is this gibberish?”…… and it's written on your face, Mr. Mayor.","”¿Qué es ese galimatías?”…… y lo lleva escrito en la cara, alcalde."
