"character","jap text","Eng","Esp"
" (talking)","こ・ん・に・ち・わ~~~♪","Kon…kon…n…wa…kon…n…wa…kon…n…","Kon…n…n…n…n…"
"Yamamoto Akuji (talking)","誰だー？ 玄関先でテンション高い声 あげてんのはー？","Who's that? Who's that guy on the front porch with the loud voice?","¿Quién es ese? ¿Quién es el que grita en la puerta?"
"Mizuumi Kazuki (talking)","はーーーい☆ それはあたしでーーす☆☆","Yes☆ That's me☆☆","Sí☆ Ese soy yo☆☆"
"Yamamoto Akuji (talking)","……………","……………","……………"
"Mizuumi Kazuki (talking)","イエース！ ピースピース！","Yes! Peace, peace!","¡Sí! ¡Paz, paz!"
"Yamamoto Akuji (talking)","わざわざ、敵陣に何しにきた？","What are you doing all the way behind enemy lines?","¿Qué haces metido en territorio enemigo?"
"Mizuumi Kazuki (talking)","昨日の敵は今日の友って いうじゃないですかー。
あ、神原さん、市長当選 おめでとーございまーーす☆ これ、紅白饅頭でーす。","Yesterday's enemy is today's friend.
Oh, Mr. Kanbara, congratulations on your election as mayor☆ This is a red Haku bun.","El enemigo de ayer es el amigo de hoy.
Oh, Kanbara, felicidades por tu elección como alcalde☆ Esto es un bollo rojo Haku."
"Yamamoto Akuji (talking)","毒でも入ってんのか？","Is it poisoned?","¿Están envenenados?"
"Mizuumi Kazuki (talking)","そんな事しませんよーぅ。 純粋にお祝いですよーぅ。","I won't do that. I'm celebrating in style.","¡No lo haré! Lo celebramos a lo grande."
"Yamamoto Akuji (talking)","なんで？","Why?","¿Por qué?"
"Mizuumi Kazuki (talking)","うっふっふっ。 これからは、奉仕青年団の時代だから、 こちらと仲良くした方がいいかなーって。","Woohoo. I thought since it's the era of the Service Youth League, I might as well get along with this one.","Woo hoo. He pensado que, ya que es la época de la Liga Juvenil de Servicios, también podría llevarme bien con ésta."
"Yamamoto Akuji (talking)","露骨だなー…… 却ってワナくせーぜ。","It's blatant -…… It's a wannabe.","Es tan descarado -…… Es tan wannabe, es incesantemente wannabe."
"Mizuumi Kazuki (talking)","だ~か~ら~~~~。 罠なんか張ったって、あたしに メリットなしなしじゃないー。
ショーバイ人は、常にアンテナ 張り巡らせて、自分に得があるかどうかを 感じ取らないとね☆","That's why ~~~~. I don't see any advantage in setting traps for myself.
Showbiz people should always have their antennas up and sense if there is any benefit to them or not.☆","Por eso ~~~~. No veo ninguna ventaja en ponerme trampas.
La gente del mundo del espectáculo siempre tiene que mantener sus antenas levantadas y percibir si hay algo en él o no.☆"
"Yamamoto Akuji (talking)","あー、なるほどなるほど。 ＰＭ裏切って、俺につくって事か。","Ah, I see, I see. You mean you betrayed PM and made me.","Ah, ya veo, ya veo. Así que estás diciendo que traicionaste a PM y me hiciste."
"Mizuumi Kazuki (talking)","あん、も~。 悪司さんこそ、ロコッツーなんだからー。","Oh, no! Akuji, you're the one who's rokotsu!","Oh, no~. Akuji, ¡tú eres el que está rokotsu!"
"Yamamoto Akuji (talking)","なんだ、そりゃ……","What's that ……","¿Qué es eso? ……"
"Mizuumi Kazuki (talking)","大義名分はしっかりあるのよ。 あたしのハニー土木には、たっくさんの 社員とその家族がぶら下がってんの。
その人達の生活基盤の安定と社員の幸せを 実現する為に、あたしは常に動いている のよ~~~☆☆☆
っていう訳でーーー。 これからよろぴく~~~~☆","I have a good cause. I have a lot of employees and their families hanging on my Hanny Civil Engineering.
I am always working to realize the stability of their livelihood and the happiness of my employees~~~☆☆☆.
That's why. I look forward to working with you ~~~~☆ from now on.","Tengo una buena causa. Hay muchos empleados y sus familias pendientes de mi Hanny Ingeniería Civil.
Siempre estoy trabajando para estabilizar sus medios de vida y hacerlos felices~~~☆☆☆.
Por eso. Estoy deseando trabajar con vosotros a partir de ahora. ~~~~☆"
"Yamamoto Akuji (talking)","あーはいはい。","Ah yes, yes.","Ah, sí, sí."
"Mizuumi Kazuki (talking)","あ、市長さんにも、 よろぴくって言っておいて。
と・く・に☆ 公共事業なら慣れ慣れの 慣れっ子でーすって。","Oh, and tell the mayor I appreciate his support.
He's used to public works projects,☆ he's used to them.","Ah, y dile al alcalde que aprecio su apoyo.
Dile que estoy acostumbrado a los proyectos de obras públicas,☆ estoy acostumbrado."
"Yamamoto Akuji (talking)","……………","……………","……………"
"Mizuumi Kazuki (talking)","何？　何？　何？","What?　What?　What?","¿Cómo?　¿Cómo?　¿Cómo?"
"Yamamoto Akuji (talking)","……なんか……お前さんと話してると、 疲れるっつーか、吸い取られるっつーか…","…… something…… talking to you is exhausting or sucking me off…","Es como…… algo…… hablar contigo es agotador o me chupa un huevo o…"
"Mizuumi Kazuki (talking)","うわ、ひっどーい！ ＮＯーー！","Wow, that's awful! NOoooo!!!","¡Vaya, eso es horrible! ¡¡¡Noooo!!!"
"haniidobokushain (talking)","失礼します、社長。 今週分の工事計画です。 承認のハンコを、お願いします。","Excuse me, Mr. President. Here are the construction plans for this week. Please give your stamp of approval.","Disculpe, Sr. Presidente. Aquí están los planes de construcción para esta semana. Por favor, dé su sello de aprobación."
"Mizuumi Kazuki (talking)","イエ~~ス！ ＯＫ！！","Yes! OK!!!","¡Sí! ¡¡¡BIEN!!!"
"narrator","　　［ポーン　ポポポポーーン］","[pawn, pawn, pawn, pawn, pawn]","[Poof, pop-poof, pop-poop]"
"haniidobokushain (talking)","いつも内容を見ませんね。 もう少し……きゃっ……っ…","You don't always see the content. A little more…… Kya………","No siempre se mira el contenido. Un poco más…… Kya………"
"narrator","和樹はいきなり社員を抱きしめた。","Kazuki suddenly hugged the employee.","Kazuki abrazó de repente al empleado."
"Mizuumi Kazuki (talking)","あたしはね、眼鏡っ娘を信じているの。 こんな可愛い子達が、あたしを騙す事 なんか絶対ないって。
あっ……いいにお~い… うふ…うふふ……","I believe in girls with glasses. I believe that these cute girls would never cheat me.
Oh, ……","Creo en las chicas con gafas. Creo que estas lindas chicas nunca me engañarían.
Ah……Eres tan amable… uuh… uuh… uuh… ……"
"haniidobokushain (talking)","わ、わかりましたからっ…… は、離してくださ~い……","I understand……… let go of me… ……","Lo entiendo…… suéltame……"
"Mizuumi Kazuki (talking)","はーい。","Hai.","Hai."
"haniidobokushain (talking)","そ、それじゃこれで… 失礼しました……","Well, so much for… excuse me: ……","Bueno, así que aquí vamos… Disculpe……"
"Mizuumi Kazuki (talking)","はーい。 後、よろしくー☆☆☆","Yes, I'll be there. I'll take care of you later.☆☆☆","Sí, señor. Más tarde, hola ☆☆☆"
"narrator","社員が出て行った後、 和樹は座っている椅子をぐる~んと回した。","After the employees left, Kazuki turned the chair he was sitting in around.","Cuando el empleado se marchó, Kazuki dio la vuelta a la silla en la que estaba sentada."
"Mizuumi Kazuki (talking)","う~~ん…… どーも、これからは奉仕青年団かなー…
今度きたら、ちょっと丁寧に 対応しちゃった方がいいかなー…","Hmmm……… I wonder if it's going to be a service youth group from now on…
I guess I should be a little more polite next time I come back…","Hmmm……… No sé, supongo que ahora voy a ser un grupo juvenil de servicio…
Quizá la próxima vez sea un poco más educado…"
"Yamamoto Akuji (thinking)","ここか……","Here or ……","Aquí o ……"
"narrator","悪司はこっそり、ハニー土木にやってきた。","Akuji secretly came to Hanny civil engineering.","Akuji vino en secreto a Hanny Ingeniería Civil."
"Yamamoto Akuji (thinking)","よし…行ってみるか……","Okay… let's go to ……","Bien… vamos allá: ……"
"narrator","悪司は受け付けらしいカウンターに歩み寄る。","Akuji walks up to the counter, which seems to be reception.","Akuji se acerca al mostrador, que parece ser la recepción."
"Yamamoto Akuji (talking)","奉仕青年団の山本悪司だ。 社長さんはいるかい？","I'm Yamamoto Akuji of the Service Youth League. Is there a president?","Soy Yamamoto Akuji de la Liga Juvenil de Servicio. ¿Hay un presidente?"
"haniidobokushain (talking)","はい、少々お待ち下さい。","Yes, please wait a moment.","Sí, por favor, espere un momento."
