character,jap text,Eng,Esp
__system__??,{麦 = 10:,,
__system__??,},,
__system__??,{麦 = 11:,,
__system__??,},,
__system__??,{麦 = 12:,,
__system__??,},,
__system__??,{麦 = 13:,,
__system__??,},,
__system__??,{麦 = 15:,,
__system__??,},,
__system__??,{麦 = 16:,,
__system__??,},,
__system__??,{麦 = 17:,,
__system__??,{H拷問抵抗 < H拷問:,,
__system__??,},,
__system__??,{H拷問 = 1:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 18:,,
__system__??,},,
__system__??,{麦 = 19:,,
__system__??,},,
Yamamoto Akuji (talking),おう、電波ちゃん。 生きてるか？,"Oh, Denpa, sweetie. Are you alive?","Hey, Denpa-chan. ¿Estás vivo?"
Sanada Denpa (talking),………………………………………無視。,……………………………………… ignore.,……………………………………… ignorar.
Yamamoto Akuji (talking),無視ってなあ。 この状況で無視もなにもねぇだろが。,Ignore it. Ignoring is nothing in this situation.,Ignora. No hay nada que ignorar en esta situación.
Sanada Denpa (talking),………………………………………無視。,……………………………………… ignore.,……………………………………… ignorar.
Yamamoto Akuji (talking),やれやれ。 そういやその子パンダ、元気か？,"Oh dear. Well, that little panda, how is he?","Oh, Dios. Bueno, ese pequeño panda, ¿cómo está?"
Sanada Denpa (talking),……………………………少し、痩せた…,"…………………………… little, I lost some weight…","………………………… …menos, Soulse…"
Yamamoto Akuji (talking),お、パンダのことなら反応するんだな。,"Oh, you're responding to the panda thing.","Oh, respondes a los pandas, ¿no?"
Sanada Denpa (talking),………………………,………………………,………………………
Yamamoto Akuji (talking),名前、何て言うんだ？　その子パンダ。,"What's your name, what's your name?　That little panda.",¿Cómo se llama?　Ese pequeño panda.
Sanada Denpa (talking),……………………………ダイオキシン。,…………………………… Dioxin.,…………………………… Dioxina.
Yamamoto Akuji (talking),ぶっ。変な名前ー。,Boo. Weird name.,Bhutto. Un nombre raro.
Sanada Denpa (talking),"………………………
 ………………………………………無視。 ………………………………絶対、無視…","………………………………………………… …………… ignore……………………………… Absolutely, ignore…","………………………………………………… …………… ignorar……………………………… Absolutamente, ignora…"
Yamamoto Akuji (thinking),"さーて、どーするかな。
市議会の治安課に 引き渡すのが自然だろうが、 それだとあんまり美味しくねえし…
だからって、俺の下につけても この娘自体は使えないだろうなあ…","Well, what should we do?
The natural thing would be to hand her over to the security division of the city council, but that doesn't sound very tasty…
But even if I put her under my command, she won't be much use…","Bueno, ¿qué hacemos ahora?
Lo natural sería entregarla al departamento de seguridad del ayuntamiento, pero eso no sería muy sabroso…
Pero eso no significa que sea inútil bajo mi mando…"
Yamamoto Akuji (talking),うーん、困った。,"Hmmm, I'm stumped.","Hmmm, estoy perplejo."
Yamamoto Akuji (talking),よ、電波ちゃん。,"Yo, Denpa-chan.","Yo, Denpa-chan."
Sanada Denpa (talking),……………………,……………………,……………………
Yamamoto Akuji (talking),"…ったく、今日も暗ぇな。 たまには笑ってみたらどうなんだ？
ま、捕虜の身じゃムリか。","It's so dark today, isn't it? Why don't you try smiling once in a while?
Well, I guess it's not possible when you're a prisoner of war.","…Dios, está tan oscuro hoy. ¿Por qué no intentas sonreír de vez en cuando?
Bueno, no puedes hacer eso cuando eres un prisionero de guerra."
Sanada Denpa (talking),"………………………………………あの… …………………私、いつ頃になったら…
 …………………市議会に、引き渡して… …………………もらえるんでしょうか…","……………………………………… Um………… …………I, when do I, when do I… …………………… to the City Council, turn over the…… I wonder if I can get …………………","……………………………………… Um………… …………I, ¿cuándo vas a …………………… al Ayuntamiento, entrega…… Me pregunto si puedo conseguir …………………"
Yamamoto Akuji (talking),んだよ、電波ちゃん。 くせぇメシ食いてぇのか？,"Hey, Denpa. You want a stinky meal?","¿Qué pasa, Denpa? ¿Quieres una comida apestosa?"
Sanada Denpa (talking),……………………ここより、いいです… ……………………………………きっと…,…………………… better than here……………………………………… must be…,…………………… mejor que aquí……………………………………… seguramente…
Yamamoto Akuji (talking),"ま、人間はなー。 でも多分、パンダは毒殺されっぞ。 人襲うようなパンダの子供だからな。
それでもいいなら引き渡すけど？","Well, humans are. But maybe pandas will be poisoned Satsu. They're the children of pandas that attack people.
If you don't mind, I'll turn him over to you.","Bueno, los humanos lo son. Pero tal vez los pandas están envenenados Satsu. Es un hijo de panda que ataca a la gente.
Si todavía no te importa, te lo paso."
Sanada Denpa (talking),"……………………
 ………………………しくしくしくしく…","…………………………………………… Shit, shit, shit, shit! …",…………………………………………… ¡Mierda! …
Yamamoto Akuji (talking),ちょっと来な。,Come here a minute.,Ven aquí un momento.
narrator,悪司は電波の肩を抱くようにして、 捕虜の部屋から連れ出した。,Akuji took Denpa by the shoulders and led him out of the POW room.,Akuji tomó a Denpa por los hombros y lo sacó de las dependencias de los prisioneros.
Sanada Denpa (talking),……………………,……………………,……………………
Yamamoto Akuji (talking),よーし、到着。,"Alright, we've arrived.","Muy bien, hemos llegado."
Sanada Denpa (talking),"……………………
 …………………………………けだもの…",……………………………………………… ……… けだもの…,……………………………………………… ……… けだもの…
Yamamoto Akuji (talking),お、俺が何する気か解ったのか？ そりゃ話がはえぇや。,"Oh, you figured out what I'm going to do? Well, that's a good story.",¿Sabes lo que voy a hacer? Es una gran historia.
Sanada Denpa (talking),…………………………………けだもの…,………………………………… Beast…,………………………………… Bestias…
Yamamoto Akuji (talking),"おう、俺はけだものだぞ。 何せ立派なナマミのオトコだからな。
でもな、自然界じゃ当然だろ？ 強い牡が勝ち取った牝とヤルってのは。
ま、電波ちゃんの可愛がってた パンダどもが、そうかどうかは 知らねぇけどよ。","Oh, I'm a beast. I'm a big ol' nama-mi man, after all.
But, you know, in the natural world, it's natural, right? A strong male fucks a winning female.
Well, I don't know if it's the same for Denpa's pandas.","Soy una bestia. Después de todo, soy un gran hombre de nama.
Pero, ya sabes, en la naturaleza, es natural, ¿no? Un macho fuerte se folla a una hembra ganadora.
No sé si es lo mismo para los pandas de Denpa."
Sanada Denpa (talking),……………………,……………………,……………………
Yamamoto Akuji (talking),"さ、そんな訳でだ。
電波ちゃん、子パンダが邪魔だ。 俺が力尽くで追い出す前に、 部屋の外へ置いといてくんねぇか？","Well, that's why.
Denpa, the little panda is in my way. Can you leave it outside the room before I do everything in my power to get rid of it?","Pues por eso.
Denpa, el pequeño panda está en el camino. ¿Puedes dejarlo fuera de la habitación antes de que haga todo lo que esté en mi mano para deshacerme de él?"
Sanada Denpa (talking),"……………………
 ……………………………ダイオキシン。 ………………ちょっと、外に出ててね…
 ＜ダイオキシン＞ 　…がお…","……………………………………………… …dioxin……………… Hey, stay out there…
 <Dioxin> …ga-oh…","……………………………………………… …dioxina……………… Oye, quédate ahí fuera…
 <Dioxin> …ga-oh…"
Yamamoto Akuji (talking),"……ふーむ。
しかし何だな……聞き分けいいよな。","…… Hmmm.
But what the heck,…… you're a good listener.","…… Hmmm.
Pero qué demonios…… Eres un buen oyente."
Sanada Denpa (talking),……………ダイオキシンは、賢いから。,…………… dioxin because smart.,"…………… Dioxina, porque es inteligente."
Yamamoto Akuji (talking),"ちげーよ、 俺が言ったのは電波ちゃんのことだ。
俺が言うのも何だが、 もうちょい抵抗してもよくねぇか？","No, I was talking about Denpa.
I don't know what to say, but you could put up a little more of a fight, couldn't you?","No, estaba hablando de Denpa.
No sé qué decir, pero podrías dar un poco más de guerra, ¿no?"
Sanada Denpa (talking),…………………初めてじゃ、ないもの。 ………………………………無理矢理は…,"………………… not the first time, not the first thing……………………………… Forced to…","………………… No es la primera vez, no es la primera vez……………………………… Obligado a…"
Yamamoto Akuji (talking),ほー、戦時中に何かあったクチか？,"Oh, you're a wartime punk, aren't you?","Ho, ¿te pasó algo durante la guerra?"
Sanada Denpa (talking),"……………………
 ……………………………私、一人じゃ… ……………どうせ、抵抗できないもの…","……………………………………………… …I, alone……………… something I can't resist anyway…","……………………………………………… …yo, solo……………… algo que no puedo resistir de todos modos…"
Yamamoto Akuji (talking),"ふーん。
ま、心配すんなって。 そんなヤな思い出にはしねぇからよ。","Hmmm.
Well, don't worry. It won't be such a bad memory.","Hmm.
Bueno, no te preocupes. No será un recuerdo tan malo."
