"character";"jap text";"Eng";"Esp"
"narrator";"元わかめ組幹部、そして組の勢力が弱まると さっさと独立しておいしい利潤だけ吸う男、 神尾徳典がいた。";"There was Kamio Tokunori, a former Wakamegumi leader who quickly became independent and took only the tasty profits when the group's power weakened.";"Estaba Kamio Tokunori, un antiguo miembro de alto rango del clan Wakame y un hombre que, cuando el poder del clan se debilitó, se independizó rápidamente y sólo obtuvo deliciosos beneficios."
"Kamio Tokunori (talking)";"はい。 ん~~……え、引き時かしらね。";"Yes. Hmmm~~…… eh, maybe it's time to pull back.";"Sí. Hmmm~~…… eh, tal vez sea el momento de retirarse."
"narrator";"神尾は窓から街を一望しながら呟く。";"Kamio mutters as he looks out the window at the city.";"Kamio murmura mientras mira la ciudad por la ventana."
"Kamio Tokunori (talking)";"せっかく、あたくしの理想郷が出来そう だったのに、きなくさい感じになって きましたから……
はい、残念。 またどこか、おいしい場所を 探さなくちゃ…";"I was just about to create my utopia, but now it's starting to look creepy……
Yes, too bad. I'll have to find someplace good to eat again…";"Estaba a punto de crear mi utopía, pero ahora empieza a parecer una grieta en la armadura……
Sí, una pena. Tendré que encontrar un lugar mejor para comer…"
"Kamio Tokunori (talking)";"はい、ふふん　ふ~~ん。";"Yes, hmmm… hmmm… hmmm…";"Sí, hmmm hmmm hmmm."
"narrator";"神尾が愛車のワーゲンを 機嫌よく運転していた。";"Kamio was driving his beloved Wagen in a good mood.";"Kamio conducía su querido Wagen de buen humor."
"Kamio Tokunori (talking)";"はい、いいですね、ワーゲンは。 この小振りな感じっ…えっ……";"Yes, it's nice, the Wagen is nice. This smallish feeling…eh ……";"Sí, es bonito, el Wagen. Esta pequeña cosa… eh ……"
"narrator";"急に、神尾の車の前に、 少女が飛び出してきた。";"Suddenly, a girl jumped out in front of Kamio's car.";"De repente, una chica salta delante del coche de Kamio."
"Kamio Tokunori (talking)";"はい、ひぃぃぃ！！";"Yes, hiiiii!";"¡Sí, hiii!"
"narrator";"　　［キィィィィッッッ］
神尾は目を閉じ、顔を伏せ、 急ブレーキを踏んだ。";"[squeak] [squeak].
Kamio closed his eyes, fell on his face, and braked suddenly.";"[kiiiiiigghh].
Kamio cerró los ojos, cayó de bruces y frenó en seco."
"Kamio Tokunori (talking)";"……っ……
はい…… や、やっちゃった……ですか？
はい、なんて事なんでしょう…… せっかくのあたくしのワーゲンに傷が ついてしまったのでしょうか、はい…？
はい……あ~あ、ついてないです… ここから不運が雪だるま…… なんて勘弁ですよ、はい……";"…………
Yes,…… I've done it,……?
Yes, what a mess…… Did you damage your beautiful Wagens, yes…?
Yes…… Oh no, not so lucky… I don't want my bad luck to snowball…… from here, yes……";"Sí……
Sí,…… lo he hecho, ……?
Sí, oh Dios mío……… ¿Acabas de rayar mi Wagens, sí…?
Sí…… Oh, no hay suerte… No quiero que la mala suerte se convierta en una bola de nieve…… desde aquí, sí……"
"narrator";"歓楽街にも那古教の影響力が 強くなってきた。";"The influence of Nakokyou is growing stronger in the entertainment district.";"La influencia de Nakokyou se ha hecho más fuerte en los barrios del placer."
"Kamio Tokunori (talking)";"はい、潮時ですかしらね、はい。 那古教が、これ程の組織に なるなんてね~、はい…
せっかくだから入信して、おいしい汁の 在処でも探らせて貰うとしますか、はい。
長いものには巻かれろ。 それがあたくしの処世術ですから、 はい。";"Yes, I guess it's time, yes. I never thought Nakokyou would become such an organization.
I'm going to join now, and see if I can find out where the good juices are coming from, yes.
Let the long runner take the short cut. That's my way of getting around, yes.";"Sí, creo que es el momento, sí. No puedo creer que Nakokyou se haya convertido en una organización.
Me voy a apuntar ahora a ver si me entero de dónde salen los buenos jugos, sí.
Deja que los corredores largos tomen el atajo. Así es como me las arreglo, sí."
"narrator";"こうして、フナイが那古教の支配下になった。";"Thus, Funai came under the control of Nakokyou.";"Así, Funai quedó bajo el control de Nakokyou."
"Kamio Tokunori (talking)";"思ったよりあっけなく、那古教が 滅んでしまいましたね、はい。 入信しようと思っていたのに……
はい、高山組ですか、はい……";"More quickly than I expected, Nakokyou perished Tane, yes. I was going to join ……
Yes, Takayama group, yes……";"Más rápido de lo que esperaba, Nakokyou pereció Tane, sí. Iba a unirme a ……
Sí, grupo Takayama, sí……"
"Chinpira (talking)";"これからどうするんですかい、 神尾さん。";"What are you going to do now, Kamio?";"¿Qué vas a hacer ahora, Kamio?"
"Kamio Tokunori (talking)";"はい、もちろん、高山組さんに 従いますよ。
はい、強いものに従う、はい。 これがあたくしの生き方です、はい。";"Yes, of course, I will follow the Takayama group.
Yes, I will follow the strong, yes. This is my way of life, yes.";"Sí, por supuesto, seguimos al grupo Takayama.
Sí, sigo a los fuertes, sí. Esta es mi forma de vida, sí."
"narrator";"こうして、フナイが高山組の支配下になった。";"Thus, Funai came under the control of the Takayama group.";"Así, Funai quedó bajo el control del grupo Takayama."
