"character","jap text","Eng","Esp"
"__system__??","{麦 = 10:","",""
"__system__??","}","",""
"__system__??","{麦 = 11:","",""
"__system__??","}","",""
"__system__??","{麦 = 12:","",""
"__system__??","{H愛欲 = 1:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 13:","",""
"__system__??","}","",""
"__system__??","{麦 = 15:","",""
"__system__??","}","",""
"__system__??","{麦 = 16:","",""
"__system__??","}","",""
"__system__??","{麦 = 18:","",""
"__system__??","}","",""
"__system__??","{麦 = 19:","",""
"__system__??","}","",""
"Takei Tsukasa (talking)","悪司さん！","Akuji!","¡Akuji!"
"Yamamoto Akuji (talking)","おう。","Oh.","Oh."
"Takei Tsukasa (talking)","こんな汚い場所に閉じこめて、 私をどうするつもりなの？！ お婆様を呼んで頂戴！","What are you going to do to me, lock me up in this filthy place? Call your grandmother!","¿Qué vas a hacer conmigo, encerrarme en este sucio lugar? ¡Llama a tu abuela!"
"Yamamoto Akuji (talking)","そいで、お前さんがドロボーだって いう事をチクれってのかい？","And I'm supposed to tip them off that you're a slob?","¿Y se supone que debo avisarles de que eres un ladrón?"
"Takei Tsukasa (talking)","泥棒ではないわ！ 資本主義と戦う戦士よ！","I'm not a thief! I am a fighter against capitalism!","¡No soy un ladrón! ¡Soy un luchador contra el capitalismo!"
"Yamamoto Akuji (talking)","はいはい。","Yes, yes, yes.","Sí y no."
"Takei Tsukasa (talking)","まだ、私を解放しないというの？ 犯罪よ、監禁罪っ！","You still won't let me go? It's a crime to be locked up!","¿Todavía no me dejas ir? ¡Es un crimen, el confinamiento!"
"Yamamoto Akuji (talking)","ドロボーさんがえらそーに吠えるなよ。","Don't bark like a geezer, Mr. Drobo.","No ladre como un geriátrico, Sr. Drobo."
"Takei Tsukasa (talking)","わ、私は…… 世の中がみんな平等で平和でいい世界に なって欲しかっただけで……
 ……あなたみたいな人がいるから、 平等が夢のまた夢になるんだわ…","Wow, I just wanted…… the world to be a better world where everyone is equal and peaceful………… It's people like you that make equality a pipe dream…","Vaya, sólo quería…… el mundo sea un mundo mejor donde todos sean iguales y pacíficos………… Es la gente como tú la que hace que la igualdad sea una quimera…"
"narrator","悪司はつかさの手を取った。","Akuji took Tsukasa's hand.","Akuji tomó la mano de Tsukasa."
"Takei Tsukasa (talking)","な、何よ、これ……","Hey, what's this: ……","Eh, qué es esto: ……"
"Yamamoto Akuji (talking)","ここにいる女には、 俺は平等に愛を与えているんだ。 だからお前さんもその仲間入りだ。","I'm giving all these women equal love. So you're one of them.","Estoy dando a todas estas mujeres aquí el mismo amor. Así que eres uno de ellos."
"Takei Tsukasa (talking)","ふ、ふざけないで！ それは平等というのではなく、 節操なしというのよ！","Don't be silly! It's not called equality, it's called no clause Misao!","¡No seas tonto! ¡No se llama igualdad, se llama no Sección Misao!"
"Yamamoto Akuji (talking)","ニホン語ってのは、便利だね。","The Japanese language is very convenient.","El idioma japonés es útil."
"Takei Tsukasa (talking)","だ、だから、そういう事は、 お互いの了承を得てから、 流れに任せるのが……
あっ……
あああっ……！？","So, you know, you should get each other's Ryou approval and then just go with the flow……
Oh ……
Oh, ……!","Así que, ya sabes, tienes que conseguir la aprobación del otro para ese tipo de cosas y luego simplemente seguir la corriente……
Oh ……
 ¡Oh, ……!"
"Takei Tsukasa (talking)","悪司は、竹井つかさを抱いた。","Akuji hugged Takei Tsukasa.","Akuji abrazó a Takei Tsukasa."
"Takei Tsukasa (talking)","何……今の…… ラホニスキーとは、違う……","What…… is now…… different from Lakhonisky's ……","Lo que…… es ahora…… diferente de Lakhonisky ……"
"Yamamoto Akuji (talking)","気にいってもらえたかい？","Did you like it?","¿Te ha gustado?"
"Takei Tsukasa (talking)","そっ…
そういう事を淑女に聞くのは、 マナー違反ですわよ！","That's…
It's bad manners to ask such a thing of a lady!","Eso es…
 ¡Es de mala educación pedirle algo así a una dama!"
"Yamamoto Akuji (talking)","さて、脱ぎな。 あんたの好きな平等に愛を配布する お時間だ。","Now, take off your clothes. It's time to distribute the love equally as you like.","Ahora, quítate la ropa. Es el momento de distribuir tu amor de forma equitativa como quieras."
"Takei Tsukasa (talking)","わ、私は平等が正しいと唱えているので あって、あなたの言うものとは、 まったく違うわ！","I am an advocate of equality, which is totally different from what you are advocating!","Soy un defensor de la igualdad, que es totalmente diferente de lo que usted está hablando."
"Yamamoto Akuji (talking)","平等に違いもナニもねーよ。 さあ。","There's no difference in equality. Come on.","No hay diferencia y no hay diferencia en la igualdad. Vamos."
"Takei Tsukasa (talking)","あ、いやっ…あっ…あんっ…！","Oh, no…oh…oh…!","Oh, no… oh… oh…"
"Takei Tsukasa (talking)","悪司は、竹井つかさを抱いた。","Akuji hugged Takei Tsukasa.","Akuji abrazó a Takei Tsukasa."
"Takei Tsukasa (talking)","………………","………………","………………"
"Yamamoto Akuji (talking)","なんだ、そのもの欲しそうな目は。 もっとして欲しいのか？","What's with those lustful eyes? You want more?","¿Qué es lo que pasa con esos ojos de deseo? ¿Quieres más?"
"Takei Tsukasa (talking)","……あ、あなたなんかに負けないわっ…","…… Oh, I'm not going to let you beat me…","…… Oh, no voy a dejar que me ganes…"
"Yamamoto Akuji (talking)","ふーん。 そー。","Hmm. I see.","Hmm. Así que."
"Yamamoto Akuji (talking)","そら。 これでもやるから、おとなしくしてな。","There you go. I'll give you this, so just be quiet.","Ver. Haré esto por ti, así que cállate."
"Takei Tsukasa (talking)","なんです、このお金。","What is this money?","¿Qué es este dinero?"
"Yamamoto Akuji (talking)","やるよ。","Will do.","Lo haré."
"Takei Tsukasa (talking)","結構です。 最低、こんなもので人を自由に 出来ると思っているの？
これだから、資本主義は 腐っていると言うのです。","No thanks. At the very least, you think you can free people with this stuff?
This is why I say capitalism is corrupt.","No, gracias. Como mínimo, ¿crees que puedes liberar a la gente con estas cosas?
Por eso digo que el capitalismo está podrido."
"Yamamoto Akuji (thinking)","うーーーん…… すばしっこいが、 ドンパチにはむかねぇな。
やっぱやめだ。 スカウトは、なし。","Hmmm……… It's speedy, but it's not suitable for don-fighting.
I'm not going to do it. No scouts.","Hmmm……… Es rápido, pero no es adecuado para una pelea de burros.
Lo dejo. No hay exploradores."
"Takei Tsukasa (talking)","なんですか？ 人を不躾にじろじろと……","What is it? You stare rudely at people……","¿Qué es? Miras mal a la gente……"
"Yamamoto Akuji (talking)","いんや、別に。","No, not really.","No, en realidad no."
"Takei Tsukasa (talking)","…………ふん…","…………fun…","…………fun…"
"Tamanegi (talking)","ああ……きましたね、つかささん。","Oh…… Kimashi Tane and Tsukasa.","Oh…… Kimashi Tane y Tsukasa."
"Takei Tsukasa (talking)","また……あんな事をさせるの？","Are you going to make me do that…… thing again?","¿Me vas a hacer hacer eso de…… otra vez?"
"Tamanegi (talking)","はい。 あなたは娼婦なのですから。
それでは、最終試験です。
これに合格すれば、娼婦としてお客様から お金を頂戴出来ますよ。 但し、最低限のレベル――ですが。","Yes, I am. Because you are a prostitute.
Now, this is your final exam.
If you pass it, you will be paid as a prostitute. But only at the lowest level.","Sí, porque eres una prostituta. Porque eres una prostituta.
Ahora, tienes tu examen final.
Si lo pasas, los clientes te pagarán como prostituta. Pero sólo en el nivel más bajo."
"Takei Tsukasa (talking)","私、やっぱりいやです。 そのような事で、お金を稼ぐなんて…","I still don't like it. I don't want to make money from that kind of thing…","Sigue sin gustarme. Hacer dinero con algo así…"
"Tamanegi (talking)","ほほう。 では、どのような事なら、 お金を頂けるというのですか？","I see. So, what kind of things would you be willing to pay for?","Ya veo. Entonces, ¿qué tipo de cosas estarías dispuesto a pagar?"
"Takei Tsukasa (talking)","欧州にいた時は、編み物をして、 それをボランティアに寄付しましたわ。","When I was in Europe, I knitted and donated it to volunteers.","Cuando estuve en Europa, tejí y lo doné a los voluntarios."
"Tamanegi (talking)","それは、商売ではありませんね。
ボランティアから寄付されたもので あったら、例え拙いものでも文句は 言えませんからね。","It is not a business.
If it's donated by volunteers, we can't complain even if it's poor.","Eso no es un negocio, ¿verdad?
Si es donado por voluntarios, no podemos quejarnos, aunque sea pobre."
