character,jap text,Eng,Esp
Yamamoto Akuji (talking),ここが、竹井家か。,So this is the Takei house.,¿Esta es la casa de Takei?
narrator,ヘグリ高級住宅街でも、 目を引いて大きな邸宅。,"Even in the most exclusive residential area of Hegli, this is an eye-catching and large mansion.",Una gran y llamativa mansión en la exclusiva zona residencial de Hegli.
Yamamoto Akuji (thinking),"確かここは、元製薬会社の会長が 住んでいるんだったな…
ダメモトで、挨拶ぐらいしておくと すっか。","As I recall, the former chairman of a pharmaceutical company lives here…
I guess I should at least say hello to him.","Según recuerdo, el antiguo presidente de una empresa farmacéutica vive aquí…
Al menos debería saludarlo."
narrator,"　　［チリン　コロ~ン］
悪司は、チャイムを鳴らした。","[chirin colo~n]
Akuji chimed in.","[chirin colo~n]
Akuji intervino."
 (talking),はーい？,Yes?,¿Sí?
Yamamoto Akuji (talking),あ、こんちわー。 奉仕青年団の者ですー。,"Oh, hello. I'm from the Service Youth League.","Ah, hola. Soy de la Liga Juvenil de Servicio."
 (talking),あらあら、まあまあ。 少しお待ちになって下さいますか？,"Oh, dear, oh, dear. Would you like to wait a moment?","Oh, querido, querido. ¿Quiere esperar un momento?"
narrator,"インターホンの向こうから、柔和な夫人の声が 歓迎の意をこめて流れてきた。
悪司は程なく、竹井家の居間に通された。","From the other end of the intercom, the soft voice of Mrs. Akuji came over the intercom with a welcoming tone.
Akuji was soon ushered into the living room of Takei's house.","Desde el otro extremo del intercomunicador, la suave voz de la señora Akuji se coló por el intercomunicador en tono de bienvenida.
Akuji no tardó en entrar en el salón de la familia Takei."
Takei An (talking),すみません、お待たせしてしまって…,Sorry to keep you waiting…,Siento haberte hecho esperar…
Yamamoto Akuji (talking),いいえ、そんな事ないです。,"No, it is not.","No, no lo hacen."
Takei An (talking),今、ケーキを用意させていますから。 あ、それとも、男の方でしたら、 おせんべいの方がよろしかったかしら…,"I'm having a cake ready for you now. Oh, or if you're a man, would you prefer some rice crackers…","Me están preparando una tarta. Oh, o si eres un hombre, ¿prefieres unas galletas de arroz…"
Yamamoto Akuji (talking),気を使ってもらわなくてもいいですよ。,You don't have to be concerned about it.,No tienes que preocuparte por ello.
Takei An (talking),いえいえ、そんな、これぐらいの事… 街の治安を維持して下さっている方々に 対して、ちっとも苦ではないですよ。,"No, no, no, it's nothing against the people who keep the city safe.","No, no, no, no es nada contra la gente que mantiene la seguridad de la ciudad."
Yamamoto Akuji (talking),あの…この家のご主人は？,Um… who is the owner of this house?,Um… ¿quién es el dueño de esta casa?
Takei An (talking),はい、わたしですよ。,"Yes, it's me.","Sí, soy yo."
