character,jap text,Eng,Esp
__system__??,{麦 = 1:,,
__system__??,{D11 = 0:,,
__system__??,},,
__system__??,{D11 \ 0:,,
__system__??,{(☆朝顔 < 19) * (☆ギガフロート = 0):,,
__system__??,},,
__system__??,},,
__system__??,{☆朝顔 = 10:,,
__system__??,},,
__system__??,{☆朝顔 = 11:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 2:,,
__system__??,{D11 \ 0:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 3:,,
__system__??,{D11 \ 0:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 4:,,
__system__??,},,
__system__??,{麦 = 5:,,
__system__??,},,
__system__??,{麦 = 10:,,
__system__??,},,
__system__??,{麦 = 11:,,
__system__??,},,
__system__??,{麦 = 12:,,
__system__??,{H愛欲抵抗 <= H愛欲:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 13:,,
__system__??,},,
__system__??,{麦 = 15:,,
__system__??,},,
__system__??,{麦 = 16:,,
__system__??,},,
__system__??,{麦 = 17:,,
__system__??,{H拷問抵抗 < H拷問:,,
__system__??,},,
__system__??,{H拷問 = 1:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 18:,,
__system__??,},,
__system__??,{麦 = 19:,,
__system__??,},,
 (talking),見てーーーーー！！！！！,Look at this: ！！！！！,Ver - ！！！！！
Yamamoto Akuji (talking),ん？,Hmm?,¿Eh?
cg narrator,"「…………………」
悪司は煙草を咥えていたが、呆気にとられ、 あんぐりと口を開いてしまっている。 唇に煙草はひっついたままだ。
 「私を呼んだ！？ 　悪司！！」
 「………………………」
 「見てるの！？ 　ねえ、見つめているの！？」
 「…………う~………あー……」
 「見て、悪司！！ 　この私を見てーーー！！！」
 「………………あ~……」
 「呼んだ？！ 　ねえこの姿を見たいから、呼んだの！？」
 「…あ~……まあ……いいから、隠せ」
 「いやーーー！！！」
 「いやじゃねぇ。 　隠せ、そして、落ち着け」
 「駄目ーーー！！！」
 「駄目じゃねえっつの！」
悪司は強引に朝顔の服の襟を掴むと、 前を閉じさせた。","…………………”
Akuji had a cigarette in his mouth, but he was so stunned that he opened his mouth with a gag. The cigarette remained stuck to his lips.
You called me! 　Akuji!
 ………………………”
Hey, I'm staring at you! 　Hey, I'm staring at you!”
 “………… u~……… ah……”
 “Look at me, Akuji! 　Look at me hereーー！！！”
 “……………… uh~……”
Did you call me? 　Hey, I called you because I want to see this figure!
 “…ah~…… well…… just hide me!”
Noooooo!
I'm not saying no. 　Hide, and calm down.
Nooooooo!
No!
Akuji forcefully grabbed the collar of Asagao's clothes and made him close the front.","”…………………”
Akuji tenía un cigarrillo en la boca, pero estaba tan aturdido que abrió la boca con una mordaza. El cigarrillo permanece pegado a sus labios.
 '¡Me has llamado! 　¡Akuji!
 '………………………'
 '¡Te estoy mirando! 　¡Oye, te estoy mirando!”
 '………… u~……… ah……'
 '¡Mírame, Akuji! 　¡Mírame aquí!”
 “……………… ah~……”
 '¿Me has llamado? 　Oye, te he llamado porque quiero ver esta figura”.
 “…ah~…… bien…… ¡sólo escóndeme!”
 ¡Nooooo!
No, no, no, no. 　Escóndete y cálmate”.
 ¡Nooooo!
 ¡No, no, no, no!
El Akuji agarró con fuerza el cuello de la ropa de Asagao y le hizo cerrar la parte delantera."
__system__??,{CG_MODE = 1:,,
__system__??,},,
Tsutsui Asagao (talking),………………,………………,………………
Yamamoto Akuji (talking),やれやれ。 隠したからおとなしくなったな。,"Oh dear. Now that you've hidden it, you've gone quiet.","Oh, Dios. Ahora que lo has ocultado, te has callado."
Tsutsui Asagao (talking),……………つまんない…,…………… boring…,…………… aburrido…
Yamamoto Akuji (talking),こっちはいい迷惑だっつーの。 必要じゃねぇ時は隠しときな。 いつも見せてると値打ち下がるぜ。,It's a nuisance to us. Hide it when you don't need it. It's not worth it if you show it all the time.,No es bueno para nosotros. Manténgalo oculto cuando no lo necesite. No vale la pena si lo muestras todo el tiempo.
Tsutsui Asagao (talking),………………,………………,………………
Yamamoto Akuji (talking),なんだ、そのすねた目は……,What's with the sulky eyes: ……,¿Qué pasa con los ojos enfurruñados? ……
 (talking),見てーーーーー！！！！！,Look at this: ！！！！！,Ver - ！！！！！
Yamamoto Akuji (talking),………………,………………,………………
cg narrator,"「自分で縛ったのーーーー！！」
 「あーはいはい」
 「大変だったのーーーーっ！！」
 「あーはいはい」
 「私がこういう準備をしているの知ってて、 　私を呼んだーー！？」
 「いやいや」
 「見てーーー！！！」
 「ん~~………」
 「そんな、イヤそうな顔されちゃうと、 　燃えちゃうーーー！！ 　意地でも見て貰うわーーーー！！！」
 「いや、だから……」
 「見てーーーー！！！」
 「がーーーーー！！！！」
悪司は朝顔の服を掴むと、乱暴に閉じさせた。","I tied it myself!
 “Oh, yes, yes.”
I had a hard time!
 “Oh, yes, yes, yes.”
 “Did you know I was getting ready to do this and you called me?
No, no, no.
Look at this!
Oh, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.
 “You're gonna burn me when you look at me like that! 　I'm gonna get you to look at it!
No, that's why I'm going to ……
Look at me!
Gahhhhhh ！！！！”
Akuji grabbed Asagao's clothes and made her close them roughly.","¡Me até a mí mismo!
Oh, sí, sí.
Lo pasé mal.
 “Oh, sí, sí, sí”.
 ¿Sabías que me estaba preparando para hacer esto y me llamaste?
No, no, no.
 ¡Mira esto!
Mmm~~………
 ¡Me vas a quemar cuando me mires así! 　¡Voy a hacer que lo mires, voy a hacer que lo mires, voy a hacer que lo mires!
No, por eso… ……
 ¡Mírame!
Gahhhhh ！！！！”
Akuji agarró la ropa de Asagao y la obligó a cerrarla bruscamente."
__system__??,{CG_MODE = 1:,,
__system__??,},,
Tsutsui Asagao (talking),………………,………………,………………
Yamamoto Akuji (talking),うるさい。,Noisy.,Ruidoso.
Tsutsui Asagao (talking),………………,………………,………………
Yamamoto Akuji (talking),お前さんには、間ってのがないのかよ。,Don't you have a pause?,"No tienes una pausa, ¿verdad?"
Tsutsui Asagao (talking),……………,……………,……………
Yamamoto Akuji (talking),勝手にすねてろ。,Go sulk on your own.,Ve a enfurruñarte por tu cuenta.
narrator,悪司は朝顔を待っていた。,Akuji was waiting for Asagao.,Akuji estaba esperando a Asagao.
Yamamoto Akuji (talking),おせぇ…どこいっちまったんだ。,Where the hell is he?,Oops… ¿dónde ha ido a parar?
Takega Satsu (talking),いいのか、悪司。,"Are you sure, Akuji.","Estás seguro, Akuji."
Yamamoto Akuji (talking),何がだい？,What is it?,¿Qué es eso?
Takega Satsu (talking),脱衣バカップルが、 往来で何やらしているぞ。,A couple of undressed bachelors are doing something in the street.,Hay un par de vagabundos desnudos haciendo algo en la calle.
Yamamoto Akuji (talking),……………おいおい……,…………… hey ……,…………… hey ……
Tsutsui Asagao (talking),見てーーー！！ 私を見てーーー！！,Loooook at me!! Look at meeee!!,¡¡Miraaaa!! ! ¡¡¡Mirameeee!! !
Yopparai (talking),うひーーー！！,Woohoo!,¡¡¡Wooooooooo!!!
Panichi (talking),いい仕事だ、素晴らしい。,"Nice job, excellent.","Buen trabajo, excelente."
Yamamoto Akuji (talking),何がいい仕事だ、このバカップル。,"What a good job, you couple of bums.","Qué buen trabajo, par de vagos."
Tsutsui Asagao (talking),悪司………,Akuji………,Akuji………
Yamamoto Akuji (talking),俺呼んだだろ。 さっさとこい。,"I called you. Come on, get your ass over here.",Te he llamado. Vengan rápido.
Tsutsui Asagao (talking),…………でも……パンイチと……,………… also ……Panichi and ……,………… también ……Panichi y ……
Yamamoto Akuji (talking),ウィミィに売っ払うぞ。,I'll sell it to Wime.,Te venderé a Wime.
Tsutsui Asagao (talking),…………………,…………………,…………………
Yamamoto Akuji (talking),スネてんじゃねぇよ。,Don't sulk.,No te enfades.
Panichi (talking),行ってこい、朝顔。,"Go ahead, Asagao.","Vamos, Asagao."
Tsutsui Asagao (talking),パンイチ……,Panichi……,Panichi……
Panichi (talking),オレは待ってる。 たとえこの躰、朽ちようとも。,I'm waiting. Even if this body is rotting away.,Estoy esperando. Aunque este cuerpo se esté pudriendo.
Tsutsui Asagao (talking),…………………うん……,…………………うん ……,…………………うん ……
Yamamoto Akuji (talking),とんだバカップルだ。,They are a couple of idiots.,Son un par de idiotas.
Tsutsui Asagao (talking),………………馬鹿ぢゃないもん……,……………… I'm not an idiot……,……………… No es un idiota: ……
Tsutsui Asagao (talking),……………,……………,……………
Yamamoto Akuji (talking),今日はさっさときたな。,You came quickly today.,Hoy has venido rápido.
Tsutsui Asagao (talking),……………パンイチが……行けって…,……………Panichi wants me to go to ………,……………Panichi quiere que vaya a ………
Yamamoto Akuji (talking),そーかそーか。,"Oh, yeah.","Ah, sí."
Tsutsui Asagao (talking),………………,………………,………………
Yamamoto Akuji (talking),仲良くしてたのに、邪魔するなって顔、 露骨にしてるぞ。,You're making it very obvious that you don't want to be disturbed.,"Te has llevado tan bien con ellos, y ahora intentas descaradamente apartarte de su camino."
cg narrator,「見――」,”Look--”,”Mira…”
Tsutsui Asagao (talking),………………ぶ~……,………………ぶ~……,………………ぶ~……
Yamamoto Akuji (talking),ふふん。 もう慣れたぞ。,Hmmm. I'm used to it.,Hmph. Ya estoy acostumbrado.
Tsutsui Asagao (talking),~………,~………,~………
Yamamoto Akuji (talking),くっくっくっ。 すねてろ、すねてろ。,"Ku~ku~ku~。 Keep sulking, keep sulking.","Ku~ku~ku~。 Sigue enfadada, sigue enfadada."
Yamamoto Akuji (talking),抱いてやるよ、朝顔。,"I'll hold you, Asagao.","Te sostendré, Asagao."
Tsutsui Asagao (talking),……………,……………,……………
