"character";"jap text";"Eng";"Esp"
"__system__??";"{麦 = 10:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 11:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 12:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 13:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 15:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 16:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 18:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 19:";"";""
"__system__??";"}";"";""
"Haguro (talking)";"あ、あ、あ、あの……";"Oh, uh, uh, uh, uh, ……";"Oh, oh, oh, ese ……"
"Yamamoto Akuji (talking)";"ん？";"Hmm?";"¿Eh?"
"Haguro (talking)";"キツネをとっちゃってくれたのは、 嬉しいんですよぅ…";"I'm so glad you took the fox…";"Me alegro mucho de que hayas cogido el zorro…"
"Yamamoto Akuji (talking)";"うん。";"Yeah.";"Sí."
"Haguro (talking)";"でも…どうしてここに 閉じこめられてるんですかぁ？";"But… why are we stuck in here?";"Pero… ¿por qué estoy atrapado aquí?"
"Yamamoto Akuji (talking)";"キツネをとっぱらったのは、成り行き。";"The fox was taken away because of the way things turned out.";"El zorro fue arrebatado por la forma en que ocurrió."
"Haguro (talking)";"は、はあ……";"Ha, ha ……";"Ja, ja: ……"
"Yamamoto Akuji (talking)";"もう危険じゃなくなったから、 あんたの事どう料理するか、 じっくり考え中。";"Now that you're no longer a danger to me, I'm slowly figuring out how to cook you.";"Ahora que ya no eres un peligro, estoy pensando mucho en cómo cocinarte."
"Haguro (talking)";"………ぐし……";"………guji……";"………guji……"
"Haguro (talking)";"あ、あの……神社に戻りたいですぅ… お掃除とか…… 神主様が帰ってきた時とか……";"Oh, I want to go back to that…… shrine… or clean it… or…… when the priest comes back… ……";"Oh, quiero volver a ese santuario de……… limpiando, o…… cuando el sacerdote vuelva……"
"Yamamoto Akuji (talking)";"だめ。";"No.";"No, no."
"Haguro (talking)";"………ぐし…";"………Gushi…";"………gushi…"
"Yamamoto Akuji (talking)";"さて。";"Well.";"Bueno."
"Haguro (talking)";"は、はい？";"Huh, yes?";"Ja, ¿sí?"
"Yamamoto Akuji (talking)";"ちゃっちゃとやっちまうか。";"Let's get this over with.";"Sigamos con ello."
"Haguro (talking)";"な、な、何をですか？
そ、そ、その手なんですか？
だ、だだめですよ。 あたし、巫女ですぅ… しょ、処女じゃないけど……
あ、あうあう…
す、すみません、お、お水を…
あ、あう、あ……
あ~~……";"Hey, hey, what?
Is that… is that your hand?
No, no, no, no. I'm a miko… I'm not a virgin, but… ……
Oh, ah ah ah…
I'm sorry, I'll get you some water…
Ah, ah, ah… ……
Ah~~……";"Oye, oye, ¿qué?
Esa, esa, ¿es la mano que estás usando?
No, no, no. Soy una sacerdotisa… No soy virgen, pero… ……
Ah, ah, ah…
Lo siento, te traeré un poco de agua…
Ah, ah, ah… ……
Ah~~……"
"Haguro (talking)";"羽黒は、悪司に抱かれた。";"Haguro was embraced by Akuji.";"Haguro fue abrazado por Akuji."
"Haguro (talking)";"うあああ~~……";"Uhhhhhh~~……";"Uhhhh~~……"
"Yamamoto Akuji (talking)";"キチンとされると、 こーいうのも中々オツだろ？";"When it's done right, it's pretty cool, isn't it?";"Cuando se hace bien, es muy bonito, ¿no?"
"Haguro (talking)";"か……神様がいらっしゃいました… 少しだけ……";"or…… God was there… a little bit ……";"o…… Dios estaba allí… un poco ……"
"Yamamoto Akuji (talking)";"そりゃ結構な事だ。";"That's great.";"Eso es bastante."
"Tamanegi (talking)";"羽黒さん。";"Haguro.";"Haguro."
"Haguro (talking)";"は、はいぃ……";"Hai, yes……";"Hai yi: ……"
"Tamanegi (talking)";"あなたはもうすぐ、 娼婦として一人前です。";"You will soon be a full-fledged prostitute.";"Pronto serás una prostituta de pleno derecho."
"Haguro (talking)";"……はい……";"…… yes……";"…… sí……"
"Tamanegi (talking)";"ですが……足りないものがあります。";"But there is something missing from …….";"Pero hay algo que falta en ……."
"Haguro (talking)";"へ…？？";"Heh…?";"¿Él…?"
"Tamanegi (talking)";"貪欲さです。 あなたの躰は愛撫に正直でありますが、 心は快楽に対して貪欲ではない。
ですから… 今からそれを補う為の訓練に 行きましょう。";"It is greed. Your body is honest in its caresses, but your mind is not greedy for pleasure.
So… now we are going to train you to compensate for this.";"La codicia. Tu cuerpo es honesto en sus caricias, pero tu mente no está ávida de placer.
Así que… ahora vamos a entrenar para compensar esto."
"Haguro (talking)";"ど、ど、どこに行くんてすかぁ？";"Where are you going?";"¿A dónde vas?"
"Tamanegi (talking)";"くればわかりますよ… ……くればね。";"You'll understand if you come……… if you come.";"Lo entenderás si vienes a… ……"
"Haguro (talking)";"……ぐし……";"……guji……";"……guji……"
"narrator";"人気のない神社。 そこで、かすかに音がする。
 　　［ちりん……］";"An unpopular shrine. There, a faint sound is heard.
 　　[……]";"Un santuario impopular. Allí se escucha un débil sonido.
 　　[……]"
