character,jap text,Eng,Esp
__system__??,{☆殺 \ 0:,,
Takega Satsu (talking),お前にお客様だぞ、悪司。,"You have a customer, Akuji.","Tienes un cliente, Akuji."
Yamamoto Akuji (talking),客？,Guests?,¿Invitados?
Takega Satsu (talking),いかにも、いじめて下さいといった顔を した娘だ。,She looked as if she wanted to be bullied.,Tiene la mirada de una chica que quiere ser intimidada.
Yamamoto Akuji (talking),"んー？ 知り合いにそんな娘はいなかったが…
まーいっか。 会うわ、さっちゃん。","Hmm? I didn't know any girls like that, but…
Oh well. I'll see you, Sacchan.","¿Hmm? No conocía a ninguna chica así, pero…
Oh, bueno. Nos vemos, Sacchan."
Takega Satsu (talking),うむ。 戸口で待たせてある。 それ以上奥へ入ろうとせんのでな。,Mm-hmm. I have them waiting at the door. They don't want to go any further in.,Mm. Los tengo esperando en la puerta. No quieren ir más adentro.
__system__??,},,
__system__??,{☆殺 = 0:,,
Chinpira (talking),悪司さーん。 お客さんっすー。,Dear Akuji. You are a customer.,Akuji. Usted es un cliente.
Yamamoto Akuji (talking),客？,Guests?,¿Invitados?
Chinpira (talking),はい、可愛らしい娘さんっす。 スミにおけませんねー。 へへへっ。,"Yes, she is a lovely girl. I can't leave her at home. Hehehe.","Sí, es una chica encantadora. No puedo dejarla en una herrería. Jejeje."
Yamamoto Akuji (talking),からかうな。 とりあえず、会うとするか。,Don't tease me. Let's meet anyway.,"No te burles de mí. De momento, reunámonos."
Chinpira (talking),へえ、何やら奥ゆかしい子でして、 玄関で待つと言って、きかないんでさ。,"He was a very reserved boy. He said he would wait for me at the entrance, but I wouldn't listen to him.","Je, es una chica algo reservada, dijo que esperaría en la puerta principal, pero no lo hizo."
__system__??,},,
Yamamoto Akuji (talking),ん、わかった。,"Hmm, okay.","Hmm, vale."
narrator,悪司が戸口に向かうと、メイド服を着た少女が 立っていた。,"When Akuji went to the door, she found a girl in a maid's uniform standing there.","Cuando Akuji se acercó a la puerta, una chica con uniforme de sirvienta estaba allí."
Yamamoto Akuji (talking),俺の客って、あんたかい？,Are you my customer?,¿Es usted mi cliente?
Takeda Nozomi (talking),あ…あなたが… 悪司さんですか？,Oh… are you… Akuji?,Ah… ¿eres… Akuji?
Yamamoto Akuji (talking),ああ、そうだ。,"Oh, yes.","Sí, lo son."
Takeda Nozomi (talking),申し遅れました… 私は、ヘグリの貴神雷贈様からの使いで 参りました。,I'm sorry I'm late… I'm here on behalf of Kishin Raizou of Heguri.,Siento llegar tarde… Estoy aquí por un encargo de Kishin Raizou en Hegli.
