"character","jap text","Eng","Esp"
"__system__??","{麦 = 1:","",""
"__system__??","{☆野比 = 0:","",""
"__system__??","}","",""
"__system__??","{(☆野比 = 1) * (★愛 = 3):","",""
"__system__??","}","",""
"__system__??","{☆野比 > 49:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 3:","",""
"__system__??","{B忠誠タイプ = 1:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 10:","",""
"__system__??","}","",""
"__system__??","{麦 = 11:","",""
"__system__??","}","",""
"__system__??","{麦 = 13:","",""
"__system__??","{H物欲抵抗 <= H物欲:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 15:","",""
"__system__??","}","",""
"__system__??","{麦 = 16:","",""
"__system__??","}","",""
"Nobi Hikari (talking)","呼んでいると聞いたが …………何か用か？","I heard you were calling for me………… What can I do for you?","He oído que me llamabas………… ¿Qué puedo hacer por ti?"
"Yamamoto Akuji (talking)","よお、元関取。 実はなー……","Yo, ex-sekitori. Actually, yeah……","Yo, ex-sekitori. En realidad… ……"
"Nogi Kikuko (talking)","…………あら？ そこに居るのは野比さんですか？ お久しぶりです。","………… Oh? Is that Nobi there? It's been a while.","………… ¿Oh? ¿Es ese Nobi allí? Ha pasado un tiempo."
"Nobi Hikari (talking)","……こ、これはお嬢様。 ご機嫌麗しゅう……","…… this is the lady. Have a good day: ……","…… Esta es la joven. Buenos días……"
"Nogi Kikuko (talking)","ああ、もうお止しになって下さい。 私はもう山本家の嫁で、 乃木の女ではないのですから……","Oh, please stop it. I am a wife of Yamamoto family and not a woman of Nogi anymore……","Oh, por favor, ya basta. Ya no soy una esposa de la familia Yamamoto, ni una mujer Nogi……"
"Nobi Hikari (talking)","……お嬢様、真に遅くなり恐縮ですが、 この度はご結婚おめでとうございます。 どうぞ、末永くお幸せに。","……Madam, I am truly sorry for the delay, but I would like to congratulate you on your marriage. I wish you many years of happiness.","…… Querida señorita, siento mucho el retraso, pero me gustaría felicitarla por su matrimonio. Le deseo muchos años de felicidad."
"Nogi Kikuko (talking)","まあ…… ご丁寧に有り難うございます、野比さん。","Well,…… thank you very kindly, Nobi.","Bueno,…… Gracias por tu amabilidad, Nobi."
"Yamamoto Akuji (talking)","…………俺に祝辞は？","………… Any congratulations for me?","………… ¿Me felicitas?"
