"character";"jap text";"Eng";"Esp"
"__system__??";"{麦 = 1:";"";""
"__system__??";"{☆金田 = 20:";"";""
"__system__??";"}";"";""
"__system__??";"{☆金田 = 21:";"";""
"__system__??";"}";"";""
"__system__??";"{☆金田 > 20:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 3:";"";""
"__system__??";"{☆金田 > 20:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 2:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 4:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 5:";"";""
"__system__??";"}";"";""
" (talking)";"僕を呼んでいると聞いたんだけど？";"I heard you wanted to see me?";"Oí que me estabas llamando…"
"Yamamoto Akuji (talking)";"………………";"………………";"………………"
"Kaneda Sakatarou (talking)";"なんだ？";"What is it?";"¿Qué es?"
"Yamamoto Akuji (talking)";"ほんっと、女になってやがる…";"I'm really becoming a woman…";"Realmente se está convirtiendo en una mujer…"
"Kaneda Sakatarou (talking)";"だからなんだ？";"So what?";"¿Y qué?"
"Yamamoto Akuji (talking)";"うーん、可愛いような、 そーでないような… 中身はそのまんまなのかい？";"Well, is it cute or not… is it exactly what it looks like inside?";"¿Es bonito o no… es exactamente lo que parece por dentro?"
"Kaneda Sakatarou (talking)";"そんな質問には答えたくないね。";"I wouldn't want to answer that question.";"No me gustaría responder a esa pregunta."
"narrator";"悪司は煙草を喫んで、酒太郎を待っていた。";"Akuji was smoking a cigarette and waiting for Sakatarou.";"Akuji estaba fumando un cigarrillo y esperando a Sakatarou."
"Kaneda Sakatarou (talking)";"あまり吸い過ぎると躰によくないぞ。";"Smoking too much is not good for your body.";"Fumar demasiado, no es bueno para tu cuerpo."
"Yamamoto Akuji (talking)";"……………";"……………";"……………"
"Kaneda Sakatarou (talking)";"なんだ、素っ頓狂な顔をして。
ほら、蜜柑だ。 煙草を吸う奴は、柑橘類をとって おいた方がいい。";"What's with the crazy face?
Look, citrus. You know, you should save the citrus fruits for the smokers.";"Qué mirada más descarada.
Mira, cítricos. Deberías guardar los cítricos para los fumadores."
"Yamamoto Akuji (talking)";"…………くれるの？";"Can you give me …………?";"¿Puede darme …………?"
"Kaneda Sakatarou (talking)";"ああ。";"Oh.";"Oh."
"Yamamoto Akuji (talking)";"…………タダ？";"………… free?";"………… libre?"
"Kaneda Sakatarou (talking)";"そうだが？";"Yes, but what?";"Sí, pero ¿qué?"
"Yamamoto Akuji (talking)";"………毒は……";"……… poison is available at ……";"……… Poison se puede encontrar en ……"
"Kaneda Sakatarou (talking)";"そんなものを入れるか。 失礼な奴だ。";"You can't put something like that in there. He's rude.";"¿Pondrías algo así ahí? Eres un maleducado."
"Yamamoto Akuji (talking)";"変われば、変わるモンだなー…";"Change, change, change…";"Si las cosas cambian, cambian…"
"Kaneda Sakatarou (talking)";"呼んだか？";"Did you call me?";"¿Los llamaste?"
"Yamamoto Akuji (talking)";"まーな。";"Mana.";"Mana."
"Yamamoto Akuji (talking)";"ほら、あんたの大好きなお金だ。 受け取ってくんな。";"Here, it's your favorite money. Don't take it.";"Aquí, es tu dinero favorito. No lo tomes."
"Kaneda Sakatarou (talking)";"ありがとう。 大事に使う。";"Thank you. I will use it carefully.";"Gracias. Lo cuidaré bien."
"Yamamoto Akuji (thinking)";"…………礼言ったよ… 信じられね~…";"I said thanks to…………… I can't believe it…";"He dado las gracias a…………… No puedo creerlo…"
"Yamamoto Akuji (talking)";"………………";"………………";"………………"
"Kaneda Sakatarou (talking)";"なんだ？";"What is it?";"¿Qué es?"
"Yamamoto Akuji (talking)";"……………………";"……………………";"……………………"
"Yamamoto Akuji (thinking)";"いくら女になったからとはいえ、 元がアレだ…
 ……………";"No matter how much of a woman she's become, she's still the original…
 ……………";"Por mucho que se haya convertido en mujer, sigue siendo una ex…
 ……………"
"Yamamoto Akuji (talking)";"はぁ~~~~~……";"Huh ~~~~~……";"Huh. ~~~~~……"
"Kaneda Sakatarou (talking)";"人の顔をじろじろ見て、 ため息をつくとは、失礼な奴だ。";"It's rude of him to stare at someone's face and sigh.";"Es grosero que mire fijamente a la cara de la gente y suspire."
"Kaneda Sakatarou (talking)";"断る！ どうして僕が、男に抱かれなくては 駄目なんだ！
気持ち悪い、吐く！ 死ぬ！！";"No! Why do I have to be held by a man?
I feel sick. I'm gonna throw up! I'm gonna die!";"¡Me niego! ¿Por qué tengo que ser sostenida por un hombre?
Me siento mal, voy a vomitar. ¡Voy a morir!"
"Kaneda Sakatarou (talking)";"断るっ！ あ、あんな服、着るなんて…";"I refuse! I can't believe I'm wearing that…";"¡No! Oh, no puedo creer que esté usando eso…"
"Yamamoto Akuji (talking)";"おう。";"Oh.";"Oh."
"Kaneda Sakatarou (talking)";"なんですか。 ボクは言われた事はこなしていますよ。";"What is it? I do what I am told.";"¿Qué es? Hago lo que me dicen."
"Yamamoto Akuji (talking)";"まー、これでも受け取ってくれや。";"Well, you're still going to have to take this.";"Bueno, todavía puedes tomar esto."
