"character";"jap text";"Eng";"Esp"
"__system__??";"{麦 = 1:";"";""
"__system__??";"{☆長崎 = 1:";"";""
"__system__??";"}";"";""
"__system__??";"{☆長崎 = 2:";"";""
"__system__??";"}";"";""
"__system__??";"{☆長崎 = 6:";"";""
"__system__??";"}";"";""
"__system__??";"{☆長崎 = 7:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 3:";"";""
"__system__??";"{☆長崎 = 7:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 10:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 11:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 13:";"";""
"__system__??";"{H物欲 = 1:";"";""
"__system__??";"}";"";""
"__system__??";"{H物欲 = 2:";"";""
"__system__??";"}";"";""
"__system__??";"{H物欲 = 3:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 15:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 16:";"";""
"__system__??";"}";"";""
"Yamamoto Akuji (talking)";"おう、元気か？";"Hey, how are you?";"¿Cómo estás?"
"Nagasaki Hatao (talking)";"……多分…";"…… maybe…";"…… tal vez…"
"Yamamoto Akuji (talking)";"ひとつ聞いていいかい？";"Can I ask you one question?";"¿Puedo hacerte una pregunta?"
"Nagasaki Hatao (talking)";"………何か？";"……… anything?";"……… ¿algo?"
"Yamamoto Akuji (talking)";"あんた、いつからそんな風に なっちまったんだい？";"Since when did you become like that?";"¿Desde cuándo te has vuelto así?"
"Nagasaki Hatao (talking)";"え……？";"What, ……?";"¿Qué? ……?"
"Yamamoto Akuji (talking)";"あんた死に場所を探してるって いってたじゃねーか。
それは、いつからなんだい？ 天性のモンかい？";"You said you were looking for a place to die.
How long have you been doing that? Is it a natural thing?";"Dijiste que estabas buscando un lugar para morir.
 ¿Cuánto tiempo llevas haciéndolo? ¿Es usted natural?"
"Nagasaki Hatao (talking)";"…………
 ……少し…記憶が混濁していて… はっきりした事は言えないが…
 …私は…人と人とが争う事など、 大嫌いだったような気がする…
それが、徴兵され… 否応なく戦い始めて…
 ……………
気がつくと… 自分は、戦地に立っていなくては いけない気さえするようになった…
 ……死に場所を戦地に求めているのは…
戦っていなくては、自分が自分では なくなってしまうような気がしている のと…
友と共に死ぬ事の出来なかった思いが… 私を戦場へと駆り立てるのかも しれない…
 …私も… 友と逝きたかった…";"……………… My memory is a little… cloudy… so I can't say for sure…
I seem to recall a time when I hated the idea of people fighting each other.
But then I was drafted… and I fought without choice…
 ……………
I found myself… even feeling like I had to stand on the battlefield…
 ……I'm looking for a place to die on the battlefield…
I feel that if I don't fight, I won't be myself anymore…
Maybe it is the thought of not being able to die with my friends that drives me to the battlefield.
I wish I could have died with my friends.";"……………… Mi memoria está un poco… nublada… así que no puedo asegurarlo…
Creo recordar… que odiaba las peleas entre personas.
Pero entonces fui reclutado… y luché sin elección, y me convertí en Hajime…
 ……………
Me encontré… incluso sintiendo que tenía que estar en el campo de batalla…
 ……Estoy buscando un lugar para morir en el campo de batalla porque…
Siento que si no lucho, ya no seré yo mismo…
Tal vez sea la idea de no poder morir con mis amigos lo que me lleva al campo de batalla.
Ojalá hubiera podido morir con mis amigos."
