"character";"jap text";"Eng";"Esp"
"__system__??";"{麦 = 1:";"";""
"__system__??";"{☆鬼門 = 1:";"";""
"__system__??";"}";"";""
"__system__??";"{GOLD < 100:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 3:";"";""
"__system__??";"}";"";""
"Kimon Hajime (talking)";"いいか、俺がここにきたのは、 あんたを越える為だ！！
この間は、喧嘩で負けたけど、 今度は勝つぜ！
確かに今は、少しだけ負けている気が するんだけどよぉ！
近くで、あんたのその技術を盗んでやる！";"Look, I came here to get past you!
I lost a fight the other night. I'm gonna win this time!
I know, I feel a little outmatched right now.
I'm gonna get up close and steal your skills!";"¡Mira, he venido aquí para pasar de ti!
El otro día perdí una pelea, ¡pero esta vez voy a ganar!
Lo sé, me siento un poco superado en este momento.
 ¡Voy a acercarme y robar tus habilidades!"
"Yamamoto Akuji (talking)";"ぱちぱちぱち。";"Blah, blah, blah.";"Bla, bla, bla."
"Kimon Hajime (talking)";"なんだよ、そのやる気のねぇ拍手は！ っていうか、拍手すんな！";"What's with the uninspiring applause? I mean, don't clap!";"¿Qué pasa con los aplausos poco inspirados? Quiero decir, ¡no aplaudan!"
"Yamamoto Akuji (talking)";"せーねんの主張ってやつじゃ なかったのか？";"Wasn't that what they called the “Seenen” argument?";"¿No era eso lo que llamaban el argumento “Seenen”?"
"Kimon Hajime (talking)";"違う！！ 挑戦状だ！";"No, no, no! It's a challenge!";"¡No, no, no! Es un reto."
"Yamamoto Akuji (talking)";"どっちでもいーや。 ここにいたかったら、俺の言う事、 ちゃーんときくんだぞ。";"I don't care which one. If you want to stay here, you'll do exactly as I say.";"No me importa de ninguna manera. Si quieres quedarte aquí, harás exactamente lo que te diga."
"Kimon Hajime (talking)";"おう、きいてやるよ。";"Oh, I'm listening.";"Oh, te escucharé."
"narrator";"悪司は咥え煙草で帳簿を見つめ、 しぶ~い顔をしていた。";"Akuji stared at the ledger with a cigarette in his mouth and a serious look on his face.";"Akuji miraba el libro de contabilidad con un cigarrillo en la boca y una mirada seria."
"Kimon Hajime (talking)";"へっへっへっ。";"Heh heh heh.";"Je, je, je."
"Yamamoto Akuji (talking)";"なんだ？ ニヤニヤしやがって。";"What the hell? You're grinning at me.";"¿Qué carajo? Me estás sonriendo."
