"character","jap text","Eng","Esp"
"__system__??","{麦 = 1:","",""
"__system__??","{☆ＷＷ < 10:","",""
"__system__??","}","",""
"__system__??","{☆ＷＷ = 12:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 3:","",""
"__system__??","}","",""
"narrator","悪司がほうじ茶を飲んでいると…
 　　［ヴォン　ヴォヴォヴォンッッ］","Akuji drinking hojicha…
 　　[whimpering]","Akuji bebiendo hojicha…
 　　[Von von von von von von von von von von von von von…]"
"Yamamoto Akuji (talking)","このエンジン音は……","This engine sound is from ……","Este sonido del motor se puede escuchar en ……"
"narrator","　　［ばかーーーーーーんっっっ］","[baaaahhhhhhh!]","[¡Boo-hoo-hoo!]"
"Yamamoto Akuji (talking)","どわーー！！","Dowaaa！！","¡¡Dowaaa！！"
"narrator","なんと、壁を破りトレーラーが突っ込んできた。","To my surprise, a trailer broke through the wall and rammed into me.","Qué sorpresa, un remolque atravesó el muro y se estrelló contra él."
"White wolf Dan (talking)","呼んだか？","Did you call me?","¿Los llamaste?"
"Yamamoto Akuji (talking)","……………","……………","……………"
"White wolf Dan (talking)","どうした、悪司？","What's up, Akuji?","¿Qué pasa, Akuji?"
"Yamamoto Akuji (talking)","呼んだがな…… 常識はずれな入り方すんじゃねえ。","I called you, though…… Don't go in there with no common sense.","Pero te llamé…… No entres ahí sin sentido común."
"White wolf Dan (talking)","そうか？","Really?","¿De verdad?"
"Yamamoto Akuji (talking)","…………そーいやぁ、 記憶ソーシツだったっけ。","………… well, I remember when I was a memory sausage.","………… Bueno, recuerdo que era una salchicha de memoria."
"White wolf Dan (talking)","そうだが？","Yes, but what?","Sí, pero ¿qué?"
"Yamamoto Akuji (talking)","こんなムチャばっかやってっから、 ショックでぼとぼと落としまくってんじゃ ないか……記憶……","I'm sure they're all in shock and falling down because of all this mess…… memory……","Todo este lío lo has hecho tú, y seguro que estás cayendo en shock…… memory……"
"White wolf Dan (talking)","そんな非常識な話があるか。","What kind of insane story is that?","¿Existe una historia tan descabellada?"
"Yamamoto Akuji (talking)","お前さんが言うな。","You don't say.","No lo digas."
"White wolf Dan (talking)","好きだ！！！！！！！！！","I like ！！！！！！！！！","Como: ！！！！！！！！！"
"Yamamoto Akuji (talking)","俺はそんな趣味はねぇ。","I ain't got that kind of taste.","No tengo ese tipo de gusto."
