character,jap text,Eng,Esp
__system__??,{麦 = 1:,,
__system__??,{☆イルラカムイ = 2:,,
__system__??,},,
__system__??,{☆イルラカムイ = 6:,,
__system__??,},,
__system__??,{☆イルラカムイ = 7:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 3:,,
__system__??,},,
Ilulakamui (talking),呼んだか、悪司。,"You wanted to see me, Akuji.","Querías verme, Akuji."
Yamamoto Akuji (talking),お、ああ。 どーだい？ 本土の生活は？,"Oh, yeah. How's life? How's life on the mainland?","Ah, sí. ¿Cómo es la vida? ¿Cómo es la vida en el continente?"
Ilulakamui (talking),緑が少ないな。 機械が多い。,Not a lot of greenery. Lots of machinery.,No hay mucha vegetación. Mucha maquinaria.
Yamamoto Akuji (talking),"特にここはゴミゴミしてっからなー。
あ、そーいや、あんたの事をあんたの村で 聞いてた時に、英雄って呼んでた奴が 多かったけどよ。","Especially since it's so trashy here.
Oh, and by the way, when I heard about you in your village, a lot of people called you a hero.","Sobre todo porque aquí es una porquería.
Oh, bueno, cuando escuché sobre ti en tu pueblo, mucha gente te llamó héroe."
Ilulakamui (talking),英雄はおおげさだ。 ただ、自分に出来る事をしただけだ。,Heroism is overrated. I just did what I could do.,Los héroes son exagerados. Sólo hice lo que podía hacer.
Yamamoto Akuji (talking),何したんだい？,What did you do?,¿Qué has hecho?
Ilulakamui (talking),"蜂に襲われ、おかしくなった熊が、 村の中に入ってきた。 それを倒した。
戦争によって生まれた盗賊を退治した。 そのような細かな事を片付けた。","A bee attacked a bear, which went crazy and came into the village. We defeated it.
We exterminated bandits born from the war. We took care of such small things.","Un oso desquiciado y atacado por abejas entró en el pueblo. Lo derrotamos.
Matamos a los bandidos que había creado la guerra. Aclaramos esos asuntos menores."
Yamamoto Akuji (talking),そりゃ、英雄じゃねーか。,"Well, that's a hero, isn't it?","Bueno, eso es un héroe, ¿no?"
Ilulakamui (talking),だが、自分の婚約者一人、救えない。,But I can't save one of my own fiancées.,"Pero no puedo salvar a una persona, mi propia prometida."
Yamamoto Akuji (talking),そーいや、そんなに強いのに 人さらいに対してはどーしよーも なかったのか？,"So, you're that strong, but you couldn't do anything about kidnappers?","¿Así que eres muy fuerte, pero no pudiste hacer nada contra los secuestradores?"
Ilulakamui (talking),"その時、遠くの狩り場まで狩りに 出ていたので、村にいなかった。
俺が帰ってきたのは、ウパスが 誘拐されて、３日後の事だった。","I was not in the village at the time because I was out hunting to a distant hunting ground.
I returned three days after Upasu was kidnapped.","Yo no estaba en el pueblo en ese momento porque había salido a cazar a un coto de caza lejano.
Regresé tres días después de que Upasu fuera secuestrado."
Yamamoto Akuji (talking),そりゃー…どーしよーもねーなー。,Well…that's…nothing I can do about it.,Bueno… eso… no es manera de hacerlo.
Ilulakamui (talking),村に入る為に手引きした者は捕まえた。 そいつが本土の人買いにウパスを さらうようにそそのかしたそうだ。,We caught the person who helped him to enter the village. He said that he had persuaded the mainland traffickers to kidnap Upasu.,Atrapamos a la persona que le ayudó a entrar en el pueblo. Dijo que había persuadido a los traficantes del continente para que se llevaran a Upasu.
Yamamoto Akuji (talking),見つかるといいな。,Good luck finding it.,Buena suerte para encontrarlos.
Ilulakamui (talking),そうじゃない。,It doesn't.,No es así.
Yamamoto Akuji (talking),ん？,Hmm?,¿Eh?
Ilulakamui (talking),見つけるんだ。,Find it.,Hallazgo.
Ilulakamui (talking),"悪司、用事なら手短に済ませて 貰ってよいか？
日があるうちは外でウパスの事を 尋ねたいのだ。","Akuji, if you need me, can I ask you to make it quick?
I want to ask about Upasu outside while there is still daylight.","Akuji, si tienes asuntos que hacer, ¿puedo pedirte que lo hagas rápido?
Quiero preguntar por Upasu fuera mientras aún hay luz de día."
Yamamoto Akuji (talking),あー……じゃあ、俺からのプレゼントは いらねーってか？,"Uh,…… so you don't want a present from me?",Ah…… ¿Así que no quieres un regalo de mi parte?
Ilulakamui (talking),プレ……ゼント？,Pre-…… zent?,¿Pre-……zent?
Yamamoto Akuji (talking),おう、この声に聞き覚えがあるんなら、 こっちきな。,"Hey, if you recognize this voice, come here.","Oye, si reconoces esta voz, ven aquí."
narrator,悪司は隣りの部屋に向かってそう言った。,Akuji said to the next room.,Akuji dijo esto a la habitación de al lado.
Ilulakamui (talking),…………？,…………？,…………？
Ilulakamui (talking),"っ………
 ……ウ…パス……？","………
 ……U…pass ……?",…………… u… pasar ……?
Upasu (talking),"イルラカムイ……
本当に、イルラカムイなのねっ……？","Ilulakamui……
Really, it's Ilulakamui isn't it ……?","Ilulakamui……
 ¿Eres realmente Ilulakamui, ……?"
Ilulakamui (talking),ウパスっ……ウパス！！,Upasu!!! ……Upasu!!!,Upasu!!!……Upasu!!!
Upasu (talking),ああっ……！！,Ahhhh ……!,¡Ahhh ……!
narrator,イルラカムイはウパスの小さな躰を 胸の中に抱き入れた。,Ilulakamui held Upasu's small body in his chest.,Ilulakamui sostuvo el pequeño cuerpo de Upasu en su pecho.
Ilulakamui (talking),オオオっ…！！ 本当にウパスだ！！ ウパス！！,Ooooh…! It's really Upasu! It's really Upasu!,¡Ooooh…! ¡Es realmente Upasu! ¡Es realmente Upasu!
Upasu (talking),ああっ……嘘みたい…… まさか…… 生きて会えるなんてっ…！,"Oh,…… I can't believe…… I never thought I'd see you…… alive…!","Oh,…… No puedo creerlo…… ¡Nunca pensé que te vería vivo…!"
Ilulakamui (talking),悪司……,Akuji……,Akuji……
Yamamoto Akuji (talking),ん？,Hmm?,¿Eh?
Ilulakamui (talking),ありがとう、感謝する。,"Thank you, I appreciate it.","Gracias, se lo agradezco."
Yamamoto Akuji (talking),まー約束してたかんな。,"Well, I don't know if I promised.","Bueno, no sé si lo prometí."
Ilulakamui (talking),この恩義、出来る限り俺は報いる。,I will repay this favor to the best of my ability.,Le devolveré este favor lo mejor que pueda.
Yamamoto Akuji (talking),そーしてくれや。 俺はこのセンソー、 絶対に勝ちたいんでな。,Please do that. I want to win this Sensou for sure.,"Por favor, hazlo. Quiero ganar este Senso seguro."
Ilulakamui (talking),わかった。,I understand.,Entendido.
Ilulakamui (talking),すまん、呼び出されていたが、 外にいた。,"Sorry, I was called away, but I was outside.","Lo siento, me llamaron, pero estaba fuera."
Yamamoto Akuji (talking),探しにいってたのか。,You went looking for it.,Fuiste a buscarlo.
Ilulakamui (talking),ああ。,Oh.,Oh.
Yamamoto Akuji (talking),その顔だったら、ダメそうだったか。,"If it was that face, did it look like a no-no?","Si tuvieras esa cara, ¿te parecería un no-no?"
Ilulakamui (talking),ああ。 だけど、諦めない。,Oh. But I'm not giving up.,Oh. Pero no me voy a rendir.
narrator,悪司は週刊ホーキセを呼んでいる。,Akuji calls the weekly Hokies.,Akuji convoca el Hokise semanal.
Yamamoto Akuji (talking),ＯＬの処女当てねー…… こんなモンも娯楽になんのかねー。,I wonder if this kind of thing is also a form of entertainment.,Adivinanzas de virginidad para oficinistas…… No sé si este tipo de cosas también son entretenidas.
Upasu (talking),ほら、お待たせしてしまっているわ、 イルラカムイ。 駄目よ……,"There you go, I've kept you waiting, Ilulakamui. No……","Mira, te hemos hecho esperar, Ilulakamui. No……"
Ilulakamui (talking),駄目だ。 俺のそばから離れないでくれ。,No. Don't leave my side.,No. No te vayas de mi lado.
Yamamoto Akuji (talking),何やってんだ、おめーら。,"What are you doing, guys?","¿Qué estáis haciendo, chicos?"
Upasu (talking),すみません、悪司さん… この人、私から離れるのがいやだと…,"Sorry, Akuji… this guy doesn't want to leave me…","Lo siento, Akuji… este tipo no quiere dejarme…"
Ilulakamui (talking),今でも夢に見るんだ。 お前がいなくなった時の事を。,I still dream about it. I still dream about the time when you were gone.,Todavía sueño con ello. Sobre el tiempo en que te fuiste.
Yamamoto Akuji (talking),あのよー、この敷地にいる限り、 ウパスに手出しする奴はいないって。 そんな心配すんなよ。,"Hey, you know, no one is going to mess with Upasu as long as he's on this property. Don't worry about that.","Mientras estemos en esta propiedad, nadie se va a meter con Upasu. No te preocupes por eso."
Ilulakamui (talking),しかし……,But ……,Pero ……
Upasu (talking),ホント、おっきな子供なんです。 もっと言ってあげて下さい。,"Really, he's a big kid. Please tell him more.","Realmente, es un niño grande. Por favor, dígale más."
Ilulakamui (talking),ウパスまで……,…… until Upasu,Hasta Upasu ……
Yamamoto Akuji (talking),奥さん、悪いけど、席はずしててくんな。 さっちゃんと遊んでてくれや。,"Excuse me, ma'am, but you're going to have to leave. Go play with your son.","Lo siento, señora, pero va a tener que irse. Ve a jugar con tu hijo."
