character,jap text,Eng,Esp
__system__??,{麦 = 1:,,
__system__??,{☆デカオ < 2:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 3:,,
__system__??,},,
__system__??,{麦 = 10:,,
__system__??,},,
__system__??,{麦 = 11:,,
__system__??,},,
__system__??,{麦 = 13:,,
__system__??,{H物欲抵抗 <= H物欲:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 15:,,
__system__??,},,
__system__??,{麦 = 16:,,
__system__??,},,
Dekao (talking),"あー………… あー、ああー……
せンせえ……せンせえ…… ど、どこ…………","Uh………… Uh, ah ……
Censee…… Censee…… Which, where…………","Uh………… Uh, ah ……
Censee…… Censee…… Que, donde…………"
Yamamoto Akuji (talking),……やっと来たかよ。 呼んだらすぐ来いやデカブツ。,"…… finally got you here, huh? Come here as soon as I call you, you bigot.","…… Finalmente, estás aquí. Ven aquí tan pronto como te llame, maldito."
Dekao (talking),お、おまえ………… せンせえ、知らない……？,"Oh, you………… Sensei, don't you know ……?","Oh, tú………… Sensei, ¿no conoces ……?"
Yamamoto Akuji (talking),先生？ そりゃ素敵医師の事か？,Sensei? You mean Suteki Ishi?,¿Sensei? ¿Es eso Suteki Ishi?
Dekao (talking),せンせえ……どこ………… せンせえ、いない……お、おれ、 なに、していいのか……解らン……,I don't know what to do…… I don't know what to do ……,"Sensei…… dónde………… está………… dónde no está…… Yo, no sé qué…… hacer……"
Yamamoto Akuji (talking),"おいおい、 まだあのミイラの子分気取りか？ まさかおめー忘れてんじゃねぇだろうな。
思い出せよ、 今のおめーのボスは素敵医師じゃねぇ。 俺だ、俺。","Hey, hey, hey, hey, you still think you're the mummy's henchman, don't you? Don't tell me you've forgotten.
Remember, your boss right now is not Suteki Ishi. It's me, me.","Oye, oye, oye, ¿todavía crees que eres el secuaz de la momia? No me digas que lo has olvidado.
Recuerda que tu jefe ahora mismo no es Suteki Ishi. Soy yo, yo."
Dekao (talking),"………エっ？
そう……そう。 せンせえ、ちがう、ボス、おまえ。 よろしく。","……… eh?
Yeah…… yeah. No, no, no, boss, you. Hey, boss, you.","……… ¿eh?
Sí,…… sí. Sensei, no, jefe, tú. Encantado de conocerte."
Yamamoto Akuji (talking),……大丈夫か、こいつ……,"…… You okay, this guy? ……","…… ¿Estás bien, este tipo ……"
Yamamoto Akuji (talking),よう、デカブツ。,"Hey, big guy.","Oye, fanático."
Dekao (talking),ぼ、ボス。 な、なンでここ、空、きたなイ？,"Hey, boss. Why did you come here, empty?","Hola, jefe. ¿Por qué estás aquí, vacío, no has venido?"
Yamamoto Akuji (talking),は？,Huh?,¿Ja?
Dekao (talking),そ、空……きたナい…… 水、きたナい……空気も、きたなイ。 お、おれ、シコク、かえりたイ……,"So, the sky…… is not cold…… water is not cold…… air is not cold either. I, I, Shikoku, I want to go back……","Entonces, el cielo…… no viene…… el agua no viene…… el aire tampoco viene. Yo, yo, Shikoku, quiero volver……"
Yamamoto Akuji (talking),何をブツブツ言ってんだか…… 相変わらず壊れてんなー。,I don't know what you're babbling about…… You're still as broken as ever!,No sé qué estás balbuceando…… Sigues tan roto como siempre.
Yamamoto Akuji (talking),ほれ、ボーナスだ。 今後も気張って働けよー。,"See, here's a bonus. Keep up the good work!","Mira, aquí hay un bono. ¡Seguid con el buen trabajo!"
narrator,悪司はデカオの軍手に札束を握らせた。,Akuji put a wad of bills in Dekao's military hand.,Akuji puso un fajo de billetes en las manos militares de Dekao.
Dekao (talking),"あ…………ああああ、ああああ。 ぼ、ボス、いイ人。
ああ、これで…… これで麻薬コーラ……買えル……
ぼ、ボス、売っテ。 いますグ、コーラ、売っテ。","Oh,………… ah, ah, ah. Oh, boss, yi yi man.
Oh, now you can…… buy drug cola…… with this……
Sell it, boss. I'm here, Gu, Coke, sell it.","Ah,………… ah, ah. Bo, jefe, yi yi man.
Oh, ahora puedes…… comprar cola para drogas…… con esto……
Véndelo, jefe. Estoy aquí gu, cola, venderlo."
__system__??,{☆デカオ \ 3:,,
Yamamoto Akuji (talking),……しゃあねぇな、ほれ。 一本一万円。,"……See, here. 10,000 yen per bottle.","…… Sha-sha-sha-sha-sha, aquí. 10.000 yenes por botella."
narrator,悪司は言って、冷蔵庫の中から ２５０mlの缶コーラを取り出して手渡した。,Akuji said and took out a 250 ml can of cola from the refrigerator and handed it to him.,Akuji dijo y sacó una lata de Coca-Cola de 250 ml de la nevera y se la dio.
Dekao (talking),"こっ……コーラコーラコーラ…… コーーーーーーーーラーーーーーーーー。
……ンくっ、ンくっ、ンくっ……
はア……しュわしュわ………… うっトり……","Ko~…… CokeCokeCoke…… Coooooooookeeeeeeeee
……nku~、nku~、nku~……
Haa……shiyuhwashiyuhwa………… u~tori……","Co~…… Coca-ColaCoca-Cooooooooolaaaaaaaaa
……nku~、nku~、nku~……
Haa……shiyuhwashiyuhwa………… u~tori……"
Yamamoto Akuji (talking),……ま、本人が満足してりゃＯＫだろ。,"……Well, as long as he's happy with it, it's OK.","…… Bueno, mientras esté contento con ello, está bien."
__system__??,},,
__system__??,{☆デカオ = 3:,,
Yamamoto Akuji (talking),……しゃあねえな。 んーと、コーラ、コーラは……,"…… I'll be there. Hmmm, Coke, Coke is ……","…… No puedo evitarlo. Hmm, Coke, Coke es ……"
narrator,悪司は事務所の冷蔵庫を開けてみたが、 そこに冷えたコーラは入っていなかった。,"Akuji opened the refrigerator in his office, but there was no cold Coke in it.","Akuji abrió la nevera de su despacho, pero no había Coca-Cola fría."
Yamamoto Akuji (talking),あー……やっべえな。 夕子さん買い忘れてんな、こりゃ……,"Oh, ……, that's not good. I guess Yuuko forgot to buy it……","Oh, ……, eso no es bueno. Supongo que Yuuko se olvidó de comprarlo……"
Dekao (talking),…………？ こっ、コーラ……コーラ、ナい……？,"…………? Kok, kola…… kola, nah ……?","…………? Kok, kola…… kola, na ……?"
Yamamoto Akuji (talking),"………………
んー、コーラ味のモンなら あるにはあるんだが。","………………
Well, there are cola-flavored ones out there.","………………
Bueno, los hay con sabor a cola."
Dekao (talking),あ、味……味だケ、嫌…… しュわしュわ……うっトり…… シゲキ、欲しイ…………,"Oh, it tastes…… good, but I don't like it…… I want to taste it…… I want to taste it…… I want to taste it…… I want to taste it…… I want to taste it…… I want to taste it…… I want to taste it …………","Oh, sabe…… bien, pero no me gusta…… Shuwa shuwa wa…… Uttori…… Shigeki, lo quiero …………"
Yamamoto Akuji (talking),ああ、大丈夫だ。 シュワシュワどころかバチバチくるぜ。 ほれ。,"Yeah, it's okay. It's not just the shwash, it's the bumblebee. Here.","Sí, está bien. No es sólo una chapuza, es un abejorro. Aquí."
