character,jap text,Eng,Esp
__system__??,{麦 = 1:,,
__system__??,{☆香太郎 = 2:,,
__system__??,},,
__system__??,{☆香太郎 = 3:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 3:,,
__system__??,},,
Amato Koutarou (talking),呼んだか~？,Did you call me~?,¿Me llamaste?
Yamamoto Akuji (talking),ああ、こっちに慣れたかどーか、 聞こうと思ってよ。,"Yeah, I just thought I'd ask if you're used to this.","Sí, sólo pensé en preguntar si te habías instalado."
Amato Koutarou (talking),んあー、慣れた慣れた。 どこに何があっか、わかってきたし。,I'm used to it. I know where things are now.,"Estoy acostumbrado, estoy acostumbrado. Sé dónde están las cosas ahora."
narrator,そう言って、香太郎はすぐ横にある本棚を、 ぽんぽんと叩いた。,"Saying so, Koutarou tapped on the bookshelf right next to her.","Diciendo esto, Koutarou dio unos golpecitos en la estantería que estaba a su lado."
Yamamoto Akuji (talking),それって、生まれた時からなのか？,Is that from birth?,¿Es de nacimiento?
Amato Koutarou (talking),目か？,Eyes?,¿Ojos?
Yamamoto Akuji (talking),ああ。,Oh.,Oh.
Amato Koutarou (talking),"いんや、生まれた時は見えてた らしいんだけどよー。
あの小屋でおかあがおらっち生んでよ。 あそこは寒さが半端じゃねぇんだ。
で、おかあはおらっちを 乳と酒で育てた。
おらっちは無事おっきくなったけど、 視力なくなっちまうわ、アル中だわだ。 けひひ。
んでもよー、おかあはおかあなりに、 おらっちの事思ってだからよー。 責めれねーべ。","Well, I heard that you could see when you were born.
My mother gave birth to Orac in that hut. It's so cold there.
And my mother raised Orac with milk and sake.
Orachi grew up fine, but he lost his eyesight and became an alcoholic. Hee-hee.
But, you know, she was thinking about us. You can't blame her.","No, he oído que podía ver cuando nació.
Mi madre dio a luz a Orac en esa cabaña. No hace mucho frío allí.
Y lo crió con leche y vino.
Orachi creció sano y salvo, pero perdió la vista y se volvió alcohólico. Hee-hee.
Pero, ya sabes, ella está pensando en nosotros a su manera. No puedes culparla."
Yamamoto Akuji (talking),まーなー……,Maana ……,Maana: ……
Amato Koutarou (talking),"で、おかあはおらっちを誰にも 負けねー奴にするべと、 おらっちを鍛えた。
気がついたら強くなってた。 そんで、こーして酒も呑める。 いい事づくしだ、けひひ。","Then, my mother trained him to become a man who would never lose to anyone.
When I came to my senses, he had become strong. And now we can drink. It's a good thing.","Así que mi madre lo entrenó para que se convirtiera en un hombre que nunca perdería ante nadie.
Antes de darme cuenta, se había hecho fuerte. Y ahora podemos beber. Es algo bueno, kehi-hehi-heh."
Amato Koutarou (talking),ういいーーーーす。,Uiiiiiisu。,Uiiiiiisu。
Yamamoto Akuji (talking),おう。,Oh.,Oh.
Amato Koutarou (talking),どしたんだい？ 酒でもくれんのかい？,What's the matter? You give me a drink?,¿Qué pasa? ¿Puedo invitarte a una copa?
Yamamoto Akuji (talking),いやなー……一部からな、あんたの その首の巻きモンが怖いって話が あってよ。,"Well,…… some of us have been talking about how scary that thing around your neck is.","No, verás,…… algunas personas me han dicho que tienes miedo de esa cosa alrededor de tu cuello."
Amato Koutarou (talking),んー……そんな怖いか？,Hmmm……… that scary?,Hmmm……… que da miedo?
Yamamoto Akuji (talking),俺は平気だけどな。,I'm fine with it.,Me parece bien.
Amato Koutarou (talking),"だったら、このままでいさしてくんねー？ これはよぅ、墓なんだ。
こっちのよ、一番古いのあるだろ？ これ、おかあ。
あの山はよ、女がよく死ぬんだ。 で、おらっちそのしゃれこうべ拾ってよ、 おかあと一緒に並べてやってんだ。
こーしてると、死ぬ前は寂しかったかも しんねーけど、寂しくねーかなーと 思ってよ。","Then why don't you just leave it like this? These are graves.
This is the oldest one over here. This is my mother's.
Women often die in that mountain. So, I pick up the beads and put them together with my mom.
I thought, “Maybe I was lonely before I died, but I won't be lonely now.","Entonces, ¿por qué no lo dejas así? Estas son tumbas.
Por aquí, ¿ves al más viejo? Toma, mamá.
En esa montaña, las mujeres mueren mucho. Así que recojo las cuentas y las junto con mi madre.
De esta manera, pensé, tal vez me sentía solo antes de morir, pero pensé que no me sentiría solo."
Yamamoto Akuji (talking),そーいう訳だったら、そのままでいな。,"If that's the case, then keep it that way.","Si es así, que siga siendo así."
Amato Koutarou (talking),すまねーな。 けひひ。,Sorry about that. Kehihi.,"Lo siento, tío. Kehihi."
Amato Koutarou (talking),こっちは水がまずくていけねーなー。 これじゃ地元の酒はいいの出来ねーぞ。,The water here is so bad. We can't make good local sake this way.,El agua no es buena aquí. No podemos hacer un buen licor local de esta manera.
Yamamoto Akuji (talking),酔えりゃあなんでもいいんだろ？,"You don't care as long as you can get drunk, do you?","No te importa mientras puedas emborracharte, ¿verdad?"
Amato Koutarou (talking),けひひ。,Kehihi.,Kehihi.
Yamamoto Akuji (talking),ほらよ、あんた酒、酒って言ってたろ。,"You know, you said drink, drink.","Ves, has dicho que bebas, que bebas."
narrator,悪司は、酒瓶を香太郎に渡した。,Akuji handed a bottle of sake to Koutarou.,Akuji entregó una botella de sake a Koutarou.
