"character","jap text","Eng","Esp"
"__system__??","{麦 = 1:","",""
"__system__??","{☆星川翼 = 2:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 3:","",""
"__system__??","}","",""
"Hoshikawa Tsubasa (talking)","こんな風に男に呼び出されるのって、 不思議な気分だね。","It's a strange feeling to be summoned by a man like this.","Es una sensación extraña, ser convocado por un hombre así."
"Yamamoto Akuji (talking)","そーいやよぉ。","Oh, yeah.","Ah, sí."
"Hoshikawa Tsubasa (talking)","ん？","Hmm?","¿Eh?"
"Yamamoto Akuji (talking)","ヌキメってなんだよ？","What's a nookieme?","¿Qué es un nookieme?"
"Hoshikawa Tsubasa (talking)","ああ、目貫だよ。 め・ぬ・き。
目貫っていうのはね、自分で言うのも ヘンだけど、抜群の動体視力でもって、 物体の破砕点を見抜く能力なんだ。","Oh, it's Menuki. Menuki.
Menuki, as I call it, is the ability to detect the breaking point of an object with excellent kinetic vision.","Sí, es un menuki. Menuki.
Menuki, como yo lo llamo, es la capacidad de ver a través de la fractura de un objeto con una excelente visión cinética."
"Yamamoto Akuji (talking)","ん…？","Hmm…?","¿Hmm…?"
"Hoshikawa Tsubasa (talking)","あ、人間の躰にツボってあるだろ？ 物には、そーいうのでここを突くと 壊れるっていう一点があるんだ。
僕はそれを見抜く能力がある。 それを見込まれて、ある者と戦ってる。
それと戦う者を、火者というんだ。","You know how there are pressure points on the human body? There is a point on an object that if you hit it, it will break.
I have the ability to recognize it. I am fighting a certain person because of it.
The one who fights against it is called a fireman.","¿Sabes que hay puntos de presión en el cuerpo humano? Hay un punto en un objeto que, si lo golpeas, se romperá.
Tengo la capacidad de reconocerlo. Estoy luchando con cierta persona por ello.
El que lucha contra ella se llama bombero."
"Yamamoto Akuji (talking)","ふーん、火者ねぇ……
お前さんの婚約者も、 その火者なのかい？","Hmmm, a fireman……
Is your fiancée one of those fire breathers?","Hmm, un bombero……
 ¿Su prometida también es una incendiaria?"
"Hoshikawa Tsubasa (talking)","違うよ。 彼女は……
 ………敵だったけど、今は違う…と いうとこかな。","No, it's not. She was ……
She was an……… enemy, but now she's not…sort of.","No, no lo es. Ella era …………… enemigo, pero ahora no es… no sé."
"Yamamoto Akuji (talking)","ふーん… 色々あるねー。","Hmmm… there's a lot going on.","Hmmm… están pasando muchas cosas."
"Hoshikawa Tsubasa (talking)","そうだね。","Yes, it is.","Sí."
"Hoshikawa Tsubasa (talking)","ハーイ。","Hi.","Hola."
"Yamamoto Akuji (talking)","おう。","Oh.","Oh."
"Yamamoto Akuji (talking)","んじゃあよ、これ、結婚資金の 足しにでもしてくんな。","Well, you can use this as an addition to your wedding fund or something.","Pues bien, puedes utilizarlo como complemento de tu fondo de bodas."
"narrator","悪司は給料とは別に、 まとまった金を翼に渡した。","Akuji gave Tsubasa a sum of money in addition to his salary.","Akuji dio a Tsubasa una suma de dinero además de su salario."
"Hoshikawa Tsubasa (talking)","サンキュ。 助かるよ。","Thank you. That's a big help.","Gracias. Eso es muy útil."
"narrator","悪司と殺は、二人で街はずれにある 小さな平屋の前にいた。","Akuji and Satsu were in front of a small one-story house on the outskirts of town.","Akuji y Satsu estaban juntos frente a una pequeña casa de una planta en las afueras de la ciudad."
"Yamamoto Akuji (talking)","ここに、その噂のつえー奴がいるってか。","So here's that tough guy they've been talking about.","Así que aquí es donde está el rumor del tipo duro."
"Takega Satsu (talking)","らしいな。","I hear that.","Aparentemente."
"Yamamoto Akuji (talking)","さーて、ベル、ベルと…","Well, bells, bells and…","Bueno, campanas, campanas y…"
"narrator","悪司はベルを捜していて、家の前に 貼り紙を見つけた。","Akuji was looking for Bell and found a sign in front of his house.","Akuji estaba buscando a Bell y encontró un aviso frente a su casa."
