"character";"jap text";"Eng";"Esp"
"__system__??";"{麦 = 1:";"";""
"__system__??";"{☆秋光 = 2:";"";""
"__system__??";"}";"";""
"__system__??";"{☆秋光 = 3:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 3:";"";""
"__system__??";"}";"";""
"Yanagi Akimitsu (talking)";"……………";"……………";"……………"
"Yamamoto Akuji (talking)";"おう。";"Oh.";"Oh."
"Yanagi Akimitsu (talking)";"……いない……のか……";"…… not ……'s ……'s ……";"…… no ……'s ……"
"Yamamoto Akuji (talking)";"ん？ ああ、さっちゃんの事か？";"Hmm? Oh, you mean Sacchan?";"¿Hmm? ¿Te refieres a Sacchan?"
"Yanagi Akimitsu (talking)";"……………";"……………";"……………"
"Yamamoto Akuji (talking)";"この時間はガッコーだ。 あれでも、真面目なんだぜ。";"This time of day is gakko. Even that one is serious, man.";"Es gacko a esta hora del día. Incluso ese es serio, hombre."
"Yanagi Akimitsu (talking)";"………………";"………………";"………………"
"Yamamoto Akuji (talking)";"お前さんよぅ……ロリコンか？";"Are you a pedophile?";"¿Es usted, eh, un pedófilo de ……?"
"Yanagi Akimitsu (talking)";"……………";"……………";"……………"
"__system__??";"{★愛 = 5:";"";""
"Yamamoto Akuji (talking)";"さっちゃんは違うっつってたけどよぉ、 俺は嫁さんに、あんまし変な奴が くっついてくんの見たくねーんだけどな。";"Sacchan said it was different, but I don't want to see some strange guy following my wife around.";"Sacchan dijo que no, pero no quiero ver a un bicho raro siguiendo a mi mujer."
"__system__??";"}";"";""
"__system__??";"{★愛 \ 5:";"";""
"Yamamoto Akuji (talking)";"さっちゃんは違うっつってたけどよぉ、 俺は大事な叔母さんに、あんまし変な奴が くっついてくんの見たくねーんだけどな。";"Sacchan said she wasn't, but I don't want to see some weirdo following my precious aunt around.";"Sacchan dijo que no, pero no quiero ver a un bicho raro siguiendo a mi preciosa tía."
"__system__??";"}";"";""
"Yanagi Akimitsu (talking)";"……………
 ……俺には…妹がいた……
 ………だが……組織の奴らが殺した… だから復讐した……
そうしたら、別の奴が俺に復讐にきた… それも殺した……
そうしているうちに……誰も俺を殺しに こなくなった…反対に、人殺しを頼みに くるようになった……
 ……ただ……それだけだ……";"……………
 ……I had… a sister …………… but the guys from…… organization Satsu me… so I got revenge ……
Then another guy came to get revenge on me… and he also Satsu……
In the meantime,…… nobody came to Satsu me anymore… on the contrary, people came to ask me to Satsu them……
 ……It's just…… that's all……";"………………… Tenía… una hermana …………… pero…… los chicos de la organización me Satsu… así que me vengué ……
Luego vino otro tipo a vengarse de mí… que también Satsu……
Mientras tanto,…… nadie vino a Satsu a mí… al contrario, vinieron a pedirme que Satsu a la gente……
Yo sólo…… sólo…… eso es todo……"
"narrator";"秋光は女物の羽織をきゅっと握った。";"Akimitsu squeezed the women's cloak.";"Akimitsu apretó su capa de mujer."
"Yamamoto Akuji (talking)";"ふーん。";"Hmmm.";"Hmmm."
"Yanagi Akimitsu (talking)";"……小さな女の子は…… 皆、影がだぶる……妹……ふゆに……";"…… little girls are…… all a shadow of their…… sister…… Fuyu ni ……";"…… las niñas son…… todas una sombra de lo que fueron…… hermana pequeña…… Fuyu ni ……"
"Yamamoto Akuji (talking)";"溺愛してたんだな。";"You doted on them.";"Los adorabas."
"Yanagi Akimitsu (talking)";"……………";"……………";"……………"
"Yamamoto Akuji (talking)";"お、もーすぐ、さっちゃんがガッコーから 帰ってくる時間だ。
おう、あんた。 迎えにいってやってくんねーか？";"Oh, it's almost time for Sacchan to come back from Gakko.
Hey, you. Can't you pick him up for me?";"Oh, es casi la hora de que Sacchan vuelva de Gakko.
Oye, tú. ¿Puedes recogerlo?"
"Yanagi Akimitsu (talking)";"……いい…のか？";"…… good…?";"…… bueno…?"
"Yamamoto Akuji (talking)";"ああ。";"Oh.";"Oh."
"Yanagi Akimitsu (talking)";"……ありがとう……";"Thank you…… ……";"Gracias…… ……"
"Yamamoto Akuji (thinking)";"ふーん、礼はちゃんと言えるのな。";"Hmmm, you can thank me properly.";"Hmmm, puedes agradecérmelo debidamente."
"narrator";"悪司は漫画を読んでいる。";"Akuji is reading manga.";"Akuji lee manga."
"Yamamoto Akuji (thinking)";"ん~~秘湯か~… しっぽりしたいね~……";"Mmmm~~ hidden hot springs… I'd love to get some peace and quiet~……";"Mmmm… aguas termales escondidas… me encantaría relajarme……"
"Takega Satsu (talking)";"今、帰った。";"I just left.";"Acabo de salir."
"Yamamoto Akuji (talking)";"おう、おかえり。";"Oh, welcome back.";"Oh, bienvenido de nuevo."
"Yanagi Akimitsu (talking)";"…………";"…………";"…………"
"Yamamoto Akuji (talking)";"なんだ、またさっちゃん、 迎えにいってたのか。 そんで、呼び出してもいなかった訳だ。";"What, Sacchan was picking you up again? And you didn't even call me.";"¿Qué, Sacchan te estaba recogiendo de nuevo? Y por eso no me has llamado."
"Yanagi Akimitsu (talking)";"……すまん……";"Sorry …………";"Lo siento…… ……"
