character,jap text,Eng,Esp
__system__??,{麦 = 1:,,
__system__??,{☆浪梅清 = 0:,,
__system__??,},,
__system__??,{☆浪梅清 = 2:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 3:,,
__system__??,},,
Rou Baisei (talking),お呼びになられましたか、山本殿。,"You asked for me, Mr. Yamamoto.","Ha preguntado por mí, señor Yamamoto."
Yamamoto Akuji (talking),あんた、ナニモンだ？,Who the hell are you?,¿Quién demonios eres tú?
Rou Baisei (talking),私は、漢方医で……,I am a herbalist and ……,Soy herbolario y ……
Yamamoto Akuji (talking),"それだけじゃねーだろ。 なんか隠してる。
あんたの殺気の消し方は訓練されている。","That's not all. You're hiding something.
You're trained to turn off your Satsu.","Eso no es todo. Estás ocultando algo.
Tu mente Satsu está entrenada para apagarse."
Rou Baisei (talking),"ばれてしまいましたか。
私、今は医者などしておりますが、 百年程遡れば、忍の者を配する大名の家の 生まれの者で。
戦争前は、その生き残りを使役し、 国内での戦いに従事しておりました。
その生き残りも、かなみ一人となり、 年からすれば少々早い引退を決意し、 医者となりました。
引退する前は、居合を。","Have I been exposed?
I am a doctor now, but I was born about a hundred years ago to a family of feudal lords who distributed shinobi.
Before the war, I was engaged in domestic warfare, using the survivors as my agents.
Kanami was the only survivor, and he decided to retire a little early considering his age, and became a doctor.
Before retiring, he practiced iai.","¿Me han descubierto?
Ahora soy médico, pero nací hace unos cien años en una familia de señores feudales con Shinobi.
Antes de la guerra, me dedicaba a la guerra doméstica, utilizando a los supervivientes de estas familias.
Kanami fue el único superviviente y decidió retirarse un poco antes de tiempo para su edad y se convirtió en médico.
Antes de retirarse, practicó el iai."
Yamamoto Akuji (talking),なーるほどな。 お大名様だったのか。 道理で浮き世離れしているとも思ったぜ。,I see. So you were a feudal lord. No wonder he was so out of touch with the world.,Ya veo. ¿Eras un señor feudal? No es de extrañar que estés tan desconectado del mundo.
Rou Baisei (talking),これでも、少しはマシに なったのですがね。,"This is still a little better, though.","Sin embargo, esto es un poco mejor."
Yamamoto Akuji (talking),ん……,N……,N……
narrator,"道場には、梅清が一人、黙想していた。
きんっと空気が張り詰めた瞬間、 梅清の手が素早く動き、刀の柄を握ると、 空気を斬った。","In the dojo, Baisei was alone in silent contemplation.
As soon as the air was tense, Baisei's hand moved quickly, gripped the hilt of his sword, and cut the air.","En el dojo, Baisei estaba solo en silenciosa contemplación.
En el momento en que el aire se tensó, la mano de Baisei se movió rápidamente, agarró la empuñadura de su espada y cortó el aire."
Yamamoto Akuji (talking),綺麗だな。,Beautiful.,Precioso.
Rou Baisei (talking),これは、山本殿。,This is Yamamoto-dono.,Este es Yamamoto-dono.
Yamamoto Akuji (talking),刀でそんなに綺麗に空気を斬る奴は 初めて見た。,I've never seen anyone cut the air so cleanly with a sword.,Nunca he visto a nadie cortar el aire tan limpiamente con una espada.
Rou Baisei (talking),"恐れ入ります。
あ……私に用事ですかな？","I'm sorry.
Ah…… you wanted to see me?","Lo siento, señor.
Ah…… ¿querías verme?"
Yamamoto Akuji (talking),あーまあ。,"Ah, well.","Ah, bueno."
Rou Baisei (talking),わかりました。 少々身だしなみを整えてから、 事務所に参ります。,I understand. I'll go to my office after I freshen up a bit.,"Bien, voy a tener unos minutos para refrescarme un poco. Iré a la oficina cuando me haya refrescado un poco."
Yamamoto Akuji (talking),おー、そーしてくれや。,"Oh, please do that.","Oh, hazlo."
 (talking),お待たせいたしました。,Thank you for your patience.,Gracias por su paciencia.
Yamamoto Akuji (talking),おう。,Oh.,Oh.
Rou Baisei (talking),失礼します、山本殿。,"Excuse me, Mr. Yamamoto.","Disculpe, señor Yamamoto."
Yamamoto Akuji (talking),おう。,Oh.,Oh.
Yamamoto Akuji (talking),これ、大した額じゃねーけど、 取っといてくんな。,"This ain't much, but keep it.","Esto no es mucho, pero guárdalo."
Rou Baisei (talking),これは…臨時給与ですか？,Is this…extra pay?,¿Esto es… una paga extra?
Yamamoto Akuji (talking),ああ。,Oh.,Oh.
Rou Baisei (talking),いえ、結構です。 月々に頂くお金で充分です。 お気持ちだけ頂いておきます。,"No, thank you. The money we receive monthly is sufficient. I will only accept your kindness.","No, gracias. El dinero que recibimos mensualmente es suficiente. Sólo aceptaré sus sentimientos."
Rou Baisei (talking),これでよし… しばらくすれば、腰の方はマシに なってくるでしょう。,There we go… my back will feel better in a while.,Ya está… después de un tiempo tu espalda se sentirá mejor.
roujin (talking),ありがとうございます… ありがとうございます……,Thank you… Thank you ……,Gracias… Gracias ……
shounen (talking),ありがとう、狼先生！,"Thanks, Dr. Rou!","¡Gracias, Dr. Rou!"
Rou Baisei (talking),これからも、お爺ちゃんを大事にな。,Keep taking care of your granddad.,Sigue cuidando de tu abuelo.
shounen (talking),"うん。
あの……","Yeah.
Um, ……","Mm.
Um……"
Rou Baisei (talking),お金ならいいよ。,Money is fine.,El dinero estaría bien.
shounen (talking),でもいつも、そーやってお金取らないから うち追い出されて、ここにきてんだろ…？,"But you always kicked me out of my house because I didn't take your money like that, and now you're here…?","Pero siempre me echabas de mi casa porque no aceptaba tu dinero de esa manera, así que viniste aquí…"
Rou Baisei (talking),そうだがね。,"Yes, but.","Sí, pero."
shounen (talking),あの…… これ、受け取ってよ。,That…… You should take this.,Que…… Deberías tomar esto.
__system__??,{I装備[48] = 99:,,
Rou Baisei (talking),いいのか？ 大事なものではないのか？,Is it good? Isn't it important?,¿Es bueno? ¿No es importante?
shounen (talking),いいんだ。 先生にあげるつもりでとっといたんだ。,It's okay. I saved it with the intention of giving it to the teacher.,No pasa nada. Lo guardé para dárselo al profesor.
Rou Baisei (talking),ありがとう。 ありがたく受け取るよ。,Thank you. I appreciate it.,Gracias. Lo aceptaré con gratitud.
__system__??,} else {,,
narrator,と、少年は梅清の手の上に、 年季の入ったベーゴマを置いた。,And the boy placed an old-fashioned BAEGOMA on Baisei's hand.,Y el chico colocó una bacoma antigua en la mano de Baisei.
Rou Baisei (talking),君の宝物じゃないか。 受け取れぬよ。,It's your treasure. I can't accept it.,Es tu tesoro. No puedo aceptarlo.
shounen (talking),いいんだよ。 オレが大人になって、 お金を稼いだ時にさ、交換してよ。,"It's okay. When I grow up and make some money, you can trade me.","No pasa nada. Cuando crezca y haga algo de dinero, puedes cambiarme."
Rou Baisei (talking),――わかった。 では預かっておくよ。,"--Okay, I'll leave it with you. I'll leave it with you then.",-Bien. Lo dejaré con usted entonces.
shounen (talking),うん！,Yeah!,¡Sí!
__system__??,},,
Rou Baisei (talking),参る――,I'm coming--,Voy a…
Rou Baisei (talking),ほら、これでいいぞ。,There you go.,Ahí lo tienes.
shounen (talking),ありがとう、先生。,"Thanks, Doc.","Gracias, doctor."
Rou Baisei (talking),これにこりたら、 もう木から落ちるんじゃないぞ。,"If you fall for this, don't fall out of the tree again.","Si caes en esto, no vuelvas a caer del árbol."
shounen (talking),うん。,Yeah.,Sí.
narrator,少年は嬉しそうに手を振って 去って行った。,The boy waved happily as he left.,El chico saludó alegremente mientras se marchaba.
