"character","jap text","Eng","Esp"
"__system__??","{麦 = 1:","",""
"__system__??","{☆麻薬戦争 < 10:","",""
"__system__??","}","",""
"__system__??","{☆麻薬戦争 = 11:","",""
"__system__??","}","",""
"__system__??","{☆麻薬戦争 = 10:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 3:","",""
"__system__??","}","",""
"__system__??","{麦 = 10:","",""
"__system__??","}","",""
"__system__??","{麦 = 11:","",""
"__system__??","}","",""
"__system__??","{麦 = 13:","",""
"__system__??","}","",""
"__system__??","{麦 = 15:","",""
"__system__??","}","",""
"__system__??","{麦 = 16:","",""
"__system__??","}","",""
"Suteki Ishi (talking)","きへ……けへへ。 ぼ、ぼぼぼ、ボス、呼んだがか？","Kihe…… kehehe. bo bo bo bo, boss, did you call me?","Kihe…… kehe. Bo-Bo-Bo-Bo, jefe, ¿me has llamado?"
"Yamamoto Akuji (talking)","おう、確かに呼んだが……………… しっかし、相変わらずくせーなお前。","Oh, I sure called you on it, but ……………… But hey, you're still a stinker.","Oh, te llamé, pero ……………… Pero sigues siendo un apestado."
"Suteki Ishi (talking)","そ、そそ、そんな事ないがよ。 先週、香水も使ったきね。","Oh, no, no, no, no, no, no, no. I used perfume last week.","Sí, sí, no, pero eso no es cierto. Usé perfume la semana pasada."
"Yamamoto Akuji (talking)","先週って、おめー……","Last week, you're talking about ……","La semana pasada, dices……"
"Suteki Ishi (talking)","ほれ、くんくん、くんくんくん……
 ……はあ、うっとりするがよ…… ええ匂いながよ、へけけけけけ……","Here, kun kun kun kun kun ……","Aquí, kun kun kun ……"
"Yamamoto Akuji (talking)","………………","………………","………………"
"Suteki Ishi (talking)","で、ボス、おらぁに何の用なが？ 街に麻薬でもばらまくがか？","So, boss, what do you want from me? Are you going to spread drugs in the city?","Entonces, jefe, ¿qué quiere de mí? ¿Vas a propagar las drogas en la ciudad?"
"Yamamoto Akuji (talking)","せんでいい。","You don't have to do this.","No es necesario."
"Suteki Ishi (talking)","ほ、ほしたら、んー………………","Ho, ho, ho, hmm ………………","Ho, ho entonces, hmm ………………"
"Yamamoto Akuji (talking)","もういい、帰れ。臭いから。","That's enough, go home. You stink.","Es suficiente, vete a casa. Apesta."
"Suteki Ishi (talking)","ひひ……そう言わんともっと話すがよ。 ひけ、へけ、けけけけけけけけけ……","Hihi…… don't say so or I'll tell you more. Hike, heke, heke, heke……","Hihi…… no lo digas, habla más, pero… Hike, heke, heke, heke……"
"Suteki Ishi (talking)","きけへへへへへへへ。 ぼ、ぼぼぼ、ボス、いい話があるがよ。","Kike heh heh heh heh heh. B-b-b-b-but, boss, I have a good story to tell you.","Kike heh heh heh heh. Bla, bla, bla, jefe, tengo una buena historia que contarte."
"Yamamoto Akuji (talking)","……おめーがまともな話をするとも 思えねーがな、言ってみな。","…… I don't even think you have a real story to tell, but go ahead and tell it.","…… Ni siquiera creo que estés hablando claro, sólo dilo."
"Suteki Ishi (talking)","こ、こないだおクスリ作ってたがよ。 そしたら……けけけけけけけ。","I was making some drugs the other day. And then…… Kekekekekekeke.","El otro día estaba haciendo drogas. Entonces fui a…… Kekekekekekeke."
"narrator","素敵医師は笑いながら、悪司に薬瓶を手渡した。","Suteki Ishi laughed and handed the medicine bottle to Akuji.","Suteki Ishi se rió y le entregó el frasco de medicina a Akuji."
