character,jap text,Eng,Esp
__system__??,{麦 = 1:,,
__system__??,{☆かなみ = 0:,,
__system__??,},,
__system__??,{☆かなみ = 2:,,
__system__??,},,
__system__??,{RND = 1:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 3:,,
__system__??,},,
__system__??,{麦 = 5:,,
__system__??,},,
 (talking),ふーん、部下になると、こんな風に 呼ばれたりするんだ。,"Hmmm, when you become a subordinate, you are called like this.","Hmmm, cuando eres un subordinado, te llaman así."
Yamamoto Akuji (talking),おう。 遅かったな。,Oh. You're late.,Oh. Llegas tarde.
Kentou Kanami (talking),だって、学生だもん。,Because I'm a student.,Porque soy estudiante.
Yamamoto Akuji (talking),"んだけど、こっちの仕事もおろそかに してもらっちゃ困るからな…そーだなー…
よし、こうする。
遅れたら、罰金を取る。","But we can't have you neglecting our work, too.
Okay, here's what I'll do.
If you're late, I'll fine you.","Pero no podemos permitir que descuides nuestro trabajo también… ¿verdad?
Bien, esto es lo que haré.
Si llegas tarde, te multaré."
Kentou Kanami (talking),何それ。 おうぼー！,What's that? Oh boo!,"¿Qué es eso? ¡Oh, boo!"
Yamamoto Akuji (talking),ん……？,Hm ……?,Hmm ……?
narrator,少し賑やかな声が、 事務所の玄関から聞こえた。,A little buzzing could be heard coming from the front door of the office.,Se oyó un pequeño zumbido procedente de la puerta del despacho.
joshigakusei (talking),そーなの。 おっかしいでしょー？,That's right. Isn't that funny?,Así es. ¿No es divertido?
Kentou Kanami (talking),うん、何それー。 信じられないよー。,"Yeah, what's that? I can't believe it.","Sí, ¿qué es eso? ¡No puedo creerlo!"
Yamamoto Akuji (talking),こりゃ。,Holy cow.,Kohli.
Kentou Kanami (talking),きゃっ… なんだ、山本さん。 びっくりさせないでよ。,"What, Mr. Yamamoto? You scared me.","¿Qué, señor Yamamoto? No me asustes."
Yamamoto Akuji (talking),玄関前でたむろってんじゃねーよ。 邪魔だっつーの。,Don't hang out in front of the entrance. You're in my way.,No te quedes delante de la puerta. Estás en el camino.
Kentou Kanami (talking),ちょっとぐらいいいじゃん…,It's okay if it's just a little bit…,¿Por qué no me das un poco de…
narrator,悪司はかなみを待っていた。,Akuji was waiting for Kanami.,Akuji estaba esperando a Kanami.
Kentou Kanami (talking),はあっ…はあっ… ごっ…ごめんなさい… 遅くなっちゃった……,Ha… ha… ha… go… sorry… I'm late… ……,Ja… ja… ja… vaya… lo siento… siento llegar tarde……
Yamamoto Akuji (talking),ぶぶーーーーーーーーーー。,Booobooooooooooo.,Buubuuuuuuuuuuuuuuu.
Kentou Kanami (talking),な、何！？,"What, what!","¡Qué, qué!"
Yamamoto Akuji (talking),遅刻でーーーーーーーーす。,Laaaaaaaaaaaaate.,Taaaaaaaaaaaaarde.
Kentou Kanami (talking),だ、だって……,Because ……,Porque ……
Yamamoto Akuji (talking),罰金、１０万円だーーーーーーーーー。,"The fine, 100,000 yeeeeeeen!","Multas, 100.000 yeneeeeeeeeees."
Kentou Kanami (talking),いやーーーーーーー！！！,Noooooooooooo!!!!,¡Noooooooooo!
Kentou Kanami (talking),ただいまー。,I'm home.,Estoy en casa.
Yamamoto Akuji (talking),おう、おかえり。,"Oh, welcome back.","Oh, bienvenido de nuevo."
Kentou Kanami (talking),今日は間に合ったね。,I made it today Tane.,Lo hice hoy Tane.
Yamamoto Akuji (talking),………ちっ……,……… damn it ……,……… chit ……
Yamamoto Akuji (talking),おう、臨時で小遣いやるわ。 色々、物入りだろ？,"Oh, I'll give you an extra allowance. You've got a lot on your plate, don't you?","Oh, te daré una asignación extra. Tienes mucho que hacer, ¿no?"
