"character","jap text","Eng","Esp"
"__system__??","{麦 = 1:","",""
"__system__??","{☆郷田 = 2:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 3:","",""
"__system__??","}","",""
"gouda  shin (talking)","呼んだか？","Did you call me?","¿Los llamaste?"
"Yamamoto Akuji (talking)","ああ。 あのよー聞きたかったんだけど。
あんたどーして、そんな恰好してんだ？","Oh. Hey, I've been meaning to ask you.
Why are you dressed like that?","Ah. Oye, quería preguntarte.
 ¿Por qué estás vestido así?"
"gouda  shin (talking)","この姿の事か？","You mean this figure?","¿Te refieres a esta cifra?"
"Yamamoto Akuji (talking)","ああ。 着ぐるみじゃねーんだろ？","Oh. You're not wearing a costume, are you?","Oh. No llevas un disfraz, ¿verdad?"
"gouda  shin (talking)","俺は戦時中、 マッドサイエンティスト団体に 誘拐された。
そして、このような機械混じりの躰に 改造されたのだ。","I was kidnapped by a group of mad scientists during the war.
I was abducted by a group of mad scientists during the war, and altered into a body that was a mixture of machines, like this one.","Fui secuestrado por un grupo de científicos locos durante la guerra.
Entonces fui alterado en este cuerpo mezclado por la máquina."
"Yamamoto Akuji (talking)","かいぞー……","KAIZO ……","KAIZO ……"
"gouda  shin (talking)","そうだ、改造だ。 俺は改造人間なのだ。
このような躰にした奴らは 実験に継ぐ実験、改造に継ぐ改造。 俺の躰を弄んだ。
そうして、俺は強くなった事を 実感した、その日。 復讐を始めた。
奴らは俺以外にも改造人間を作り、 俺に対抗した。
奴らは子供まで実験材料にしようとした。 卑劣な奴らだった……","Yes, I'm a mod. I am an altered human being.
They made my body like this, experiment after experiment, modification after modification. They played with my body.
That day, I realized that I had become stronger. I turned my revenge on Hajime.
They made other modified humans to fight against me.
They even tried to use children as experimental material. They were despicable……","Sí, soy un mod. Soy un ser humano alterado.
Me hicieron así, experimento tras experimento, modificación tras modificación. Jugaron con mi cuerpo.
Así sentí que me fortalecí, ese día. He convertido mi venganza en Hajime.
Hicieron que otros humanos alterados lucharan contra mí.
Incluso intentaron utilizar a los niños como material de experimentación. Eran despreciables……"
"Yamamoto Akuji (talking)","で、そいつらは？","And those guys?","¿Y qué pasa con esos tipos?"
"gouda  shin (talking)","すべて倒した。 この俺の手で……
しかし、その後に残ったものは、 虚しさだけだった。
このような変わり果てた躰で家に 帰る事も叶わず……
俺は一人、採掘場で暮らしていたのだ。
俺はこの躰が朽ち果てるまで、 この戦闘能力が役立つ場所で戦い……
それによって与えられる賃金を 孤児院に寄付する事に決めたのだ。","I beat them all. With my own hands……
But all that was left was emptiness.
I couldn't even go home with such a ruined body……
I lived alone in the mining area.
Until my body was rotting away, I fought in places where my fighting skills would be of use ……
I decided to donate the wages I would earn to an orphanage.","Los vencí a todos. Con mis propias manos……
Pero todo lo que quedó después fue el vacío.
Ni siquiera podría volver a casa con el cuerpo tan cambiado……
Vivía solo en la zona minera.
Luché donde mis habilidades de lucha eran útiles…… hasta que mi cuerpo se pudrió.
Decidí donar el sueldo que me daría a un orfanato."
"Yamamoto Akuji (talking)","なるほどねー……","I see… ……","Ya veo……"
"gouda  shin (talking)","すまん、少し遅れた。","Sorry, I'm a little late.","Lo siento, un poco tarde."
"Yamamoto Akuji (talking)","何してたんだい？","What were you doing?","¿Qué estabas haciendo?"
