character,jap text,Eng,Esp
__system__??,{麦 = 1:,,
__system__??,{☆鴉丸羅喉 = 2:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 3:,,
__system__??,},,
narrator,悪司は、グリーン豆をぽりぽりと食べている。,Akuji is chomping on green beans.,Akuji está masticando judías verdes.
Karasuma Ragou (talking),美味そうに食べているな。,You're eating well.,Estás comiendo bien.
Yamamoto Akuji (talking),おう、美味いぜ。 食うか？,"Oh, it's delicious. You want some?","Oh, es delicioso. ¿Quieres un poco?"
Karasuma Ragou (talking),遠慮しておこう。 鳩ではないのでな。,I'll refrain from doing so. I'm not a pigeon.,"Me abstendré de hacerlo. No soy una paloma, sabes."
Yamamoto Akuji (talking),聞いていいか？,Can I ask you something?,¿Puedo preguntarte algo?
Karasuma Ragou (talking),どんな事かな？,What kind of things?,¿Qué significa?
Yamamoto Akuji (talking),"あんた、国家武道大会に優勝したん だったら、それなりに金も持ってる だろ？
それなのに、まだ、金が必要なのかい？","You won the National Martial Arts Competition, so you must have some money, right?
And you still need money?","Has ganado la competición nacional de artes marciales, así que debes tener algo de dinero, ¿no?
 ¿Y todavía necesitas dinero?"
Karasuma Ragou (talking),…………妹……,………… sister ……,………… hermana ……
Yamamoto Akuji (talking),ん？,Hmm?,¿Eh?
Karasuma Ragou (talking),"妹と……思い人を連れ、 ヨーロッパに行こうと思ってね。
国体で優勝して以来、スカウトだの マスコミだのに追いかけまわされて… ウンザリして、あの宿に逃げていたのだ。
ニホンを離れ、ヨーロッパのどこかに 城でも買い、そこで妹と思い人と三人で しばらくのんびりしたいと思ってね。","I was going to Europe with my sister and…… my thoughts.
Ever since I won the National Athletic Meet, I've been chased around by scouts and the media… I got fed up with it and ran away to that inn.
I wanted to leave Japan, buy a castle somewhere in Europe, and relax for a while with my sister and her boyfriend.","Pensé en coger a mi hermana y…… mis pensamientos e ir a Europa.
Desde que gané el campeonato nacional, me han perseguido los ojeadores y los medios de comunicación… Me harté de ello y me escapé a ese albergue.
Quería dejar Japón y comprar un castillo en algún lugar de Europa, donde pudiera relajarme un tiempo con mi hermana y su novio."
Yamamoto Akuji (talking),別に城なんか買わなくても……,You don't have to buy a castle……,No tienes que comprar un castillo……
Karasuma Ragou (talking),"そこで妹にドレスを着せてやり、 お姫様気分を味わわせて やりたかったのと…
そして、天蓋つきの真鍮のベッドに ゆう……
 ……………
ふっ……","I wanted to dress her up and make her feel like a princess.
And then I put her in a brass bed with a canopy and put her in a canopy bed with a brass bed with a canopy and put her in a canopy bed with a canopy.
 ……………
Phew ……","Así que quería vestirla y hacerla sentir como una princesa…
Y luego la puse en una cama de latón con dosel. Yuu ……
 ……………
Uf ……"
Yamamoto Akuji (talking),なんだよ、ゆうって。,"What's that, Yu?","¿Qué pasa, Yu?"
Karasuma Ragou (talking),いや……思い人をそのベッドに縛めて、 少々、ハードな遊びを体験したくてね。,"No,…… I just wanted to strap someone to that bed and experience a little hard play.",No…… quería experimentar un poco de juego duro atando mis pensamientos a esa cama.
Yamamoto Akuji (talking),……気の毒な思い人だ。,…… sorry to hear that.,…… Pobres almas.
Karasuma Ragou (talking),……そうかね？ 彼……いや、あれが、私を誘うのだがね…,"…… is that so? He…… No, that one, though, invites me to…","…… ¿Es así? Él…… No, ese, aunque me invita a…"
Karasuma Ragou (talking),私に何か？,What do you want from me?,¿Qué es para mí?
Yamamoto Akuji (talking),これ、城を買う資金の足しにでも してくんな。,You can use it to buy a castle or something.,Puedes utilizarlo para ayudar a financiar la compra del castillo.
narrator,悪司はまとまった金を羅喉に渡した。,Akuji gave a sum of money to Ragou.,Akuji dio una suma de dinero a Ragou.
Karasuma Ragou (talking),ありがとう。 城を買った暁には、君も招待しよう。,"Thank you. When I buy the castle, I'll invite you too.","Gracias. Cuando compre el castillo, te invitaré a ti también."
Yamamoto Akuji (talking),いや…遠慮するよ。 なんかイヤな予感がする。,No…thanks. I have a bad feeling about this.,No… no gracias. Tengo un mal presentimiento sobre esto.
narrator,悪司達は、キョウの遊郭跡地にきていた。,Akuji and his friends came to the site of the former brothel in Ky.,Akuji y su grupo habían llegado al sitio de un antiguo burdel en Ky.
Yamamoto Akuji (talking),こーいうとこも、料亭兼旅館に なっちまったんだなー。,This place has become a ryotei (Japanese-style restaurant) and ryokan (Japanese-style inn).,Este lugar también se ha convertido en un ryotei y ryokan.
Takega Satsu (talking),ウィミィのくされ政策の為だな。,That's for the Wime's wedge policy.,Por la política de cuñas de Wime.
Yamamoto Akuji (talking),ああ…もったいねーよなー。 ここでの雅ってのは味わえたのに。,Oh…what a waste! I could have enjoyed the elegance of this place.,"Oh… es un desperdicio, ¿no? Pude saborear la elegancia de este lugar."
narrator,悪司達はブツブツ言いながら、宿の中に入り、 目当ての泊まり客の名前をフロントに告げた。,"Akuji and his friends entered the inn, mumbling, and told the front desk the name of the guest they wanted to see.","Akuji y sus amigos entraron en la posada, murmurando, y dijeron a la recepción el nombre del huésped que querían."
Takega Satsu (talking),確か、今年の国家武道大会の 優勝者だったか。,I believe he was the winner of this year's National Martial Arts Competition.,Creo que fue el ganador de la competición nacional de artes marciales de este año.
Yamamoto Akuji (talking),ああ、そうだ。 鴉丸羅喉。,"Oh, yes. Karasuma Ragou.","Oh, sí. Karasuma Ragou."
Takega Satsu (talking),縁起の悪そうな名前だな。,That's an unlucky name.,Es un nombre desafortunado.
Yamamoto Akuji (talking),さっちゃん、俺達は人の事言えねーよ。,"Sacchan, we can't speak for others.","Sacha, no podemos hablar por los demás."
 (talking),ふーん…,Hmmm…,Hmm…
Karasuma Ragou (talking),客だと聞いたが、マスコミや、 国家のスカウトではなさそうだな。,"I'm told they're clients, but it doesn't sound like the media or state scouts.","Me han dicho que son clientes, pero no parece que los medios de comunicación o los exploradores estatales."
Yamamoto Akuji (talking),俺は、山本悪司。 オオサカからきた。 あんたが鴉丸羅喉か？,"My name is Yamamoto Akuji. I'm from Osaka, Japan. Are you Karasuma Ragou?",Me llamo Yamamoto Akuji. Soy de Osaka. ¿Eres Karasuma Ragou?
Karasuma Ragou (talking),ああ…そうだが？,"Oh… yes, but?","Sí… sí, ¿pero qué?"
Yamamoto Akuji (talking),俺は今、ある組とドンパチの最中でな。,I'm in the middle of a don't-know-what with a certain group.,Ahora mismo estoy en medio de una pelea de burros con una de las bandas.
Karasuma Ragou (talking),"別の意味でのスカウトか……
武道大会に優勝してしまってから、 なんだか色々とお声がかかってね… 多少、ウンザリしているのだが…","Scouting in a different way……
Since I won the martial arts tournament, I've been getting a lot of offers… and I'm getting somewhat fed up with it…","Un explorador en otro sentido……
Desde que gané el torneo de artes marciales, he recibido muchas ofertas… y estoy algo harto…"
Yamamoto Akuji (talking),同じスカウトでも、権力の犬とは ひと味違うぜ。,The same scout is not the same as a dog of power.,Los Scouts son diferentes a los perros del poder.
Karasuma Ragou (talking),どこがどう？,What's the point?,Dónde.
Yamamoto Akuji (talking),ギャラが。,Gala.,Gala.
Karasuma Ragou (talking),ほほう……,Hoho: ……,Hoho: ……
Yamamoto Akuji (talking),どうだい？ 俺の為に戦ってくんねぇか？,What do you think? Will you fight for me?,¿Qué te parece? ¿Lucharás por mí?
Karasuma Ragou (talking),"君の為に……ねぇ…
 ……ふっ…面白い… 一肌脱ぐとするか。","For you…… hey…
 ……Huff… faceHakuii… I'll give you a skinful.",Para ti…… hey……… Huh… caraHakuii… Te voy a dar un pellejo.
Yamamoto Akuji (talking),ありがたい。,Thanks.,Afortunadamente.
Karasuma Ragou (talking),ただ…少し待ってくれるか？ こちらも準備があるのでね。 いいか？,Just… can you give us a minute? We have some preparations to make. Okay?,Sólo… ¿puede darnos un minuto? Nosotros también tenemos que hacer algunos preparativos. ¿De acuerdo?
Yamamoto Akuji (talking),ああ。 じゃあ、ここにきてくんな。,Oh. Then don't come here.,Ah. Entonces no vengas aquí.
narrator,悪司は羅喉に奉仕青年団の住所の書かれた メモを渡した。,Akuji gave Ragou a note with the address of the service youth group.,Akuji entregó a Ragou una nota con la dirección de la organización juvenil de servicio.
Karasuma Ragou (talking),"ふむ…ミドリガオカか。 わかった。 行くとしよう。
ところで…その子は、君の妹さんか？","Hmmm…Midorigaoka. I see. I'll be on my way.
By the way…is that your sister?","Hmmm… los verdes embobados. De acuerdo, me iré. Vamos.
Por cierto… ¿es tu hermana?"
__system__??,{★愛 = 5:,,
Takega Satsu (talking),私は、これの妻だ。,I am the wife of this.,Soy la esposa de este.
Karasuma Ragou (talking),ほう……,Law ……,Ley: ……
Takega Satsu (talking),特に珍しくもあるまい。,This is not particularly unusual.,Esto no es particularmente inusual.
__system__??,},,
__system__??,{★愛 \ 5:,,
Takega Satsu (talking),私は、これの叔母だ。,I am the aunt of this.,Yo soy la tía de esto.
Karasuma Ragou (talking),ふむ……頑張り屋の父上のようで。,Hmmm…… seems like a hardworking father.,Hmmm…… Parece un padre trabajador.
Takega Satsu (talking),ああ… 必要以上にな。,Yeah… more than necessary.,Sí… más de lo necesario.
__system__??,},,
Karasuma Ragou (talking),ふっ…それでは、近いうちに。,"Phew…well, I'll see you soon.","Uf… bueno, nos vemos pronto."
Yamamoto Akuji (talking),ああ、待ってるぜ。,"Yeah, I'll be waiting.","Sí, estaré esperando."
Seinendan Jyoshi (talking),あ、悪司さん、悪司さん！ 大変です、大変です！,"Oh, Akuji, Akuji! Oh my God, oh my God!","¡Oh, Akuji, Akuji! ¡Oh, Dios mío, oh, Dios mío!"
Yamamoto Akuji (talking),な~にが~？,What the~?,¿Qué… qué?
Seinendan Jyoshi (talking),"こ、今年、国家武道大会で優勝した、 鴉丸羅喉さんが、そ、外に~~！！
テ、テレビで見た時から、 ファンだったんです~！ 悪司さん、知り合いだったんですかー！？","This year, the winner of the National Martial Arts Competition, Karasuma Ragou, is out there~!
I've been a fan of yours since I saw you on TV! You know Mr. Akuji?","¡Este año, Karasuma Ragou, el ganador de la Competición Nacional de Artes Marciales, está fuera~!
Soy una fanática desde que te vi en la televisión. Akuji, ¿os conocéis?"
Yamamoto Akuji (talking),ああ。 これから、うちで働いてくれるんだ。,Oh. You're going to work for us now.,Oh. Ahora vas a trabajar para nosotros.
Seinendan Jyoshi (talking),え、嘘、きゃー！！,"Eh, lie, kya!","¡Eh, mentira, kya!"
Yamamoto Akuji (talking),さっさと通してやってくんな。,Don't do it through quickly.,No vayas a hacerlo rápidamente a través de.
Seinendan Jyoshi (talking),は、はいーっ！,"Ha, yes!","¡Ja, sí!"
Karasuma Ragou (talking),中々、賑やかな職場だな。,It's a moderately busy place to work.,Es un lugar de trabajo moderadamente concurrido.
Yamamoto Akuji (talking),あんたの顔がそーさせてんだよ。,Your face makes it look that way.,Tu cara hace que lo parezca.
Karasuma Ragou (talking),ほう…それは悪い気はしないね。,Well…I don't feel bad about that.,Bueno… no es una mala sensación.
Yamamoto Akuji (talking),で、働いてくれるんだな？,And you'll work for me?,¿Y trabajarás para mí?
Karasuma Ragou (talking),ああ…よろしく頼む。,Yeah…nice to meet you.,Sí… encantado de conocerte.
narrator,羅喉は手にした薔薇で、花占いをしている。,Ragou is reading flowers with a rose in his hand.,"Ragou es una rosa en la mano, y está haciendo adivinación floral."
Karasuma Ragou (talking),好き…嫌い…好き……嫌い……,Like…dislike…like…… dislike ……,Me gusta… no me gusta… me gusta…… no me gusta ……
Peach Maid (talking),あの…誰か…お好きな方が いらっしゃるのですか？,Is there… someone… you like?,Um… ¿tienes… alguien que te guste?
Karasuma Ragou (talking),ああ…私にはそのような趣味は なかったが、彼が目覚めさせてくれた。,"Oh…I never had a taste for such things, but he awakened me.","Ah… nunca tuve gusto por esas cosas, pero me despertó."
Peach Maid (talking),えっ…？,Eh…?,¿Eh?
Peach Maid (thinking),い、今、彼って言わなかった？？ え、え、え、ひょ、ひょっとしてっ…,"Didn't you just say “he”? Uh, uh, uh, uh, uh, uh, what, what, what, what, what, what, what…","¿No acabas de decir él? Uh, uh, uh, uh, que… que… que… que eres… que… que… que… que… que…"
Peach Maid (talking),あ、あのっ…その人って、男の…,"Oh, um… that guy… that guy is a guy…","Oh, um… ese tipo… ese tipo es un tipo…"
Karasuma Ragou (talking),………………,………………,………………
