"character","jap text","Eng","Esp"
"__system__??","{麦 = 1:","",""
"__system__??","{☆アンリ < 30:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 2:","",""
"__system__??","{☆アンリ = 30:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 3:","",""
"__system__??","}","",""
"__system__??","{麦 = 5:","",""
"__system__??","}","",""
"Henri Pe (talking)","………………","………………","………………"
"Yamamoto Akuji (talking)","おう、きたか。","Oh, here you are.","Oh, aquí está."
"Henri Pe (talking)","……呼ばれて…くるなんて… 変な感じ……","……It's so weird to be called… to come… ……","……Es tan raro que me llamen… para venir… ……"
"Yamamoto Akuji (talking)","そーだな。","I guess so.","Sí."
"Arbehess (talking)","やれやれ…… 私まであなたの部下にされるとは……
正確には、","Good grief…… I didn't know they were going to make me your man too ……
To be exact.","Por Dios,…… no sabía que me iban a hacer tu hombre también……
Precisamente."
"Arbehess (talking)","様の僕ですけど…","I'm the one who's the “Mere Old Man…”…","Soy el tipo del…"
"Yamamoto Akuji (talking)","しっかしよお…エルベヘスが仲間に なったのはラッキーだと思うんだが、 腹の子がおっきくなったら、また…","Well… we're lucky to have Arbehess on board, but when the baby grows up, we'll have another…","Bueno… tenemos suerte de tener a Arbehess a bordo, pero cuando el bebé crezca, tendremos otro…"
"Henri Pe (talking)","……その時は…… 悪司がもっと強くなっているから… 問題ないよ……","…… then…… Akuji will be stronger… no problem ……","…… entonces…… Akuji será más fuerte… No hay problema ……"
"Yamamoto Akuji (talking)","おいおい…","Oh, come on…","Oye, oye…"
"Henri Pe (talking)","………信じてる……","I believe in……… ……","……… creer……"
"Yamamoto Akuji (talking)","………はいはい…… 困った嫁さんだ。","……… yes yes yes…… She's a troubled wife.","……… sí sí…… Es una esposa problemática."
"narrator","悪司が漫画を読んでいる。","Akuji is reading manga.","Akuji está leyendo un cómic."
"Henri Pe (talking)","……………呼んだ……？","I called…………… ……?","…………… llamado ……?"
"Yamamoto Akuji (talking)","おう。
アンリよぅ、周囲から浮いてるよーに 見えんだけど、大丈夫か？","Oh.
Hey Henri, you look like you're standing out from the crowd.","Oh.
Parece que estás flotando por encima de tu entorno, ¿estás bien?"
"Henri Pe (talking)","えっ……","Eh ……","Eh ……"
"Yamamoto Akuji (talking)","ベラベラ喋れとは言わねーけど、 もそっと、こう、繕って貰いてぇん だけど。","I'm not asking you to blabber, but I'd like you to fix things up a little bit.","No te pido que parlotees, pero me gustaría que arreglaras un poco las cosas."
"Henri Pe (talking)","………それ……は……
 ……私……悪司がいれば、 それで……いいから…","……… it…… is ………… if I ……Akuji, so…… just…","……… es…… es ………… si yo ……Akuji, así que…… sólo…"
"Yamamoto Akuji (talking)","………それじゃあ、 俺が困るつったら？","……… So what if I'm in trouble?","……… ¿Y qué pasa si tengo problemas?"
"Henri Pe (talking)","……………………
 ………頑張る…","…………………………… stubbornly…","…………………………… tercamente…"
"Yamamoto Akuji (talking)","アンリ、こっちこいや。","Henri, come here.","Henri, ven aquí."
"Henri Pe (talking)","…………はい…","………… Yes…","………… Sí…"
"Henri Pe (talking)","あの……何を？","That…… what?","Que…… ¿qué?"
"Yamamoto Akuji (talking)","自分で脱いでくんねーか。 まず…パンツだけ。","Why don't you take off your own clothes? First of all… just your pants.","¿Por qué no te quitas la ropa? Primero… sólo tus pantalones."
"Henri Pe (talking)","えっ………そ、それって……","What……… that, that's ……","¿Qué?……… Eso es ……"
"Yamamoto Akuji (talking)","そーいう事。","That's what I mean.","Eso es."
"Henri Pe (talking)","でも……まだ、日が出て……","But…… still, the sun is out and ……","Pero…… el sol todavía está fuera y ……"
"Yamamoto Akuji (talking)","嫌か？","You don't like it?","¿No te gusta?"
"Henri Pe (talking)","…………ううん……","…………un……","………… unun……"
"Yamamoto Akuji (talking)","だったら、ほら。","Then, look.","Entonces, mira."
"Henri Pe (talking)","う、うん……","Umm, yeah ……","Umm, sí: ……"
