character,jap text,Eng,Esp
__system__??,{RND \ 0:,,
narrator,悪司が新聞を読んでいるところに 智子がやってきた。,Akuji was reading a newspaper when Tomoko came in.,Akuji estaba leyendo el periódico cuando llegó Tomoko.
Yamamoto Akuji (talking),どうした？,What's up?,¿Qué pasa?
Kinugasa Tomoko (talking),あの…なんだか変な人が、悪司さんに お会いしたいといらっしゃってます…,Um…there's some strange person asking to see Mr. Akuji…,Um… hay una persona extraña aquí que quiere ver a Akuji…
Yamamoto Akuji (talking),変な奴？ 額からＢ２９を発射したり する様な奴か？,Weirdo? The kind of guy who fires B-29s out of his forehead?,¿Raro? ¿El tipo de hombre que lanza B-29s desde su frente?
Kinugasa Tomoko (talking),そういう意味の変では… その…なんだかこう…ねっとりと した目で、わたしを見たりとか…,"I mean, not in a weird way, but… you know… you look at me with these… sultry eyes… or something.","Quiero decir, no de una manera extraña, como… ya sabes… me miras con esos… ojos sensuales o…"
Yamamoto Akuji (talking),お前…そんなに自分が魅力的だと 思ってんのか？,You… you think you're so attractive?,Tú… ¿crees que eres tan atractiva?
Kinugasa Tomoko (talking),うっ…そ、そういう訳じゃ…,Well… that's not why I…,Eso no es… no es por eso…
Yamamoto Akuji (talking),とりあえず、入れろ。 気持ち悪かったら 追い出せばいーんだし。,"Let them in for now. If you feel uncomfortable, just kick them out.","Mientras tanto, déjelos entrar. Y si te sientes incómodo, échalos."
Kinugasa Tomoko (talking),は、はい、わかりました…,"Ha, yes, okay…","Ja, sí, vale…"
__system__??,},,
__system__??,{RND = 0:,,
narrator,悪司が新聞を読んでいるところに 青年団女子がやってきた。,Akuji was reading a newspaper when Seinendan Jyoshi arrived.,Akuji estaba leyendo un periódico cuando llegó Seinendan Jyoshi.
Yamamoto Akuji (talking),どうした？,What's up?,¿Qué pasa?
Seinendan Jyoshi (talking),あの…なんだか変な人が、悪司さんに お会いしたいといらっしゃってます…,Um…there's some strange person asking to see Mr. Akuji…,Um… hay una persona extraña aquí que quiere ver a Akuji…
Yamamoto Akuji (talking),変な奴？ 額からＢ２９を発射したり する様な奴か？,Weirdo? The kind of guy who fires B-29s out of his forehead?,¿Raro? ¿El tipo de hombre que lanza B-29s desde su frente?
Seinendan Jyoshi (talking),そういう意味の変では… その…こう、雰囲気が もう…普通の人でなくて…,"I mean, not in a weird way… but in a… in a… in a way that's… not normal…","Quiero decir, no en una… en una forma rara, sino en una… en una… en una forma que no es… normal…"
Yamamoto Akuji (talking),とりあえず、入れろ。 気持ち悪かったら 追い出せばいーんだし。,"Let them in for now. If you feel uncomfortable, just kick them out.","Mientras tanto, déjelos entrar. Y si te sientes incómodo, échalos."
Seinendan Jyoshi (talking),は、はい、わかりました…,"Ha, yes, okay…","Ja, sí, vale…"
__system__??,},,
Tamanegi (talking),無事帰国、おめでとうございます。 若。,Congratulations on your safe return home. Young Master.,Enhorabuena por su regreso a casa sano y salvo. Joven Maestro.
Yamamoto Akuji (talking),タマネギ！？,Tamanegi!,¡Tamanegi!
Tamanegi (talking),帰国なさって、驚いたでしょう。 わかめ組があんな事になって しまっていて。,You must have been surprised when you came back to Japan. I was surprised to see what had happened to the Wakame group.,Te habrás sorprendido al volver a casa. El grupo Wakame se ha convertido en un desastre.
Yamamoto Akuji (talking),"おう。 親父も死んじまったらしい上に、 お蘭の馬鹿が…
 …考えただけで、むかっぱらがたつぜ。","Oh. My dad's dead, too, apparently, and that idiot  Ran…
I'm getting angry just thinking about it.","Oh. Mi padre también está muerto, aparentemente, y ese idiota  Ran…
Me enfado sólo de pensarlo."
Tamanegi (talking),そうですね、あの組は、温厚な元組長と 暴れっぷりのいい若とで均衡を保って いた場所ですし。,"Yes, that clan was a place where the balance was maintained between a mild-mannered ex-gumi leader and a rampaging young man.","Sí, ese clan era un lugar en el que se mantenía el equilibrio entre el antiguo líder de modales suaves y el joven alborotador."
narrator,タマネギはそう言って、カシリと 生のまま、タマネギを齧った。,"Tamanegi said so and took a bite of Tamanegi, raw with kashiri.","Tamanegi dijo esto y mordió a Tamanegi, crudo, con un kashiri."
Yamamoto Akuji (talking),う……,U……,U……
Tamanegi (talking),どうしました？,What's wrong?,¿Qué pasa?
Yamamoto Akuji (talking),いや…俺はお前の事が嫌いじゃないが、 そのタマネギ丸齧りを見ると、どうも…,"No I don't hate you, but that Tamanegi round gnawing on my face is just…","No… no es que no me gustes, pero todo ese asunto de Tamanegi, es que…"
Tamanegi (talking),ふふふ…,Hmmm…,Hmmm…
Yamamoto Akuji (talking),しかし、どうした？ お前がここにくるなんて。,But what's the matter? I can't believe you came here.,¿Pero qué pasa? No puedo creer que estés aquí.
Tamanegi (talking),若がここにいらっしゃると 聞きまして。,I heard that the Young Master is here.,He oído que Joven Maestro está aquí.
Yamamoto Akuji (talking),"お前は、わかめ組風俗部の 専属調教師じゃねーか。
それが、俺がここにいると聞いて、 どうして…","You're the exclusive trainer of the Wakamegumi sex club, aren't you?
So when you heard I was here, how did you…","Eres el entrenador exclusivo del club de sexo Wakame-gumi, ¿verdad?
Por eso, cuando escuchaste que estaba aquí, tú…"
Tamanegi (talking),お蘭姐さんが、その風俗部を 閉鎖してしまいまして。,Miss  Ran has closed down her sex club.,La señorita ORan ha cerrado su departamento de aduanas.
Yamamoto Akuji (talking),あの馬鹿大年増。 一番実入りのいい部門を閉鎖したのか。,That big old fool. Did they close down the most profitable department?,Ese viejo idiota. Ha cerrado el sector más rentable.
Tamanegi (talking),"はい。 なんでも、ウィミィの新体制の 為だとか。
ウィミィが女性の躰を売り物に するなどとんでもないと…","Yes. It is for the new organization of Wime.
It's outrageous that Wime is selling women's bodies…","Sí. Se trata de la nueva estructura de Wime.
Es indignante que Wime esté vendiendo cuerpos de mujeres…"
Yamamoto Akuji (talking),奴らそんな事にまで 口出ししやがるのか。,They even meddle in such things?,¿Incluso se meten en estas cosas?
Tamanegi (talking),それでわたくし、失業してしまった 訳です。,That is why I lost my job.,Por eso perdí mi trabajo.
Yamamoto Akuji (talking),そうだったのか。,I didn't think so.,Lo era.
