"character";"jap text";"Eng";"Esp"
"__system__??";"{麦 = 1:";"";""
"__system__??";"{☆ベラドンナ < 10:";"";""
"__system__??";"}";"";""
"__system__??";"{☆ベラドンナ = 12:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 2:";"";""
"__system__??";"{☆ベラドンナ = 11:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 3:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 4:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 5:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 10:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 11:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 12:";"";""
"__system__??";"{H愛欲 = 1:";"";""
"__system__??";"}";"";""
"__system__??";"{(H愛欲抵抗 <= H愛欲) * (H愛欲抵抗 \ 99):";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 13:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 15:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 16:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 18:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 19:";"";""
"__system__??";"}";"";""
"Yamamoto Akuji (talking)";"その、お前さんの腹のそれってよ。 ホントは男が入れるモンじゃ なかったっけ？";"You know, that thing in your belly…. I thought men were supposed to put them in.";"Ya sabes, esa cosa en tu vientre. Creía que las ponían los hombres."
"Belladonna (talking)";"刺青の事か。";"You mean tattoos.";"Tatuajes."
"Yamamoto Akuji (talking)";"ああ。";"Oh.";"Oh."
"Belladonna (talking)";"これは、私が戦ってきた証だ。
 ……本当は自由を得る為に戦う証であった のだが、ホワイトベアに、そして次は お前に支配されているのが実状だがな……";"This is the proof that I have been fighting for.
 ……Truly, it was a testament to my fight for freedom, but the truth is that White Bear, and then you, have taken control of me……";"Esta es la prueba por la que he luchado.…… Fue realmente una prueba de mi lucha por la libertad, pero la verdad es que Oso Blanco, y luego tú, se han apoderado de mí……"
"Yamamoto Akuji (talking)";"あんたはあんただ。 俺の所有物じゃねーよ。";"You are you. I don't own you.";"Tú eres tú. No soy tu dueño."
"Belladonna (talking)";"………………";"………………";"………………"
"Yamamoto Akuji (talking)";"なんだい？";"What is it?";"¿Qué es?"
"Belladonna (talking)";"ホワイトベアと同じ事を言うと思って。";"Thought I'd say the same thing as White Bear.";"White Bear y pensé en decir lo mismo."
"Yamamoto Akuji (talking)";"…………けっ。";"………….";"Disponible en: …………."
"Belladonna (thinking)";"近親憎悪というやつか…？";"Is it called kinship hatred…?";"¿Se llama odio a los parientes…?"
"Belladonna (talking)";"…………";"…………";"…………"
"Yamamoto Akuji (talking)";"おう、ここにはもう慣れたか？";"Oh, are you used to this place yet?";"¿Ya te has acostumbrado a este lugar?"
"Belladonna (talking)";"ここ……ホワイトベアも住んでいたのか？";"Did you live here ……White Bear too?";"¿También vivió aquí ……White Bear?"
"Yamamoto Akuji (talking)";"いんや。 じーさんの家だったとこは、 ここじゃねぇ。";"No. This isn't where Grandpa used to live.";"No. Aquí no es donde vivía mi abuelo."
"Belladonna (talking)";"……………";"……………";"……………"
"Yamamoto Akuji (talking)";"なんだ、じーさんにまだ未練があるのか。";"What, you still have lingering feelings for Ji-san?";"¿Qué? ¿Todavía no te has dejado impresionar por Ji-san?"
"Belladonna (talking)";"感傷だろう。";"It must be sentimentality.";"Sería sentimental."
"Yamamoto Akuji (talking)";"ふーん。";"Hmmm.";"Hmmm."
"Yamamoto Akuji (talking)";"おう。";"Oh.";"Oh."
"Yamamoto Akuji (talking)";"奥の部屋にきてくんな、ベラドンナ。";"Don't come in the back room, Belladonna.";"No entres en la habitación de atrás, Belladonna."
"Belladonna (talking)";"……………";"……………";"……………"
"Yamamoto Akuji (talking)";"聞こえたろ？ 何してんだよ。 ほら。";"You heard me. What are you doing? Here.";"Ya me has oído. ¿Qué estás haciendo? Voilà."
"Belladonna (talking)";"私の事はほうっておいてくれ。 お前の言う事ならきく。 戦うから…";"Leave me alone. I'll do whatever you say. I'll fight…";"Dejadme en paz. Haré lo que tú digas. Lucharé…"
"Yamamoto Akuji (talking)";"口ではそー言ってても、 躰はなんて事はよくある事だ。
俺はそこまでお前さんを 信用してねーんだから、 こうして縛るのは当たり前なんだよ。";"It's not uncommon for people to say so, but their bodies are not.
I don't trust you that much, so it's only natural that I tie you up like this.";"Lo dices con la boca, pero pasa mucho con el cuerpo.
No confío mucho en ti, así que es natural que te ate así."
"Belladonna (talking)";"っ……";"You can find out more at ……";"……"
"cg narrator";"「うっ……う~っ……！！」
 「こーして、ゆっくり入れられるのが 　好きなのか？」
 「っ……知っ……知らないっ…… 　あっ…んんっ！」
 「こんな時でも素直じゃねぇんだからよ… 　じーさんに抱かれた時は、どーだったのかねぇ」
 「ホワイトベアの話をっ…こんな時にするなっ…！」
 「そーかい、じーさんを思い出すと、 　濡れ方も変わってくるってか」
 「うああっ…！！」
 「あのじーさんに比べると、俺はまだまだガキで 　寛容じゃねえ」
 「俺の口からじーさんの名前が出てきても 　動揺しねーぐらい、俺の躰になじませてやるよ」
 「んっ…っぁぁ！！」";"”Ugh…… ugh ……!
 “Do you like it when I put it in you slowly like this?”
 “I don't…… know…… what you're doing!”
 “You're not so honest even at a time like this… how was it when your grandfather held you?”
Don't talk about White Bear at a time like this!
I see. So, when you remember your grandfather, you get wet differently.
Aah!
I'm still a little boy and I'm not as forgiving as my old man.
I'm going to make you so comfortable with my body that you won't be upset when I mention your grandfather's name.
 “Mmm… ah!";"¡Ugh…… ugh ……!
 “¿Te gusta que te la meta despacio, así?”
 “¡No sé…… lo que estás haciendo!”
Ni siquiera eres honesto conmigo cuando estoy así… ¿cómo fue cuando tu abuelo te abrazó?
 ¡No hables del Oso Blanco en un momento como este!
Ya veo… cuando recuerdas a tu abuelo, te mojas de forma diferente.
 ¡Ah!
Comparado con tu abuelo, sigo siendo un niño pequeño y no soy tan tolerante.
Voy a hacer que te sientas tan cómodo con mi cuerpo que no te molestes cuando mencione el nombre de tu abuelo.
 “¡Mngh… ahhh!”"
"Yamamoto Akuji (talking)";"さーて、脱いで貰おうか、ベラドンナ。";"Now, let's get you undressed, Belladonna.";"Ahora, vamos a desvestirte, Belladonna."
"Belladonna (talking)";"っ………";"You can find out more at ………";"………"
"Yamamoto Akuji (talking)";"そう、固くなるなよ。 一度やっちまったら、 後は同じだよ。";"Don't get so hard. Once you do it, the rest is the same.";"No te pongas tan duro. Una vez que lo haces, el resto es lo mismo."
"Belladonna (talking)";"それは、勝者の言い分だ。";"That's the winner's argument.";"Es un argumento ganador."
"Yamamoto Akuji (talking)";"御託はどーでもいいよ。 さあ、きな。";"I don't care what you say. Come on, come on.";"No me importa el oráculo. Vamos, vamos."
"Belladonna (talking)";"あっ…！！";"Ah…!";"¡Ah…!"
"Belladonna (talking)";"悪司は、ベラドンナを抱いた。";"Akuji embraced Belladonna.";"Akuji abrazó a Belladonna."
"Yamamoto Akuji (talking)";"捕虜の時はどーかわかんなかったん だけどよー、こーいうモン、 ほんと興味ない？";"I don't know how it was when I was a prisoner of war, but… aren't you really interested in this kind of thing?";"No sabía cómo era cuando era prisionero de guerra, pero… ¿no te interesan mucho este tipo de cosas?"
"Belladonna (talking)";"金か。 頂いておく。";"Money. I'll take it.";"Dinero. Me lo llevo."
"narrator";"ベラドンナは悪司が出した金を受け取った。";"Belladonna received money put up by Akuji.";"Belladonna recibió dinero pagado por Akuji."
"Yamamoto Akuji (talking)";"へー。";"Heh.";"Je."
"Belladonna (talking)";"……………";"……………";"……………"
"Yamamoto Akuji (talking)";"確か、ウィミィに土地を追われた、 アメリカンって種族だよな。
じーさん、そんなとこまで 行ってやがったのか。";"I think they're the Americans who were chased off their land by the Wime.
You've gone that far, old man.";"Creo que es la tribu americana que fue expulsada de sus tierras por Wime.
Has llegado hasta ahí, viejo."
"Belladonna (talking)";"……………";"……………";"……………"
"Yamamoto Akuji (talking)";"それに、綺麗な女だ。 じーさんにはもったいねぇ。";"And she's beautiful. She's too good for an old man.";"Y es hermosa. Es demasiado buena para un viejo."
"Belladonna (talking)";"ホワイトベアを愚弄するな。";"Don't taunt the White Bear.";"No te burles de los osos."
"Yamamoto Akuji (talking)";"なんだ、じーさん、ホワイトベア なんて呼ばれてるのか。";"What, Ji-san, White Bear, what are they called?";"¿Qué, Ji-san, Oso Blanco, cómo te llaman?"
"Yamamoto Akuji (talking)";"よう、元気か？";"Hey, how you doing?";"Hola, ¿cómo estás?"
"Belladonna (talking)";"このようなところに閉じこめられていて、 元気な訳がないだろう。";"How can they be well when they are locked up in a place like this?";"¿Cómo pueden estar bien si están encerrados en un lugar como éste?"
"Yamamoto Akuji (talking)";"反論する元気がありゃー、 ジョートーだ。";"If you have the energy to argue, jaw-dropping.";"Si tienes la energía para discutir, eres un boquiabierto."
"Belladonna (talking)";"……………";"……………";"……………"
"Yamamoto Akuji (talking)";"おめーさん、じーさんの女か？";"Are you your grandfather's woman?";"¿Eres la mujer de tu abuelo?"
"Belladonna (talking)";"そのような事、答える義務はない。";"Such things, you are not obligated to answer.";"Estos asuntos, no están obligados a responder."
"Yamamoto Akuji (talking)";"俺のやり方はよ、あん人に叩きこまれた。 あんたが口でなんと言おうと、躰に聞けば 一発でバレるんだけどよ。";"My way of doing things was drilled into me by Anjin. No matter what you say with your mouth, if you ask the body, they will know with Ippatsu.";"Mi forma de hacer las cosas me la inculcó Anjin. No importa lo que digas con la boca, si le preguntas al cuerpo, lo sabrán con Ippatsu."
"Belladonna (talking)";"まさか……";"No way……";"De ninguna manera……"
"Yamamoto Akuji (talking)";"まー、そのまさかだ。 じーさんの女だったんなら、 俺色に染め変える。";"Well, no way. If she was my grandfather's girl, I'd dye her my own color.";"Bueno, de ninguna manera. Si fuera la chica de mi abuelo, la teñiría de mi color."
"Belladonna (talking)";"断る。";"Refuse.";"Desechar."
"Yamamoto Akuji (talking)";"そーはいかねぇ。
お前さんも、戦場に立つ女だったら、 負けたらどういう扱いを受けるかは、 覚悟してたはずだ。
俺に抱かれて貰う。";"That's not going to happen.
If you were a woman on the battlefield, you must have known how you would be treated if you lost.
You're going to be held by me.";"Eso no va a suceder.
Si eras una mujer en el campo de batalla, debías saber cómo te tratarían si perdías.
Vas a ser sostenido por mí."
"Belladonna (talking)";"断るっ…誰がっ…誰がっ！！";"I refuse… who… who… who!";"Me niego… quién… quién…"
"cg narrator";"「うあっ……」
 「あ、ああっ…」
 「く……あああっ…！！」";"”Uh-oh……”
Oh, oh…!
 “Oh, ah………!”";"'Uh-oh… ……'
 ¡Oh, oh…!”
 “¡Ku……ahhh…!”"
