character,jap text,Eng,Esp
__system__??,{麦 = 1:,,
__system__??,{☆大杉 = 0:,,
__system__??,},,
__system__??,{☆大杉 = 5:,,
__system__??,},,
__system__??,{RND = 1:,,
__system__??,},,
__system__??,{RND = 2:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 3:,,
__system__??,},,
Oosugi Tsuyoshi (talking),しかし、よく無事でご帰国 なさいましたな、若。,"But I am glad to see you return safely, young man.","Pero, ¿cómo volviste a salvo, joven?"
Yamamoto Akuji (talking),おう。 中々、苦労したけどな。,"Oh. It was a lot of work, though.","Oh. Sin embargo, ha sido muy duro."
Oosugi Tsuyoshi (talking),その苦労が、若のさらなる成長に 役立っているかと思います。,I hope that this hardship has been helpful for the further growth of young people.,Espero que estas dificultades hayan ayudado a los jóvenes a crecer más.
Yamamoto Akuji (talking),それはどーかなー。 やっぱ、戦地に比べたら、 こっちは天国だぜ。,"I'm not so sure about that. Compared to the war zone, this is heaven.","No estoy tan seguro de eso. Comparado con la zona de guerra, esto es el cielo."
Oosugi Tsuyoshi (talking),そうでございますか。,Is that so?,¿Es así?
Yamamoto Akuji (talking),ああ…向こうじゃ生きるか死ぬかの 選択肢っきゃなかったからな。,Yeah…it was life or death over there.,Sí… allí era una elección entre la vida y la muerte.
Oosugi Tsuyoshi (talking),本当にお疲れ様でした。,Thank you so much for your hard work.,Muchas gracias por todo su trabajo.
Oosugi Tsuyoshi (talking),ふっ！ ふっ！！,Phew! Phew!,¡Uf! ¡¡¡Uf!!!
narrator,大杉は、絞りこまれた躰から汗を吹き出し、 鍛練にはげんでいる。,"Oosugi is working hard, his sweat pouring out of his wrinkled body.","Oosugi se esfuerza en su entrenamiento, con el sudor brotando de su arrugado cuerpo."
Yamamoto Akuji (talking),あいからわず、精が出るな、大杉。,"As usual, you're very energetic, Oosugi.","Sin duda, eres un hombre de energía, Oosugi."
Oosugi Tsuyoshi (talking),これは若。 どうですか、若もご一緒に。,"This is Waka. How about you, young man, join us.","Esto es joven. ¿Qué tal si tú, joven, te unes a nosotros?"
Yamamoto Akuji (talking),いや、いい。 今日は別の話できた。,"No, thanks. We could talk about something else today.","No, gracias. Hoy podríamos hablar de otra cosa."
Oosugi Tsuyoshi (talking),お呼びですか、若。,"You wanted to see me, young man.","Querías verme, joven."
