"character","jap text","Eng","Esp"
"narrator","その老人は、山上から悪司の動向を 窺っていた。","The old man was watching Akuji's movements from the mountain.","El anciano observaba los movimientos de Akuji desde la cima de la montaña."
"Yamamoto Ippatsu (thinking)","ふん。 あいつはまだ、組を取り戻して いないのか、グズな奴じゃ。
まあよい。 思い上がっていたあいつには、 いい薬だ。
少しは苦労して、人間の器を 大きくすればいい。 このワシの様にの。
まったく、ウィミィもウィミィで、 何が女性上位だ。
上か下かなど言うのは、 まぐわう時と、博打だけで充分じゃ。 男も女も関係あるか。
さて、そろそろ行くか。
秘密遊郭のまさこさんが、今頃 濡れ濡れで、褥に転がっておる だろう、ワシ恋しさに。","Hmmm. He hasn't regained his pair yet, has he?
Oh well. It's good medicine for his hubris.
He should work a little harder and grow into a bigger human being. Like this eagle.
What's up with Wime, too?
The only time you should be talking about higher or lower is when you're in a fight, or when you're playing a game. What does it matter if you're a man or a woman?
Well, let's get going.
I'm sure Masako-san from the secret brothel is lying on the cushions soaking wet right now, missing me.","Hmm. Todavía no ha recuperado su par, ¿verdad?
Está bien. Es una buena medicina para su arrogancia.
Debería luchar un poco y hacer crecer una vasija humana. Como este águila.
 ¿Qué sentido tiene que una mujer sea superior a un hombre que además es un Wime?
Basta con decir quién es más alto y quién más bajo, sólo cuando estás en una pelea o cuando estás jugando un juego. ¿Qué importa si eres hombre o mujer?
Bueno, vamos a empezar.
Masako-san del burdel secreto debe estar ahora mismo tumbada en los cojines empapada, echándome de menos."
"Yamamoto Ippatsu (talking)","ハイヨー！！ シルバー！！","Hi-yo! Silver!","¡Hola! ¡¡Plata!!"
"narrator","老人は、そう叫ぶと愛機の エンジンを吹かした。","The old man exclaimed and blew the engine of his beloved plane.","El anciano gritó e hizo estallar el motor de su querido avión."
"narrator","その老人は、山上から悪司の動向を 窺っていた。","The old man was watching Akuji's movements from the mountain.","El anciano observaba los movimientos de Akuji desde la cima de la montaña."
"Yamamoto Ippatsu (thinking)","はてさて、あの悪司が、宛われた女と 仲良くするのかどうか…
しかし、殺はお前には過ぎた女。 あれの価値が、お前にわかって おるのかの？
 ………まあよい。 悪司が手折る事のない花になるのなら、 当初の予定通り、ワシが手折るまで。
どちらかというと、ワシにはその方が 都合がよいぞ。
さあ…どうする？ 悪司。","Now, let's see if that Akuji will get along with the woman he's addressed…
But Matsu is too much for you. Do you know the value of that?……… If Akuji will be a flower that I will never break, I will break it as I originally planned.
If anything, it would be more convenient for me.
So… what do you say? Akuji.","Ahora, a ver si ese Akuji se lleva bien con la mujer a la que se dirige…
Pero Satsu es demasiado para ti. ¿Sabes lo que vale?……… Bueno, bien. Si Akuji se convierte en una flor que nunca romperás, la romperé como estaba previsto.
En todo caso, es más conveniente para mí.
Ahora… ¿qué hacemos? Akuji."
"narrator","その老人は、山上から悪司の動向を 窺っていた。","The old man was watching Akuji's movements from the mountain.","El anciano observaba los movimientos de Akuji desde la cima de la montaña."
"Yamamoto Ippatsu (thinking)","やれやれ。取り戻すのに、 思ったより時間がかかったの。
もっとデキる男だと思っていたが…… ワシの教育不足じゃったかの？
アレの上達が早かったのは、 夕子に任せた閨（ねや）の技術ばかり じゃったからのぅ。
 ――まあ良い。 アレも、戦地から帰ってきたばかりで、 ボケているのやもしれん。
このワシの跡を継ぐ者として、 どこまで出来るか、見届けさせて 貰うぞ、悪司よ。","Oh, dear. It took me longer than I thought to get him back.
I thought he was a more capable man, but…… I didn't educate him well enough, did I?
He was improving so quickly because of all the bedroom skills he entrusted to Yuuko.
 --Well, that's all right. She just came back from the war, and she may be a bit dim-witted.
As my successor, let's see how far you can go, Akuji.","Oh, Dios. Me ha costado más de lo que pensaba recuperarlo.
Pensaba que era un hombre más capaz, pero…… no le he educado lo suficiente, ¿verdad?
Mejoró tan rápidamente gracias a todas las habilidades de alcoba que le confió a Yuuko.
 -Bueno, eso está bien. Acaba de regresar de la guerra y puede estar un poco apagada.
Como mi sucesor, déjame ver hasta dónde puedes llegar, Akuji."
"__system__??","{☆一発の女 = 2:","",""
"Aoba Youko (talking)","………………","………………","………………"
