character,jap text,Eng,Esp
__system__??,{麦 = 1:,,
__system__??,{★★殺 \ 0:,,
__system__??,{★★殺 = 1:,,
__system__??,},,
__system__??,{★★殺 = 2:,,
__system__??,},,
__system__??,},,
__system__??,{☆殺 = 4:,,
__system__??,},,
__system__??,{☆殺 = 6:,,
__system__??,},,
__system__??,{☆殺 = 1:,,
__system__??,},,
__system__??,{(☆殺 = 2) * (★わかめ組 = 3):,,
__system__??,},,
__system__??,{I装備[19] = 99:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 2:,,
__system__??,{★★殺 \ 0:,,
__system__??,{★★殺 = 1:,,
__system__??,},,
__system__??,{★★殺 = 2:,,
__system__??,},,
__system__??,},,
__system__??,{☆殺 > 4:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 3:,,
__system__??,},,
__system__??,{麦 = 4:,,
__system__??,},,
__system__??,{麦 = 5:,,
__system__??,},,
Yamamoto Akuji (talking),ん~……,Hmmm… ……,Hmmm… ……
Takega Satsu (talking),呼ばれたと聞いた。,I was told that I was called.,Le dijeron que le habían llamado.
Yamamoto Akuji (talking),ああ……呼んだ。,Yeah I called …….,"Sí, llamé a ……."
Takega Satsu (talking),……………,……………,……………
Yamamoto Akuji (talking),………………,………………,………………
Takega Satsu (talking),で？,And?,¿Y?
Yamamoto Akuji (talking),おう、おかえり。,"Oh, welcome back.","Oh, bienvenido de nuevo."
Takega Satsu (talking),うむ。 遅くなったな、すまん。,Mm-hmm. Sorry I'm late.,Mm. Siento llegar tarde.
Yamamoto Akuji (talking),いや、いーよ。 学生は学業が本分だ。,"No, that's okay. Students are supposed to do their schoolwork.","No, no, no. Los estudiantes deben hacer sus estudios."
Yamamoto Akuji (talking),…………………,…………………,…………………
Takega Satsu (talking),………………,………………,………………
Yamamoto Akuji (talking),ん~~~~……,N~~~~……,N~~~~……
Takega Satsu (talking),妻なのだから、抱いて良いのだぞ。,"You are my wife, you can hold her.","Eres mi esposa, puedes sostenerla."
Yamamoto Akuji (talking),………いい…いらね…,……… good… don't need…,……… bueno… no quiero…
Takega Satsu (talking),……そうか…,…… Well…,…… Bueno…
Yamamoto Akuji (talking),ようし。,Adoption.,Adjetivo.
Takega Satsu (talking),？,？,？
Yamamoto Akuji (talking),やるぞ、さっちゃん。 今日こそさっちゃんの処女を頂く。,"Let's do it, Sacchan. Today is the day I'm going to take your virginity.","Voy a hacerlo, Sacchan. Hoy es el día en que voy a tomar la virginidad de Sacchan."
Takega Satsu (talking),そのような…夕食か何かではないぞ…,Its not like… dinner or something…,No ese tipo de… cena o algo así…
Yamamoto Akuji (talking),いーから、ほれほれ。 部屋に行こう。,"Come on, come on, come on. Let's go to your room.","Muy bien, vamos, vamos, vamos, vamos. Vamos a tu habitación."
cg narrator,"「んっ！！」
 「くっ……こっ……このっ……」
 「たっ……頼む…待ってくれっ…… 　………まっ…まだっ……」
 「よっ…こっ…こうだったらどうだ？」
 「あああっ！！」
 「あ、危ない、さっちゃん、落ちる！」
 「っ……つぅ~……」
 「……駄目……かな？」
 「………………」
 「よぅし、今日はここまでだ…」
 「…………………」
 「気にすんなよ」
 「……………うむ……」","Unh!
Damn ……, you ……, you ……!
 “Oh…… please… wait…… ……… wait… Wait… ……
Yo… how about this?
Aah!
Oh, look out, Sacchan, you're falling!
 “Oh, ……, that's …….”
 “……, is it a bad ……?”
 “………………”
Okay, that's it for today…
 “…………………”
Don't worry about it.
 “…………… um ……”","¡Hmph!
Maldita sea…… esta ……
 'Oh…… por favor… espera…… ……… espera…' Espera… ……”
Yo… ¿qué pasa con esto… esto?
 ¡Aaah!
 ¡Oh, cuidado, Sachan, te estás cayendo!
 “Oh, ……, eso es …….”
 “……, ¿es un mal ……?”
 “……………….”
Bien, eso es todo por hoy…
 “…………………”
 “No te preocupes por eso”.
 “…………… um ……”"
Yamamoto Akuji (talking),する。,Do.,Hazlo.
Takega Satsu (talking),何を？,What?,¿Qué?
Yamamoto Akuji (talking),さっちゃんとする。 さあ、行くぜ。,I'll do Sacchan. Here we go.,Voy a hacer un Sacchan. Aquí está.
Takega Satsu (talking),唐突だ…唐突すぎるぞ、悪司。,"It's too abrupt… too abrupt, Akuji.","Es demasiado brusco… demasiado brusco, Akuji."
