"character";"jap text";"Eng";"Esp"
"__system__??";"{麦 = 1:";"";""
"__system__??";"{☆島本 = 1:";"";""
"__system__??";"}";"";""
"__system__??";"{☆島本 = 2:";"";""
"__system__??";"}";"";""
"__system__??";"{☆島本 = 3:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 3:";"";""
"__system__??";"}";"";""
"Shimamoto Jun (talking)";"お呼びですか？ 若。";"You wanted to see me? Young.";"¿Quería verme, señor? Joven."
"Yamamoto Akuji (talking)";"聞きそびれた事があったの 思い出してさ。";"I just remembered something I didn't get a chance to ask you.";"Recordé algo que no te pregunté."
"Shimamoto Jun (talking)";"どんな事でしょう？";"What is it about?";"¿De qué se trata?"
"Yamamoto Akuji (talking)";"お前さんがわかめ組を 抜けてきた理由だよ。";"That's why you left the Wakame group.";"Por eso dejaste el clan Wakame."
"Shimamoto Jun (talking)";"と、申されますと？";"What do you mean?";"¿Qué quieres decir?"
"Yamamoto Akuji (talking)";"今の俺は、わかめ組にいた時より、 羽振りが悪い。
戦争に出ていて、ウィミィの統治下に あるニホンの状態もよくわかって いない。
わざわざ安定を捨てて、 不安定の側につくには、 理由があるだろ？";"I am not as well off now as I was when I was in the Wakamegumi .
I am at war, and I don't really understand the state of Japan under the rule of Wime.
There must be a reason why you would leave stability to be on the side of instability, right?";"Ahora no estoy tan bien como cuando estaba en el grupo Wakame .
Estoy en guerra, y no entiendo muy bien la situación de Japón bajo el gobierno de Wime.
Debe haber una razón por la que estás dispuesto a renunciar a la estabilidad para estar del lado de la inestabilidad, ¿verdad?"
"Shimamoto Jun (talking)";"理由というものは、後からついてくる ものかもしれませんよ。";"Reasons may come later.";"Las razones pueden venir después."
"Yamamoto Akuji (talking)";"そーかもな。";"That may be so.";"Tal vez tengas razón."
"Shimamoto Jun (talking)";"ですから、理由をお聞きになるのは、 無駄な事かと。";"Therefore, I think it would be futile to ask you why.";"Así que sería inútil preguntarle por qué."
"Yamamoto Akuji (talking)";"そこが、人間のややこしい感情って やつでね。 しかも俺は頑固ときている。
理由は知っておきたいんだ。
なんせ、お前は金、地位、名誉、女。 どれにも興味がないときている。";"That's the complicated human emotion, you know. And I'm stubborn.
I want to know why.
After all, you are not interested in money, status, honor, or women. You are not interested in any of them.";"Esa es la complicada emoción humana. Y yo soy terco.
Quiero saber por qué.
Después de todo, no te interesa el dinero, el estatus, el honor o las mujeres. No me interesa ninguno de ellos."
"Shimamoto Jun (talking)";"若ですよ。";"Young.";"Joven."
"Yamamoto Akuji (talking)";"え？";"Huh?";"¿Eh?"
"Shimamoto Jun (talking)";"私が興味あるのは、若です。 理由はそれです。 それでは駄目ですか？";"What I am interested in is young. That is the reason. Is that not good enough?";"Me interesan los jóvenes. Esa es la razón. ¿No es suficiente?"
"Yamamoto Akuji (talking)";"それってーのは……";"I'm talking about ……";"Es decir: ……"
"Shimamoto Jun (talking)";"ご心配なく。 恋愛対象としてではないですから。";"Don't worry. It's not as a love interest.";"No te preocupes. No es como un interés amoroso."
"Yamamoto Akuji (talking)";"そうかい。 しかし、お前さんの、 かいかぶりじゃねーか？
俺は、お前さんの目に、 そんな風に映っているのかい？";"I see. But isn't that a bit of a poke in the eye for you?
Is that how you see me?";"De acuerdo. ¿Pero no es eso un poco de un golpe en el ojo para ti?
 ¿Es eso lo que parezco a tus ojos?"
"Shimamoto Jun (talking)";"はい。";"Yes.";"Sí."
"Yamamoto Akuji (talking)";"くすぐったい事を言ってくれるね。";"You tickle me.";"Me haces cosquillas."
"Shimamoto Jun (talking)";"恐れ入ります。";"Thank you very much.";"Lo siento."
"Yamamoto Akuji (thinking)";"……とか言いながら、やーっぱ １００％信用するってーのもなー…
スパイだったりしたら、 目もあてられねーなー。
んだけど、こいつの情報処理能力は 高い。
 ……俺が目当てっていうのもどこまで 本気か知らねーけど… まあ、使えるとこは使わねーと。";"I don't know if I'd trust 100% of what they say on ………
If he was a spy, I wouldn't be surprised.
I'm not sure how serious you are about me looking for you.
I don't know how serious he is when he says he's after…… me, but… well, we have to use him where we can.";"Quiero decir, puedes ir a…… y decir que confías en ellos al 100%, pero…
Si fuera un espía, ni siquiera sería capaz de mirarlo a los ojos.
Pero tiene una gran capacidad de procesamiento de información.
No sé hasta qué punto va en serio cuando dice que va a por mí ……, pero… bueno, tenemos que utilizarlo donde podamos."
"Shimamoto Jun (talking)";"お呼びですか、若？";"You wanted to see me, young man?";"¿Querías verme, joven?"
"Yamamoto Akuji (talking)";"一つ仕事をして欲しい。 わかめ組にいた頃からしていた お前の得意技だ。";"I want you to do one job. It's something you've done since you were in the Wakame group, something you're good at.";"Quiero que hagas un trabajo. Has estado haciendo esto desde que estabas en el clan Wakame, es tu especialidad."
"Shimamoto Jun (talking)";"部下の減給処理ですね。";"It's a process to reduce the pay of subordinates.";"Es un proceso por el que los subordinados reciben un recorte salarial."
"Yamamoto Akuji (talking)";"そうだ。 給料ってのは、なかなか減らす訳には いかねぇからな。
そこで、重箱の隅をつつくように、人の ミスを指摘して、給料の減額を納得させる お前の手腕を発揮して貰いたいんだがよ。";"That's right. Salaries can't be easily reduced.
So, I'd like you to show your skills by pointing out people's mistakes and convincing them to reduce their salaries, as if you were poking into a corner of a heavy box.";"Así es. Los salarios no se pueden reducir fácilmente.
Así que me gustaría que utilizaras tus habilidades para señalar los errores de la gente y convencerla de que se rebaje el sueldo."
