character,jap text,Eng,Esp
__system__??,{麦 = 1:,,
__system__??,{☆民華 = 31:,,
__system__??,},,
__system__??,{☆民華 < 30:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 2:,,
__system__??,{☆民華 = 30:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 3:,,
__system__??,},,
__system__??,{麦 = 5:,,
__system__??,},,
narrator,悪司は漫画を読んでいる。,Akuji is reading manga.,Akuji lee manga.
Haku Minka (talking),何読んでるの？,What are you reading?,¿Qué estás leyendo?
Yamamoto Akuji (talking),少女漫画。,Shoujo manga.,Manga para chicas.
Haku Minka (talking),うそ。,No kidding.,Mentiras.
Yamamoto Akuji (talking),うん。,Yeah.,Sí.
Haku Minka (talking),もう…呼ばれたって聞いたんだけど… なんだかこーいうのって不思議だね。,I've already heard… that I've been called… It's kind of strange how these things happen.,Ya he oído… que me han llamado… Es un poco extraño cómo suceden estas cosas.
Yamamoto Akuji (talking),そーか？,Really?,¿De verdad?
Haku Minka (talking),うん。 後、色々仕事の事とかもわかってきた…,Yeah. And I'm starting to understand a lot more about the job and stuff…,Sí. Y estoy empezando a entender mucho más sobre el trabajo y las cosas…
Yamamoto Akuji (talking),ショージキ、ひいてるのか？,"Shojiki, are you running down?","Shojki, ¿estás corriendo hacia abajo?"
Haku Minka (talking),うん……,Yeah ……,Sí……
Yamamoto Akuji (talking),でも、これが俺達の仕事だぜ。,"But this is what we do, man.",Pero esto es lo que hacemos.
Haku Minka (talking),………そう…だね……,……… so…right ……,……… tan… tan… ……
Haku Minka (thinking),"でも、それでも、しちゃいけない事と いい事ってのはあるのはわかったから…
いけない事を出来る限り 減らせるようにしよう、うん…","But still, I know there are good things and bad things…
I'll try to reduce the bad things as much as possible, yeah…","Pero aún así, sé que hay cosas buenas y cosas malas, así que…
Trataré de reducir las cosas malas lo más posible, sí…"
Yamamoto Akuji (talking),無理すんなよ。,Don't take it easy.,Tómatelo con calma.
Haku Minka (talking),うん、へーき。 大丈夫だよ。,"Yeah, okay. It's okay.","Sí, está bien. No pasa nada."
Haku Minka (talking),どしたの？ おなかすいた？,What's wrong? Hungry?,¿Qué pasa? ¿Tienes hambre?
Yamamoto Akuji (talking),いんや、顔を見たかっただけ。,"No, I just wanted to see your face.","No, sólo quería ver tu cara."
Haku Minka (talking),そんな始終見てなくっても……,Even if you don't look at that whole time……,Incluso si no miras ese tiempo……
Yamamoto Akuji (talking),飽きないからいーんだよ。,It's okay because I don't get tired of it.,Está bien porque no me aburro.
Haku Minka (talking),……………,……………,……………
Yamamoto Akuji (talking),照れんなよ。,Don't be shy.,No seas tímido.
Yamamoto Akuji (talking),………,………,………
Haku Minka (talking),どしたの？ なんかついてる？,What's the matter? Do I have something on me?,¿Qué pasa? ¿Tienes algo en la cabeza?
Yamamoto Akuji (talking),しようか。,Shall I do it?,Hagámoslo.
Haku Minka (talking),へっ？,Huh?,¿Eh?
Yamamoto Akuji (talking),さーてと。,"Well, let's see.","Bueno, veamos."
Haku Minka (talking),ひゃあっ！？,Hyah!,¡Hyah!
narrator,悪司は民華を抱きあげると、 そのまま部屋に向かった。,Akuji picked up Minka and went to her room.,Akuji recogió a Minka y se fue directamente a su habitación.
Haku Minka (talking),あ、あの、するって…,"Oh, um, I'll do…","Oh, um, haré…"
Yamamoto Akuji (talking),言葉のまんまだよ。 あんたを抱く。,It's just a word. I hold you.,Es sólo una palabra. Te sostengo.
Haku Minka (talking),ででででも、昨日だって…その…,But yesterday… well…,"Y, pero, ya sabes, incluso ayer… ya sabes…"
Yamamoto Akuji (talking),昨日したから、今日しなくていいなんて 誰が決めたよ。,"Who decided that because I did it yesterday, I don't have to do it today?","¿Quién ha decidido que porque lo hice ayer, no tengo que hacerlo hoy?"
Haku Minka (talking),山本さんが疲れちゃうっしょ？,"You'll get tired, won't you?","Yamamoto se cansaría, ¿no?"
Yamamoto Akuji (talking),いやいやまったくまったく。 あんたを抱いたら、さらに 元気１００倍って感じだからよ…,"No, no, no, no, no, no, no, no, no, no, no, no, no, no. I'm gonna be a hundred times more energetic when I hold you in my arms…","No, no, no, no, no, no, no, no, no, no, no, no, no, no, no. Me siento cien veces mejor cuando te abrazo…"
Haku Minka (talking),そ、そんな…,"Oh, no…","Oh, no…"
Yamamoto Akuji (talking),まったく…する前にはいつも 往生際の悪い人だな。,Totally… you're always so wayward before you do it.,En absoluto… siempre eres caprichoso antes de hacerlo.
Haku Minka (talking),んーっ！！,Mnh!,¡Mnh!
narrator,悪司は手っ取り早く、民華の口を唇で塞いだ。,Akuji quickly covered Minka's mouth with his lips.,Akuji cubrió rápidamente la boca de Minka con sus labios.
