"character","jap text","Eng","Esp"
"__system__??","{麦 = 1:","",""
"__system__??","{☆夕子 = 1:","",""
"__system__??","}","",""
"__system__??","{(☆夕子 = 2) * (★愛 = 1) * (★結婚 = 0):","",""
"__system__??","}","",""
"__system__??","{☆天才病院 = 1:","",""
"__system__??","}","",""
"__system__??","{☆のぞみ = 1:","",""
"__system__??","}","",""
"__system__??","{☆のぞみ = 2:","",""
"__system__??","}","",""
"__system__??","{☆のぞみ = 3:","",""
"__system__??","}","",""
"__system__??","{(☆のぞみ = 4) * (☆のぞみ \ 99):","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 2:","",""
"__system__??","{☆神原セックス = 0:","",""
"__system__??","}","",""
"__system__??","{☆悪司テクニック > 95:","",""
"__system__??","}","",""
"__system__??","{☆悪司テクニック > 50:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 3:","",""
"__system__??","}","",""
"__system__??","{麦 = 4:","",""
"__system__??","}","",""
"__system__??","{麦 = 5:","",""
"__system__??","}","",""
"Yamamoto Akuji (thinking)","夕子さん…か……","Yuuko… or ……","Yuuko… o ……"
