"character","jap text","Eng","Esp"
"narrator","オオサカ市の中心から少し離れた所に、 行政の中枢機関である市議会がある。
選挙による選ばれた市長を中心に １０名の議員と約７０名の公務員で 構成されている。","A short distance from the center of Osaka is the city council, the central administrative body of the city.
The city council consists of an elected mayor, 10 council members, and about 70 civil servants.","A poca distancia del centro de Osaka se encuentra el ayuntamiento, que es el órgano central de gobierno.
Está formado por un alcalde elegido, 10 concejales y unos 70 funcionarios."
"shigikaishokuin (talking)","あ、おかえりなさい。 お務めごくろうさまです。 今日は、どうして出動したんですか？","Ah, welcome back. Thank you very much for your duty. Why did you go out today?","Ah, bienvenido de nuevo. Muchas gracias por su deber. ¿Por qué te has presentado hoy?"
"chiankashokuin (talking)","ああ、ピーチマウンテンの要請で 重犯罪者を受け取りに行ってきたんだ。","Yeah, I went to pick up a felon at Peach Mountain's request.","Sí, fui a recibir a un delincuente a petición de Peach Mountain."
"shigikaishokuin (talking)","またＰＭですか。
そういえば最近、わかめ組からは そういった話をまったく聞かなく なりましたね。","Is it PM again?
Come to think of it, I haven't heard anything like that from the Wakame group latelyTane.","¿Es otra vez la PM?
Ahora que lo pienso, no hemos oído nada parecido del grupo Wakame recientemente Tane."
"chiankashokuin (talking)","そうだな。 わかめ組の穴を補う為に作られた 奉仕青年団は、素人の集団だし……","Yes, it is. The Service Youth Group, created to fill the holes in the Wakame group, is a bunch of amateurs……","Sí. El Grupo de Jóvenes de Servicio se creó para llenar los huecos del grupo Wakame. Es un grupo de aficionados……"
"narrator","　　［きぃーーーーーーー！！］","［Keeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee!]","［Keeeeeeeeeeeeeeeeeee!]"
"chiankashokuin (talking)","なんだ、このガラスをひっかくような声を 出しているのは？","What's with the glass-scratching voice?","¿Qué es eso de la voz que rasca el cristal?"
"narrator","二人が見た方で、別の職員が、 おばさんにつめよられていた。","They saw another staff member being chased by an aunt.","Se vio a dos personas, y otro miembro del personal fue manoseado por una tía."
"ten'in (talking)","ちょっと、私のパンティが最近盗まれて 困っているのよ！！ さっさとなんとかしてよ！！","Hey, my panties have been stolen recently and I'm in trouble! Do something about it!","¡Oye, me han robado las bragas recientemente y estoy en problemas! ¡Haz algo al respecto ahora!"
"shigikaishokuin (talking)","すみません、そういう件は、 地域管理組合の方へ……
えーと、あなたのお住まいの地域でしたら わかめ組が担当と……","I'm sorry, but you'll have to contact your local management association for that……
Well, if it's in your area, the Wakame group is in charge and ……","Lo siento, pero vamos a tener que remitirle a la asociación de gestión local ……
Bueno, si es en tu zona, la asociación Wakame se encarga y ……"
"ten'in (talking)","だから、そのわかめ組がろくに 治安維持をしてくれないから 文句を言っているんだよ！","That's why I'm complaining that this wakame group isn't doing a good job of maintaining public safety!","Así que me quejo porque ese grupo de wakame no está haciendo un buen trabajo para mantener el orden público."
"shigikaishokuin (talking)","はぁ……","Huh……","Huh……"
"ten'in (talking)","地域管理組合を監督するのが市議会の 大事な仕事じゃないのかい、まったく！","Isn't it the city council's important job to oversee the local management association?","¿No es la importante labor del ayuntamiento supervisar a las asociaciones de gestión local?"
"shigikaishokuin (talking)","は、はぁ……","Ha, ha ……","Ja, ja: ……"
"chiankashokuin (talking)","言っているそばから、わかめ組に対しての クレームか。","Is this a complaint against the Wakame group?","Al mismo tiempo que lo dices, haces una denuncia contra el grupo Wakame."
"shigikaishokuin (talking)","ＰＭと違って、わかめ組は今、 本当にひーひー状態なんですよ。","Unlike the PM, the Wakame group is in a really bad shape right now.","A diferencia de los PM, el grupo Wakame está ahora en un estado de salud realmente malo."
"chiankashokuin (talking)","その分、ああやってこの市議会に クレームが入ると……","That's why when a complaint is made to this city council like that, ……","Por eso, cuando se hace una denuncia a este ayuntamiento así: ……"
"shigikaishokuin (talking)","ほんと、しわ寄せって感じです。 困ったモンですよ、まったく…","It's really like a wrinkle. It's a real problem.","Es realmente como una arruga. Es un verdadero problema, realmente…"
"narrator","朝、１１時……今日も沢山の市民が市議会を 訪れていた。","In the morning, at 11:00 a.m……, many citizens were visiting the City Council today.","Por la mañana, a las 11:00…… muchos ciudadanos visitaron hoy el Ayuntamiento."
"shigikaishokuin (talking)","離婚の手続きですね。 えーと、はい、わかりました。","Divorce proceedings. Um, yes, I understand.","Procedimientos de divorcio. Um, sí, de acuerdo."
"wakaishufu (talking)","よかった……これであの駄目亭主を 捨てる事が出来るわ。","Thank goodness…… now I can dump that no good husband of mine.","Gracias a Dios, ……, ahora puedo deshacerme de ese marido inútil."
"shigikaishokuin (talking)","新しく実施された女性優遇政策により、 財産は貴女が９割で、旦那さんは １割の分配となります。
詳しい事は、向こうの窓口の担当が 説明いたしますので、この番号札を持って 向こうにお願いします。","Due to the newly implemented women's preferential treatment policy, you will receive 90% of the property and your husband will receive 10%.
The person in charge at the other end will explain the details, so please take this number card with you.","Según la nueva política de preferencia de las mujeres, tú recibirás el 90% de la propiedad y tu marido el 10%.
La persona encargada al otro lado le explicará los detalles, así que lleve consigo esta tarjeta numérica."
"wakaishufu (talking)","ホント、ありがたいわ。 ウィミィ様々だわ。","I really appreciate it. Wime is so diverse.","De verdad, gracias. Wime es un montón de cosas."
"shigikaishokuin (thinking)","………俺達、男にはたまんねぇけどな… 差別だよ……ああ……","……… We, men, can't get enough of it, though… It's racist…… Oh, ……","……… Nosotros, los hombres, no nos cansamos, sin embargo… Es racista…… Oh, ……"
"narrator","昼、１２時頃。 沢山の那古教信者が市議会にやってきていた。","Noon, around 12:00. Many Nakokyou followers came to the city council meeting.","Al mediodía, alrededor de las 12.00 horas. Muchos seguidores de Nakokyou habían acudido al Ayuntamiento."
"nakokyou  otoko (talking)","我らの那古神様に、地域管理組合の 免許を交付しなさい。
そして、ナンバとウメダを 支配させるのです。","Grant our Nakojin a local management association license.
And let him rule Namba and Umeda.","Conceder a nuestro Dios Nako una licencia para una asociación de gestión local.
Y que gobierne Namba y Umeda."
"shigikaishokuin (talking)","いえ、ナンバとウメダは、 わかめ組の管理地域でして……","No, Namba and Umeda are managed by Wakame group……","No, Namba y Umeda están gestionados por el Grupo Wakame……"
"nakokyou  otoko (talking)","さっさとしなさい。 でないと、天罰が落ちますよ。
あなただけでなく、 あなたの家族にまで及びますよ。","Get on with it. If you don't, damnation will befall you.
Not only you, but also your family will be punished.","Sigue con ello. De lo contrario, caerá la condena.
No sólo en usted, sino también en su familia."
"shigikaishokuin (talking)","いえ、だから……","No, so ……","No, así que ……"
"nakokyou  otoko (talking)","わかめ組の連中でしたら、 ナンバ、ウメダを管理してはいません。","If you are a member of the Wakame group, you do not manage Namba and Umeda.","Si es miembro del grupo Wakame, no gestiona Namba ni Umeda."
"shigikaishokuin (talking)","そうだとしても……","Even so, ……","Aun así: ……"
"nakokyou  otoko (talking)","ですから、交付なさい。","Therefore, deliver.","Por lo tanto, entregar."
"shigikaishokuin (talking)","ですから、地域管理組合の免許が……","So, the license of the regional management association is ……","Por lo tanto, la licencia de la asociación de gestión regional es ……"
"shigikaishokuin (thinking)","あ~もう、こいつら、いつもいつも、 同じ事ばっか言いやがって…
天罰って言葉も、何回聞かされたか… 落ちた事ないっつーの。 勘弁してくれよ、まったく~……
ああ~~…腹減った~……","Oh, my God, they keep saying the same thing over and over again…
How many times have I heard the word “damnation”… I've never fallen. Give me a break, for God's sake~……
Oh~…I'm hungry~……","Dios mío, siguen diciendo lo mismo una y otra vez…
Cuántas veces he escuchado la palabra “condenación”… Nunca he caído. Dame un respiro, por el amor de Dios~ ……
Ohhhhh… Me muero de hambre~……"
"Yamamoto Akuji (talking)","……………","……………","……………"
"narrator","悪司は、椅子をギコギコと鳴らしながら 考え事をしている。","Akuji is thinking while jiggling his chair.","Akuji está pensando, moviendo su silla."
"Yamamoto Akuji (thinking)","さーて、問題は、中途半端に善人な 市長のいる市議会だ。
確か、あの市長さんの残り任期は ２年………
うーん…… そんなにのんびりしたくねーなー…
いっそ、消すか？
 ………だけど、その後に選ばれた 市長の事がまた問題だ。 それじゃあ、いたちごっこだ。
こっちに都合のいい市長でないと、 話になんねーんだ…
 ……………
だったら…… 自分に都合のいい奴が市長になるように しむければいい。
という事は…… 今の市議会がなくなっちまえば いいって事だ。
うーーーん……
 …………","Now, the problem is the city council with the half-heartedly good mayor.
As I recall, that mayor has two years left in his term ………
Hmmm……… I don't want to take it that easy…
Should we just turn it off?
I'm sure he'll be in office in two years……… but then there's the matter of the elected mayor again. Then it's back to the drawing board.
We need a mayor who is good for us, or we ain't gonna talk…
 ……………
Then…… make sure that the mayor is someone who is good for you.
That means…… the current city council should go away.
Hmmm… ……
 …………","Ahora, el problema es el ayuntamiento, con su alcalde de medio pelo.
Si no recuerdo mal, a ese alcalde le quedan dos años de mandato ………
Hmmm……… No quiero tomármelo con tanta calma…
 ¿Lo apagamos por el momento?……… pero luego está el asunto del alcalde elegido de nuevo. Entonces es un cara o cruz.
Tenemos que tener un alcalde que sea bueno para nosotros, o no hablamos…
 ……………
Entonces…… tienes que asegurarte de que el alcalde es alguien que te conviene.
Eso significa…… que el actual ayuntamiento debe desaparecer.
Hmmm… ……
 …………"
"__system__??","{RND \ 0:","",""
"Yamamoto Akuji (talking)","島本。","Shimamoto.","Shimamoto."
"Shimamoto Jun (talking)","はい。","Yes.","Sí."
"Yamamoto Akuji (talking)","今の市議会をぶっつぶす方法って、 なんか知ってるか？","You know what would destroy the current city council?","¿Sabes lo que destruiría al actual Ayuntamiento?"
"Shimamoto Jun (talking)","どのような方法で？","In what way?","¿En qué sentido?"
"Yamamoto Akuji (talking)","俺のいう事をきく都合のいい奴が 市長になって欲しいんだ。","I want a convenient man who listens to me to be mayor.","Quiero que sea alcalde un hombre conveniente que me escuche."
"Shimamoto Jun (talking)","ありますよ。","Yes, there is.","Sí, lo hay."
"Yamamoto Akuji (talking)","教えてくれや。","Tell me about it.","Dígame."
