"character";"jap text";"Eng";"Esp"
"__system__??";"{麦 = 10:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 11:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 12:";"";""
"__system__??";"{H愛欲 = 1:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 13:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 15:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 16:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 18:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 19:";"";""
"__system__??";"}";"";""
"Nakayama Taeko (talking)";"あなたは……！";"You're at ……!";"Puede obtener más información en ……."
"Yamamoto Akuji (talking)";"おう。";"Oh.";"Oh."
"Nakayama Taeko (talking)";"母さん……母を…どこにやったの！？ わかってるのよ！！ あなたの仕業なんでしょ！！
返してっ……母さんを…… わたしを……前の普通の暮らしを 返してよっ…！！
どうして、わたしが、こんな… こんな目にあわなくちゃ いけないのよっ…！！
おうちに……おうちに帰して……";"Mom…… mother… where did you put my mother! I know! You did this to me!
Give me back my…… mother, give me back my…… normal life before…!
Why do I have to go through all this…!
Take me home…… Take me home……";"Mom…… madre… ¡dónde has puesto a mi madre! ¡¡¡Lo sé!!! ¡Tú me hiciste esto!
 ¡Devuélveme mi…… madre, devuélveme mi…… vida normal antes…!
 ¿Por qué tengo que pasar por esto… esto…?
Llévame a casa…… home……"
"narrator";"捕虜生活は、多恵子の精神にダメージを 与えているようだ。";"Life as a POW seems to have taken a toll on Taeko's psyche.";"La vida en cautividad parece haber hecho mella en la psique de Taeko."
"Nakayama Taeko (talking)";"……………";"……………";"……………"
"Yamamoto Akuji (talking)";"おう、どうした。 元気がねーじゃねぇか。";"Oh, what's the matter? You ain't in good spirits.";"¿Qué pasa? No estás de buen humor, ¿verdad?"
"Nakayama Taeko (talking)";"……して…";"Go to…… and…";"Visite…… y…"
"Yamamoto Akuji (talking)";"ん？";"Hmm?";"¿Eh?"
"Nakayama Taeko (talking)";"帰して…おうちに……こんな事…もう…… 悪かったです…
わたしが悪かったから…… もう…逆らわない…… 何も喋らないから……お願い……";"Let me go… home…… this… thing… already…… I'm sorry…
I'm sorry… I'm sorry……… I won't cross you anymore……… I won't say anything… please……… ……";"Déjame ir… a casa…… esta… cosa… ya…… Lo siento…
Lo siento porque soy malo…… No voy a… desobedecerte más…… No voy a decir nada…… por favor ……"
"narrator";"悪司は股の間に多恵子の躰を抱き入れた。";"Akuji held Taeko's body between his legs.";"Akuji sostuvo el cuerpo de Taeko entre sus piernas."
"Nakayama Taeko (talking)";"なっ……！？";"Hey, ……!";"¡Oye, ……!"
"Yamamoto Akuji (talking)";"可愛がってやるよ。 俺の言う事しかきけなくなるようにな。";"I'll take care of you. I'm going to make you do anything I say.";"Te pondré guapa. Voy a hacer que hagas todo lo que te diga."
"Nakayama Taeko (talking)";"いっ…いやーー！！ いやいやいや！！ 離して！！
だっ…誰かっ…… 誰か助けてっ……！！ いっ……
いやぁぁっ……！！";"I… no! No, no, no, no, no! Let go of me!
No… who……… someone help me… ……! Oh……
No! ……!";"Yo… ¡no! ¡No, no, no, no! ¡Suéltame!
No… que……… que alguien me ayude… ……! ¡Oh! ……
 ¡No! ¡……!"
"Nakayama Taeko (talking)";"多恵子は、悪司にこまされた。";"Taeko was turned into Akuji.";"Taeko fue cargado con Akuji."
"Nakayama Taeko (talking)";"……………";"……………";"……………"
"Yamamoto Akuji (talking)";"初めてじゃなかったんだな。";"It wasn't the first time, was it?";"No era la primera vez, ¿verdad?"
"Nakayama Taeko (talking)";"……………";"……………";"……………"
"Yamamoto Akuji (talking)";"ああ、そうか…… あんた、写真の男と バリバリやってたんだな。";"Oh, yeah…… You must've been doing pretty well with the guy in the picture.";"Oh, sí…… Has hecho un gran trabajo con el tipo de la foto."
"Nakayama Taeko (talking)";"…………";"…………";"…………"
"Yamamoto Akuji (talking)";"最近の若い子は、末恐ろしいねー…";"Youngsters these days are the end of the line…";"Los jóvenes de hoy en día son el final de la línea…"
"Nakayama Taeko (talking)";"……………";"……………";"……………"
"Yamamoto Akuji (talking)";"自分で脱ぐ方がいいかい？ それとも、俺が脱がせてやろうか？";"Would you prefer to undress yourself? Or do you want me to take it off for you?";"¿Prefieres desnudarte tú? ¿O prefieres que te desnude?"
"Nakayama Taeko (talking)";"……………";"……………";"……………"
"narrator";"多恵子は脅えながらも冷めた目で、 悪司を見る。";"Taeko looks at Akuji with frightened yet cold eyes.";"Taeko mira a Akuji con ojos asustados pero fríos."
"Nakayama Taeko (talking)";"……したら……解放してくれる…？";"If I go to ……, will you release ………?";"Si voy a ……, ¿darás de alta a ………?"
"Yamamoto Akuji (talking)";"まさか。";"No way.";"De ninguna manera."
"Nakayama Taeko (talking)";"……好きにしなさいよ…… 何をしても一緒なら…… 私もう、何もしない……";"…… do what you want…… If you do anything with me…… I won't do anything with you anymore ……";"…… haz lo que quieras…… si haces algo conmigo…… ya no haré nada contigo ……"
"Nakayama Taeko (talking)";"多恵子は、悪司に抱かれた。";"Taeko was embraced by Akuji.";"Taeko fue abrazado por Akuji."
"Yamamoto Akuji (talking)";"何か欲しいものはあるか？";"Anything you want?";"¿Qué quieres?"
"Nakayama Taeko (talking)";"…………
お母さん……
お母さんを……返して… お願い…";"…………
Return your mother ……
Return your mother to……… please…";"…………
Devuelve a tu madre ……
Devuelve a tu madre a……… por favor…"
"Yamamoto Akuji (talking)";"おいおい、同じ事を何度も言わせるなよ。 俺はお前さんのお袋さんの居所なんか 知らねーって。";"Hey, hey, don't make me say the same thing over and over again. I don't know where your mother is.";"Oye, oye, no me hagas decir lo mismo una y otra vez. No sé dónde está tu madre."
"Nakayama Taeko (talking)";"………………";"………………";"………………"
"Yamamoto Akuji (thinking)";"いいとこのお嬢ちゃんだから、 武道の心得は、学校の授業のみだろう。
部下になって戦うと向こうがいっても、 足手まといになるのは目に見えている。
この娘の看板は、市長の娘ってだけだ。 部下にしても役にたちそうにないな。 やめておこう。";"She is a nice young lady, and her martial arts training is probably limited to school lessons.
Even if she wants to fight for you, she's going to be a liability.
The only thing she has going for her is that she is the mayor's daughter. I don't think she'd be much use to me as a subordinate. Let's not do that.";"Es una joven agradable de buena familia, por lo que su entrenamiento en artes marciales se limita probablemente a las clases de la escuela.
Aunque quiera luchar como subordinada, es obvio que será un lastre.
Su única señal es que es la hija del alcalde. Incluso si la haces tu subordinada, no va a ser de ninguna utilidad. No hagamos eso."
"Yamamoto Akuji (thinking)";"市議会は俺の管轄下に入った訳だから、 なんとでも言えば、この娘を犯罪人と して、ひったてるのは可能だが……
まだ、使い道があるかもしんねーから、 治安課に引き渡すのは後でもいいか。";"Since the city council is now under my jurisdiction, I can, at the drop of a hat, turn this girl in as a criminal……
I may still have some use for her, so I can turn her over to the security division later.";"El ayuntamiento está ahora bajo mi jurisdicción, así que puedo decir lo que quiera y puedo acusarla de criminal……
Todavía podría tener algún uso para ella, así que puedo entregarla a los servicios de seguridad más tarde."
"Isuzu Imari (talking)";"ねえねえ、多恵子ちゃん。 今日のウィミィ語の宿題、 一緒にしない？";"Hey, hey, Taeko. Wanna do today's Wime homework together?";"Oye, oye, Taeko. ¿Quieres que hagamos juntos los deberes de Wime de hoy?"
"Nakayama Taeko (talking)";"うん、いいよ。 じゃあ、これお母……
きゃ~~~！";"Yeah, okay. Okay, here's my mom: ……
Kya~~!";"Sí, de acuerdo. Bien, aquí tienes, madre……
 ¡Kyaaaahhh!"
"Isuzu Imari (talking)";"た、多恵子ちゃん！？";"Ta, Taeko-chan!";"¡Taeko!"
"narrator";"顔を真っ赤にし、慌てて柱の影に隠れた 多恵子を追って、伊万里もそこにきた。
そして、多恵子の視線の先を追う。";"Following Taeko, who turned red in the face and hastily hid behind a pillar, Imari also came there.
Then, I followed Taeko's line of sight.";"Tras Taeko, que se puso roja y se escondió apresuradamente detrás de una columna, Imari también se acercó.
Luego, siguieron la línea de visión de Taeko."
