character,jap text,Eng,Esp
__system__??,{麦 = 10:,,
__system__??,{★愛 = 1:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 11:,,
__system__??,},,
__system__??,{麦 = 12:,,
__system__??,},,
__system__??,{麦 = 13:,,
__system__??,},,
__system__??,{麦 = 15:,,
__system__??,},,
__system__??,{麦 = 16:,,
__system__??,},,
__system__??,{麦 = 17:,,
__system__??,{H拷問抵抗 < H拷問:,,
__system__??,},,
__system__??,{H拷問 = 1:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 18:,,
__system__??,},,
Yamamoto Akuji (talking),ん~~………,Hmmm~~………,Hmmm~………
Nakayama Akari (talking),ん~~……,Hmmm~~……,Hmmm~……
narrator,"悪司は連行したはいいが、 処分に困った市長を前にうなっていた。
市長も自分がどうなるかわからないので、 一緒にうなっている。","Akuji was groaning in front of the mayor, who was at a loss for what to do with him, even though he had taken him in.
The mayor, not knowing what would happen to him, was groaning along with him.","Akuji fue traído, pero estaba gimiendo frente al alcalde, que no sabía qué hacer con él.
El alcalde gruñe con él porque no sabe lo que le va a pasar."
Elite Yakuza (talking),どうなさるおつもりですか？,What are you going to do?,¿Qué vas a hacer al respecto?
Yamamoto Akuji (talking),それを今、考えてんだけどよぅ……,I'm thinking about that right now……,Estoy pensando en eso ahora mismo……
narrator,"　　［………から……］
 　　［す…駄目で……］
 　　［うっさいなー…………っしょ……］","[……… to ……]
 　　[S…no…no…no…no…no…no…no…no………]
 　　[Ugly…………… Choshu ……]","[……… a ……]
 　　[S… no… ……]
 　　[Ugh…………… Choshu ……]"
Elite Yakuza (talking),なんだか、騒々しいですね。,It's kind of noisy.,Es un poco ruidoso.
Yamamoto Akuji (talking),"…………
 …………！！","…………
 …………！！","…………
 …………！！"
 (talking),山本さん？,Yamamoto?,¿ Yamamoto?
Yamamoto Akuji (talking),"あの声、もしかして……
お、おい、止めろ！！ 止めるんだ！ 絶対、あの人をここに……","That voice, could it be ……
Oh, hey, stop! Stop it! Definitely get that guy here ……","Esa voz, podría ser ……
 ¡Oh, oye, para! ¡Para! Definitivamente, trae a ese hombre aquí……"
Haku Minka (talking),やっぱ、ここにいたんだーーもーー。,I knew you were here!,Sabía que estabas aquí - mooooooo.
Yamamoto Akuji (talking),ああああああ~~~~……,Ohhhhhh~~~~……,Ahhhhhh~~~~……
Haku Minka (talking),"チンピラ君にここじゃない、 ここに入るなって言われたんだけど、 絶対ここだと思ってさー。
悪いけど、のしちゃったよ。 せっかく作った料理、冷めちゃうと 食べにくいしさー。
という訳で、ニンジン……","I was told by a thug that I wasn't supposed to go in here, but I thought for sure this was the place.
I'm sorry, but I just went ahead and did it. It's hard to eat the food I made when it's cold.
That's why Ninjin ……","El Sr. Thug me dijo que no entrara aquí, pero pensé que seguro que estaba aquí.
Lo siento, pero me he adelantado y lo he hecho. Es difícil comer cuando hace frío.
Por eso Ninjin ……"
Nakayama Akari (talking),………………,………………,………………
Haku Minka (talking),……え！？,…… What!,…… ¡Eh!
Yamamoto Akuji (talking),あちゃ~~……,Ahhh~ ……,Ahhh~ ……
Haku Minka (talking),っていうか、なんぢゃこりゃー！！？？？,"I mean, what the heck is this?","Quiero decir, ¿qué demonios?"
Yamamoto Akuji (talking),いや、あの……,"No, that ……","No, que ……"
Haku Minka (talking),どーーーしてここに、 市長さんがいる訳ーー！！？？,Why is the mayor here?,¿Por qué está el alcalde aquí?
Yamamoto Akuji (talking),それは、その……,It's that ……,Se puede encontrar en su ……
Haku Minka (talking),ああ…捕まった人達って、 ここに収容されるって寸法なんだ。,Oh…so this is where all the captured people are kept.,Oh… así que aquí es donde se guardan todas las personas que son atrapadas.
Yamamoto Akuji (talking),……あ~…まあ、なんだ。 そーいう事だ。,"…… Ahhh…well, what the heck. That's what I meant.","…… Ahhh… bueno, qué demonios. Eso es lo que quería decir."
Haku Minka (talking),で、市長さんの事、 どーするつもりだったの？,"So, what were you going to do about the mayor?","Entonces, ¿qué ibas a hacer con el alcalde?"
Yamamoto Akuji (talking),それは…そのだな…,It's… you know…,Es… ya sabes…
Haku Minka (talking),悩んでたとこだったんだー。,I was just having a hard time with it.,Me costó mucho trabajo.
Yamamoto Akuji (talking),ああ……まーなー…,Oh…… Ma na…,"Oh,…… Ma na…"
Haku Minka (talking),だったら、あたしに任せて貰って いいっしょ？,"Then, why don't you let me take care of it?","Así que, ¿por qué no me lo dejas a mí?"
Yamamoto Akuji (talking),えっ！？ どーするんだ？,What? What are you going to do?,¿Qué? ¿Qué vas a hacer?
Haku Minka (talking),ちっとばかし考えがあってさ。 ね？ いいっしょ？,I've got a few ideas. Right? Okay?,Tengo algunas ideas. ¿Verdad? ¿De acuerdo?
Yamamoto Akuji (talking),だけどよー…,But hey…,Pero tú…
Haku Minka (talking),身分がバレて、外に出るとマズイ。,It's not good if your identity is exposed and you get out.,No es bueno que tu identidad quede expuesta y salgas.
Yamamoto Akuji (talking),ああ。,Oh.,Oh.
Haku Minka (talking),それをクリアーしていたら、 かまわないって事っしょ？,"As long as you've cleared that, you're good to go, right?","Si lo has aclarado, entonces estás bien, ¿no?"
Yamamoto Akuji (talking),それは…その……,It's… its ……,Es… que ……
Haku Minka (talking),………だめかなぁ…？,I wonder if……… is no good…?,……… ¿No…?
Yamamoto Akuji (talking),う……わかった…わかったから… こんな時だけ、そんな可愛い顔 しねーでくれや…,U…… okay… okay… don't make such a pretty face just at a time like this…,"U…… vale… vale, vale… no pongas esa cara tan bonita justo en un momento así…"
Haku Minka (talking),わーい！ ありがとー！ ステキな旦那様だよー！,Yay! Thanks! You have a wonderful husband!,¡Sí! Gracias. ¡Tienes un marido maravilloso!
Nakayama Akari (talking),あ、あの……,"Oh, um, ……","Oh, ese ……"
Haku Minka (talking),はじめまして。 あたし、民華っていいます。 よろしくお願いします。,Nice to meet you. My name is Minka. I am looking forward to working with you.,Encantado de conocerte. Me llamo Minka. Estoy deseando conocerte.
Nakayama Akari (talking),ああ、はい、こちらこそ…,"Oh, yes, it's my pleasure…","Ah, sí, es un placer…"
Haku Minka (talking),あたしと一緒にきてくれますか？ 悪いようにはしません。,Will you come with me? I won't make it bad.,¿Vienes conmigo? No lo haré mal.
Nakayama Akari (talking),ああ、はい…… でも…,"Oh, yes…… but…","Oh, sí…… pero…"
Haku Minka (talking),ね？,Right?,¿Ves?
Nakayama Akari (talking),"………………
 ……はい… お願いします…",…………………… yes… please…,…………………… Sí… por favor…
Haku Minka (talking),それじゃーね。 山本さん。,See you then. Yamamoto.,Nos vemos entonces. Yamamoto.
Yamamoto Akuji (talking),へーへー…,Heh heh…,"Je, je…"
narrator,民華は明里を連れ、そのまま姿を消した。,Minka disappeared with Akari in tow.,Minka se llevó a Akari con ella y desapareció.
Hikage Mitsuko (talking),……………いいんですか…？,Are you sure about ………………?,…………… ¿Estás seguro…?
Yamamoto Akuji (talking),しゃーねえ。 あの人も馬鹿じゃねーから、 つまんねー事はしないと思うしよ。,"What the hell. He's not stupid, so I don't think he'll do anything stupid.","No se puede evitar. No es estúpido, así que no creo que haga nada estúpido."
Hikage Mitsuko (talking),…………あまあま……,…………AmaAmaAma……,………… ama-ama-ama……
Nakayama Akari (talking),あなたは……,You can find out more at ……,Puede obtener más información en ……
Yamamoto Akuji (talking),どーも。,"Hi, how are you?",Doh.
Nakayama Akari (talking),悪司君、こんな事していいと思ってるの？ すぐにやめた方がいいわ。,Akuji you think you can do this? You should stop it right away.,"Akuji, ¿realmente crees que puedes hacer esto? Deberías dejarlo inmediatamente."
Yamamoto Akuji (talking),"そーはいかねぇ。 動き出した列車はそー簡単に 止める事は出来ねーんだ。
とりあえず、あんたは行方不明のままで いてもらう。
俺の言いなりになる新市長が 必要なんでな…… あんたは邪魔だったんだ。","Not so fast. You can't stop a train that's started moving so easily.
For now, you're going to have to stay missing.
I need a new mayor who will do my bidding…… You were in my way.","Eso no va a suceder. No se puede parar un tren que se ha puesto en marcha tan fácilmente.
Por ahora, vas a tener que permanecer desaparecido.
Necesito un nuevo alcalde que haga mi voluntad…… Estabas en el camino."
Nakayama Akari (talking),それじゃあ私、帰れないという事…？,Does that mean I can't go home…?,¿Significa eso que no puedo ir a casa…?
Yamamoto Akuji (talking),まー、そーいう事。,"Well, that's what I mean.","Bueno, esa es la cuestión."
narrator,慣れない捕虜生活に少しやつれた 明里が連れてこられた。,"Akari, a little worn out from her unfamiliar life as a prisoner of war, was brought in.","Se trajo a un Akari ligeramente desaliñado, un poco desacostumbrado a la vida como prisionero de guerra."
Yamamoto Akuji (talking),お嬢さん育ちのあんたには、 捕虜生活はヘビーみたいだな。,"For a young lady like you, life as a POW must be hard.","Para alguien como usted, que creció como una jovencita, la vida como prisionera de guerra parece pesada."
Nakayama Akari (talking),じゃあ、早く家に…,"Well, then, hurry home…","Bueno, entonces, vuelve a casa tan pronto como puedas…"
Yamamoto Akuji (talking),駄目駄目。 あんたは失踪中なんだ。 帰す事は出来ないよ。,No no no. You're missing. I can't let you leave.,"No, no, no. Te falta. No puedo dejar que te vayas."
Nakayama Akari (talking),………………,………………,………………
Yamamoto Akuji (thinking),"年増だけど、中々 艶っぽい躰をしてはいる……
だけど、俺にメロメロにさせた後の 利用価値は、低いどころかゼロだな。
うん……俺が腰振る必要は なさそーだ。","She's older, but has a moderately attractive body: ……
But after I make her fall in love with me, she's of little or no use to me.
Yeah…… I guess I don't have to shake my hips.","Es mayor, pero tiene un cuerpo moderadamente lustroso……
Pero después de que la enamore, me sirve de poco o nada.
Sí…… No creo que tenga que agitar las caderas."
Nakayama Akari (talking),あの…私……どうなるの？,Um…what happens to me ……?,Um… ¿qué me pasa ……?
Yamamoto Akuji (talking),しばらくここにいてくれたらいい。,Just stay here for a while.,Puedes quedarte aquí por un tiempo.
Nakayama Akari (talking),しばらくって……,I'll be at…… in a while.,Dentro de un tiempo: ……
Yamamoto Akuji (talking),新しい市長が決まって状況が変わったら 解放してやるよ。,I'll let you go once we have a new mayor and things change.,Te dejaré ir cuando tengamos un nuevo alcalde y las cosas cambien.
Nakayama Akari (talking),ほんと…？,Really…?,¿De verdad…?
Yamamoto Akuji (talking),多分。,Probably.,Probablemente.
Nakayama Akari (talking),そんなぁ…,"Oh, no.",Oh no…
Yamamoto Akuji (thinking),"外に出てもらったら困るから、 監禁してるんだ。
戦闘用の部下になってもらう必要も、 その力量もないだろう。","We're keeping him locked up because we don't want him out there.
We don't need him to be a fighting man, and we don't think he's capable of it.","Los mantenemos encerrados porque no queremos que salgan.
No necesitas que sean tus combatientes y no tienes capacidad para ello."
Yamamoto Akuji (thinking),"治安課……な… やっぱり駄目だ。 こいつを外に出すのは。
今、出したら、こいつが市長に 戻るだけだからな…","Security Division……… It's still no good. We can't let him out.
If we let him out now, he'll just go back to being mayor…","El departamento de seguridad……… Todavía no es bueno. No podemos dejarlo salir.
Si lo dejamos salir ahora, volverá a ser alcalde…"
Tamanegi (talking),お呼びで？ 若。,You wanted to see me? Young.,¿Querías verme? Joven.
Yamamoto Akuji (talking),おう、これを仕込めるか？,"Oh, can you stock this?",¿Puedes plantar esto?
Tamanegi (talking),"………………
肉体年齢では問題ありません。 ただ、熟女はマニアックな路線ですので、 あまりお声のかからない娼婦になるかと。","………………
In terms of physical age, no problem. But MILFs are a maniacal line, so I'm afraid I'll be a less sought-after hooker.","………………
En cuanto a la edad física, no hay ningún problema. Pero las MILF son una línea maniática, así que me temo que seré una prostituta menos solicitada."
