character,jap text,Eng,Esp
__system__??,{麦 = 10:,,
__system__??,},,
__system__??,{麦 = 11:,,
__system__??,},,
__system__??,{麦 = 12:,,
__system__??,{H愛欲 = 1:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 13:,,
__system__??,},,
__system__??,{麦 = 15:,,
__system__??,},,
__system__??,{麦 = 16:,,
__system__??,},,
narrator,かなり脅えた状態で、伊万里が悪司の前に 連れてこられた。,"In a rather frightened state, Imari was brought before Akuji.","En un estado bastante asustado, Imari fue llevado ante Akuji."
Yamamoto Akuji (talking),そー脅えるなっつっても、無理があるか？,Is it too much to ask that you not be intimidated?,¿Es mucho pedir que no se asusten?
Isuzu Imari (talking),"っ……ぁっ……
 …っ…あのっ……
あのっ……
あのっ……多恵子ちゃん……は？ 多恵子ちゃんはどこですか…？","Oh, ……!
Um…um………
Um………
Um……… where is Taeko-chan ……? Where is Taeko-chan…?","………
 …uh…uh………
Um………
Um……… ¿Dónde está Taeko-chan ……? ¿Dónde está Taeko-chan…?"
Yamamoto Akuji (talking),さーなー。,Sa-na.,Sana.
Isuzu Imari (talking),っ……しっ…知ってます…… あ、あなたが…多恵子ちゃんを……,I know…I know…I know…I know…I know…I know…I know…I know…I know…I know…I know…I know…you…Taeko chan ……,Sé…sé…… que tú…Taeko…Taeko…Taeko…Taeko…
Yamamoto Akuji (talking),……………,……………,……………
Isuzu Imari (talking),っ………,~………,~………
Yamamoto Akuji (talking),思ったより、頭がわりーみてーだな。 こーいう事に関わっちまうなんてよ。,You're not as smart as I thought you were. I can't believe I got involved in something like this.,Eres más tonto de lo que pensaba. No puedo creer que me haya involucrado en todo esto.
Isuzu Imari (talking),たっ…助けがきてくれるもん… し、晋太郎君がきてくれるもんっ…,Help will come… SusumuTaroukun will come…,La ayuda está en camino… ShinTaroukun vendrá…
Isuzu Imari (talking),ひくっ……ひっく……,Hiccup…… Hiccup……,Hipo…… Hipo……
narrator,泣きじゃくった伊万里が、 悪司の前に連れてこられた。,A sobbing Imari was brought before Akuji.,Una sollozante Imari fue llevada ante Akuji.
Yamamoto Akuji (talking),トーゼンだけど、だいぶまいってきたか。,"Tozen, but I guess I'm getting a little fuzzy.","Tozen, ¿pero está empeorando mucho?"
Isuzu Imari (talking),帰りたい……おうち……帰りたい…… 晋太郎君……ひっく……晋太郎君……,I want to go home…… home…… home…… home…… home…… SusumuTaroukun…… hiccup…… SusumuTaroukun……,Quiero ir a casa…… home…… Quiero ir a casa…… SusumuTaroukun…… Hikku…… SusumuTaroukun……
Yamamoto Akuji (talking),さーてと。,"Well, let's see.","Bueno, veamos."
narrator,悪司は伊万里の手を取った。,Akuji took Imari's hand.,Akuji tomó la mano de Imari.
Isuzu Imari (talking),きゃ……！？,"Hey, ……!",¡Gee ……!
Yamamoto Akuji (talking),ちっとばかし、 俺の自由になって貰うぜ。,I'm going to let you go free for a little while.,Estás a mi disposición por un tiempo.
Isuzu Imari (talking),い、いやっ…… 何をするの？ 離してっ、離してぇっ……！！,"No, no, no…… What are you doing? Get off me, get off me! ……!","No, no, no…… ¿Qué estás haciendo? ¡Suéltame, suéltame! ¡……!"
Isuzu Imari (talking),伊万里の処女は、奪われた。,Imari's virginity was taken.,Imari le quitaron la virginidad.
Isuzu Imari (talking),うっ………ううっ……,Ugh……… ugh ……,Ugh……… ugh ……
narrator,伊万里の足には、血の筋がついていた。,Imari's feet had streaks of blood on them.,Imari tenía vetas de sangre en las piernas.
Isuzu Imari (talking),ごめんなさい……ごめんなさい… 晋太郎君……ううっ……ひっく……,Sorry…… sorry… SusumuTaroukun…… ugh…… hiccup ……,Lo siento…… lo siento… SusumuTaroukun…… ugh…… hipo ……
Yamamoto Akuji (talking),さーて。,Well.,Bueno.
Isuzu Imari (talking),い、いや！ もうあんな事しないでっ…！,"No, no! Don't do that again…!","¡No, no! ¡No vuelvas a hacer eso…!"
Yamamoto Akuji (talking),どーして？ 夢中になるのが怖いのかい？,Why? Afraid to get carried away?,¿Por qué? ¿Tiene miedo de dejarse llevar?
Isuzu Imari (talking),"ちっ…違うっ…私には、晋太郎君が…
いやぁっ…やめてっ… いやぁぁ……！！","No… no… I have SusumuTaroukun…
No… don't… no… ……!","No… no… para mí, Susumu Tarou-kun…
No… no… no… ¡……!"
Isuzu Imari (talking),伊万里の細い躰は、自らの意志と関係なく 悪司を求めるようになっていた。,The thin body of Imari was seeking Akuji regardless of its own will.,El delgado cuerpo de Imari buscaba a Akuji sin importar su propia voluntad.
Yamamoto Akuji (talking),ひとつ聞くけどよ。 多恵子の事、すっかり忘れる事、 出来るか？,Let me ask you something. Can you forget all about Taeko?,Déjame preguntarte algo. ¿Puedes olvidarte de Taeko?
Isuzu Imari (talking),そ、そんな…,"Oh, no…","Oh, no…"
Yamamoto Akuji (talking),だったら、ここから出す事は 出来ねーなー。,"If that's the case, I can't let you out of here.","Si ese es el caso, no te sacaré de aquí."
Isuzu Imari (talking),…酷い……ひっく……,…terrible……hick……,… terrible…… hipo……
narrator,"　　［ぴんぽーん…］
心配そうな顔で、伊万里は多恵子の家の チャイムを鳴らした。
しかし、それに応える者は誰もいない。","[Ping-pong…]
With a worried look on her face, Imari rang the chime of Taeko's house.
However, no one answered it.","[ping-pong…]
Con cara de preocupación, Imari tocó el timbre de la casa de Taeko.
Sin embargo, nadie respondió."
Isuzu Imari (talking),どうしよう… …やっぱり、いない……,What to do… …I knew he's not here: ……,"Qué hacer… …lo sabía, no está aquí……"
Lover (talking),そちらに御用かしら？,Can I help you?,¿Querías verme?
Isuzu Imari (talking),えっ……,Eh ……,Eh ……
Lover (talking),どうしたの？,What's wrong?,¿Qué pasa?
Isuzu Imari (talking),あっ…あの…… 私……,"Oh… um,…… I ……","Oh… um,…… Yo ……"
Lover (talking),そちらのおうちの方、今、 旅行に行かれているわよ。,Your family is on vacation right now.,Su compañero de casa está de viaje en este momento.
Isuzu Imari (talking),え、そんな…そんな事…,"Oh, no… that's… that's not…","Oh, no… eso es… eso no es…"
Lover (talking),そういう事にしておきなさい。 これは子供が口を出す事ではないわよ。,Let it be that way. This is not something for children to talk about.,Que sea así. Esto no es algo de lo que deban hablar los niños.
Isuzu Imari (talking),えっ……,Eh ……,Eh ……
Isuzu Imari (thinking),この人ひょっとして、この前、 多恵子ちゃん達に酷い事していた人の 仲間なの…？,"Is this person, by any chance, one of the people who did terrible things to Taeko and her friends the other day…?","¿Es esta persona, por casualidad, una de las que hizo cosas terribles a Taeko y los demás el otro día…?"
Lover (talking),それではね…,See you later…,Hasta luego…
Isuzu Imari (talking),…………………,…………………,…………………
narrator,その前で、伊万里がうろうろとしていた。,"In front of it, Imari was loitering.","Frente a él, Imari merodeaba."
Isuzu Imari (thinking),………うん…行こう。 待っててね、多恵子ちゃん。 私、今、多恵子ちゃんを助けるから…,"………Yeah…let's go. Wait for me, Taeko. I'll help Taeko now…","……… Sí… vamos. Espérame, Taeko. Ayudaré a Taeko ahora…"
Isuzu Imari (talking),あ、あの、すみません…,"Oh, um, excuse me…","Oh, um, lo siento…"
chiankashokuin (talking),お話はわかりました。,I understand your story.,Entiendo lo que dices.
Isuzu Imari (talking),あの……ここからはどうしていいか わからないので… 本当に、よろしくお願いします。,"I don't know what to do from here at that…… so I really, really appreciate your help.","En…… no sé qué hacer a partir de ahora, así que… de verdad, muchas gracias."
narrator,伊万里は深く頭を下げると、 そこから離れた。,Imari bowed deeply and left.,Imari hizo una profunda reverencia y se fue.
chiankashokuin (talking),……………,……………,……………
narrator,治安課職員は、受話器を取った。,The Security Division employee picked up the receiver.,El funcionario del Servicio de Seguridad levantó el auricular.
Yamamoto Akuji (talking),ああ…ああ、わかった。 その捜査依頼はなかった事に しておいてくれ。,"Uh… yeah, okay. You can pretend I never asked you to do that.","Eh… sí, vale. Haz de cuenta que nunca te pedí que investigaras eso."
Takega Satsu (talking),どうした？,What's up?,¿Qué pasa?
