"character","jap text","Eng","Esp"
"__system__??","{麦 = 1:","",""
"__system__??","{☆山沢 = 50:","",""
"__system__??","}","",""
"__system__??","{(☆山沢 = 54) * (RND \ 0):","",""
"__system__??","}","",""
"__system__??","{☆山沢 = 56:","",""
"__system__??","}","",""
"__system__??","{☆山沢 > 60:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 2:","",""
"__system__??","{☆山沢 > 60:","",""
"__system__??","}","",""
"__system__??","{☆山沢 = 51:","",""
"__system__??","}","",""
"__system__??","{(B忠誠タイプ = 3) * (B忠誠心 > 70):","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 3:","",""
"__system__??","}","",""
"__system__??","{麦 = 4:","",""
"__system__??","}","",""
"__system__??","{麦 = 5:","",""
"__system__??","{☆山沢 > 60:","",""
"__system__??","}","",""
"__system__??","}","",""
"Yamazawa Asami (talking)","山本さん、何か。","Yamamoto, something.","Yamamoto, algo."
"Yamamoto Akuji (talking)","よう、来たか。 体調はどーだ？","Hey, there you are. How are you feeling?","Hola, estás aquí. ¿Cómo te sientes?"
"Yamazawa Asami (talking)","……嘘をついても仕方ないので、 はっきり言います。
良くは……ありません。","…… Since lying is not an option, let me be clear.
It is not…… good.","…… Como no tiene sentido mentir, que quede claro.
No es…… bueno."
"Yamamoto Akuji (talking)","そーなのか？ おめー、バリバリ働いてくれるから ちーとは良くなってんのかと思ったが…","Is that so? You work so hard, I thought you were getting better…","¿Es así? Trabajas tan duro, que pensé que estabas mejorando, pero…"
"Yamazawa Asami (talking)","昼間は躰が少し震える程度ですけど、 夜は、どうしても…………
 ……闇が駄目なんです。 幻覚、幻聴、圧迫感や頭痛で なかなか眠れなくて。
電気さえつけていれば、 浅い眠りには就けるんですけど……
それで、いずれ疲れがたまってくれば、 昼間でも以前みたいに……","During the day, my body shakes a little, but at night, I just can't …………
I have a problem with…… darkness. I have hallucinations, auditory hallucinations, pressure sensations and headaches that make it difficult to sleep.
As long as the lights are on, I can get into a shallow sleep……
So, eventually, when I get tired, I can sleep in the daytime like I used to……","Durante el día, mi cuerpo tiembla un poco, pero por la noche, no puedo …………
No puedo…… oscuro. Tengo alucinaciones, alucinaciones auditivas, presión y dolores de cabeza que dificultan el sueño.
Mientras las luces estén encendidas, puedo entrar en un sueño superficial……
Así que al final, cuando me canse, podré dormir de día como antes……"
"Yamamoto Akuji (talking)","そりゃ大変だなー、おい……","That's a lot of work… Hey ……","Eso es mucho trabajo, eh……"
"Yamazawa Asami (talking)","仕事の時は、気が張りますから。 それに、深い睡眠はちゃんと…………
 ……あっ、いえ。 何でも……ありません。","I'm so uptight when I'm at work. Besides, deep sleep is properly ……………… Oh, no. Nothing is …….","Cuando estás en el trabajo, estás tenso. Además, el sueño profundo es propiamente ……………… Oh, no. Nada es ……."
"Yamamoto Akuji (talking)","……？
 …………あー、そっか。 目一杯イッたあとの夜って ぐっすり眠れるもんな。","……?………… Oh, I see. I can sleep soundly at night after a full orgasm, can't I?","……?………… Ah, ya veo. Puedo dormir tranquilamente por la noche después de haber tenido una carga completa, ¿no?"
"Yamazawa Asami (talking)","っ…………","~…………","~…………"
"Yamamoto Akuji (talking)","うんうん、そりゃアレだな、 おめーの躰のためにも いっぱいセックスしなきゃなー。","You have to have a lot of sex for your body.","Sí, sí, esa es la cosa, tienes que tener mucho sexo para tu cuerpo."
"Yamazawa Asami (talking)","………………","………………","………………"
"Yamamoto Akuji (thinking)","顔を赤くして否定ナシか……
抱かれたいっつってんのと同じだなー。 可愛いもんだ。","You're blushing and not denying it: ……
It's just like saying she wants to be hugged. It's a cute thing.","Te sonrojas y no lo niegas……
Es como decir que quieres que te abracen. Es una cosa bonita."
"Yamazawa Asami (talking)","山本さん。","Yamamoto.","Yamamoto."
"Yamamoto Akuji (talking)","よう、来たか。
 ……ちと、来るの遅かったな。","Hey, you're here.…… is a little late.","Hola, estás aquí.…… un poco tarde en llegar."
"Yamazawa Asami (talking)","すみません、道場で稽古をしていたので 汗を流すのと着替えとに時間がかかって…","Sorry, I was practicing at the dojo, so it took me a while to sweat it off and change my clothes and…","Lo siento, estaba practicando en el dojo y tardé en sudar y cambiarme de ropa y…"
"Yamamoto Akuji (talking)","相変わらず熱心だなー。","You are as enthusiastic as ever!","¡Estás tan entusiasmado como siempre!"
"Yamazawa Asami (talking)","別に……当然のことですから。","Not really…… because it's a matter of course.","Aparte de…… porque es una cuestión de rutina."
