character,jap text,Eng,Esp
__system__??,{麦 = 1:,,
__system__??,},,
__system__??,{麦 = 2:,,
__system__??,{B忠誠タイプ = 4:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 3:,,
__system__??,},,
__system__??,{麦 = 4:,,
__system__??,},,
__system__??,{麦 = 10:,,
__system__??,},,
__system__??,{麦 = 11:,,
__system__??,},,
__system__??,{麦 = 12:,,
__system__??,{H愛欲 = 1:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 13:,,
__system__??,{H物欲 = 4:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 15:,,
__system__??,},,
__system__??,{麦 = 16:,,
__system__??,},,
__system__??,{麦 = 17:,,
__system__??,{H拷問抵抗 < H拷問:,,
__system__??,},,
__system__??,{H拷問 = 1:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 18:,,
__system__??,},,
__system__??,{麦 = 5:,,
__system__??,},,
__system__??,{麦 = 19:,,
__system__??,},,
Yamamoto Akuji (talking),おう。,Oh.,Oh.
Mori Kaoru (talking),何か？,Yes?,¿Sí?
Yamamoto Akuji (talking),そろそろ、俺の躰が恋しくて、 躰が夜泣きしてる頃かなーと 思ったんだが、どうだ？,I thought it was about time my body cried at night because it missed me.,Pensé que tal vez era hora de que echaras de menos mi cuerpo y que tu cuerpo llorara por la noche.
Mori Kaoru (talking),結構です。,"No, thank you.","No, gracias."
Yamamoto Akuji (talking),ほっぺが赤いぜ、薫ちゃん。,"Your cheeks are red, Kaoru.","Tus mejillas están rojas, Kaoru."
Mori Kaoru (talking),~~~~~~~！！,~~~~~~~！！,~~~~~~~！！
Yamamoto Akuji (talking),くっくっくっ。,Kukukukukku.,Kukukukukku.
Yamamoto Akuji (talking),いや、なんだかんだ言いながら、 あんた俺んとこで頑張ってくれてるんで、 お礼がしたいなーと思ってさ。,"No, I just wanted to thank you for all your hard work at my place.","No, sólo quería agradecerte todo tu trabajo en mi casa."
Mori Kaoru (talking),あなたの部下になったと決めた時から、 それは私にとって当然の義務なので、 礼など言われる覚えはありません。,"Since I decided to become your subordinate, it is my natural duty to do so, and I do not owe you any thanks.","Desde el momento en que decidí convertirme en tu subordinado, fue mi deber natural, por lo que no recuerdo que me hayas dado las gracias por ello."
