"character";"jap text";"Eng";"Esp"
"Yamamoto Akuji (talking)";"さぁて、ついた。";"Well, here we are.";"Bueno, aquí estamos."
"__system__??";"{RND \ 0:";"";""
"Aoba Youko (talking)";"何度かきた事があるんですか？";"Have you been here a few times?";"¿Has estado aquí varias veces?"
"Yamamoto Akuji (talking)";"ん？";"Hmm?";"¿Eh?"
"Aoba Youko (talking)";"そういう口ぶりでしたから。";"That's what he said.";"Así es como habló de ello."
"Yamamoto Akuji (talking)";"ああ、親父の付き添いとか。 地域管理組合と市議会は、切っても 切れない関係だからな。";"Yeah, like chaperoning my dad. The local management association and the city council are inseparable.";"Sí, como acompañar a mi padre. Porque la asociación de gestión de la comunidad y el ayuntamiento están inextricablemente unidos."
"Aoba Youko (talking)";"ああ…";"Oh…";"Oh…"
"Yamamoto Akuji (talking)";"なんだ、冷めた納得のしかただな。";"What a cold way to be convinced.";"Qué manera tan fría de ser convencido."
"Aoba Youko (talking)";"私の感情を説明しても、多分、 悪司さんにはわからないと思うので。";"I could explain my feelings, but Akuji probably wouldn't understand.";"Podría explicar mis sentimientos, pero Akuji probablemente no lo entendería."
"Yamamoto Akuji (talking)";"どーだかなー。";"I don't know.";"Me pregunto cómo."
"Aoba Youko (talking)";"とにかく、今、あなたは 私の付き添いです。 勝手に行動しないで下さい。";"Anyway, you are now my chaperone. Please do not act on your own.";"De todos modos, ahora eres mi acompañante. Por favor, no actúe por su cuenta."
"Yamamoto Akuji (talking)";"はいはーい。";"Yes, yes, yes.";"Sí y no."
"Yamamoto Akuji (thinking)";"嘘だけど。";"It's a lie.";"Mentiras."
"narrator";"悪司達は中に入り、窓口へと向かった。";"Akuji and the others went inside and headed for the window.";"Akuji y sus compañeros entraron y se acercaron a la ventana."
"Aoba Youko (talking)";"ミドリガオカを任されている 奉仕青年団の者ですが、今後のご指導を 伺いたくまいりました。
担当の監督官の鴉葉さんは おられますか？";"I am a member of the Youth Service Corps in charge of Midorigaoka, and I am here to ask for your guidance for the future.
Is there a supervisor in charge, Mr. Karasuba?";"Soy un miembro del Cuerpo de Servicio de la Juventud a cargo de Midorigaoka, y estoy aquí para pedir su orientación para el futuro.
 ¿Hay un supervisor a cargo, señor Karasuba?"
"narrator";"青葉がそう言うと、職員は鴉葉を 呼びに行った。";"When Aoba said so, the staff went to call Karasuba.";"Cuando Aoba dijo esto, el funcionario fue a llamar a Karasuba."
"karasuba  tsuki (talking)";"あーごめんごめん。 おっまたせー。";"Oh, sorry, sorry. Sorry.";"Oh, lo siento, lo siento. Lo siento, lo siento."
"Yamamoto Akuji (talking)";"軽ぅーーー！";"Light!";"¡La luz!"
"Yamamoto Akuji (thinking)";"しかも若いな。 戦争後で、市議会も人手不足って事 なのか？
 …それとも、こっちが軽く 見られてるっていう事かもなー…
 ……ま、古狸相手にするよりか、 話が早いかもしんねーな…";"And they are young. Is it because the city council is shorthanded after the war?
Or is it that we are being taken lightly……… Well, maybe it's easier to talk to them than to deal with the old raccoon…";"Y son jóvenes. ¿Se debe a que el ayuntamiento está escaso de personal después de la guerra?
O quizás es que piensan menos en nosotros……… Bueno, tal vez sea más fácil hablar con ellos que con el viejo mapache…"
"karasuba  tsuki (talking)";"あれ？ こっちのＧＵＹは？ 新顔？";"Huh? Where's the GUY over here? New face?";"¿Eh? ¿Dónde está el tipo por aquí? ¿Es una cara nueva?"
"Aoba Youko (talking)";"あ…こちらは…";"Uh… this is…";"Uh… esto es…"
"Yamamoto Akuji (talking)";"青葉が表番だとすると、 俺は奉仕青年団の裏番だ。";"If Aoba is the front man, I'm the back man of the Youth Service Corps.";"Si Aoba es el número delantero, yo soy el número trasero del grupo juvenil de servicio."
"karasuba  tsuki (talking)";"……………
ぷっ……
ぷーーっ！！ イッカスー！ 裏の番長さんかー！
じゃあ、今は、青葉さんってより、 あんたが、ミドリガオカの奉仕青年団を 動かしてるって訳？";"……………
Pfft! ……
Pfft!!! Ikkasoo!!! You're the watchdog behind the scenes!
So, now you're the one running Midorigaoka's service youth group, rather than Aoba?";"……………
 ¡Pfft! ……
 ¡¡¡Uf!!! ¡¡Ikkasoo!! Eres el perro guardián entre bastidores.
 ¿Así que ahora, en lugar de Aoba, diriges la Liga Juvenil de Servicios de Midorigaoka?"
"Yamamoto Akuji (talking)";"ああ。";"Oh.";"Oh."
"karasuba  tsuki (talking)";"んでー。 青葉さんと、そーいうアレ？";"So… Aoba and that kind of thing?";"Así que. Aoba y esa cosa?"
"Yamamoto Akuji (talking)";"何が？";"What?";"¿Qué?"
