character,jap text,Eng,Esp
menu_label__(L_00482),わかめ組関係,Wakame group relations,Relaciones Wakame-gumi
menu_label__(L_0099a),加賀元子,Kaga Motoko,Kaga Motoko
menu_label__(L_0120a),市橋蘭,Ichihashi Ran,Ichihashi Ran
menu_label__(L_0155e),加賀太郎,Kaga Tarou,Kaga Tarou
menu_label__(L_018ef),素敵医師,Suteki Ishi,Suteki Ishi
menu_label__(L_01cfd),デカオ,Dekao,Dekao.
menu_label__(L_00027),────────,────────,────────
menu_label__(L_01ef6),那古教関係,Nakokyou Relationship,Relaciones con Nakokyou
menu_label__(L_026cc),由女,Yume,Yume.
menu_label__(L_02f1d),古宮陽子,Komiya Youko ,Komiya Youko
menu_label__(L_03652),月瀬寧々,Tsukigase Nene,Tsukigase Nene
menu_label__(L_03fb3),土岐遙,Toki Haruka,Toki Haruka
menu_label__(L_04635),由女の僕,Yume's Manservant,Yume's Manservant.
menu_label__(L_0478f),キャット・メッコー,kyatto  and Mekkō,kyatto  y Mekkō.
menu_label__(L_00027),────────,────────,────────
menu_label__(L_063d5),大決戦！オオアナ新人類,The Great Battle! Oana Newcomers,¡La gran batalla! Los recién llegados de Oana
menu_label__(L_06669),ビッグアーサ,Big Arthur, Big Arthur.
menu_label__(L_06820),カリコリルリ,Carikoriluri,Carikoriluri.
menu_label__(L_06b73),青姫,Aohime,Aohime.
menu_label__(L_00027),────────,────────,────────
menu_label__(L_001cf),ページ２へ行く,Go to Page 2,Ir a la página 2
menu_label__(L_00393),ウィミィ関係へ行く,Go to Wime Relationships,Wime Ir a las relaciones
menu_label__(L_09585),爆弾潰し,Bomb Dan crush,Bomba Dan crush
menu_label__(L_0a36c),トップへ戻る,Back to top,Volver al principio
menu_label__(L_05b37),乃木一族関係,Nogi family relations,Nogi Relaciones familiares
menu_label__(L_06099),乃木喜久子,Nogi Kikuko,Nogi Kikuko
menu_label__(L_001cf),────────,────────,────────
menu_label__(L_04bce),（市議会）山沢麻美,(City Council)Yamazawa Asami,(Ayuntamiento)Yamazawa Asami
menu_label__(L_04f83),裕木野枝実,YuukiNoemi,YuukiNoemi
menu_label__(L_04ff3),大槻姫子,Ootsuki Himeko,Ootsuki Himeko
menu_label__(L_05116),真田電波,Sanada Denpa ,Sanada Denpa .
menu_label__(L_05329),山林吹雪,Sanrin Fubuki,Sanrin Fubuki
menu_label__(L_056a5),池田加奈,Ikeda Kana,Ikeda Kana
menu_label__(L_058a8),池田苺,Ikeda Ichigo,Ikeda Ichigo
menu_label__(L_06c6c),友引操,Tomobiki Misao,Tomobiki Misao
menu_label__(L_07199),炎どん子,Honoo Donko,Honoo Donko
menu_label__(L_075ad),不動明,Fudou Mei,Fudou Mei
menu_label__(L_07a07),野比ひかり,Nobi Hikari,Nobi Hikari
menu_label__(L_07c3d),大谷善継,Ootani Yoshitsugu,Ootani Yoshitsugu
menu_label__(L_07ecb),早乙女美鈴,Saotome Misuzu,Saotome Misuzu
menu_label__(L_001cf),────────,────────,────────
menu_label__(L_00465),俺様初期練習,my initial practice,mi práctica inicial
menu_label__(L_00476),悪司とボランティア隊,Akuji and the Volunteer Corps,Akuji y cuerpo de voluntarios
menu_label__(L_0046a),悪司と裏工作隊,Akuji and the back-up team,Akuji y la Unidad de Operaciones Backstage
menu_label__(L_00027),────────,────────,────────
menu_label__(L_00027),ページ１へ戻る,Back to Page 1,Volver a la página 1
menu_label__(L_00393),ウィミィ関係へ行く,Go to Wime Relationships,Wime Ir a las relaciones
menu_label__(L_09585),爆弾潰し,Bomb Dan crush,Bomba Dan crush
menu_label__(L_0a36c),トップへ戻る,Back to top,Volver al principio
menu_label__(L_07fdf),プリシラ・ヴァドル,"Priscilla, Vadol",Priscilla y Vadol.
menu_label__(L_086d4),対決！　イハビーラ帝国,Showdown!　Ehavilla Empire,¡Confrontación!　Imperio de la Gavilla
menu_label__(L_00027),────────,────────,────────
menu_label__(L_091e3),エデン強襲へ行く,Go to Eden Assault,Ve a la incursión del Edén.
menu_label__(L_00027),────────,────────,────────
menu_label__(L_00027),ページ１へ行く,Go to Page 1,Ir a la página 1
menu_label__(L_001cf),ページ２へ行く,Go to Page 2,Ir a la página 2
menu_label__(L_09585),爆弾潰し,Bomb Dan crush,Bomba Dan crush
menu_label__(L_0a36c),トップへ戻る,Back to top,Volver al principio
menu_label__(L_00812),わかめ組／紹介その１,Wakame class / Introduction Part 1,Grupo Wakame/Introducción nº 1
menu_label__(L_0081e),わかめ組／紹介その２,Wakame class/Introduction No.2,Grupo Wakame/Introducción nº 2
menu_label__(L_0082a),わかめ組／紹介その３,Wakame class / Introduction No.3,Grupo Wakame/Introducción nº 3
menu_label__(L_00836),わかめ組／離反者,Wakame group / defector,Grupo Wakame / desertor
menu_label__(L_00842),わかめ組／ナンコウ独立,Wakame group / Nanko Independent,Grupo Wakame / Nanko Independiente
menu_label__(L_0084e),わかめ組／コフン独立,Wakame group / Cohun Independent,Grupo Wakame/Kofun Independiente
menu_label__(L_0085a),わかめ組／カネシタ独立,Wakame group / Kaneshita Independent,Grupo Wakame/Kaneshita Independiente
menu_label__(L_00866),わかめ組／クロモン独立,Wakame group/Chromon independent,Grupo Wakame/Chromon independiente
menu_label__(L_00872),わかめ組／フナイ独立,Wakame group/Funai Independent,Grupo Wakame/Funai Independiente
menu_label__(L_0087e),ＶＳわかめ組・開戦,"VS Wakame-gumi, the start of the war","VS Grupo Wakame, inicio de la guerra"
menu_label__(L_0088a),ＶＳわかめ組・開戦（時間切れ）,"VS Wakame group, start of battle (time expired)","VS Grupo Wakame, batalla inicial (tiempo expirado)"
menu_label__(L_00896),わかめ組／元子攻撃０,Wakame group /Motoko  attack0,Grupo Wakame /Motoko ataque0
menu_label__(L_008a2),わかめ組／元子攻撃,Wakame group / Motoko attack,Grupo Wakame/Motoko Ataques
menu_label__(L_008ae),わかめ組／元子破れる,Wakame group /  Motoko  tear,Grupo Wakame /  Motoko desgarrado
menu_label__(L_008ba),わかめ組／元子監禁,Wakame group /  Motoko  confinement,Grupo Wakame /  Motoko Confinamiento
menu_label__(L_008c6),わかめ組／元子失踪の報告,Wakame group /  Motoko report of disappearance,Grupo Wakame /  Motoko Denuncia de desaparición.
menu_label__(L_008d2),わかめ組追いつめられる,The Wakame group is caught up with,El grupo de wakame se ha puesto al día.
menu_label__(L_008de),素敵医師登場,Suteki Ishiappeared,Suteki Ishi apareció
menu_label__(L_00482),────────,────────,────────
menu_label__(L_006b4),わかめ組・ページ２へ,"Wakame-gumi, Page 2","Grupo Wakame, página 2"
menu_label__(L_091d4),わかめ組から出る,I'm going to get out of the wakame group.,estar fuera del grupo Wakame
menu_label__(L_008ea),素敵医師の横暴１,Suteki Ishi's outrageousness1,Suteki Ishi's outrageousness1
menu_label__(L_008f6),素敵医師の横暴２,Suteki Ishi's arrogance2,Suteki Ishi's arrogance2
menu_label__(L_00902),市橋蘭、倒れる,"Ichihashi Ran, collapse","Ichihashi Ran, colapsado"
menu_label__(L_0090e),わかめ組／壊滅,Wakame group / destroyed,Grupo Wakame / destruido
menu_label__(L_0091a),わかめ組／壊滅／蘭健在,Wakame group / destroyed /  Ran alive and well,Grupo Wakame / destruido /  Ran vivo y bien
menu_label__(L_00926),わかめ組／本部奪回（夕子）,Wakame group / Headquarters Retrieval (Yuuko),Grupo Wakame / Recuperación de la Sede (Yuuko)
menu_label__(L_00948),わかめ組／本部奪回（通常）,Wakamegumi / Headquarters Retrieval (Normal),Grupo Wakame/recuperación de la sede (normal)
menu_label__(L_00976),わかめ組／素敵不甲斐なし,Wakame group / Suteki unworthy,Grupo Wakame /  Suteki indigno
menu_label__(L_00982),わかめ組を偵察（ＥＮＤ）,Reconnaissance of the Wakame group (END),Reconocimiento del grupo Wakame (END).
menu_label__(L_0098e),わかめ組／汎用汎用,Wakame group/general-purpose general-purpose,Grupo Wakame/propósito general
menu_label__(L_00482),────────,────────,────────
menu_label__(L_00482),わかめ組・ページ１へ,"Wakame-gumi, Page 1","Grupo Wakame, página 1"
menu_label__(L_091d4),わかめ組から出る,I'm going to get out of the wakame group.,estar fuera del grupo Wakame
menu_label__(L_00e6a),加賀元子／戦争前,Kaga Motoko/Pre-War,Kaga Motoko/Pre-war
menu_label__(L_00e76),加賀元子／戦争前２,Kaga Motoko/Pre-War2,Kaga Motoko/Pre-war2
