character,jap text,Eng,Esp
narrator,"そこだけが、違った世界の様に、 優美だった。
時代を感じさせる、外来の調度が並ぶ。 空襲から逃れたそこは、別世界の様 だった。
黒檀で作られた細長いテーブルの上座に、 一人の少女がいる。
 　　［ぱーーーーん］","Only there, it was graceful, like a different world.
The ambulatory furnishings were reminiscent of the times. It was like a different world where people had escaped from air raids.
There is a girl sitting at a long, narrow table made of ebony.
 　　［Pow!]","Sólo que allí era elegante, como un mundo diferente.
El mobiliario ambulante evoca la sensación de tiempo. Era un lugar que había escapado a los ataques aéreos y era como un mundo diferente.
Sobre una mesa larga y estrecha de ébano, hay una chica.
 　　［Pow!]"
Momoyama Linda (talking),いただきまちゅっっっ。,Bon appétit!,Lo tomaré.
narrator,"パン、レタス、玉子と、 見事なイングリッシュスタイルの 朝食。
それを、手を合わせるニホン式の挨拶をし、 ぱくぱくと食べる少女。
ピーチ・マウンテン――略してＰＭの 長である、桃山リンダ。","Bread, lettuce, and an egg.
A young girl eats it with her hands clasped in a Japanese greeting, and then eats it with a crunch.
The head of Peach Mountain, or PM for short, Momoyama Linda.","Pan, lechuga y huevos: un espléndido desayuno a la inglesa.
La chica se lo come todo con un apretón de manos en saludo japonés y un crujido.
La Montaña del Melocotón, o PM para abreviar, está dirigida por Momoyama Linda."
Momoyama Linda (talking),ハイネ。 今日の玉子は絶品でちゅ。,Haine. Today's eggs are excellent.,Haine. Los huevos de hoy son excelentes.
Hasekura Haine (talking),それはよろしゅうございました。 リンダ様。,"That's very good, sir. Dear Linda.","Eso es bueno, gracias. Querida Linda."
narrator,リンダの横を守る様に立っているのは、 この家の執事、支倉ハイネ。,"Standing guard beside Linda is the house's butler, Hasekura Haine.","Haciendo guardia junto a Linda está el mayordomo de la casa, Hasekura Haine."
Hasekura Kirika (talking),失礼します、リンダ様。,"Excuse me, Dear Linda.","Disculpe, querida Linda."
narrator,恭しく、朝食の間に入ってきたのは、 支倉キリカ。 ハイネの娘の一人。,"Reverently, Hasekura Kirika entered the breakfast room. One of Haine's daughters.","Reverentemente, Hasekura Kirika entró en la sala de desayunos. Una de las hijas de Haine."
Momoyama Linda (talking),どうちたの、キリカ。,"How about you, Kirika.","Douichita, Kirika."
Hasekura Kirika (talking),はい、リンダ様のお好きな リンゴのジャムを作ったので、 お持ちしました。,"Yes, I made your favorite apple jam and brought it to you.","Sí, he hecho tu mermelada de manzana favorita, Linda, y te la he traído."
Momoyama Linda (talking),わーい、りんごりんご。 うれちいわ。 ありがとう、キリカ。,"Wow, apple apple apple. I'm so happy. Thanks, Kirika.","Sí, manzana, manzana, manzana. Estoy muy feliz. Gracias, Kirika."
Hasekura Kirika (talking),勿体のぅございます。,It is a waste of time.,Es una pérdida de tiempo.
narrator,キリカはドレスの裾を優雅に摘まむと、 リンダに会釈した。,Kirika gracefully plucked the hem of her dress and bade Linda farewell.,Kirika arrancó con gracia el dobladillo de su vestido y se dirigió a Linda.
Hasekura Kirika (talking),それではリンダ様、お父様。 わたくしはこれから、稽古に 向かいます。,"Well then, Mrs. Linda and father. I am going to practice now.","Buenos días, señora Linda, padre. Ahora voy a ir a mi entrenamiento."
Hasekura Haine (talking),しっかりな。,Hang tight.,Firme.
Hasekura Kirika (talking),はい、お父様。 それでは失礼します。,"Yes, father. Now, if you'll excuse me.","Sí, padre. Ahora, si me disculpan."
narrator,キリカは再び、優雅に会釈をすると そこを後にした。,Kirika again bailed gracefully and left.,Kirika volvió a salir airosa y se marchó.
Momoyama Linda (talking),キリカは優秀ね、ハイネ。,"Kirika is excellent, Haine.","Kirika es excelente, Haine."
Hasekura Haine (talking),はい。,Yes.,Sí.
Momoyama Linda (talking),アエンも、あれぐらいしなくちゃ だめでちゅわ。 跡継ぎのくちぇに。,Aen should be like that. He's the heir apparent.,Tienes que hacer al menos eso. Para el heredero aparente.
Hasekura Haine (talking),父親の私の監督不行き届きです。 申し訳ありません。,"I, the father, have failed to supervise. I am sorry.","Yo, el padre, no lo he supervisado. Disculpas."
Momoyama Linda (talking),ちっかりなちゃい。 娘だからって、甘やかしては だめでちゅよ。,Be careful. Don't spoil her just because she's your daughter.,Ten cuidado. No la mimes sólo porque es tu hija.
Hasekura Haine (talking),はっ――。,Ha--.,Ha…
 (talking),あいかーらず、お父様とリンダ様に 取り入るのが上手ね、キリカ。,"You continue to be very good at getting on your father and Linda's good side, Kirika.","Sigues siendo muy buena para quedar bien con tu padre y con Linda, Kirika."
Hasekura Kirika (talking),アエン姉様。,Aen Sis.,Aen Sis.
Hasekura Aen (talking),あんたが長女だったらどんなに よかったかって、きっと父様も 思っているでしょーね。,I'm sure your father must be thinking how good it would have been if you were his eldest daughter.,Seguro que tu padre piensa en lo bonito que hubiera sido que fueras su hija mayor.
Hasekura Kirika (talking),そう思うのでしたら、稽古なさって 下さい。,"If you think so, please practice.","Si lo crees, practica."
Hasekura Aen (talking),いやよ。 したい時にするわ。,I don't want to. I'll do it when I want to.,"No, no quiero. Lo haré cuando quiera."
Hasekura Kirika (talking),アエン姉様。 あなたの方が、わたくしより 才能もおありなのに。,Aen sister. You have more talent than I do.,Aen hermana. Tienes más talento que yo.
Hasekura Aen (talking),ふん…気を使わなくっても いいわよ。,Hmm…don't worry about it.,Hmm… no te preocupes.
