"character","jap text","Eng","Esp"
"__system__??","{麦 = 1:","",""
"__system__??","{RND = 1:","",""
"__system__??","{RND \ 0:","",""
"__system__??","}","",""
"__system__??","{RND = 0:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 3:","",""
"__system__??","}","",""
"__system__??","{麦 = 10:","",""
"__system__??","}","",""
"__system__??","{麦 = 11:","",""
"__system__??","{RND \ 0:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 13:","",""
"__system__??","}","",""
"__system__??","{麦 = 15:","",""
"__system__??","}","",""
"__system__??","{麦 = 16:","",""
"__system__??","}","",""
"__system__??","{麦 = 17:","",""
"__system__??","{H拷問抵抗 < H拷問:","",""
"__system__??","}","",""
"__system__??","{H拷問 = 1:","",""
"__system__??","}","",""
"__system__??","}","",""
"Imagawa Kurusu (talking)","お呼びになりましたか？","Did you call for me?","¿Me has llamado?"
"Yamamoto Akuji (talking)","おー、呼んだ呼んだ。
しかしなんだな。 ご主人様がきちんとしてると犬も きちんと挨拶するモンだな。","Oh, I called it.
But what is it? When the master is neat, the dog greets him properly, too.","Oh, lo llamé, lo llamé.
 ¿Pero qué es? Cuando el amo está aseado, el perro también le saluda adecuadamente."
"Imagawa Kurusu (talking)","そう躾られてきましたから。","That is how I was trained.","Porque así es como hemos sido disciplinados."
"narrator","悪司は爪の手入れをしている。","Akuji is taking care of his nails.","Akuji se hace las uñas."
"Imagawa Kurusu (talking)","お呼びになりましたか？","Did you call for me?","¿Me has llamado?"
"Yamamoto Akuji (talking)","あーまーな。
 ……………","Ahhhh Maaanah.
 ……………","Ah-ma-na.
Disponible en: ……………"
"Imagawa Kurusu (talking)","何か？","Yes?","¿Sí?"
"Yamamoto Akuji (talking)","俺、こーいう勘、当たるんだけどよぉ。 お前さん、キリカに惚れてんのかい？","I have a hunch about this kind of thing. Are you in love with Kirika?","Tengo una corazonada sobre esto. ¿Estás enamorado de Kirika?"
"Imagawa Kurusu (talking)","慕っていますけど。","I adore it, though.","Sin embargo, los adoro."
"Yamamoto Akuji (talking)","…………","…………","…………"
"Imagawa Kurusu (talking)","何か？","Yes?","¿Sí?"
"Yamamoto Akuji (talking)","くえねーボーヤだ。 本心は見せないってか。","He's a nasty boya. You don't show your true feelings, do you?","Soy un chico malo. No muestras tus verdaderos sentimientos, ¿verdad?"
"Imagawa Kurusu (talking)","よく言われます。","It is often said.","A menudo se dice."
"Yamamoto Akuji (talking)","遅かったな。","Too late.","Demasiado tarde."
"Imagawa Kurusu (talking)","すみません。 少し、街の方に出ていたものですから…
 ………あの…","I'm sorry. I was out of town for a bit………… Um…","Lo siento. Estuve fuera de la ciudad por un tiempo, así que………… Um…"
"Yamamoto Akuji (talking)","ん？","Hmm?","¿Eh?"
"Imagawa Kurusu (talking)","……いえ…なんでもありません。","…… No…it's nothing.","…… No… no es nada."
"Yamamoto Akuji (talking)","あんたらにこんなモン、 必要ねーかもしんねーけど…
まあ、気持ちだ。 受け取っとくれ。","I don't know if you guys need this stuff, but…
It's just a feeling. Take it.","No sé si ustedes necesitan estas cosas, pero…
Bueno, es sólo una sensación. Tómalo."
"Imagawa Kurusu (talking)","お金ですか。 ありがとうございます。 気持ちと共に受け取らせて頂きます。","Is it money? Thank you very much. I will accept it with my feelings.","¿Es por el dinero? Muchas gracias. Lo recibiré con mis sentimientos."
"Yamamoto Akuji (talking)","何に使うんだい？","What do you use it for?","¿Para qué lo utilizas?"
"Imagawa Kurusu (talking)","何かの時の為に貯金させてもらいます。","I will save it for something.","Lo guardaré para algo."
"Yamamoto Akuji (talking)","年相応の買い物は、今のうちに 楽しんどかなきゃいけねーぞ。","You have to enjoy shopping for your age while you still can.","Tienes que disfrutar de las compras de tu edad mientras puedas."
"Yamamoto Akuji (talking)","おう、あんたがＰＭの若き戦士か。","Oh, you are the young warrior of PM.","Oh, eres el joven guerrero de la PM."
"Imagawa Kurusu (talking)","こんばんはと言っても支障のない 時間ですよね。","It's time to say good evening.","Es el momento de dar las buenas tardes sin obstáculos."
