"character","jap text","Eng","Esp"
"__system__??","{麦 = 1:","",""
"__system__??","{☆鹿の子 = 5:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 2:","",""
"__system__??","{B忠誠タイプ = 1:","",""
"__system__??","}","",""
"__system__??","{(B忠誠タイプ = 3) * (B忠誠心 > 70):","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 3:","",""
"__system__??","}","",""
"__system__??","{麦 = 4:","",""
"__system__??","}","",""
"__system__??","{麦 = 5:","",""
"__system__??","}","",""
"__system__??","{麦 = 10:","",""
"__system__??","}","",""
"__system__??","{麦 = 11:","",""
"__system__??","{☆鹿の子 = 5:","",""
"__system__??","{H愛欲 = 0:","",""
"__system__??","}","",""
"__system__??","{H愛欲 \ 0:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 12:","",""
"__system__??","{H愛欲 = 1:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 13:","",""
"__system__??","}","",""
"__system__??","{麦 = 15:","",""
"__system__??","}","",""
"__system__??","{麦 = 16:","",""
"__system__??","}","",""
"__system__??","{麦 = 17:","",""
"__system__??","{H拷問抵抗 < H拷問:","",""
"__system__??","}","",""
"__system__??","{H拷問 = 1:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 18:","",""
"__system__??","}","",""
"__system__??","{麦 = 19:","",""
"__system__??","}","",""
"Sasaki Kanoko (talking)","こ~んに~ちわ~。","Konnichiwa~!","Kon - kon - kon - kon."
"Yamamoto Akuji (talking)","おう。 しっかし、間延びした声だなー。","Oh. You've got a very pause voice, don't you?","Oh. Tienes una voz muy pausada, ¿no?"
"Sasaki Kanoko (talking)","そ~ですか~？","Is that so~?","¿Es así?"
"Yamamoto Akuji (talking)","夕子さんものんびり屋だけど、 あんたも相当だな。","You Yuuko are a laid-back person, but you're pretty good too.","Tú Yuuko eres una persona relajada, pero también eres bastante buena."
"Sasaki Kanoko (talking)","う~~ん…… そ~なんですか？","Ummm……… Is that so?","Ummm……… ¿Es así?"
"Yamamoto Akuji (talking)","メンドくせーから、 そーいうことにしとけや。","It's a pain in the ass, so let's just call it what it is.","Es un coñazo, déjalo así."
"Sasaki Kanoko (talking)","悪司さんは、大雑把ですぅ~。","Akuji is sooooo rough!","¡Akuji es taaaan duro!"
"Sasaki Kanoko (talking)","こ~んに~ちわ~。","Konnichiwa~!","Kon - kon - kon - kon."
"Yamamoto Akuji (talking)","へ~~え~~。","He~~e~.","Heh - eh - eh."
"Sasaki Kanoko (talking)","みのきちさん……","Minokichi ……","Minokichi: ……"
"Yamamoto Akuji (talking)","なんじゃ、そりゃ。","What's that?","¿Qué es eso?"
"Yamamoto Akuji (talking)","鹿の子。","Kanoko.","Kanoko."
"Sasaki Kanoko (talking)","は~い……んっ……","Hai~…… nn……","Sí…… nn……"
"narrator","悪司は鹿の子が振り向きざまに、くちづけた。 舌を入れ、ねっとりと愛撫する。","Akuji nipped Kanoko as she turned around. He puts his tongue in and caresses her slyly.","Akuji le dio un pellizco a Kanoko cuando se dio la vuelta. Mete la lengua y la acaricia socarronamente."
"Sasaki Kanoko (talking)","んっ…","Hmm…","Mmm…"
"narrator","濃厚なくちづけの後、 鹿の子の目はとろんとしていた。","After the thick kiss, Kanoko's eyes were vacant.","Después de un espeso beso, los ojos de Kanoko estaban vacíos."
"Yamamoto Akuji (talking)","脱ぐか？","You want me to take it off?","¿Quieres quitártelo?"
"Sasaki Kanoko (talking)","は……はい~……","is…… yes ~ ……","es…… sí - ……"
