"character","jap text","Eng","Esp"
"__system__??","{麦 = 1:","",""
"__system__??","{☆アエン = 10:","",""
"__system__??","}","",""
"__system__??","{☆アエン > 11:","",""
"__system__??","{(☆アエン３Ｐ = 0) * (D12 \ 0) * (B忠誠タイプ[D12] = 3):","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 2:","",""
"__system__??","{☆アエン = 11:","",""
"__system__??","}","",""
"__system__??","{(B忠誠タイプ = 3) * (B忠誠心 > 70):","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 3:","",""
"__system__??","}","",""
"__system__??","{麦 = 4:","",""
"__system__??","}","",""
"__system__??","{麦 = 5:","",""
"__system__??","}","",""
"__system__??","{(麦 = 10) + (麦 = 11):","",""
"__system__??","{H捕虜期間 = 1:","",""
"__system__??","}","",""
"__system__??","{H捕虜期間 = 2:","",""
"__system__??","}","",""
"__system__??","{H捕虜期間 = 3:","",""
"__system__??","}","",""
"__system__??","}","",""
"Yamamoto Akuji (talking)","………………
っ……おっせぇな……","………………
You're so slow, ……!","………………
Eres muy lento……"
"Chinpira (talking)","す、すみません、悪司さん。 遅くなっちまって。","Sorry, Akuji. I'm sorry I'm late.","Lo siento, lo siento, Akuji. Siento llegar tarde."
"Yamamoto Akuji (talking)","連れてこれたのかい？","Did you bring him in?","¿Pudiste traerlo?"
"Chinpira (talking)","は、はい。 こら、さっさとこっちにこいや！","Ha, yes. Hey, get your ass over here!","Ja, sí. ¡Oye, trae tu trasero aquí!"
"Hasekura Aen (talking)","何言ってんだい。 また私から一発、くらいたいのかい？","What are you saying? Do you want to get another Ippatsu from me?","¿Qué estás diciendo? ¿Quieres otro Ippatsu de mi parte?"
"Yamamoto Akuji (talking)","なーるほどねぇ。 こりゃ、連れてくるのに時間かかるわ。","I see what you mean. It's going to take a while to bring him in.","Ya veo. Esto va a llevar mucho tiempo."
"Hasekura Aen (talking)","ハン、何スカしてんだか。
それより、いつまでこんなトコ 閉じこめておく気なの？ さっさと出してよ。","Han, I don't know what you're doing.
How long are you going to keep me cooped up in here? Get me the hell out of here.","Han, no sé por qué estás merodeando.
 ¿Cuánto tiempo me vas a tener encerrado aquí? Sólo sácame de aquí."
"Yamamoto Akuji (talking)","なんだ、ホームシックか。","What's that, homesickness?","¿Qué, nostalgia?"
