character,jap text,Eng,Esp
__system__??,{麦 = 1:,,
__system__??,{(☆キリカ < 20) * (☆ＤＡＴＥ > 80) * (☆キリカ／金 \ 0):,,
__system__??,},,
__system__??,{☆キリカ = 11:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 2:,,
__system__??,{B忠誠タイプ = 1:,,
__system__??,},,
__system__??,{(B忠誠タイプ = 3) * (B忠誠心 > 70):,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 3:,,
__system__??,},,
__system__??,{麦 = 4:,,
__system__??,},,
__system__??,{麦 = 5:,,
__system__??,},,
__system__??,{麦 = 10:,,
__system__??,},,
__system__??,{麦 = 11:,,
__system__??,{☆キリカ < 11:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 12:,,
__system__??,{H愛欲 = 1:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 13:,,
__system__??,},,
__system__??,{麦 = 15:,,
__system__??,},,
__system__??,{麦 = 16:,,
__system__??,},,
__system__??,{麦 = 17:,,
__system__??,{H拷問抵抗 < H拷問:,,
__system__??,},,
__system__??,{H拷問 = 1:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 18:,,
__system__??,},,
__system__??,{麦 = 19:,,
__system__??,},,
Hasekura Kirika (talking),ごきげんよう、悪司さん。,"Good day, Akuji.","Buenos días, Akuji."
Yamamoto Akuji (talking),おう。 どーだい、ここの生活は？,Oh. How's life here?,Oh. ¿Cómo es la vida aquí?
Hasekura Kirika (talking),"はい。 大変楽しく過ごさせて頂いてます。
番茶が、あのように美味しいものだと 知りませんでしたわ。","Yes, I am. I am enjoying it very much.
I didn't know that Bancha tastes as good as it does.","Sí. Lo estoy disfrutando mucho.
No sabía que la bancha supiera tan bien como lo hace."
Yamamoto Akuji (talking),………それ、他の庶民の前で言うなよ… 嫌われるから……,……… Don't say that in front of the rest of the folks… they'll hate you……,……… No digas eso delante del resto del público… te odiarán……
Hasekura Kirika (talking),わかりました。,I understand.,Entendido.
