character,jap text,Eng,Esp
__system__??,{麦 = 1:,,
__system__??,{☆ハイネ = 20:,,
__system__??,},,
__system__??,{☆ハイネ > 24:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 3:,,
__system__??,},,
__system__??,{麦 = 10:,,
__system__??,{RND \ 0:,,
__system__??,},,
__system__??,{RND \ 0:,,
__system__??,},,
__system__??,{D11 = 2:,,
__system__??,},,
__system__??,},,
Hasekura Haine (talking),失礼します。,Excuse me.,Disculpen.
Momoyama Linda (talking),なんでちゅか？,Why?,¿Por qué?
Yamamoto Akuji (talking),おう。,Oh.,Oh.
Momoyama Linda (talking),やっと、ハイネを戦わせる事に したでちゅか？,Have you finally decided to let Haine fight?,¿Has decidido finalmente dejar que Haine luche?
Yamamoto Akuji (talking),いやいや、そーじゃねえ。,"No, no, no, no.","No, no, no, no."
Momoyama Linda (talking),"早くしてもらえないでちゅか？ わたし、こんなちっちゃいとこに住むの 初めてで、落ち着かないのでちゅけど。
後、水がおいちくないでちゅ。","Can you please hurry up? I've never lived in such a tiny place before, and I don't feel at home.
Also, the water doesn't taste good.","¿Puede darse prisa, por favor? Nunca había vivido en un lugar tan pequeño como éste, y no me siento como en casa.
Además, el agua no sabe bien."
Yamamoto Akuji (talking),ヒラカタ住民に、それを言われたく ね~けどな~…,I don't want to hear that from the residents of Hirakata…,No quiero oír eso de los residentes de Hirakata…
Hasekura Haine (talking),お呼びでしょうか？,You wanted to see me?,"¿Quería verme, señor?"
Yamamoto Akuji (talking),おう。,Oh.,Oh.
Momoyama Linda (talking),"悪司、お布団なんでちゅが、 水鳥の羽毛１００％のものと取り替えて くだちゃいません？
綿は重いわ、固いわで、寝にくいでちゅ。","Akuji, could you please replace the futon with one made of 100% waterfowl feathers?
Cotton is heavy, hard, and hard to sleep on.","Akuji, ¿podrías cambiar tu edredón por uno hecho 100% de plumas de aves acuáticas?
El algodón es pesado, duro y difícil de dormir."
Yamamoto Akuji (talking),綿のおも~い上布団と、せんべい布団で 寝るのが、健康に一番いいんだよ。,Sleeping on a heavy cotton top and a rice cracker quilt is the best way to stay healthy.,Dormir sobre un pesado top de algodón y una colcha de galletas de arroz es lo mejor para la salud.
Momoyama Linda (talking),"庶民の詭弁でちゅわ。
でも、もう少しの我慢でちゅわね。 ハイネが後、","It's the sophistry of the common man.
But we have to be patient a little longer. Haine will be back later.","Es el sofisma del hombre común.
Pero tenemos que ser pacientes un poco más. Haine volverá más tarde."
Momoyama Linda (talking),回 戦えばいい事でちゅから。,It's a good thing to fight once.,Es cuestión de luchar una batalla a la vez.
Hasekura Haine (talking),そうですね、リンダ様。,"Yes, Dear Linda.","Sí, querida Linda."
Yamamoto Akuji (talking),おう。,Oh.,Oh.
Hasekura Haine (talking),失礼します。,Excuse me.,Disculpen.
Momoyama Linda (talking),フン。,Hm.,Hm.
Hasekura Haine (talking),悪司様。,Dear Akuji.,Querido Akuji.
Yamamoto Akuji (talking),なんだい？,What is it?,¿Qué es?
Hasekura Haine (talking),"この前の戦闘で、約束していた回数を 果たしました。
ですので、近いうちにわたくしは リンダ様を連れ、お暇を頂きます。","I have fulfilled the number of times I promised to do so in the last battle.
Therefore, I will be taking Linda with me in the near future.","En la última batalla, he cumplido el número de veces que había prometido.
Por lo tanto, en un futuro próximo, me llevaré a Linda conmigo y te dejaré."
Yamamoto Akuji (talking),"そーか、そーいやそうだったな。
なあ、ハイネ。 気は変わんねーか？ このまま、うちで働いてくれよ。","Oh, yeah, that's right.
Hey, Haine. Are you changing your mind? Keep working for us, will you?","Oh, sí, eso es.
Hola, Haine. ¿Cambias de opinión? Sigue trabajando para nosotros, ¿quieres?"
Hasekura Haine (talking),"わたくしは、リンダ様のものです。 今回の戦闘参加も、リンダ様を守る為。
こちらの組織がリンダ様をボスとして 仰ぐのでしたら、わたくしはここで 働かせて頂きますが。","I belong to Linda. My participation in this battle is to protect Lady Linda.
If this organization wants Linda to be the boss, I will work here.","Soy de Linda. Me uní a la batalla esta vez para proteger a Lady Linda.
Si esta organización te quisiera como jefe, estaría encantado de trabajar aquí."
Yamamoto Akuji (talking),それは無理な相談だなー…,That's impossible to discuss…,Esa es una consulta imposible…
Momoyama Linda (talking),先に無理を言ってるのは、 そっちでちゅわ。,You're the one who's asking for the impossible.,Tú eres el que pide lo imposible primero.
Yamamoto Akuji (talking),つまんねーもんだけど、 これ、受け取ってくんねーか？,"I know it's boring, but will you take this?","Sé que es un poco aburrido, pero ¿puedes aceptar esto?"
narrator,悪司はハイネにお金の入った封筒を渡した。,Akuji gave Haine an envelope containing money.,Akuji le dio a Haine un sobre con dinero.
Hasekura Haine (talking),お心遣いだけ頂いておきます。,I'll just take your concern.,Sólo aceptaré su preocupación.
Yamamoto Akuji (talking),金には興味ねーのか？,Don't you care about money?,¿No te importa el dinero?
Hasekura Haine (talking),いえ……その程度の金額なら、 頂いても意味がないので…… 別の事にお使い下さい。,"No,…… if it's that much money, there's no point in taking it, so please spend it on…… something else.","No,…… si es tanto dinero, no tiene sentido cogerlo, así que por favor gástalo en…… otra cosa."
Yamamoto Akuji (talking),あ~~ま~ね~… あんたら、金持ちだからね~…,Ah~ well… you guys are rich…,Ah~ bueno… ustedes son ricos…
Yamamoto Akuji (talking),おう、きたか。,"Oh, here you are.","Oh, aquí está."
Momoyama Linda (talking),あたち達の処刑方法でも 決まったでちゅか？,Have you decided on a method of execution for us?,¿Ha decidido un método de ejecución para nosotros?
Hasekura Haine (talking),…………………,…………………,…………………
Yamamoto Akuji (talking),そー達観した顔すんなよ。 釈放してやるよ。,Don't look so complacent. I'll let you go.,No parezcas tan complaciente. Voy a dejar que te vayas.
Hasekura Haine (talking),―――？,―――？,―――？
Momoyama Linda (talking),どーいう事でちゅか？,What do you mean?,¿Qué quieres decir?
Yamamoto Akuji (talking),いや、タダでとは言わね。 条件がある。,"No, I don't say for free. There are conditions.","No, yo no diría que es gratis. Hay condiciones."
Momoyama Linda (talking),あんたと結婚なんて 死んでもいやでちゅよ！,I won't marry you even if it kills me!,"¡No me casaría contigo, aunque me mate!"
Yamamoto Akuji (talking),"バーカ。 俺をあのヌケサク市長と 一緒にすんな。
ＰＭを解散しろ。","You idiot. Don't put me in the same room with that idiot mayor.
Disband the PM.","Baka. No me pongas en la misma habitación que ese alcalde sin sentido.
Disuelve el PM."
Momoyama Linda (talking),なっ……！！,Hey ……!!!!!!!,¡¡¡¡¡¡¡Nah ……!!!!!!!
Yamamoto Akuji (talking),条件はそれだけだ。 どーだ？,That's the only condition. How's that?,Esa es la única condición. ¿Cómo va todo?
Momoyama Linda (talking),"そ、その条件は、あたちが一番 嫌な条件ではないでちゅか！！
そんな条件飲むぐらいなら……","Well, those are the most disgusting conditions for us!
I'd rather accept such conditions than ……","¿No son esos los términos que más odiamos?
Prefiero ……"
Hasekura Haine (talking),承知いたしました。,"Yes, sir.",Se ha tomado nota.
Momoyama Linda (talking),ハイネ！？,Haine!,¡¡¡Haine!!!
Yamamoto Akuji (talking),よし、決まった。 これで俺が、オオサカの支配者だ。,"Okay, it's decided. I am now the ruler of Osaca.","Bien, está decidido. Ahora soy el gobernante de Osaca."
Hasekura Haine (talking),よしなに。,"All right, then.","Muy bien, entonces."
Momoyama Linda (talking),ハイネ！！,Haine!,"¡Una vez más, el hombre de la calle se ha convertido en un hombre de la calle!"
Hasekura Haine (talking),それでは参りましょう、リンダ様。,"Let's go now, Ms. Linda.","Ahora vamos con usted, Lady Linda."
narrator,ハイネはリンダを胸の中に担いだ。,Haine carried Linda in his chest.,Haine llevaba a Linda en su pecho.
Momoyama Linda (talking),ハイネっ……,Haineっ……,Haine……
Hasekura Haine (talking),奴は、解散しろとだけ言いました。,"All he said was, break it up.",Todo lo que dijo fue que se separaran.
narrator,ハイネはリンダにだけ聞こえる 小さな声で言う。,Haine says in a small voice that only Linda can hear.,Haine dice en voz baja que sólo Linda puede oír.
Momoyama Linda (talking),え……？,"What, ……?",¿Qué? ……?
Hasekura Haine (talking),新しく組織を作っては駄目だとは 言いませんでした。,I didn't say that we shouldn't create a new organization.,No hemos dicho que no deban formarse nuevas organizaciones.
Momoyama Linda (talking),あ……,A……,A……
Hasekura Haine (talking),"その条件をつけ加えられる前に、 交渉を成立させました。 今はこれで堪えて下さい。
リンダ様が生きていれば、 ＰＭは不滅ですから…","We got the deal done before they added that condition. Please bear with us now.
As long as Linda is alive, PM will be immortal…","Conseguimos negociar antes de que añadieran esa condición. Por favor, tened paciencia con esto por ahora.
Mientras Linda esté viva, la PM será inmortal…"
Momoyama Linda (talking),……わかりまちたわ……,……I see what you mean: ……,…… Lo entiendo……
Chinpira (talking),待て、コラ！！ そっちは出口だろ！！ どこ行く気だ！？,"Wait, hey, hey! That's the exit! Where the hell are you going?","¡Espera, oye, oye, oye! ¡Esa es la salida! ¿A dónde vas?"
narrator,"奉仕青年団から出て行こうとする ハイネの道を阻む、チンピラ。
ハイネは黙って、その男を見る。","A thug blocks Haine's path as he tries to leave the service youth group.
Haine silently looks at the man.","Un matón bloquea el camino de Haine cuando intenta salir del grupo de jóvenes del servicio.
Haine mira en silencio al hombre."
Chinpira (talking),っ………えっ…,I'm not sure what you mean…,No estoy seguro…
narrator,その眼光の鋭さに、チンピラはその場で へなへなと腰を抜かした。,The sharpness of his eyes made the hoodlums slump down on the spot.,La agudeza de sus ojos hizo que el matón se desplomara en el acto.
narrator,ハイネはそのままリンダを連れ、 さっさと地下室から出て行ってしまった。,Haine quickly left the basement with Linda in tow.,Haine salió rápidamente de la bodega con Linda a cuestas.
