"character";"jap text";"Eng";"Esp"
"__system__??";"{麦 = 1:";"";""
"__system__??";"{☆春風 < 10:";"";""
"__system__??";"}";"";""
"__system__??";"{(☆春風 = 10) * (I装備[2] = 99):";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 2:";"";""
"__system__??";"{B忠誠心 > 70:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 3:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 4:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 5:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 10:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 11:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 12:";"";""
"__system__??";"{H愛欲 = 1:";"";""
"__system__??";"}";"";""
"__system__??";"{(H愛欲抵抗 <= H愛欲) * (D11 = 0):";"";""
"__system__??";"}";"";""
"__system__??";"{(H愛欲抵抗 <= H愛欲) * (D11 \ 0):";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 13:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 15:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 16:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 17:";"";""
"__system__??";"{H拷問抵抗 < H拷問:";"";""
"__system__??";"}";"";""
"__system__??";"{H拷問 = 1:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 18:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 19:";"";""
"__system__??";"}";"";""
"Harukaze (talking)";"なんだよ。";"What is it?";"Qué es."
"Yamamoto Akuji (talking)";"春風…春風……";"Harukaze…Harukaze……";"Harukaze…Harukaze……"
"Harukaze (talking)";"何、人の名前、連呼してんだよ。";"What are you calling people's names?";"¿Por qué llamas a la gente por su nombre?"
"Yamamoto Akuji (talking)";"おう。 これってさ、名前か名字、 どっちかなっと思ってよ。";"Oh. I was wondering if this is a first name or a last name.";"Oh. Me preguntaba si es un nombre o un apellido."
