"character","jap text","Eng","Esp"
"__system__??","{麦 = 1:","",""
"__system__??","}","",""
"__system__??","{麦 = 3:","",""
"__system__??","}","",""
"__system__??","{麦 = 10:","",""
"__system__??","{RND \ 0:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 11:","",""
"__system__??","{RND \ 0:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 13:","",""
"__system__??","}","",""
"__system__??","{麦 = 15:","",""
"__system__??","}","",""
"__system__??","{麦 = 16:","",""
"__system__??","}","",""
"__system__??","{麦 = 17:","",""
"__system__??","{H拷問抵抗 < H拷問:","",""
"__system__??","}","",""
"__system__??","{H拷問 = 1:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 18:","",""
"__system__??","}","",""
"__system__??","{RND \ 0:","",""
"narrator","悪司は盾を呼んだが、盾は現れなかった。","Akuji called Tate, but Tate did not show up.","Akuji llamó a Tate, pero Tate no apareció."
"__system__??","}","",""
"Tate (talking)","………………","………………","………………"
"Yamamoto Akuji (talking)","いつの間にきてたんだ。","When did you come?","¿Cuándo has venido?"
"Yamamoto Akuji (talking)","これ、すくねえけど取っといてくれや。","Keep this one, even though it's a bit small.","Quédate con este, aunque es un poco inestable."
"narrator","と、悪司はお金の入った封筒を 机の上に置いた。","And Akuji put the envelope containing the money on the desk.","Y Akuji puso el sobre con el dinero sobre el escritorio."
"Tate (talking)","…………","…………","…………"
"narrator","が、盾はそれを悪司の方に差し出した。","But Tate offered it to Akuji.","pero Tate se lo ofreció a Akuji."
"Yamamoto Akuji (talking)","なんだ、いらねぇのか。","What, you don't want it?","¿Qué, no lo quieres?"
"Tate (talking)","…………","…………","…………"
"Tate (talking)","………………","………………","………………"
"Yamamoto Akuji (talking)","でけーな、あんた。 ２メートルはあるか？","You're a big guy, aren't you? What's that, two meters?","Eres un tipo grande, ¿no? ¿Dos metros?"
"Tate (talking)","…………………","…………………","…………………"
"Yamamoto Akuji (talking)","なんだ、口がきけねーのか？","What, you can't talk?","¿Qué, no puedes hablar?"
"Tate (talking)","………………","………………","………………"
"Yamamoto Akuji (talking)","恥ずかしがり屋さんか。","You're shy, huh?","¿Es usted tímido?"
"Tate (talking)","……………","……………","……………"
