character,jap text,Eng,Esp
narrator,は、 悪司が渡した金を受け取った。,received the money given by Akuji.,recibió el dinero entregado por Akuji.
?? (talking),これ、いるか？,Do you want this?,¿Quieres esto?
narrator,は、受け取った。 少しうれしそうな気がする。,received. He seems a little happy.,ha recibido. Parece un poco feliz.
narrator,悪司は、,Akuji is a,Akuji es un
narrator,を抱き寄せると そのままベッドルームへ連れていった。,He took her into his bedroom.,y la llevó directamente al dormitorio.
narrator,は抵抗したが、 最後には悪司に抱かれた。,"The Akuji resisted, but in the end he was embraced by Akuji.","se resistió, pero finalmente fue abrazado por Akuji."
narrator,悪司は、,Akuji is a,Akuji es un
narrator,を抱き寄せた。,He embraced the,abrazado.
narrator,は、悪司にたっぷりと かわいがられ、彼の躰から離れられなくなった。,The Akuji was so pampered by the Akuji that she could not leave his body.,La Akuji estaba tan mimada por la Akuji que era incapaz de abandonar su cuerpo.
narrator,は、抵抗したが 無理矢理ベッドルームに連れて行った。,"resisted, but I forced him into the bedroom.","se resistió, pero le obligó a entrar en el dormitorio."
narrator,は、悪司にたっぷりと抱かれ 悪司無しでは生きられない躰にされた。,The Akuji was held by the Akuji so much that the body could not live without the Akuji.,El Akuji fue sostenido por el Akuji en abundancia y convertido en un cuerpo que no podía vivir sin el Akuji.
Yamamoto Akuji (talking),俺の女になれ。いいな。,Be my woman. I want you to be my girl.,Sé mi mujer. Muy bien.
narrator,は、悪司の女となり,becomes the woman of Akuji and,se convirtió en la mujer de Akuji y
narrator,給与は、削って,Salaries are to be cut and,"Los salarios, reducidos."
narrator,０万円となった。,0 million yen.,0 millones.
narrator,悪司は、,Akuji is a,Akuji es un
narrator,を呼び出した。,called out.,Llamada.
__system__??,{B地域 = 1:,,
narrator,は、事務所内にいたので すぐに現れた。,was in the office and showed up immediately.,estaba en la oficina y apareció inmediatamente.
__system__??,},,
__system__??,{B地域 \ 1:,,
narrator,は、,is,es
__system__??,{RND = 1:,,
narrator,タクシー,cab,taxi
__system__??,},,
__system__??,{RND = 2:,,
narrator,自家用車,private automobile,automóvil privado
__system__??,},,
__system__??,{RND = 3:,,
narrator,徒歩,walking,soldado de a pie (periodo Edo)
__system__??,},,
__system__??,{RND = 4:,,
narrator,走り,"the first (harvest, catch) of the season","la primera (cosecha, captura) de la temporada"
__system__??,},,
__system__??,{RND = 5:,,
narrator,子分連れ,accompanied by one's child,"llevar a los hijos (a un evento, a un nuevo matrimonio, etc.)"
__system__??,},,
__system__??,{RND = 6:,,
narrator,歩き,walking,caminar
__system__??,},,
narrator,で急いで現れた。,He showed up in a hurry at the,Apareció a toda prisa en el
__system__??,},,
narrator,悪司は、,Akuji is a,Akuji es un
narrator,を呼び出した。,called out.,Llamada.
narrator,が現れた。,appeared.,apareció.
 (talking),あの……お友達が入団したいって…… 名前は、,"You know,…… your friend wants to join the group…… his name is…",Ese amigo tuyo de…… quiere unirse al grupo…… Se llama.
 (talking),ちゃんです。,You are.,Chan.
narrator,の入団を許可しますか？,Do you allow the admission of,¿Permite la admisión de
__system__??,{RETURN = 1:,,
 (talking),ありがとうございます。 彼女、喜ぶと思います。,Thank you very much. I think she will be pleased.,Muchas gracias. Creo que estará encantada.
narrator,と言って、二人は仲良く戻っていった。,The two returned in good humor.,y volvieron de buen humor.
Yamamoto Akuji (talking),おいおい、俺の用事は終わってない…… まっ、いいか。,"Hey, my business is not done…… Well, okay.","Oye, oye, mi negocio no está hecho…… Bueno, está bien."
__system__??,},,
__system__??,{RETURN = 2:,,
