"character","jap text","Eng","Esp"
"__system__??","{地域番号 = 1:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 2:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 3:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 4:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 5:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 6:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 7:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 8:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 9:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 10:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 11:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 12:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 13:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 14:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 15:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 16:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 17:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 18:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 19:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 20:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 21:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 22:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 23:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 24:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 25:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 26:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 27:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 28:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 29:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 30:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 31:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 32:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 33:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 34:","",""
"__system__??","}","",""
"__system__??","{D01 = 0:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 1:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 2:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 3:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 4:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 5:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 6:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 7:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 8:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 9:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 10:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 11:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 12:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 13:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 14:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 15:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 16:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 17:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 18:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 19:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 20:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 21:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 22:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 23:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 24:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 25:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 26:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 27:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 28:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 29:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 30:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 31:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 32:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 33:","",""
"__system__??","}","",""
"__system__??","{地域番号 = 34:","",""
"__system__??","}","",""
"??","　　　　　――ミドリガオカ――　　　　　","--Midorigaoka--","-- Green Gawk --."
"??","　　　　　――ミドリガオカ――　　　　　","--Midorigaoka--","-- Green Gawk --."
"??","　　　　　 奉仕青年団訓練道場 　　　　　","Servant Youth Corps Training Dojo","Dojo de formación del Cuerpo de Jóvenes de Servicio"
"??","　　　　　――ミドリガオカ――　　　　　","--Midorigaoka--","-- Green Gawk --."
"??","　　　　　　奉仕青年団事務所　　　　　　","Service Youth Corps Office","Oficina del Cuerpo de Jóvenes del Servicio"
"??","　　　　　――ミドリガオカ――　　　　　","--Midorigaoka--","-- Green Gawk --."
"??","　　　　 事務所の前の寂れた通り 　　　　","Lonely street in front of the office.","Calle solitaria frente a la oficina."
"??","　　　　　――ミドリガオカ――　　　　　","--Midorigaoka--","-- Green Gawk --."
"??","　　　　　　　 悪司の部屋 　　　　　　　","Akuji's room","La habitación de Akuji."
"??","　　　　　――ミドリガオカ――　　　　　","--Midorigaoka--","-- Green Gawk --."
"??","　　　　　　　　 地下室 　　　　　　　　","basement","sótano"
"??","　　　　　――ミドリガオカ――　　　　　","--Midorigaoka--","-- Green Gawk --."
"??","　　　　　　　地下牢　深夜　　　　　　　","Dungeon Late night","Mazmorras, a altas horas de la noche."
"??","　　　　　――ミドリガオカ――　　　　　","--Midorigaoka--","-- Green Gawk --."
"??","　　　　　　　　 炊事場 　　　　　　　　","kitchen","cocina"
"??","　　　　　――ミドリガオカ――　　　　　","--Midorigaoka--","-- Green Gawk --."
"??","　　　　　　夕子の選挙事務所　　　　　　","Yuuko's campaign office","Oficina electoral de Yuuko."
"??","　　　　　――ミドリガオカ――　　　　　","--Midorigaoka--","-- Green Gawk --."
"??","　　　　　　 殺の選挙事務所 　　　　　　","Satsu's campaign office","Oficina electoral de Satsu"
"??","　　　　　――ミドリガオカ――　　　　　","--Midorigaoka--","-- Green Gawk --."
"??","　　　　　　　　 投票所 　　　　　　　　","polling place","colegio electoral"
"??","　　　　　――ミドリガオカ――　　　　　","--Midorigaoka--","-- Green Gawk --."
"??","　　　　　　　 ばばあ長屋 　　　　　　　","tenement house for grandmothers","casa de vecindad para ancianas"
"??","　　　　　　 ――サカイ―― 　　　　　　","--Sakai--","-- Sakai--"
"??","　　　　　　 ――サカイ―― 　　　　　　","--Sakai--","-- Sakai--"
"??","　　　　　　　　天才病院　　　　　　　　","teaching hospital","hospital universitario"
"??","　　　　　　 ――センリ―― 　　　　　　","--Senri--","--Senri--"
"??","　　　　　　 ――センリ―― 　　　　　　","--Senri--","--Senri--"
"??","　　　　　　　わかめ組本部　　　　　　　","Wakamegumi Headquarters","Sede de Wakamegumi"
"??","　　　　　　 ――センリ―― 　　　　　　","--Senri--","--Senri--"
"??","　　　　　　 わかめ組本部前 　　　　　　","In front of Wakamegumi Headquarters","Frente a la sede del grupo Wakame"
"??","　　　　　　 ――センリ―― 　　　　　　","--Senri--","--Senri--"
"??","　　　　わかめ組本部　組長執務室　　　　","Wakamegumi Headquarters","Sede de Wakame Gumi, oficina del líder sindical"
"??","　　　　　　 ――センリ―― 　　　　　　","--Senri--","--Senri--"
"??","　　　　わかめ組本部　夕子の部屋　　　　","Wakamegumi Headquarters Yuuko's Room","Cuartel general de Wakamegumi Habitación de Yuuko"
"??","　　　　　　 ――センリ―― 　　　　　　","--Senri--","--Senri--"
"??","　　　　　　　 サンタワー 　　　　　　　","Sun Tower","Torre del Sol"
"??","　　　　　　 ――イコマ―― 　　　　　　","--I'm not sure what you're talking about.","-- Ikoma--"
"??","　　　　　　 ――イコマ―― 　　　　　　","--I'm not sure what you're talking about.","-- Ikoma--"
"??","　　　　　　　ローカルＴＶ　　　　　　　","local television","televisión local"
"??","　　　　　　 ――イコマ―― 　　　　　　","--I'm not sure what you're talking about.","-- Ikoma--"
"??","　　　　　　 ローカルＴＶ前 　　　　　　","In front of local TV","Frente a la televisión local"
"??","　　　　　　 ――イコマ―― 　　　　　　","--I'm not sure what you're talking about.","-- Ikoma--"
"??","　　　　　　武器屋　たんたん　　　　　　","Arms dealer, Dantan","traficante de armas"
"??","　　　　　　 ――イコマ―― 　　　　　　","--I'm not sure what you're talking about.","-- Ikoma--"
"??","　　　　　 武器屋　たんたん前 　　　　　","Arms shop, in front of the Dantan","Tienda de armas, frente al Tan-Tan"
"??","　　　　　　――イコマ――　　　　　　","--I'm not sure what you're talking about.","-- Ikoma--"
"??","　　　　　　 わかめ組　道場 　　　　　　","Wakame-gumi Dojo","Grupo Wakame Dojo"
"??","　　　　　　 ――ヘグリ―― 　　　　　　","--Hegri--","--Hegri--"
"??","　　　　　　 ――ヘグリ―― 　　　　　　","--Hegri--","--Hegri--"
"??","　　　　　　　　 貴神邸 　　　　　　　　","Kishin residence","Residencia Kishin."
"??","　　　　　　 ――ヘグリ―― 　　　　　　","--Hegri--","--Hegri--"
"??","　　　　　　　　貴神邸前　　　　　　　　","In front of Kishin residence","Frente a la residencia Kishin."
"??","　　　　　　 ――ヘグリ―― 　　　　　　","--Hegri--","--Hegri--"
"??","　　　　　　　　 竹井邸 　　　　　　　　","Takei residence","Residencia Takei"
"??","　　　　　　 ――ヘグリ―― 　　　　　　","--Hegri--","--Hegri--"
"??","　　　　　　　　竹井邸前　　　　　　　　","In front of Takei residence","Frente a la residencia Takei"
"??","　　　　　　 ――ハクア―― 　　　　　　","--Hakua--","--Hakua--."
"??","　　　　　　 ――ハクア―― 　　　　　　","--Hakua--","--Hakua--."
"??","　　　　　　　 ハクアの森 　　　　　　　","Mori of Haqua","Mori de Haqua"
"??","　　　　　　 ――ヒノデ―― 　　　　　　","--Hinode--","-- Hinode --."
"??","　　　　　　 ――ヒノデ―― 　　　　　　","--Hinode--","-- Hinode --."
"??","　　　　　　 ヒノデ森林公園 　　　　　　","HinodeMoriLin Park","HinodeMoriLin Park"
"??","　　　　　　 ――ハルセ―― 　　　　　　","--Harce--","-- Halse--."
"??","　　　　　　 ――ハルセ―― 　　　　　　","--Harce--","-- Halse--."
"??","　　　　　　　　 市議会 　　　　　　　　","city council","ayuntamiento de la ciudad"
"??","　　　　　　 ――ハルセ―― 　　　　　　","--Harce--","-- Halse--."
"??","　　　　　　　市議会　受付　　　　　　　","City Council Reception","Recepción del Ayuntamiento"
"??","　　　　　　 ――ハルセ―― 　　　　　　","--Harce--","-- Halse--."
"??","　　　　　　　市議会前の道　　　　　　　","Street in front of the City Council","Carretera frente al Ayuntamiento"
"??","　　　　　　 ――ハルセ―― 　　　　　　","--Harce--","-- Halse--."
"??","　　　　　　　　 市長室 　　　　　　　　","Mayor's Office","Oficina del alcalde"
"??","　　　　　　 ――ハルセ―― 　　　　　　","--Harce--","-- Halse--."
"??","　　　　　　　治安課課長室　　　　　　　","Office of the Chief, Public Safety Division","Oficina del Jefe de la Sección de Seguridad"
"??","　　　　　　 ――ハルセ―― 　　　　　　","--Harce--","-- Halse--."
"??","　　　　　　　 毛ガニ劇場 　　　　　　　","Theater of the Hairy Crab","Teatro del Cangrejo Peludo"
"??","　　　　　　 ――ハルセ―― 　　　　　　","--Harce--","-- Halse--."
"??","　　　　　　　毛ガニ劇場前　　　　　　　","In front of the hairy crab theater","Frente al Teatro del Cangrejo Peludo"
"??","　　　　　　――クロモン――　　　　　　","--Cromon--","-- Cromon--."
"??","　　　　　　――クロモン――　　　　　　","--Cromon--","-- Cromon--."
"??","　　　　　　　　 商店街 　　　　　　　　","shopping district","calle comercial"
"??","　　　　　　――クロモン――　　　　　　","--Cromon--","-- Cromon--."
"??","　　　　　　　　志津の店　　　　　　　　","Shizu's store","Tienda Shizu."
