"character";"jap text";"Eng";"Esp"
"menu_label__(L_00ed0)";"エフェクト";"effect";"efecto"
"menu_label__(L_00a8c)";"ＯＰ実験";"OP Experiments";"Experimentos OP"
"menu_label__(L_00151)";"ＯＰ実験２";"OP Experiment 2";"Experimento OP 2."
"menu_label__(L_000cb)";"文字出るのん";"Letter output";"teletexto"
"menu_label__(L_0192a)";"ウエイト設定";"Weight setting";"el peso (en el boxeo, etc.)"
"menu_label__(L_01a54)";"さやうなら";"good-bye";"adiós"
"narrator";"真っ黒な中に、「大悪司」というのかポツンと。 この時は無音です。で、この状態からＯＰ１が 流れこんできます。そして、ＣＧ表示。";"In the pitch black, there is a pause in the “large Akuji”. At this time, there is no sound. Then, from this state, OP1 comes in. Then, CG is displayed.";"En la oscuridad total, hay un bache llamado “Gran Akuji”. En este momento no hay sonido. Entonces, a partir de este estado, el OP1 comienza a entrar. A continuación, se muestra el CG."
"narrator";"ＯＰ１が左から右に横スクロール 表示されている絵は中央。";"OP1 scrolls horizontally from left to right. The picture displayed is in the center.";"OP1 se desplaza horizontalmente de izquierda a derecha La imagen mostrada está en el centro."
"narrator";"ＯＰ１が左から右に横スクロール 表示されている絵は中央。";"OP1 scrolls horizontally from left to right. The picture displayed is in the center.";"OP1 se desplaza horizontalmente de izquierda a derecha La imagen mostrada está en el centro."
"narrator";"ＯＰ２が左から右に横スクロール 表示されている絵は中央。";"OP2 scrolls horizontally from left to right The picture displayed is in the center.";"OP2 se desplaza horizontalmente de izquierda a derecha La imagen mostrada está en el centro."
"narrator";"ＯＰ２が左から右に横スクロール 表示されている絵は中央。";"OP2 scrolls horizontally from left to right The picture displayed is in the center.";"OP2 se desplaza horizontalmente de izquierda a derecha La imagen mostrada está en el centro."
"narrator";"ＯＰ３が左から右に横スクロール 表示されている絵は中央。";"OP3 scrolls horizontally from left to right The picture displayed is in the center.";"OP3 se desplaza horizontalmente de izquierda a derecha La imagen mostrada está en el centro."
"narrator";"ＯＰ３が左から右に横スクロール 表示されている絵は中央。";"OP3 scrolls horizontally from left to right The picture displayed is in the center.";"OP3 se desplaza horizontalmente de izquierda a derecha La imagen mostrada está en el centro."
