character,jap text,Eng,Esp
narrator,"キョウの政府中枢組織より、１２名の男達が 電車に乗って現れた。
華やかな街の雰囲気とはそぐわない 一団だった。","Twelve men from the central government organization of Keogh appeared on a train.
It was a group of men who did not fit in with the glamorous atmosphere of the city.","Un grupo de 12 hombres de la organización del gobierno central en Keogh apareció en un tren.
El grupo no encajaba en el ambiente glamuroso de la ciudad."
senkyokanriiin (talking),さて、着いたぞ。,"Well, here we are.","Bueno, aquí estamos."
senkyokanriiin (talking),ここがオオサカか…,So this is Osaca…,Así que esto es Osaca…
senkyokanriiin (talking),君は、初めてか。,Is this your first time?,"¿Es usted, por primera vez."
senkyokanriiin (talking),はい。,Yes.,Sí.
narrator,彼らは、選挙管理委員会。 公正に選挙が行われるように国から派遣された 者達である。,They are the Election Commission. They are the people dispatched by the government to ensure that elections are conducted fairly.,Son las comisiones electorales. Son enviados por el Estado para garantizar que las elecciones se celebren de forma justa.
senkyokanriiin (talking),情報では、地域管理組合が市議会を 攻撃し、市長を抹殺したとか…,"According to our information, the local management union attacked the city council and eliminated the mayor Satsu…",Las fuentes dicen que la asociación de gestión regional atacó al ayuntamiento y eliminó al alcalde Satsu…
senkyokanriiin (talking),"事実だとしても、 それは我らには関係ない。
我らは、新しい市長を公正に 選挙にて選ぶのみ。","Even if it is true, it does not matter to us.
We will only elect a new mayor in a fair election.","Aunque sea cierto, no nos importa.
Sólo elegiremos un nuevo alcalde en unas elecciones justas."
senkyokanriiin (talking),民主主義の根幹ですな。,It's the foundation of democracy.,Es la base de la democracia.
senkyokanriiin (talking),"皆で選ぶ、多数決は絶対。 少数意見は無視。 それが選挙だ。
では、さっそく選挙の準備に 取りかかろう。
この地区の主立った地域管理組合を 集めて協力させるのだ。","Everyone chooses, majority rule is absolute. Minority opinion is ignored. That's what elections are all about.
So, let's get to work preparing for the election.
We need to gather the main local management associations in the area and get them to cooperate with us.","Cada uno elige, la regla de la mayoría es absoluta. Se ignora la opinión de la minoría. En eso consisten las elecciones.
Así que empecemos a preparar las elecciones.
Reúne a las principales asociaciones de gestión local de la zona y haz que cooperen."
senkyokanriiin (talking),はい。,Yes.,Sí.
Seinendan Jyoshi (talking),悪司さーーん。,Akuji.,Akuji.
