"character","jap text","Eng","Esp"
"narrator","交通が規制され、歩行者天国となった大通りに 物凄い数の人々が集まっている。
三千、五千──もっと多いかもしれない。
皆、職業も性別も年齢も様々だが、 彼らがここに集まった理由はただ一つだった。
 「……私は、戦火に焼かれたこの街で 　神の声を聞きました……」
群衆の中央から、声が聞こえる。 若い娘の、澄んだ声。
 「……街が焼かれ、家族を失い、 　残されたのは瓦礫の山……」
 「……ですが、 　それを憂うことはありません……」
 「……神の光明はこのような場所にも、 　いえ、このような場所だからこそ 　届くのです……」
 「……平和な世界がいつか生まれるのなら、 　この街からこそ生まれましょう……」
 「……全てを失い、哀しみに泣き崩れた 　皆さんの涙を地に吸ったこの街にこそ……」
 「……小さな希望の灯を守り続ける、 　本当の優しさが芽吹くはずですから……」
人々の間を、娘の声が通っていく。
これほどの人数であるにも関わらず、 皆一言も発せず、娘の声に耳を傾けていた。","A tremendous number of people gathered on the main street, which had been closed to traffic and turned into a pedestrian paradise.
Three thousand, five thousand, maybe even more.
All of them were of different professions, genders, and ages, but they were all here for one reason.
I heard the voice of God in this war-torn city……
From the center of the crowd, a voice is heard. A young girl's clear voice.…… city burned, families lost, all that was left was a pile of rubble……
 “…… but don't let it consume you……
 “……God's light can reach places like this, no, it is in places like this that it reaches us……
 “…… If one day a world of peace will be born, let it be born from this city……
 ……It is in this city that the tears of those who lost everything and broke down in sorrow were sucked into the ground……
 ……, because true kindness will sprout, keeping a small beacon of hope alive……
My daughter's voice carries among the people.
Despite the number of people in the room, everyone listened to her voice without uttering a single word.","Un enorme número de personas se ha reunido en la calle principal, que ha sido cerrada al tráfico y convertida en zona peatonal.
Tres mil, cinco mil… quizá incluso más.
Todos de diferentes profesiones, todos de diferentes géneros, todos de diferentes edades, pero todos estaban aquí por una razón.
 '……Escuché la voz de Dios en esta ciudad devastada por la guerra……'
Se oye una voz desde el centro de la multitud. La voz clara de una joven.
 '…… la ciudad ardió, perdí a mi familia, todo lo que quedó fue un montón de escombros……'
 '…… pero no dejes que te consuma……
 “……La luz de Dios puede llegar a lugares como este, no, es en lugares como este donde nos alcanza……”
 …… Si algún día nace un mundo de paz, saldrá de esta ciudad………… Es en esta ciudad donde se aspiraron las lágrimas de todos los que lo perdieron todo y se quebraron de dolor………… mantener viva una pequeña luz de esperanza, porque de ella brotará la verdadera bondad……
La voz de la hija llega al pueblo.
A pesar del gran número de personas, escucharon su voz sin pronunciar una sola palabra."
"narrator","設置された仮設の演台。 その上で語る娘の名は、由女という。
この地域一帯を勢力下に置く新興の宗教団体、 観世那古真燈教（かんぜなこしんとうきょう） ──通称、那古教が生神と崇める教祖である。","A temporary podium set up. The name of the girl speaking on the podium is Yume.
She is the guru of the new religious group, Kanzenakoshintoukyou, a.k.a. Nakokyou, which is in power in this area, and whom they worship as their god of birth.","Un podio temporal montado. El nombre de la chica que habla en él es Yume.
Es la gurú venerada como diosa de la vida por la nueva organización religiosa, Kanzenakoshintoukyo, comúnmente conocida como Nakokyou, que está en el poder en esta zona."
"Yume (talking)","暗い時代は、いつかきっと終わります。 そう、信じましょう。
お願いです、希望を捨てないで。 明日に絶望しないで。
私は、そのために… 皆の願いを明日へと繋いでいくために、 ここに居…………
 ……っ…………","The dark times will surely end someday. Let us believe so.
Please, don't give up hope. Don't despair of Mei day.
I am here for that… to keep everyone's wishes alive for tomorrow.……………
 …and …………","Los tiempos oscuros seguramente terminarán algún día. Creemos que sí.
Por favor, no pierdas la esperanza. No te desesperes por el día de Mei.
Estoy aquí para eso… para mantener vivos los deseos de todos para el mañana…………
 …… y …………"
"Komiya Youko (talking)","……由女様？ どうかなさいましたか？","Dear ……Yume? What's wrong?","Querido ……Yume? ¿Qué pasa?"
"narrator","教祖の脇に控えた十名ほどの出家信者の中から、 一人の娘が教祖の側に歩み出てきた。
彼女の名は、古宮陽子。 信者から［聖女］と呼ばれる由女の側近で、 那古教を統括する幹部の一人である。","Among the ten or so ordained followers flanking Oyasama, a daughter stepped out to her side.
Her name is Komiya Youko. She is a close associate of Yume, who is called [holy woman] by her followers, and is one of the executives who oversee Nakokyou.","De entre la decena de seguidores ordenados que flanqueaban a Oyasama, una hija salió a su lado.
Su nombre es Komiya Youko. Es una estrecha colaboradora de Yume, llamada [mujer santa] por sus seguidores, y es una de las ejecutivas que supervisan Nakokyou."
"Yume (talking)","……大丈夫、もう少しだから。 陽子さん、続けさせ……","…… Don't worry, I'm almost there. Youko, let me continue: ……","…… No te preocupes, ya casi llegamos. Youko, déjala continuar: ……"
"narrator","陽子は由女の言葉に構わず、 側まで歩み寄って額に手を当てた。","Youko walked up to the side and put her hand on her forehead, regardless of Yume's words.","Youko se acercó a un lado y se puso la mano en la frente, sin importar lo que dijera Yume."
"Komiya Youko (talking)","……ひどい熱。 いつからです？","…… terrible fever. When did it start?","…… Fiebre severa. ¿Cuándo empezó?"
"Yume (talking)","大丈夫、大丈夫だから……","It's okay, it's okay……","Está bien, está bien……"
"Komiya Youko (talking)","心中はお察し致しますが、 もしお倒れになれば皆が心配します。
立っているのも お辛いのでしょう？","I am sorry for your loss, but if you were to collapse, we would all be worried.
It must be hard for you to stand up, isn't it?","Lamento su pérdida, pero si se derrumbara, todos estaríamos preocupados.
Debe ser difícil para ti ponerte de pie, ¿no?"
"Yume (talking)","………………","………………","………………"
"Komiya Youko (talking)","由女様。","Dear Yume.","Querido Yume."
"Yume (talking)","……解りました。 お任せします。
ごめんなさい……","I understand ……. I'll leave it to you.
Sorry ……","…… entendido. Se lo dejo a usted.
Lo siento……"
"narrator","陽子はうつむく由女には応えず、 ざわめき始めた群衆に向かって この説教の中断を告げた。
それを受けて、 今まで静かだった人々がざわめき始める。
 ──由女の体調を、案じて。","Youko did not respond to Yume, but announced the interruption of this sermon to the crowd, which was now in a state of confusion and Hajime.
In response, the previously quiet crowd began to murmur and Hajime.
Concerned about Yume's physical condition.","El Youko no respondió al deprimido Yume, sino que anunció la interrupción de este sermón a la murmuración de la multitud de Hajime.
En respuesta, la multitud, hasta entonces silenciosa, comenzó a murmurar Hajime.
Estaban preocupados por la salud de Yume."
"Komiya Youko (talking)","……聞こえますか？ 御身のことを、これだけ多くの人々が 心配してくれています。
お躰が優れない時は、 前もって仰って頂かないと。","…… Can you hear me? So many people are concerned about you.
If you are not feeling well, you must tell us in advance.","…… ¿Puedes oírme? Mucha gente está preocupada por ti.
Si no se siente bien, debe comunicarlo con antelación."
"Yume (talking)","でも、中止したら… あれだけの人が待ってるのに…","But if we canceled it… with all those people waiting for us…","Pero si lo cancelamos… con toda esa gente esperando…"
"Komiya Youko (talking)","それでも、 由女様のお躰と引き替えになんて、 誰も望んではいませんよ。","Still, no one would want to trade the body of Yume for it.","Sin embargo, nadie quiere cambiar el cuerpo de Yume por el suyo."
"Yume (talking)","………………","………………","………………"
"narrator","そうして、二人は演台から下りる。
他の出家信者たちは一足先に演台を下りていて、 群衆の中に分け入って帰る道を確保し始めた。
 ──と。","Then, they stepped down from the podium.
The other ordained believers had already left the podium, and they made their way back through the crowd to Hajime.
And…","Luego se bajaron del podio.
Los demás creyentes ordenados habían abandonado el podio antes que ellos, y se dirigieron de nuevo a través de la multitud hacia Hajime.
Y…"
"nakokyou  otoko (talking)","ですから、 由女様はご気分が優れないので お帰りになるのですから……","That's why Yume is leaving because she is not feeling well……","Por eso Yume se va porque no se encuentra bien……"
"wakaishufu (talking)","お願いです、お願いします！ 子供が死にかけてるんです！ どうか那古神様のご慈悲を……！","Please, please, please! My child is dying! Please God Nako have mercy on us……!","¡Por favor, por favor, por favor! ¡Mi hijo se está muriendo! Por favor, Dios Nako, ten piedad de nosotros……!"
"Komiya Youko (talking)","……どうした。 何を騒いでいる。","…… What's up. What's all the fuss.","…… Lo que está pasando. A qué se debe todo este alboroto."
"nakokyou  otoko (talking)","あっ……聖女様。 この方が……","Ah,…… saint. This is the one who ……","Ah,…… saint. Este es el que ……"
"wakaishufu (talking)","お願いします……！ うちの子を助けて下さい！","Please help us: ……! Please help my child!","Por favor, ayúdenos: ¡……! Por favor, ayude a mi hijo."
"narrator","そう言う女性の背には、二歳か三歳くらいの 幼い子供が背負われていた。
その子の手足は小さく痙攣しており、意識もなく、 額に脂汗を浮かべて苦しそうに息を継いでいる。","On the woman's back was a young child of about two or three years old.
The child's arms and legs were twitching, and she was unconscious and struggling to catch her breath with a greasy sweat on her forehead.","En la espalda de la mujer había un niño pequeño de unos dos o tres años.
Los brazos y las piernas de la niña se retorcían, estaba inconsciente y luchaba por recuperar la respiración con un sudor grasiento en la frente."
"Komiya Youko (talking)","成る程、この子に、 由女様の“奇跡”をお望みか……","I see, you want a “miracle” from Yume for this girl……","Así que quieres un milagro Yume para esta chica……"
"wakaishufu (talking)","はっ、はいっ！ どうか、どうか……！","Ha, yes! Please, please, please ……!","¡Ja, sí! ¡Por favor, por favor, por favor ……!"
"Komiya Youko (talking)","あなたには申し訳ないが、 由女様はお躰が優れないのです。 お引き取りを……","We are sorry to inform you that Yume is indisposed. Please leave us at ……","Lamentamos informarle de que Yume se encuentra mal. Por favor, déjenos……"
"Yume (talking)","……私なら構いません。 その子をこちらに。","…… I wouldn't mind. The child is here.","…… No me importaría. El niño está aquí."
"Komiya Youko (talking)","由女様っ……","Dear Yume: ……","Estimado Yume: ……"
"Yume (talking)","構わないと言っています。 そのお母さんを通してあげて。","He says it's fine. Give it to him through his mother.","Dice que está bien. Dáselo a través de su madre."
"Komiya Youko (talking)","………………","………………","………………"
"wakaishufu (talking)","あ…… ありがとうございます、ありが……","Oh…… Thank you, thanks ……","Oh…… Gracias, gracias ……"
"Yume (talking)","お医者様には診てもらいましたか？","Have you seen a doctor?","¿Has visto a un médico?"
"wakaishufu (talking)","……えっ？　あ、はい… でも、治療代が出せないんです…… 家だって戦火で焼かれたままで……！","…… eh?　Uh, yes… but I can't afford the treatment…… Even my house is still burned down from the war……!","…… ¿eh?　Uh, sí… pero no puedo permitirme el tratamiento…… Incluso mi casa sigue ardiendo por la guerra……"
"Yume (talking)","みんな、苦しいですからね……","We are all in pain……","Todos sufrimos……"
"narrator","由女は言いながら、着物の袖に入れてあった 小さなナイフを取り出した。
 ──そして、 自分の掌にスッと刃を走らせる。
赤い血が、滴り始める。","Yume said, and took out a small knife she had tucked into the sleeve of her kimono.
Then, she ran the blade across her palm.
A drop of red blood trickles down Hajime.","Yume dice, y saca un pequeño cuchillo que llevaba metido en la manga de su kimono.
Luego, pasa la hoja por la palma de la mano.
La sangre roja goteaba sobre Hajime."
"Yume (talking)","……さ、早く。 その子の口を開けさせて下さい。","Go to ……, quickly. Let me open that child's mouth.","Ve a ……, rápido. Deja que el chico abra la boca."
