"character","jap text","Eng","Esp"
"__system__??","{(☆陽子捕虜 > 5) * (☆陽子捕虜 < 10):","",""
"__system__??","}","",""
"__system__??","{(☆陽子捕虜 > 10) * (☆陽子捕虜 < 15):","",""
"__system__??","}","",""
"__system__??","{☆陽子捕虜 > 15:","",""
"__system__??","}","",""
"__system__??","{麦 = 1:","",""
"__system__??","{☆由女／イハビーラ = 1:","",""
"__system__??","}","",""
"__system__??","{☆古宮 = 0:","",""
"__system__??","}","",""
"__system__??","{☆古宮 = 3:","",""
"__system__??","}","",""
"__system__??","{☆古宮 > 1:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 2:","",""
"__system__??","}","",""
"__system__??","{麦 = 3:","",""
"__system__??","}","",""
"__system__??","{麦 = 4:","",""
"__system__??","}","",""
"__system__??","{麦 = 5:","",""
"__system__??","}","",""
"__system__??","{麦 = 10:","",""
"__system__??","}","",""
"__system__??","{麦 = 11:","",""
"__system__??","{☆由女／死亡 = 1:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 12:","",""
"__system__??","{H愛欲 = 1:","",""
"__system__??","}","",""
"__system__??","{(H物欲 \ 0) * (H愛欲 \ 0) * (RND \ 0):","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 13:","",""
"__system__??","{H物欲 = 1:","",""
"__system__??","}","",""
"__system__??","{(H物欲 \ 0) * (H愛欲 \ 0) * (RND \ 0):","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 15:","",""
"__system__??","}","",""
"__system__??","{麦 = 16:","",""
"__system__??","}","",""
"__system__??","{麦 = 17:","",""
"__system__??","{H拷問抵抗 < H拷問:","",""
"__system__??","{☆那古Ａ = 3:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{H拷問 = 1:","",""
"__system__??","{☆那古Ａ \ 3:","",""
"__system__??","}","",""
"__system__??","{☆那古Ａ = 3:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{☆那古Ａ \ 3:","",""
"__system__??","}","",""
"__system__??","{☆那古Ａ = 3:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 18:","",""
"__system__??","}","",""
"__system__??","{麦 = 19:","",""
"__system__??","}","",""
"__system__??","{☆由女／イハビーラ = 1:","",""
"?? (thinking)","んー…… ＧＡＬバーガーに送り込みたい とこなんだが……
由女が見つかるまでは、 客商売に不可欠な作り笑いとか できそうにねーよな、こいつ……
今だって、なあ。 背中に背負ったオーラが 暗いったらねえし……
 ……やめとくか。 今のまま働かせとく方が多分トクだな。","I would send him to…… GAL Burger, but ……
Until we find Yume, I don't think he's going to be able to do the fake laughs that are essential for customer service……
Even now, you know. The aura on his back is dark as hell……
I think I'll stop ……. It's probably better to let him work as he is now.","Me gustaría enviarlo a…… GAL Burger, pero ……
Hasta que no encontremos a Yume, no va a poder hacer las risas falsas que son esenciales para el servicio al cliente……
Incluso ahora, lo sabes. El aura de su espalda es muy oscura………… Será mejor que me detenga. Probablemente sea mejor dejarle trabajar como hasta ahora."
"__system__??","}","",""
"Komiya Youko (talking)","私を呼んでいると訊いたけど……","I asked you if you wanted me: ……","Te pregunté si me querías……"
"Yamamoto Akuji (talking)","おう、実はな…………","Oh, actually…………","Oh, en realidad…………"
"Komiya Youko (talking)","………………","………………","………………"
"Yamamoto Akuji (talking)","……やっぱ元気ねえな。","…… I knew you weren't well.","…… Sabía que no estabas bien."
"Komiya Youko (talking)","………っ………
ごめんなさい、顔に出ないよう 気を付けてはいるんだけど……","………………
I'm sorry, I'm trying to keep it from showing on my face……","………………
Lo siento, intento que no se me note en la cara……"
