character,jap text,Eng,Esp
__system__??,{麦 = 1:,,
__system__??,{☆遙 = 3:,,
__system__??,},,
__system__??,{☆遙 = 5:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 2:,,
__system__??,{☆遙 = 4:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 3:,,
__system__??,},,
__system__??,{麦 = 4:,,
__system__??,},,
__system__??,{麦 = 5:,,
__system__??,},,
__system__??,{麦 = 10:,,
__system__??,},,
__system__??,{麦 = 11:,,
__system__??,{RND \ 0:,,
__system__??,},,
__system__??,{(☆イハビーラ命令 = 5) * (☆遙 = 0):,,
__system__??,},,
__system__??,{☆遙 = 2:,,
__system__??,},,
__system__??,{☆遙 \ 0:,,
__system__??,},,
__system__??,{H捕虜期間 = 2:,,
__system__??,},,
__system__??,{RND \ 0:,,
__system__??,},,
__system__??,{RND \ 0:,,
__system__??,},,
__system__??,{(☆那古Ａ = 3) * (H捕虜期間 > 3) * (D11 = 0):,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 12:,,
__system__??,{☆遙 \ 0:,,
__system__??,{H愛欲 = 1:,,
__system__??,},,
__system__??,{H愛欲 = 3:,,
__system__??,},,
__system__??,{H愛欲抵抗 <= H愛欲:,,
__system__??,},,
__system__??,},,
__system__??,{H愛欲 = 1:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 13:,,
__system__??,{(☆遙 > 1) * (★結婚 = 1):,,
__system__??,},,
__system__??,{☆遙 > 1:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 15:,,
__system__??,},,
__system__??,{麦 = 16:,,
__system__??,},,
__system__??,{麦 = 17:,,
__system__??,{H拷問抵抗 < H拷問:,,
__system__??,},,
__system__??,{H拷問 = 1:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 18:,,
__system__??,{☆遙 \ 0:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 19:,,
__system__??,{☆遙 \ 0:,,
__system__??,},,
__system__??,},,
?? (talking),さて、元気になったところで ねばり強く交渉を始めるとすっか。,"Now that I'm feeling well, I'll start negotiating with determination.","Ahora que me siento bien, comenzaré a negociar con determinación."
?? (talking),…………？,…………？,…………？
?? (talking),なあ、剣術ねーちゃん。 おめーの剣の腕が欲しいんだよ。 俺の部下になってくんねぇか？,"Hey, swordsmanship girl. I want your sword skills. Will you be my subordinate?","Oye, chica de la espada. Quiero tus habilidades con la espada. ¿Quieres ser mi subordinado?"
?? (talking),"………………
私…やらなきゃいけない事が あるんです。だから…駄目です。","………………
I… have something I have to do. So…no.","………………
Yo… tengo cosas que hacer. Así que… no."
?? (talking),お、まともに答えてくれたな。,"Oh, you gave a decent answer.","Oh, has dado una respuesta decente."
?? (talking),………………,………………,………………
?? (talking),やらにゃいけねぇ事ってのは何だ？ 聞かせてくれや。,What is it that you have to do? Let me hear it.,¿Qué es lo que tienes que hacer? Déjeme preguntarle.
?? (talking),………………,………………,………………
?? (talking),俺の部下になってもできることなら、 給料とか待遇とか多少は譲歩するぞ？,I'll give you some concessions on salary and benefits if you can do it under me.,Te daré algunas concesiones en términos de salario y trato si puedes hacerlo bajo mi mando…
?? (talking),"………………
嫌…です。","………………
I hate….","………………
No me gusta…."
?? (talking),なんでー。,Why?,Por qué -.
?? (talking),"た、たとえ……あなたの部下になることが 私の目標にとって最短距離でも……
あなたは、那古神様を ウィミィに売った人なんです。","You are the one who sold Nako God to Wime, even if…… becoming your subordinate is the shortest distance to my goal……
You are the one who sold Nako God to Wime.","Tú eres el que vendió el Dios Nako a Wime, aunque…… convertirse en tu subordinado es la distancia más corta a mi meta……
Tú eres el que vendió a Dios Nako a Wime."
?? (talking),"言う事は解るんだけどなー。 こっちも好きこのんで そうした訳じゃねえしよ。
事情を説明してやってもいいが、 とにかく俺はウィミィと ツルんでた気はねえ。
だからこう、気持ちよく割り切って 爽やかに俺と握手してくんねーかな。","I understand what you are saying. I didn't do it because I wanted to.
I could explain the situation to you, but anyway, I have no intention of hanging out with Wime.
So, I'd like you to shake hands with me in a fresh way.","Entiendo lo que dices, pero… No lo hice porque quisiera.
Podría explicarte la situación, pero de todos modos no tengo intención de salir con Wime.
Así que me gustaría que me dieras la mano de una manera fresca, con un buen sentimiento de desprendimiento."
?? (talking),………………,………………,………………
?? (talking),おめー、一生ここに居る気か？,Are you going to be here for the rest of your life?,¿Vas a estar aquí el resto de tu vida?
?? (talking),………………,………………,………………
?? (talking),もしかしたら、 濡れ衣着せて市議会の保安課に 引き渡すとかするかもしんねーぞ？,Maybe they'll just frame you and turn you over to the city council's security division?,¿Quizás te inculpen y te entreguen al departamento de seguridad del ayuntamiento?
?? (talking),………………,………………,………………
?? (talking),なー、頼むわ。 首を縦にふってくれよ。,"Hey, please. Just shake your head.","Eh, por favor. Sólo sacude la cabeza."
?? (talking),………………,………………,………………
