"character","jap text","Eng","Esp"
"__system__??","{(☆寧々捕虜 > 5) * (☆寧々捕虜 < 10):","",""
"__system__??","}","",""
"__system__??","{(☆寧々捕虜 > 10) * (☆寧々捕虜 < 15):","",""
"__system__??","}","",""
"__system__??","{☆寧々捕虜 > 15:","",""
"__system__??","}","",""
"__system__??","{麦 = 1:","",""
"__system__??","{☆寧々 = 0:","",""
"__system__??","}","",""
"__system__??","{(☆寧々 = 11) * (RND \ 0):","",""
"__system__??","}","",""
"__system__??","{(☆那古Ｂ = 12) * (☆寧々×由女 = 0) * (RND \ 0):","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 2:","",""
"__system__??","{(☆寧々 > 11) * (RND \ 0):","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 3:","",""
"__system__??","}","",""
"__system__??","{麦 = 4:","",""
"__system__??","{(☆寧々 > 11) * (RND \ 0):","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 10:","",""
"__system__??","}","",""
"__system__??","{麦 = 11:","",""
"__system__??","}","",""
"__system__??","{麦 = 12:","",""
"__system__??","{H愛欲 = 1:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 13:","",""
"__system__??","{(H物欲抵抗 <= H物欲) * (☆那古Ａ > 4):","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 15:","",""
"__system__??","}","",""
"__system__??","{麦 = 16:","",""
"__system__??","}","",""
"__system__??","{麦 = 17:","",""
"__system__??","{H拷問抵抗 < H拷問:","",""
"__system__??","{☆那古Ａ = 3:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{H拷問 = 1:","",""
"__system__??","{☆那古Ａ \ 3:","",""
"__system__??","}","",""
"__system__??","{☆那古Ａ = 3:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{☆那古Ａ \ 3:","",""
"__system__??","}","",""
"__system__??","{☆那古Ａ = 3:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 18:","",""
"__system__??","}","",""
"__system__??","{麦 = 5:","",""
"__system__??","{(☆寧々 > 11) * (RND \ 0):","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 19:","",""
"__system__??","}","",""
"?? (talking)","えーっとな、月瀬。 おめー、別の仕事に就く気ねえか？","Let's see, Tsukigase. You, aren't you going to get another job?","Veamos, Tsukigase. No vas a conseguir otro trabajo, ¿verdad?"
"?? (talking)","さあ、職種にもよるけれど。 ……突然何の事かしら？","Come on, it depends on the type of job…… what are you talking about all of a sudden?","Vamos, que depende del tipo de trabajo…… ¿De qué estás hablando de repente?"
"?? (talking)","おめーなら想像つくだろ？ うちが手がけてるドル箱商売で 儲けちゃくれねえかと思ってな。","You can imagine, can't you? I was wondering if you could make a profit from the big-budget business we're in.","Te lo puedes imaginar, ¿verdad? Me preguntaba si podrías hacer algo de dinero con el negocio de las cajas grandes en el que estamos."
"?? (talking)","………………
冗談だと思っておくわ。","………………
I'll take that as a joke.","………………
Lo tomaré como una broma."
"?? (talking)","あ、やっぱし。","Oh, I knew it.","Ah, lo sabía."
"?? (thinking)","まあ、島本との絡みもあるしな。 部下としても無益じゃねえし、 このまんま働いて貰っとくか……","Well, I'm also involved with Shimamoto. I'll let him work as he is, since he's not useless as a subordinate……","Bueno, también estoy involucrado con Shimamoto. No es inútil como subordinado, así que le dejaré trabajar como tal……"
"Tsukigase Nene (talking)","悪司さん、呼ばれた通りに来たけれど ……何の話なのかしら？","Akuji, I'm here as called, but I'm not sure what you're talking about ……","Akuji, estoy aquí como me llamaron, pero…… ¿de qué estamos hablando?"
"Yamamoto Akuji (talking)","おう。 まぁ、ちとそこ座れや。","Oh. Well, sit down over there for a minute.","Oh. Bueno, siéntate ahí un minuto."
"Tsukigase Nene (talking)","その前に、一つ訊かせて。 話は長くなるのかしら？","But first, let me ask you something. Is this going to be a long story?","Pero primero, déjame preguntarte algo. ¿Va a ser una historia larga?"
"Yamamoto Akuji (talking)","さあな、成り行き次第だ。 場合によっちゃ長くなる。","I don't know. It depends on how it goes. It could be a long story.","No lo sé, depende. Podría ser un proceso largo."
"Tsukigase Nene (talking)","あら、そう… その割にお茶もないのね？","Oh, well… no tea for that one, huh?","Oh, bueno… ¿no hay té para eso, entonces?"
"Yamamoto Akuji (talking)","んだよ、淹れてくれんのか？ じゃ俺ほうじ茶な、一方堂の。 湯飲みも急須もソコにあっから。","What, are you going to make me a pot of tea? I'll make hojicha, one of the one hand tea brewers. There's a teapot and a teacup there.","¿Qué, vas a hacerme una tetera? Haré hojicha entonces, de la casa de una sola vía. Ahí hay una tetera y una taza de té."
"Tsukigase Nene (talking)","……私が淹れるなんて 言ったつもりはないのだけれど？","…… I didn't mean to imply that I brew?","…… No quise dar a entender que elaboraba cerveza…"
"Yamamoto Akuji (talking)","そうかもしれねぇな。 ま、とにかくよろしく。","Maybe so. Anyway, best regards.","Puede que sí. En fin, un saludo."
"Tsukigase Nene (talking)","……くすっ。 まあ良いわ、少し待っていて。
ええと… ああ、ポットはこっちなのね…","…… Darn. Well, good, just wait a bit.
Uh… oh, the pot's this way…","…… Darn. Bueno, bien, sólo espera un poco.
Um… oh, la olla está por aquí…"
"Yamamoto Akuji (talking)","………………
あのさー、月瀬。","………………
You know what, Tsukigase.","………………
Ya sabes, Tsukigase."
"Tsukigase Nene (talking)","……なあに？","…… What is it?","…… ¿Qué es?"
"Yamamoto Akuji (talking)","お前ってさ、人当たり良さそうで 言うことも聞いてくれっけど、 微妙にこう、壁あるよな。","You seem so friendly and you listen to me, but there's a subtle wall between you and me.","Pareces amigable, me escuchas, pero tienes estas sutiles barreras."
"Tsukigase Nene (talking)","……そうかしら？ そんなつもりはないのだけれど。
はい、お茶。","…… I don't know if that's true. I don't intend to.
Here you go, tea.","…… ¿Es así? No es mi intención.
Sí, té."
"Yamamoto Akuji (talking)","おう、センキュー。","Oh, senque.","Oh, senque."
"Tsukigase Nene (talking)","……あら、このほうじ茶美味しい……","…… Oh my, this hojicha is delicious ……","…… Oh, este hojicha es delicioso ……"
"Yamamoto Akuji (talking)","ミヤコの老舗の茶だからな。 さっちゃんが見つけてきたんだよ。
 ……で、話は戻るけどよ、 お前絶対、昔なんかあったクチだろ。","It's Miyako's old tea. Sachan found it.…… So, back to the story… You must have had some kind of trouble in the past, right?","Es un viejo té en Myako. Sacchan lo encontró.
 ……, pero volviendo a la historia, definitivamente eres tú el que tuvo un problema en el pasado, ¿no?"
"Tsukigase Nene (talking)","何かって？","What is it?","¿Qué es?"
"Yamamoto Akuji (talking)","親に捨てられたとか、 惚れてた男にこっぴどく裏切られたとか。
なんかこう、一発で人生観変わるような すっげぇ事がよ。","Being abandoned by your parents, being betrayed by the man you love…
Something amazing happened to me that changed my perspective on life.","Ser abandonada por tus padres, ser traicionada por el hombre que amas.
En Ippatsu ocurrieron cosas increíbles que cambiaron mi forma de ver la vida."
"Tsukigase Nene (talking)","いえ、別に？ 退屈なほど平穏な人生を 送ってきたけれど。","No, nothing? I've led a boringly peaceful life.","No, ¿en realidad no? Aunque he llevado una vida aburridamente tranquila."
"Yamamoto Akuji (talking)","………… やっぱ壁あんなぁ、お前。","………… I knew you were a wallflower, dude.","………… Sabía que eras un muro, tío."
"Tsukigase Nene (talking)","……くすっ。","…… Dusk.","…… Dusk."
"Yamamoto Akuji (talking)","さーてと。 ぼちぼち月瀬が来る筈だが……","Well… I'm sure Tsukigase will be here soon……","Bueno, veamos. Muy pronto, Tsukigase debería estar aquí……"
"Tsukigase Nene (talking)","……ごめんなさい、悪司さん。 遅くなってしまって。","…… Sorry, Akuji. I'm sorry it took so long.","…… Lo siento, Akuji. Siento que haya tardado tanto."
"Yamamoto Akuji (talking)","おー、来た来た。 心配すんな、別に待っちゃいねぇよ。
で、今日呼んだ用事ってのは……","Oh, here they come. Don't worry, I'm not waiting for you.
So, what I called you here for today is ……","Oh, aquí vienen. No te preocupes, no te estoy esperando.
Así que, el recado para el que te he llamado hoy es ……"
"Tsukigase Nene (talking)","待って。 その前に私から話があるのだけれど。","Wait. I have something to tell you first.","Espera. Quiero hablar contigo primero."
"Yamamoto Akuji (talking)","……ん？","…… hmm?","…… ¿hmm?"
"Tsukigase Nene (talking)","私的なことだから、言わなくても 構わないのかもしれないけれど…
隠しておくつもりもないし、 こういう事は、組織の長に 伝えておくべきだと思うから。","It's a private matter, so maybe you don't have to tell me, but…
I'm not going to keep it a secret, and I think that this kind of thing should be brought to the attention of the head of the organization.","Es un asunto privado, así que quizá no tengas que decírmelo, pero…
No lo voy a ocultar, y creo que estas cosas deben comunicarse al jefe de la organización."
"Yamamoto Akuji (talking)","なんのこっちゃ。 うちの公費を使い込みでもしたか？","What is this? Have you been using our public funds?","¿Qué demonios es esto? ¿Ha utilizado nuestros fondos públicos?"
"Tsukigase Nene (talking)","まさか……
 ……私、少し以前から 純さんと交際し始めたの。","No way………… I've been dating Jun and Hajime for a while now.","De ninguna manera………… Llevo un tiempo saliendo con Jun y Hajime."
"Yamamoto Akuji (talking)","純さん？　誰だソレ……
 …………って、まさか島本か！？ あの島本純かあぁぁぁぁぁっ！！？","Jun?　Who's that ……
Don't tell me………… is that Shimamoto! That Shimamoto Jun?","¿…?　¿Quién es ese ……?
 ¡No me digas que………… es ese Shimamoto! ¿Ese Shimamoto Jun?"
"Tsukigase Nene (talking)","ええ、そうなのだけれど… なあに？　その驚き方…","Yes, I know, but… What?　What is it?","Sí, lo sé, pero… ¿Qué?　Pareces sorprendido…"
"Yamamoto Akuji (talking)","い、いや悪ぃ、悪意はねぇんだ。 単純にビックラこいただけだ。
島本のヤツぁ女なんぞ興味ねぇって 感じだったしよ……
ついでに言うなら月瀬も、 特定の男をくわえ込んで満足するたぁ、 とても…………","No, no, sorry, I didn't mean no offense. I was just surprised at Jun.
Shimamoto didn't seem to be interested in women at all……
And Tsukigase, for that matter, is very …………","No, no, lo siento, no quería hacer daño. Sólo me sorprendió Jun.
Parecía que a Shimamoto no le interesaban las mujeres……
Y Tsukigase, por otro lado, también está muy………… satisfecho con hacer la pelota a cierto tipo."
"Tsukigase Nene (talking)","………………","………………","………………"
"Yamamoto Akuji (talking)","…………悪い、口が滑った。 とにかく意外だったもんでな。","………… Sorry, that slipped out. Anyway, it was a surprise.","………… Lo siento, se me escapó. De todos modos, fue inesperado."
"Tsukigase Nene (talking)","くすっ……気にしないで。 自分でも意外に思っているのだから。
それで、この奉仕青年団では 構成員同士の恋愛事が御法度だとか そういう決まりはあるのかしら？","Darn it…… don't worry about it. I'm surprised at myself.
So, I wonder if there are any rules against romance between members of this service youth league or something like that?","Maldita sea ……, no te preocupes. Estoy sorprendido de mí mismo.
Entonces, en esta organización juvenil de servicio, ¿hay alguna norma que prohíba las relaciones románticas entre los miembros o algo así?"
"Yamamoto Akuji (talking)","別に構いやしないさ、好きにしろ。 キッチリ仕事してくれりゃ文句はねぇ。","I don't care what you do, do what you want. I don't have any complaints as long as you do your job well.","No me importa, haz lo que quieras. Mientras haga su trabajo correctamente, no tengo ninguna queja."
"Tsukigase Nene (talking)","そう……良かった。
とりあえず、私からはそれだけ。","So…… good.
That's all from me for now.","Así que…… bien.
Eso es todo por mi parte por ahora."
"Yamamoto Akuji (talking)","しっかし、そうか…… 島本と月瀬がねぇ……","Well, I see…… Shimamoto and Tsukigase ……","Bueno, ya veo…… Shimamoto y Tsukigase……"
"Yamamoto Akuji (thinking)","しかし、場合によっちゃあ 島本と月瀬がまとめて寝返ったり 敵になったりしかねない訳か……
 ……想像するだけで恐ろしいな。 気ィつけよう……","However, depending on the situation, Shimamoto and Tsukigase could collectively turn on each other or become enemies………… is frightening just to imagine. I'll be careful……","Pero por qué Shimamoto y Tsukigase podrían volverse colectivamente el uno contra el otro o convertirse en enemigos, dependiendo de la situación………… da miedo sólo de imaginarlo. Tendré cuidado……"
"Tsukigase Nene (talking)","……悪司さん？ 何を考え込んでいるのかしら？","……Akuji? What is he pondering?","……Akuji? ¿En qué está pensando?"
"Yamamoto Akuji (talking)","いや。 言われてみりゃ、お前ら何となく 似てるもんなー、とか思ってな。","No, I don't. I was just thinking, “You guys look alike somehow.","No, no lo sé. Estaba pensando que ustedes se parecen de alguna manera."
"Tsukigase Nene (talking)","えっ…… そうかしら？","Eh…… I don't think so?","Eh…… No lo creo."
"Yamamoto Akuji (talking)","ま、何となくな。","Well, sort of.","Bueno, más o menos."
"Tsukigase Nene (talking)","悪司さん、 私を呼んでいたと聞いたのだけれど？","Akuji, I heard you were calling for me?","Akuji, he oído que me llamabas…"
"__system__??","{(☆寧々×由女 = 1) * (RND \ 0):","",""
"Yamamoto Akuji (talking)","おう、来たか月瀬。 由女と仲良くやってっか？","Oh, you're here, Tsukigase. Are you getting along with Yume?","Oh, estás aquí Tsukigase. ¿Te llevas bien con Yume?"
"Tsukigase Nene (talking)","あら……いきなりそれ？ 悪司さん、無粋ではなくって？","Oh,…… that out of the blue? Akuji, isn't that tactless?","Oh, ……, ¿eso es de la nada? Akuji, ¿no es una falta de tacto?"
"Yamamoto Akuji (talking)","……悪ィ。 悪意はなかったんだがな……","I'm…… sorry. I didn't mean any offense……","…… Bad. No quise ser malicioso……"
"Tsukigase Nene (talking)","くすくす…… お陰様で仲良くさせて貰っているわ。 いろいろと、ね。","Giggle…… Thanks to you, we've become good friends. For many things, you know.","Giggle…… Gracias a ti, nos hemos hecho buenos amigos. Para muchas cosas, ya sabes."
"Yamamoto Akuji (talking)","……そりゃ良かったな…","…… That's great…","…… Eso es genial…"
"__system__??","}","",""
"__system__??","{(☆寧々×由女 = 1) * (RND = 0) + (☆由女／イハビーラ = 1):","",""
"Yamamoto Akuji (talking)","おう、来たか月瀬。
 ……なんかおめー、顔色が冴えねぇな。 当然っちゃ当然だが……","Oh, here you are Tsukigase.…… You don't look so good. It's only natural……","Oh, estás aquí Tsukigase.…… Estás un poco pálido, ¿no? Es natural……"
"Tsukigase Nene (talking)","…普段通りのつもりよ、私は。","…I'm going to be normal, I'm going to be normal.","…voy a ser normal, voy a ser normal."
"Yamamoto Akuji (talking)","いや、ならいいんだがな。","No, I hope so.","No, eso espero."
"Tsukigase Nene (talking)","…………これでも、それなりに 割り切っているつもりなのだけれど…
由女がいなくなるなんて、 思っていなかったものね…","…………I'm still trying to make my peace with it, but…
I never thought I would lose Yume…","………… Todavía estoy intentando hacer las paces con ello, pero…
Nunca pensé que perdería a Yume…"
"Yamamoto Akuji (talking)","………………","………………","………………"
"__system__??","}","",""
"__system__??","{(☆寧々 > 11) * (RND \ 0):","",""
"Yamamoto Akuji (talking)","おう、来たか月瀬。 島本と仲良くやってっか？","Oh, you're here, Tsukigase. Are you getting along with Shimamoto?","Oh, estás aquí, Tsukigase. ¿Te llevas bien con Shimamoto?"
"Tsukigase Nene (talking)","くす……ええ、お陰様でね。","Kusu…… yeah, thanks for the help.","Kusu……Sí, gracias a ti."
"Yamamoto Akuji (talking)","そらぁ何より。","There you go.","Ahí lo tienes."
"__system__??","}","",""
"__system__??","{(☆寧々 > 11) * (RND = 0):","",""
"Yamamoto Akuji (talking)","おう、来たか月瀬。
 ……なんかおめー、顔色冴えねぇな。 当然っちゃ当然だが……","Oh, here you are Tsukigase.…… You don't look so good. It's only natural……","Oh, estás aquí Tsukigase.…… Estás un poco pálido, ¿no? Es natural……"
"Tsukigase Nene (talking)","そう……かしら。
普段通りのつもりなのだけれど……ね。","So ……, I guess.
I'm going to go with my normal routine, but …….","Así que ……, creo.
Voy como siempre, pero es ……."
"Yamamoto Akuji (talking)","惚れた男が居なくなったんだ、 割り切れるもんじゃねぇだろ。
あんまり、無理すんな。","The man you fell in love with is gone. It's not something you can just leave behind.
Don't be too hard on yourself.","El hombre del que te enamoraste se ha ido, no es algo que se pueda separar sin más.
No te lo tomes a mal."
"Tsukigase Nene (talking)","…………有り難う。","Thank you ………….","………… Gracias."
"__system__??","}","",""
"__system__??","{(☆寧々 < 12) * (RND = 0):","",""
"Yamamoto Akuji (talking)","おう、来たか月瀬。 相変わらず迫力あんなあ。","Oh, here you are, Tsukigase. He's as powerful as ever.","Oh, estás aquí, Tsukigase. Eres tan poderoso como siempre."
"Tsukigase Nene (talking)","……何が？","…… what?","…… ¿Qué?"
"Yamamoto Akuji (thinking)","胸が。","Breasts.","Pechos."
"Tsukigase Nene (talking)","…………何か、言ったかしら？","…………What did I say?","………… ¿Qué, he dicho?"
"Yamamoto Akuji (talking)","うんにゃ別に。","Nothing.","Nada."
"__system__??","}","",""
"Yamamoto Akuji (talking)","…………っかしいな、 さっき確かに居たんだけどなー。","………… I wonder if he was there earlier.","………… me pregunto, definitivamente estuve allí antes."
"Takega Satsu (talking)","どうした、悪司。 誰か探しているのか？","What's up, Akuji. Looking for someone?","Qué pasa, Akuji. ¿Buscas a alguien?"
"Yamamoto Akuji (talking)","ああ、さっちゃん。 月瀬見なかったか、月瀬寧々。
さっきまでこの事務所に居たんだが、 持ち場に戻ったのかねぇ……","Oh, Sacchan. Have you seen Tsukigase, Tsukigase Nene?
I was in this office a while ago, but I guess you went back to your post……","Oh, Sacchan. Tsukigase ¿has visto a Tsukigase Nene?
Estuve en esta oficina hace un tiempo, pero supongo que has vuelto a tu puesto……"
"Takega Satsu (talking)","月瀬……ああ、 元那古教の女性だな。
少し前まで、向こうの宿直室で 同じ元那古教の娘と 何やら話していたようだが…","Tsukigase…… Oh, you must be the former Nakokyou woman.
She was talking to the same ex-Nakokyou girl over there in the duty room not too long ago…","Ah, una antigua mujer Nakokyou.
No hace mucho, estaba en la sala de guardia de allí, hablando con la misma chica ex-Nakokyou sobre algo…"
"Yamamoto Akuji (talking)","そうか、そりゃ多分由女だな。 なんか積もる話でもしてんのかね。
ま、ちと見にいってくらぁ。","Okay, that's probably Yume. You've got something to talk about, don't you?
Well, go take a look.","Correcto, eso es probablemente Yume. ¿Están teniendo algún tipo de conversación larga?
Bueno, ve y echa un vistazo."
"Takega Satsu (talking)","……行かない方がいいやもしれんぞ。","You might not want to go to …….","Es posible que no quieras ir a ……."
"Yamamoto Akuji (talking)","なんで？","Why?","¿Por qué?"
"Takega Satsu (talking)","女の勘だ。","It's a woman's intuition.","La intuición de la mujer."
"Yamamoto Akuji (talking)","……ワケわかんねぇよ。 とりあえず用事が先だ。","…… I don't know what's going on. I've got errands to run first.","…… No sé qué está pasando. Primero tengo que hacer recados."
"narrator","そして、悪司は宿直室の前に立ち、 おもむろに扉を開け放った──","Akuji then stood in front of the duty room, and opened the door with a start…","Akuji entonces se paró frente a la sala de guardia, y abrió la puerta con un sobresalto…"
"Yamamoto Akuji (talking)","おーい月瀬、居るかー？ ちと用事が………………","Hey Tsukigase, are you there? I've got some business to attend to………………","Oye Tsukigase, ¿estás ahí? Tengo algunos asuntos que atender………………"
"Yume (talking)","…………っ！？ あっ、悪司さ…………！","…………! Oh, Akuji is …………!","¡…………! ¡Oh, Akujisa …………!"
"Yamamoto Akuji (talking)","………………よお、由女。","……………… Yo, Yume.","……………… Yo, Yume."
"Yume (talking)","あっ、あの……これは…… だから、私…………","Oh, um,…… this is…… so I …………","Oh, um,…… esto es…… así que …………"
"Tsukigase Nene (talking)","あら……悪司さん。 ノックも無しで……","Oh my ……Akuji. And no knocking: ……","Oh mi ……Akuji. Y sin llamar a la puerta: ……"
"Yamamoto Akuji (talking)","………………すまん。 まさか女同士で抱き合ってキスして おさわり真っ最中とは思わなくてな。","Sorry ………………. I didn't expect to see two women hugging, kissing and touching each other.","Lo siento por ………………. No esperaba ver a dos mujeres abrazadas, besándose y en pleno proceso de tocarse."
"Yume (talking)","…………っ……う…………
わ、私…… 仕事に、戻ります……","………… and…… and……… …
I'm…… going back to work……","………… y…… y……… …
Estoy…… volviendo al trabajo……"
"Tsukigase Nene (talking)","…………由女。 また、今夜にね。","…………Yume. See you tonight.","…………Yume. Nos vemos esta noche."
"Yume (talking)","あ…………
 …………うん、寧々さん…………","Ah …………………… Yeah, Nene, …………","Ah …………………… Sí, Nene …………"
"narrator","──そして、由女は部屋から出ていった。","Then Yume left the room.","─ ─ Y Yume salió de la habitación."
"Yamamoto Akuji (talking)","……………………うーむ。 ディープでヘビーな世界を垣間見たぜ。","…………………… Hmmm. A glimpse into the deep and heavy world, man.","…………………… Hmmm. Un vistazo al mundo profundo y pesado, hombre."
"Tsukigase Nene (talking)","あら。どういう意味かしら？","Oh, my. What do you mean?","Oh. ¿Qué quieres decir?"
"Yamamoto Akuji (talking)","月瀬、おめー…… そういう趣味だったのか？","Tsukigase, hey ……, was that your hobby?","Tsukigase, oye…… ¿Así es como estabas?"
