character,jap text,Eng,Esp
__system__??,{麦 = 1:,,
__system__??,{☆由女 = 0:,,
__system__??,},,
__system__??,{☆由女 = 2:,,
__system__??,},,
__system__??,{☆由女 = 3:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 2:,,
__system__??,{((☆古宮 = 3) + (☆古宮 = 4)) * (☆古宮／由女 = 0):,,
__system__??,},,
__system__??,{☆由女 = 1:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 3:,,
__system__??,},,
__system__??,{麦 = 4:,,
__system__??,},,
__system__??,{麦 = 5:,,
__system__??,},,
__system__??,{麦 = 10:,,
__system__??,},,
__system__??,{麦 = 11:,,
__system__??,},,
__system__??,{麦 = 12:,,
__system__??,{H愛欲 = 1:,,
__system__??,},,
__system__??,{H愛欲抵抗 <= H愛欲:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 13:,,
__system__??,},,
__system__??,{麦 = 15:,,
__system__??,},,
__system__??,{麦 = 16:,,
__system__??,},,
__system__??,{麦 = 17:,,
__system__??,{H拷問抵抗 < H拷問:,,
__system__??,},,
__system__??,{H拷問 = 1:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 18:,,
__system__??,},,
__system__??,{麦 = 19:,,
__system__??,},,
Yume (talking),……少し、じっとしてて。 手を貸して。,…… Stay still for a minute. Give me your hand.,…… Quédate quieto un rato. Dame la mano.
Seinendan Jyoshi (talking),えっ？　何をするんですか……？,What?　What are you doing ……?,¿Eh?　¿Qué estás haciendo ……?
Yume (talking),いいから、任せて。,Just leave it to me.,Déjalo en mis manos.
Yamamoto Akuji (talking),…由女ぇ、こんなとこで何やってんだ？ さっき、すぐ俺んとこ来いって 呼んだろーが。,"Yume, what are you doing here? I told you to come to me right away.",¿Qué haces aquí? Te llamé para que vinieras a verme de inmediato.
Yume (talking),"あ、悪司さん。 もうちょっと待って下さい。
この人、お茶淹れようとして 手を火傷したとかで……","Oh, Akuji. Please wait a little longer.
I heard that this guy burned his hand trying to make tea……","Ah, señor Akuji. Por favor, espere un poco más.
He oído que este hombre se quemó la mano intentando hacer té……"
Yamamoto Akuji (talking),"……で、 患部を手で押さえてどーすんだよ。
別にひでぇ火傷じゃねぇんだろ？ さっさと水か氷で冷やして…………","What are you going to do with your hand on ……?
It's not a bad burn, is it? Just cool it down with water or ice…………","¿Qué vas a hacer con la mano sobre la zona afectada en ……?
No es una mala quemadura, ¿verdad? Sólo hay que enfriarlo con agua o hielo…………"
Seinendan Jyoshi (talking),…………えっ？　ええっ？ う、うそ……えっ？,"………… eh?　What? Uh, no…… eh?","………… ¿eh?　¿Eh? Uh, no…… ¿eh?"
Yamamoto Akuji (talking),なんだ、どーした？,"What, what's wrong?","¿Qué, qué pasa?"
Seinendan Jyoshi (talking),"い……痛くなくなりました。 …………治っちゃいました……
あ、あの……由女さん、 有り難うございます。 ほんとに言う通りになりました……","I'm no longer in pain…… I'm………… cured……
Oh, that ……Yume, thank you very much. It really turned out as you said……","Ya no tengo dolor…… Se ha curado ………………
Oh, que ……Yume, muchas gracias. Tienes mucha razón……"
Yume (talking),"でしょ？ このくらいならすぐだから。
一応、お薬つけといた方がいいよ。 たぶん要らないと思うけど……","Right? It won't be long now.
You should put some medicine on it, just in case. You probably don't need it……","¿Verdad? No tardará mucho en hacerlo.
Deberías ponerle algún medicamento, por si acaso. Probablemente no lo necesites……"
Seinendan Jyoshi (talking),あ、は、はい……どうも…………,"Oh, ha, yes…… thanks …………","Ah, ja, sí…… Gracias…………"
Yamamoto Akuji (talking),…………何やったんだ、おめー。,"………… What did you do, dude?","………… ¿Qué has hecho, amigo?"
Yume (talking),"最近、気付いたんですけど……
私、直接血を使わなくても、 誰かに触れてあげるだけで 痛さとか苦しさが楽になるみたいで。","I recently noticed this: ……
I don't have to use blood directly, just touching someone seems to ease the pain and suffering.","Hace poco me di cuenta de que ……
No tengo que usar la sangre directamente, el simple hecho de tocar a alguien parece ayudar con el dolor y el sufrimiento."
Yamamoto Akuji (talking),うっそくせー。 すっげぇ新興宗教くせー。 めちゃくちゃいかがわしー。,It's so fast. It looks like a new religion. It's so sleazy.,"Ugh, eso es taaaan rápido. Es como una nueva religión. Muy turbio."
Yume (talking),へへ……じゃあ試してみます？ ちょっと屈んでみてください。,Hehe…… So you want to give it a try? Try bending over a bit.,Hehe…… ¿Así que quieres probarlo? Intenta agacharte un poco.
narrator,──言って、由女は悪司の頭の上に手を置く。,"After saying this, Yume places her hand on Akuji's head.","─ ─ Diciendo esto, Yume pone su mano sobre la cabeza de Akuji."
Yume (talking),"……どうです？ 他の人はすぐ変化に気付く らしいんですけど。
疲れがとれるとか、筋肉痛が治るとか、 虫歯の痛みが楽になるとか。
私、こういうことでだったら いろいろとみんなの役に立てるかなとか 思うんですけど……","How about ……? I've heard that other people notice the change right away.
I've heard that other people notice changes right away, such as fatigue disappearing, muscle aches going away, cavity pain easing up, etc. I think this kind of thing could help everyone.
I think I can be of help to people in many ways……","¿Qué tal ……? He oído que otras personas notan los cambios enseguida.
He oído que otras personas notan cambios enseguida, como que el cansancio desaparece, el dolor muscular se va, el dolor de caries se alivia, etc.
Creo que puedo ayudar a la gente de muchas maneras con este tipo de cosas……"
Yamamoto Akuji (talking),"…………
ぜーんぜん何も起こらない。","…………
Zilch, nothing is going to happen.","…………
No pasa nada en absoluto."
Yume (talking),えええぇ？　ほんとーにですか？,What?　Really?,¿Qué?　¿De verdad?
Yamamoto Akuji (talking),ほんとに。,Really.,De verdad.
Yume (talking),変だな……調子悪いのかなあ……。,That's weird…… I wonder if I'm not in good shape……,Qué raro…… Me pregunto si no lo estoy haciendo bien……
Yamamoto Akuji (talking),"………………
なるほどな。 こりゃ宗教信じてなくても 天使か神様だって思いたくなるな…","………………
I see. Even if I didn't believe in religion, I'd be tempted to think it was an angel or a god…","………………
Ya veo. Esto me hace pensar que es un ángel o un dios, aunque no crea en la religión…"
Yume (talking),えっ？,What?,¿Qué?
Yamamoto Akuji (talking),いや、別に。,"No, nothing.","No, en realidad no."
Yume (talking),あ。……何か効いてたんでしょ？,"Ah…… something worked, didn't it?","Ah…… algo funcionó, ¿no?"
Yamamoto Akuji (talking),…………………………ぜんぜん。,………………………… Zen.,………………………… Zen.
Yume (talking),もー…………,Moo …………,Moo …………
Yamamoto Akuji (talking),"……由女の奴、いつになったら 俺んとこまで来るんだよ、ったく……
まさか、また倒れてソファで寝てるとか？
うーん、ありうるな。 虚弱体質だからなー、あいつ……","When is the guy from ……Yume going to come to my place, for fuck's sake ……
Don't tell me he collapsed again and is sleeping on the couch?
Well, it's possible. He's so frail…he's a frail man……","¿Cuándo va a llegar a mí ese ……Yume, por el amor de Dios? ……
 ¿No me digas que se ha vuelto a derrumbar y está durmiendo en el sofá?
Es posible. Es tan frágil, ese tipo……"
nakokyou  onna (talking),那古神様…… 本当にありがとうございました。 このご恩は、いつかきっと……,"Thank you so much, Nako God ……. I am sure that one day I will be able to repay this debt of gratitude: ……",Nako Dios…… Muchas gracias. Estoy seguro de que algún día podré devolverle esta amabilidad……
Yume (talking),いえ、私は何もしてませんよ。 ……全てはあなた次第ですから、 頑張って下さいね。,"No, I didn't do anything. It's all up to you…… Good luck.","No, no he hecho nada. Todo depende de ti…… Buena suerte."
nakokyou  onna (talking),はい！,Yes!,¡Sí!
Yamamoto Akuji (talking),…………なんだ、おめー居たのかよ。,"What is …………, you're here?","………… ¿Qué demonios, estás aquí?"
Yume (talking),あ、悪司さん。 すみません、呼ばれてたのに ちょっと長引いちゃって…,"Oh, Akuji. I'm sorry, I was called away, but it took a while…","Ah, Akuji. Lo siento, me llamaron, pero las cosas se alargaron un poco…"
Yamamoto Akuji (talking),いや、理由があんならいいんだけどよ。 今の奴、何の用だったんだ？,"No, I don't care if he had a reason. What did that guy want?","No, no me importa si tenía una razón. ¿Qué quería ahora?"
Yume (talking),那古教の信者さんですよ。 悪司さんのおかげで、今もみんな 細々と活動できてるらしくて。,"They are the followers of Nakokyou. Thanks to Akuji, they are all still able to work in a small way.","Son seguidores de Nakokyou. Gracias a Akuji, todos ellos pueden seguir trabajando en pequeña medida."
Yamamoto Akuji (talking),那古教ー？ まさかおめー、組織に指示でも 飛ばしてたのか？,Nakokyou? Don't tell me you've been sending instructions to the organization?,¿Nakokyou? ¿No me digas que has estado enviando instrucciones a la organización?
Yume (talking),"そんなこと……しませんよ、もう。
信者のみんな、私がここで 保護されてるって知ってるそうで、 時々相談事とかに来るんです。","I don't do that…… anymore.
All the believers say they know I'm protected here, and sometimes they come to me for advice and stuff.","Ya no hago eso …….
Todos los creyentes dicen que saben que estoy protegido aquí, y a veces vienen a pedirme consejo y cosas así."
Yamamoto Akuji (talking),相談？　何の。,Consultation?　Of what.,¿Consulta?　De qué.
Yume (talking),えーと、例えば今の人は 身内のことで悩み事があって、 どうするのが一番いいでしょうって…,"Let's see, for example, a person now has a problem with a relative and wants to know what he should do about it…","Veamos, por ejemplo, una persona tiene ahora un problema con un familiar, y quiere saber qué debe hacer al respecto…"
Yamamoto Akuji (talking),かー、なっさけねー。 そんなヘタレども門前払いにしちまえ。,What a shame. Get rid of those slackers at the door.,Qué pérdida de tiempo. Deshazte de esos holgazanes en la puerta.
Yume (talking),へ、へたれって……何ですかそれ。,"Heh, heh, heh…… what is that?","Je, je, je…… ¿Qué es eso?"
Yamamoto Akuji (talking),"見ろ、ラジオやテレビの人生相談。 最悪だろ、愚の骨頂だろ？ あれと似たようなことしてたんだろ？
相談なんぞ持ちかけてくるヤツぁな、 てめぇ一人で物事を決められない ヘタレどもなんだからよー……
 ……んなもん、門前払いだ。 それが一番本人のためだ、うむ。","Look, radio and TV life advice. It's the worst, isn't it? It's the height of folly. They did something similar to that, didn't they?
People who ask for advice, they're the ones who can't make decisions on their own……
 ……, you should just walk out the door. It's for their own good.","Mira, consejos de vida en la radio y la televisión. Es lo peor, ¿no? Es el colmo de la estupidez. Hiciste algo parecido a eso, ¿no?
Las personas que acuden a ti en busca de consejo, son las que no pueden tomar decisiones por sí mismas, son las que no pueden tomar decisiones por sí mismas………… Serán rechazados en la puerta. Eso es lo mejor para él."
Yume (talking),"みんながみんな、そんなに強くは 生きられませんよ……
私なんか、役にも立てないけど… それでも誰かの言葉にすがりたい時って あるじゃないですか。","Not everyone can live so strongly……
I know I can't help you… but there are times when you still want to hang on to someone's words.","No todo el mundo puede vivir con tanta fuerza……
Sé que no puedo ayudarte… pero hay veces que todavía quieres aferrarte a las palabras de alguien."
Yamamoto Akuji (talking),"甘い、甘いな由女。おめー激甘。
だいたいな、赤の他人のために 相談に乗ってやったぶんだけ 貴重な人生の時間を分け与えてんだぞ？
それによ、相談に乗ってやったからって 相手の役に立つとも限らんだろー？
んなもん、何よりも 自分のムダじゃねーか、自分の。","Sweet, sweet Yume. You're very sweet.
You're sharing your precious life time by giving advice to a stranger, right?
Besides, just because I'm giving you advice doesn't mean it's going to be useful to them, right?
That's more of a waste of your time than anything else.","Dulce, dulce Yume. Eres muy dulce.
Estás compartiendo tu precioso tiempo de vida dando consejos a un desconocido.
Además, el hecho de que dé consejos no significa que vaya a ayudarles, ¿verdad?
Eso es más una pérdida de tiempo que otra cosa, ¿no?"
