"character","jap text","Eng","Esp"
"__system__??","{麦 = 1:","",""
"__system__??","}","",""
"__system__??","{麦 = 3:","",""
"__system__??","}","",""
"__system__??","{麦 = 10:","",""
"__system__??","}","",""
"__system__??","{麦 = 11:","",""
"__system__??","}","",""
"__system__??","{麦 = 13:","",""
"__system__??","{H物欲抵抗 <= H物欲:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 15:","",""
"__system__??","}","",""
"__system__??","{麦 = 16:","",""
"__system__??","}","",""
"__system__??","{麦 = 17:","",""
"__system__??","{H拷問抵抗 < H拷問:","",""
"__system__??","}","",""
"__system__??","{H拷問 = 1:","",""
"__system__??","}","",""
"__system__??","}","",""
"Yamamoto Akuji (talking)","よう、アフロ仮面。","Yo, Afro Mask.","Yo, Afro Mask."
"Yume's Manservant (talking)","だから…… その呼び方、止めてくれないか……","So…… can you stop calling me that ……","Así que…… puedes dejar de llamarme así ……"
"Yamamoto Akuji (talking)","ほれ、ボーナス。","See, bonus.","Mira, bono."
"Yume's Manservant (talking)","うむ……有り難く頂いておく。","Mm…… thank you very much.","Mm…… Afortunadamente, lo tomaré."
"Yamamoto Akuji (talking)","ところで、一つ訊きたいんだが……
おめーさあ、俺がやってる給料の大半を 孤児院に寄付したり貧民街の炊き出しに 使ったりしてるそうだが、マジなのか？","By the way, I have one question for you: ……
I heard that you donate most of my salary to an orphanage and a soup kitchen in the favelas.","Por cierto, me gustaría hacerle una pregunta: ……
He oído que dona la mayor parte de su sueldo a un orfanato y a un comedor social en las favelas, ¿habla en serio?"
"Yume's Manservant (talking)","ああ、本当だが。","Yeah, true, but.","Sí, es cierto, pero."
"Yamamoto Akuji (talking)","何でそんな勿体ない真似すんだよ……","Why are you such a waste of time? ……","¿Por qué eres una pérdida de tiempo? ……"
"Yume's Manservant (talking)","我が心は今でも那古神様と共にある。
人生の全てを費やして、 那古神様の理想実現のため尽力するのが 我が使命なのだ。","My heart is still with Goddess Nako.
It is my mission to devote my entire life to the realization of Goddess Nako's ideals.","Mi corazón sigue con la Diosa Nako.
Mi misión es dedicar toda mi vida a la realización de los ideales de la diosa Nako."
"Yamamoto Akuji (talking)","…………はあ、さいですか。","………… is Oh, Sai?","………… es ah, sai?"
