character,jap text,Eng,Esp
__system__??,{麦 = 10:,,
__system__??,},,
Yamamoto Akuji (talking),さーて。,Well.,Bueno.
Takayama Hami (talking),どきどき…,Pounding…,Golpeando…
Yamamoto Akuji (talking),どーして嬢ちゃんがオオサカに 進出してきたか、教えて貰おうか。,Let me ask you to tell me how you came to be in OSAKA.,Me vas a contar cómo llegaste a Ossaka.
Takayama Hami (talking),サンタワーが欲しかったの。,I wanted a sun tower.,Quería una torre solar.
Yamamoto Akuji (talking),素直に喋ってくんねーんだったら、 こっちにも考えがある。,"If you won't talk frankly, I have an idea.","Si no quieres hablar con franqueza, tengo una idea."
Takayama Hami (talking),サンタワーが欲しかったの。,I wanted a sun tower.,Quería una torre solar.
Yamamoto Akuji (talking),場合によっちゃー、拷問も……,"In some cases, even torture: ……","En algunos casos, incluso la tortura: ……"
Takayama Hami (talking),だから…… サンタワーが欲しかったの。,So I wanted…… sun tower.,Así que quería una torre solar …….
Yamamoto Akuji (talking),嘘つけー。,Bullshit.,¡Mentiroso!
Takayama Hami (talking),"ほんとだもん、はみ、いい子だから、 嘘つかないもん。
ほんとにサンタワーが 欲しかったんだもん。
はみがパパに、お誕生日のプレゼントに サンタワーが欲しいって言ったら、 取ってきなさいって言われたんだもん。","It's true, Hami, I'm a good boy. I won't lie.
I really wanted a sun tower.
When Hami told daddy that she wanted a sun tower for her birthday, he told her to go get it.","Es verdad, Hami, soy una buena chica, no miento.
Realmente quería una torre de sol.
Cuando Hami le dijo a papá que quería una torre de sol para su cumpleaños, él le dijo que fuera a buscarla."
Yamamoto Akuji (talking),………マヂ？,………Maj?,……… ¿Mayor?
Takayama Hami (talking),うん。 だからはみ、頑張ってたの。,"Yeah. So Hami, I was trying.","Sí. Así que Hami, estaba trabajando duro."
Yamamoto Akuji (talking),~~~~~~~~~~~~。,~~~~~~~~~~~~。,~~~~~~~~~~~~。
__system__??,{RND \ 0:,,
Shimamoto Jun (talking),若。,Young.,Joven.
Yamamoto Akuji (talking),おう。,Oh.,Oh.
Shimamoto Jun (talking),その娘の言っている事は事実です。,What the girl is saying is true.,Lo que dice la chica es cierto.
Yamamoto Akuji (talking),そーなのか？,Is that so?,¿Es así?
Shimamoto Jun (talking),"はい。 ヒロシマの方に探りを入れました ところ……
最近、この娘がサンタワーに執心 している事は周知の事実だったようです。","Yes, sir. I have been inquiring with Hiroshima, by way of …….
It was no secret that this girl has been obsessed with the Sun Tower lately.","Sí. Sondeamos Hiroshima, donde ……
Parece que la reciente obsesión de la chica por la Torre del Sol era bien conocida."
__system__??,},,
__system__??,{RND = 0:,,
Elite Yakuza (talking),若。,Young.,Joven.
Yamamoto Akuji (talking),おう。,Oh.,Oh.
Elite Yakuza (talking),その娘、嘘をついてません。,"That girl, I'm not lying.","Esa chica, no estoy mintiendo."
Yamamoto Akuji (talking),そーなのか？,Is that so?,¿Es así?
Elite Yakuza (talking),"はい。
シキナの高山組付近の人の話で、 最近、この娘がサンタワーに執心 している事は周知の事実だったようです。","Yes.
According to people in the vicinity of the Takayama group in Shikina, it was well known that this girl has been obsessed with the Sun Tower recently.","Sí.
Según la gente de los alrededores del clan Takayama de Sikina, era bien sabido que la chica se había obsesionado recientemente con la Torre del Sol."
__system__??,},,
Yamamoto Akuji (talking),ふ~ん…,Hmmm…,Hmmm…
Takayama Hami (talking),どきどき。,Pounding.,Golpeando.
Yamamoto Akuji (talking),で、娘一人をオオサカにやらせたって 訳か…ったく、何考えてやがる。,So they sent one of their daughters to Osaka…what the hell were they thinking?,Así que enviaron a una de sus hijas a Osaca… ¿en qué demonios estaban pensando?
Takayama Hami (talking),おじさん。,Uncle.,Tío.
Yamamoto Akuji (talking),おにーちゃん。,Onii-chan.,Oniichan.
Takayama Hami (talking),"おにーちゃん。 はみ、ここから出してくれるの？
はみ、次は５００人でくるね。 今度は負けないから。 うふふ。","Onii-chan. Hami, can you get us out of here?
Hami, next time I'll come with 500 people. I won't lose this time. Mmm-hmm.","Onii-chan. Hami, ¿puedes sacarnos de aquí?
Hami, la próxima vez vendré con 500 personas. Esta vez no perderé. Ajá."
narrator,はみは事情を把握しているのかどうか、 緊張感はない。,There is no tension as to whether Hami is aware of the situation.,No hay tensión en cuanto a si Hami es consciente de la situación.
Yamamoto Akuji (thinking),"素直に帰してもまた攻めてくるだけだし、 かといって本格的に高山と事を交えるのは まずいな……
さ~て、どうするべ……","If we just let them go, they'll just attack us again, but it's not a good idea to get into a full-fledged fight with Takayama……
So, what should we do? ……","Si les dejamos marchar, volverán a atacarnos, pero no es buena idea meterse de lleno con Takayama……
Entonces, ¿qué debemos hacer? ……"
__system__??,{★調教 = 3:,,
__system__??,},,
__system__??,{★調教 \ 3:,,
__system__??,},,
__system__??,{RETURN = 1:,,
Yamamoto Akuji (talking),よし、解放してやるよ。,"Okay, I'll let you go.","Bien, te dejaré ir."
Takayama Hami (talking),ほんと？ おうち帰っていいの？,Really? Can I go home?,¿Está seguro? ¿Puedo ir a casa?
Yamamoto Akuji (talking),ああ。,Oh.,Oh.
Takayama Hami (talking),じゃあまたくるね。 戦争ごっこの続きしに。 ばいばーい。,I'll be back. To continue playing war. Bye-bye.,Entonces volveré. Para seguir jugando a la guerra. Adiós.
narrator,はみは嬉しそうに出て行った。,Hami left happily.,Hami se fue feliz.
Yamamoto Akuji (talking),"……………
 ……ま…なんとかなるか……","……………
 ……Well… we can manage ……","……………
 ……Bueno… podemos arreglarnos ……"
Takayama Hami (talking),パパ、だたいまー。,"Dad, I'm home.","Papá, datamama."
 (talking),おお、はみ　はみ　はみ~~。 おかえり、はみ~~。,"Oh, Hami Hami Hami Hami~~. Welcome back, Hami ~~.","Oh, Hami Hami Hami~~. Bienvenido, Hami ~~."
Takayama Hami (talking),"パパ、あのね。 一度捕まっちゃったけど、 また行くって約束したの。
だからね、今度は負けたくないから、 もっと兵隊貸して。","Dad, you know what? I got caught once, but I promised to go back.
I don't want to lose this time, so lend me more soldiers.","Papá, ¿sabes qué? Me pillaron una vez, pero prometí volver.
Así que no quiero perder esta vez, así que préstame más soldados."
 (talking),"だめだ、だめだ。 もうお前を危険な目に合わせる訳には いかないよ。
パパは、お前のこれからの為に崖から 突き落とす気分で自立を促したが…… パパの方が心配で死ぬかと思ったよ。","No, no, no. I can't put you in danger again.
I was so worried about your future that I thought I was going to die……","No, no, no. No puedo ponerte en peligro otra vez.
Papá te animaba a ser independiente, como si te empujara a un precipicio por tu futuro, pero…… estaba más preocupado por ti y pensaba que ibas a morir."
Takayama Hami (talking),えー、だったらサンタワーが……,"Well, then the Sun Tower is ……","Bueno, entonces la Torre del Sol es ……"
 (talking),パパがここに作ってやる。,Daddy will make it here.,Papá llegará aquí.
Takayama Hami (talking),え、ほんと！？,"Oh, really!","¡Oh, de verdad!"
 (talking),ああ。 だからもう、どこにも行かないでおくれ。,Oh. So don't go anywhere else.,Oh. Así que no vayas a ningún otro sitio.
Takayama Hami (talking),うん！！,Yeah!,¡¡Sí!!
narrator,この後、オオサカに高山組が攻めてくる事は 無かった。,"After this, the Takayama group never attacked Osaka.","Después de esto, el grupo Takayama nunca atacó Osaka."
__system__??,},,
__system__??,{RETURN = 2:,,
Takayama Hami (talking),やっぱ、簡単に返す訳にゃいかねーな。,I knew it. I can't just give it back.,"Lo sabía, no puedo simplemente devolverlo."
 (talking),え~~~~。,See ~~~~.,Véase ~~~~.
Takayama Hami (talking),おい。,Hey.,Hola.
Chinpira (talking),はい。,Yes.,Sí.
Takayama Hami (talking),こいつを使って、金を要求する。 向こうがンガーとあせりたくるような 写真を撮れ。,Use this guy to ask for money. Take pictures that will make them yell “Nger!,Usa a este tipo para exigir dinero. Haz fotos que les hagan “nger”.
Chinpira (talking),わかりました。,I understand.,Entendido.
Takayama Hami (talking),え？ なんなの　なんなの？ きゃー！,What? What is it? What is it? Aah!,¿Qué? ¿Qué es? ¿Qué es? ¡Kya!
