character,jap text,Eng,Esp
__system__??,{麦 = 1:,,
__system__??,{☆リクペチ = 0:,,
__system__??,{I装備[33] = 99:,,
__system__??,},,
__system__??,},,
__system__??,},,
__system__??,{麦 = 2:,,
__system__??,},,
__system__??,{麦 = 3:,,
__system__??,},,
__system__??,{麦 = 4:,,
__system__??,},,
__system__??,{麦 = 5:,,
__system__??,},,
__system__??,{麦 = 10:,,
__system__??,},,
__system__??,{麦 = 11:,,
__system__??,},,
__system__??,{麦 = 12:,,
__system__??,{H愛欲抵抗 <= H愛欲:,,
__system__??,},,
__system__??,{H愛欲 > 2:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 13:,,
__system__??,},,
__system__??,{麦 = 15:,,
__system__??,},,
__system__??,{麦 = 16:,,
__system__??,},,
__system__??,{麦 = 17:,,
__system__??,{H拷問抵抗 < H拷問:,,
__system__??,},,
__system__??,{H拷問 = 1:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 18:,,
__system__??,},,
__system__??,{麦 = 19:,,
__system__??,},,
Takayama Rikupechi (talking),呼んだか。,You called.,Tú llamaste.
Yamamoto Akuji (talking),おう、まーな。,"Oh, well.","Oh, maaan."
Takayama Rikupechi (talking),悪司。,Akuji.,Akuji.
Yamamoto Akuji (talking),おう。,Oh.,Oh.
Takayama Rikupechi (talking),ニホンの究極の調味料らしいので 買ったが……カレーには合わなかった。,"I bought it because it's supposedly the ultimate Japanese seasoning, but it didn't go well with…… curry.","Lo compré porque se dice que es el condimento japonés por excelencia, pero no iba con el curry de ……."
Yamamoto Akuji (talking),"どれ、見せてみな…
なんだこりゃ。 くりりぷじゃねぇか。 これは、合わねぇなー。","Let me see…
What's this? It's a kuriripu. This doesn't match.","Cuál, déjame ver…
 ¿Qué es esto? Es un kuriripu, ¿no? Esto no encaja."
Takayama Rikupechi (talking),では、私には不要。 やる。,"Then, I do not need it. Will do.",Entonces no lo necesito. Para hacer.
Yamamoto Akuji (talking),"そーかい？ これだけで舐めるとケッコー うめぇって話なんだけどなー。
食いしん坊は、一人でこれをペロリと 舐めて、たいらげちまうらしいぜ。","Is that so? I'm told that it's really good when you lick it by itself.
I heard that foodies lick it with Pelori and devour it all by themselves.","¿Es así? Me han dicho que está muy bueno cuando se lame solo.
He oído que los comensales lo lamen Pelori solo y lo devoran."
Takayama Rikupechi (talking),私はいらない。,I don't want it.,No lo quiero.
Yamamoto Akuji (talking),リクペチよぅ。 そろそろ、俺の躰が恋しい時期だろ？ 脱ぎな。,"Rikupechi Yo. It's time to miss my body, right? Take it off.","Rikupechi Yo. Es hora de echar de menos mi cuerpo, ¿verdad? Quítatelo."
Takayama Rikupechi (talking),………,………,………
Yamamoto Akuji (talking),服を着たままの方がいいってんなら、 それでもいいぜ。,"If you prefer to keep your clothes on, that's fine.","Si prefieres quedarte con la ropa puesta, está bien."
Takayama Rikupechi (talking),あっ……！,"Oh, ……!","¡Oh, ……!"
Takayama Rikupechi (talking),リクペチは、悪司に抱かれた。,Rikupechi was embraced by Akuji.,Rikupechi fue abrazado por Akuji.
