"character","jap text","Eng","Esp"
"menu_label__(L_01c7b)","ＧＭ：始から","GM: From the beginning","GM: Desde el principio"
"menu_label__(L_01c7e)","ＧＭ：那古壊滅から","GM: From Nako's destruction.","GM: De Nako destruido."
"menu_label__(L_02473)","ＧＸ：エンディングテスト","GX: Ending Test","GX: Terminando las pruebas."
"menu_label__(L_0270d)","ＧＸ：ウィミィ強襲","GX: Wime Assault","GX: Wime Asalto"
"menu_label__(L_02a97)","フラグ処理　終了フラグＯＮ","Flag processing End Ryou flag ON","Procesamiento de banderas Fin de la bandera Ryou ON"
"menu_label__(L_02adb)","フラグ処理　キャラフラグＯＮ","Flag processing Character flag ON","Procesamiento de banderas Bandera de caracteres ON"
"menu_label__(L_02b06)","ＨｏｗＴｏＰｌａｙ","HowToPlay","Cómo jugar."
"menu_label__(L_000fe)","テスト関係","test-related","relacionado con la prueba"
"menu_label__(L_02b14)","とり小屋","chicken coop","gallinero"
"menu_label__(L_02b18)","兄メイト京橋店","Brother Mate Kyobashi","Hermano Mate Kyobashi"
"menu_label__(L_02b1c)","ハニー（名前生成テスト）","Hanny (name generation test)","Hanny (prueba de generación de nombres)."
"??","Ｓｈａｄｅてすとー","Shade Test","Prueba de sombra"
"menu_label__(L_03372)","ＯＰ実験場","OP test site","Sitio de prueba OP"
"menu_label__(L_03376)","必殺技","MustSatsu technique","Técnica MustSatsu"
"menu_label__(L_03382)","スタッフロール","staff roll","Lista de personal"
"menu_label__(L_0338e)","ＣＧモード","CG mode","Modo CG"
"__system__??","{SVG[20] = 0:","",""
"__system__??","}","",""
"Yamamoto Ippatsu (talking)","もう一度、挑戦するのか。 よかろう。 頑張るがよい。
ところで… 今度は少し変化をつけて 挑戦してみる気はないか？","You want to try again? Fine, go for it, but by the way… are you willing to try something a little different this time?","¿Quieres volver a intentarlo? Muy bien, buena suerte, pero por cierto… ¿estás dispuesto a probar algo un poco diferente esta vez?"
"__system__??","{SVG[26] = 1:","",""
"__system__??","} else {","",""
"__system__??","}","",""
"__system__??","{RETURN = 2:","",""
"__system__??","}","",""
"__system__??","{RETURN = 3:","",""
"__system__??","}","",""
"Yamamoto Ippatsu (talking)","知り合いを登場させてみるか？","You want to try to get someone you know to show up?","¿Quieres intentar que aparezca algún conocido?"
"__system__??","{RETURN = 1:","",""
"__system__??","}","",""
"Yamamoto Ippatsu (talking)","女の子海賊隊、やんちゃで困った 可愛い奴らだ。 対決してみるか？","Girl pirate squad, naughty and needy. They're adorable. Shall we face them?","Escuadrón de piratas de chicas, traviesas, traviesas, traviesas, traviesas. Son encantadoras. ¿Quieres enfrentarte a ellas?"
"__system__??","{RETURN = 1:","",""
"__system__??","}","",""
"__system__??","{SVG[25] = 1:","",""
"Yamamoto Ippatsu (talking)","神社に住まう者、どちらがよいか。","Which is better, the one who dwells in the shrine or the one who dwells in the shrine?","¿Qué es mejor, el que vive en el santuario o el que vive en el santuario?"
"__system__??","{RETURN = 1:","",""
"__system__??","}","",""
"__system__??","{RETURN = 2:","",""
"__system__??","}","",""
"__system__??","}","",""
"Yamamoto Ippatsu (talking)","全国から集まる強者達、何名出て欲しい？ 但しお前の元には２名までしか来ないぞ。","How many of you strong men from all over the country do you want? Only two will come to you.","Hombres fuertes de todo el país, ¿cuántos quieres que salgan? Sin embargo, sólo dos vendrán a ti."
"__system__??","{SVG[20] > 1:","",""
"__system__??","}","",""
"__system__??","{SVG[20] > 2:","",""
"__system__??","}","",""
"__system__??","{SVG[20] > 2:","",""
"__system__??","} else if {SVG[20] > 1:","",""
"__system__??","} else {","",""
"__system__??","}","",""
"__system__??","{RETURN = 2:","",""
"__system__??","}","",""
"__system__??","{RETURN = 3:","",""
"__system__??","}","",""
"__system__??","{RETURN = 4:","",""
"__system__??","}","",""
"__system__??","{SVG[23] = 1:","",""
"Yamamoto Ippatsu (talking)","殺の願いを聞いてやる気はあるか？","Are you willing to do Satsu a favor?","¿Estás dispuesto a hacerle un favor a Satsu?"
"__system__??","{RETURN = 1:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{SVG[24] = 1:","",""
"Yamamoto Ippatsu (talking)","想いの人は、民華それともアンリか？","Is the person you're thinking of Minka or Henri?","¿La persona en la que piensas es Minka o Henri?"
"__system__??","{RETURN = 1:","",""
"__system__??","}","",""
"__system__??","{RETURN = 2:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{SVG[21] = 1:","",""
"Yamamoto Ippatsu (talking)","マッド科学者イハビーラと 決着をつける気はあるか？","Are you ready to settle up with mad scientist Ehavilla?","¿Estás dispuesto a llegar a un acuerdo con el científico loco Ehavilla?"
"__system__??","{RETURN = 1:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{SVG[22] = 1:","",""
"Yamamoto Ippatsu (talking)","高山組と戦うつもりはあるか？","Are you going to fight Takayama's group?","¿Piensas luchar contra el grupo Takayama?"
"__system__??","{RETURN = 1:","",""
"__system__??","{RND \ 0:","",""
"__system__??","}","",""
"__system__??","{RND \ 0:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","}","",""
"Yamamoto Ippatsu (talking)","面白い。 ただし、バランス無茶苦茶だぞ。 いろいろ保障外だからな。","It's a good thing you're not a Haku. But the balance is absurd. A lot of things are out of the guarantee.","Es un Haku. Sin embargo, el balance es absurdo. Muchas cosas están fuera de la garantía."
"narrator","注意： 　これは、遊びモードです。 　ストーリーはありません。
注意： 　クリアしてもエロ絵の一枚 　も無いのでご了承下さい。
注意： 　そもそもクリア無いです。 　敵がいなくなったら終わり
注意： 　主人公死んだりしたら、自分 　で決めて終了して下さい。
注意： 　変な所やバグは、仕様です。 　（すみません・・とほほ）
注意： 　登場キャラは、全て成人で 　血縁関係はありません。
で、どの組織でプレイする。","Note: This is a play mode. There is no story. Note: Even if you clear the game, there is no erotic picture, so please Ryou. Note: The game ends when there are no enemies. Note: If the main character dies, please decide and finish Ryou by yourself. Note: Weird parts and bugs are specifications. Note: All characters are adults and have no blood relationship. So, which organization do you play as?","Nota: Este es un modo de juego. No hay historia. Nota: Incluso si se borra el juego, no hay ninguna imagen erótica, así que por favor Ryou. Nota: El juego termina cuando no hay enemigos. Nota: Si el personaje principal muere, por favor decide y termina Ryou tú mismo. Nota: Las partes raras y los bugs son especificaciones. (Lo siento…) Nota: Todos los personajes son adultos y no están relacionados. Entonces, ¿con qué organización juegas?"
"menu_label__(L_00b58)","悪司ファミリー","Akuji Family","familia Akuji"
"menu_label__(L_00b80)","ヤクザズ","yakuza (member)","yakuza (miembro)"
"menu_label__(L_00bac)","桃山組","Momoyama pair","Momoyama par"
"menu_label__(L_00bd2)","那古教","Nakokyou","Nakokyou."
"menu_label__(L_00bf8)","大王様","the Great King","el Gran Rey"
"__system__??","{●ＥＸ = 2:","",""
"__system__??","} else {","",""
"__system__??","}","",""
"__system__??","{●ＥＸ = 3:","",""
"__system__??","} else {","",""
"__system__??","}","",""
"__system__??","{●ＥＸ = 4:","",""
"__system__??","} else {","",""
"__system__??","}","",""
"__system__??","{●ＥＸ = 5:","",""
"__system__??","} else {","",""
"__system__??","}","",""
"__system__??","{●ＥＸ = 6:","",""
"__system__??","} else {","",""
"__system__??","}","",""
"__system__??","{●ＥＸ = 2:","",""
"__system__??","}","",""
"__system__??","{●ＥＸ = 3:","",""
"__system__??","}","",""
