character,jap text,Eng,Esp
narrator,わかめ組壊滅祝賀会が、 奉仕青年団で催されていた。,A celebration for the destruction of the Wakame clan was held at the Youth Service League.,En la organización juvenil del servicio se celebró una fiesta por la destrucción del clan Wakame.
Yamamoto Akuji (talking),や~やれやれ。 これで少しはせいせいしたぜ。,"Oh, dear, oh, dear. I feel a little better now.","Oh, querido, oh, querido. Ahora me siento un poco mejor."
Takega Satsu (talking),とりあえずは、一段落だな。,"Well, for now, it's a step in the right direction.","Por el momento, es un paso en la dirección correcta."
Yamamoto Akuji (talking),おう、さっちゃん。 飲んでるか？,"Hey, Sacchan. Are you drinking?","Oh, Sacchan. ¿Estás bebiendo?"
Takega Satsu (talking),煎茶だが。,"Sencha, though.","Sin embargo, Sencha."
Yamamoto Akuji (talking),酒は？,Sake?,¿Bebidas alcohólicas?
__system__??,{★愛 = 5:,,
Takega Satsu (talking),禁酒中だ。,He is sober.,Prohibición.
Yamamoto Akuji (talking),まあ、そう言うなって。,"Well, don't say that.","Bueno, no digas eso."
Takega Satsu (talking),呑んでもいいが…知らんぞ。,You can drink… but I don't know.,Puedes beber… pero no sé.
Yamamoto Akuji (talking),……………,……………,……………
Takega Satsu (talking),それでも呑ませてみるか？,"Still, you want me to make you drink?",¿Intentarías que siguieran bebiendo?
Yamamoto Akuji (talking),いや……いい。,"No,…… is fine.",No…… bien.
__system__??,},,
__system__??,{★愛 \ 5:,,
Takega Satsu (talking),未成年に酒をすすめるな。,Don't promote alcohol to minors.,No promueva el alcohol a los menores.
Yamamoto Akuji (talking),俺ぁ、幼稚園の頃から、 ガバガバ飲んでたぜ。,I've been drinking like a fish out of a barrel since kindergarten.,He estado bebiendo como un cerdo desde que estaba en el jardín de infancia.
Takega Satsu (talking),そうか。 だからお馬鹿さんになって しまったんだな。,I see. That's why you turned into a moron.,Ya veo. Así que por eso te has convertido en un burro.
Yamamoto Akuji (talking),おいおい。,"Oh, come on.","Oh, vamos."
__system__??,},,
Seinendan Jyoshi (talking),あの…悪司さん。 ピーチマウンテンというところから、 祝電が入ってますよ。,Um…Akuji. You have a congratulatory telegram from a place called Peach Mountain.,Um… Akuji. Tienes un telegrama de felicitación de un lugar llamado Peach Mountain.
Yamamoto Akuji (talking),おう、ＰＭからか。,"Oh, from PM.","Oh, ¿de PM?"
Takega Satsu (talking),ＰＭ…… 川向こうの一番大きな組織だな。,PM…… the biggest organization across the river.,PM…… la mayor organización del otro lado del río.
Yamamoto Akuji (talking),"あーそーだ。 大昔、停戦条約結んでからの 馴染みでさ。
んー…… 一応、当主リンダからってなってるけど、 こりゃーハイネのしわざだな。","Oh, that's right. We've known each other since we signed the truce a long time ago.
Hmmm……… It's supposed to be from the head of the family, Linda, but that must be Haine's doing.","Ah, sí. Nos conocemos desde que firmamos la tregua hace mucho tiempo.
Hmm…… Se supone que es del cabeza de familia, Linda, pero esto debe ser obra de Haine."
Takega Satsu (talking),悪司？,Akuji?,¿ Akuji?
Yamamoto Akuji (talking),"ああ。 ＰＭの当主ってのが、リンダって娘で、 その執事がハイネってんだ。
ここはその執事の暗躍で もっているようなとこだ。
でも、ここのリンダってのも、 ガキのくせしてずる賢くてな。 敵に回すと、ちとやっかいかな。","Oh. The head of PM is a girl named Linda and her butler is Haine.
This place is good for the butler's dark activities.
But this Linda is also a cunning little girl. If you make an enemy of her, she can be a bit of a problem.","Oh. La jefa de la PM es una chica llamada Linda y su mayordomo se llama Haine.
Este lugar es bueno para el negocio del mayordomo.
Pero esta Linda aquí es una niña astuta. Es un pequeño problema si te enemistas con ella."
Takega Satsu (talking),ふむ。,Hmm.,Hm.
Yamamoto Akuji (talking),おう、ありがとさんって テキトーに敬語で返信しといてくれや。,"Oh, thank you. Just reply with a polite honorific.","Oh, gracias, contéstame con un textexte honorífico."
Seinendan Jyoshi (talking),はい、悪司さん。,"Yes, Akuji.","Sí, Akuji."
karasuba  tsuki (talking),で、どーすんの？,So what are you going to do?,¿Y qué vas a hacer?
Yamamoto Akuji (talking),何が？,What?,¿Qué?
karasuba  tsuki (talking),わかめ組っすよーぅ。 壊滅させちゃったじゃないですか。,"Wakamegumi! You destroyed them, didn't you?","El grupo Wakame… Los has destruido, ¿verdad?"
Yamamoto Akuji (talking),ああ、それでいいんだ。,"Yeah, that's fine.","Sí, está bien."
karasuba  tsuki (talking),え？,Huh?,¿Eh?
Yamamoto Akuji (talking),俺が正式に跡を継いでなかったから、 あれは、俺の組織じゃねぇ。 親父達の組織だ。,"I didn't officially take over, so it wasn't my organization. It was my father's organization.","No era mi organización, porque no me hice cargo oficialmente. Era la organización de mi padre."
karasuba  tsuki (talking),そーですけど…… でも、悪司さんが乗っ取った事に なるから…,"Yes, but…… but that would mean that Akuji has taken over…","Sí, pero…… pero eso significaría que Akuji se ha hecho cargo…"
Yamamoto Akuji (talking),とにかく、わかめ組は終わりだ。,"Anyway, the wakame group is done.","De todos modos, el grupo de wakame ha terminado."
karasuba  tsuki (talking),じゃあ、登録から抹消してしまいますよ。,Then I'll just delete it from the register.,Entonces te borraré del registro.
Yamamoto Akuji (talking),ああ。,Oh.,Oh.
karasuba  tsuki (talking),"はいはいっと…… じゃあ、わかめ組は壊滅で…
奉仕青年団が、 後釜って感じでいいんですかー？","Yes, yes, yes…… So, the Wakame group will be destroyed…
So the Wakame group will be destroyed and the Youth in Service group will take its place?","Sí, sí…… Entonces, el grupo Wakame fue destruido…
 ¿Así que el grupo Wakame será destruido y el Cuerpo de Servicio Juvenil ocupará su lugar?"
Yamamoto Akuji (talking),いんや。,Inya.,Posadas.
karasuba  tsuki (talking),は？？,Huh?,¿Eh?
Yamamoto Akuji (talking),"名前がウザイ。 何が奉仕だ。 性にあわねぇ。
つー訳で、組織の中身はかわんねーが、 名前は変える。","The name is annoying. What's with the “service”? It doesn't suit me.
So, I won't change the contents of the organization, but I will change the name.","El nombre es molesto. ¿Qué pasa con el servicio? No me conviene.
Por tanto, no cambiaremos el contenido de la organización, pero sí el nombre."
__system__??,{RND \ 0:,,
Aoba Youko (talking),そんな！ この名前は、私達みんなで考えた……,Oh no!!! We all thought of this name: ……,"¡Oh, no! Todos hemos pensado en este nombre: ……"
Yamamoto Akuji (talking),ウゼェっつったら、ウゼェの。,"When I say “uze”, I mean “uze”.","Cuando dices “uze”, quieres decir “uze”."
__system__??,},,
karasuba  tsuki (talking),で、どんな名前にすんですか？ ついでなんで、やっちゃいますよ。,"So, what kind of name are you going to use? I'll do it by the way.","¿Qué nombre le vas a poner? Por cierto, voy a hacerlo."
narrator,組織の名前を決めて下さい。,Decide on a name for your organization.,Decida el nombre de su organización.
__system__??,{RETURN = 1:,,
__system__??,},,
__system__??,{RETURN = 2:,,
__system__??,},,
__system__??,{RETURN = 3:,,
__system__??,},,
__system__??,{RETURN = 4:,,
__system__??,{■ > 999:,,
__system__??,},,
__system__??,{■ = 0:,,
__system__??,},,
__system__??,},,
Yamamoto Akuji (talking),よし、これで決定だ。 イケテると思わねーか？,"Okay, here's the deal. Don't you think it's hot?","Bien, este es el trato. ¿No crees que hace calor?"
karasuba  tsuki (talking),"そーっすね。
あ、リーダーどうします？ 悪司さんは男だから出来ないし…","That's right.
Oh, what about the leader? Mr. Akuji is a man, so he can't do it…","Sí, así es.
 ¿Y el líder? El señor Akuji no puede hacerlo porque es un hombre, y…"
Yamamoto Akuji (talking),さっちゃん。,Sachan.,Sachan.
Takega Satsu (talking),うむ。,Mm.,Mm.
Yamamoto Akuji (talking),お前さんがやれ。,You do it.,Hazlo tú.
karasuba  tsuki (talking),ええ！？ こんなちっちゃな女の子に！？,What? For such a tiny girl!,¿Qué? ¡Para ser una niña tan pequeña!
__system__??,{★愛 = 5:,,
Yamamoto Akuji (talking),こん人は、俺の嫁さんだ。,This man is my wife.,Este hombre es mi esposa.
__system__??,} else {,,
Yamamoto Akuji (talking),こん人は、俺の叔母さんだ。,She's my aunt.,Este hombre es mi tía.
__system__??,},,
