"character","jap text","Eng","Esp"
"__system__??","{麦 = 1:","",""
"__system__??","{☆加古 = 0:","",""
"__system__??","}","",""
"__system__??","{(☆加古 = 2) * (☆ＤＡＴＥ > 4):","",""
"__system__??","}","",""
"__system__??","{(☆加古 = 3) * (☆ＤＡＴＥ > 9):","",""
"__system__??","}","",""
"__system__??","{(☆加古 = 4) * (☆ＤＡＴＥ > 14):","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 2:","",""
"__system__??","{B忠誠心 > 70:","",""
"__system__??","{☆加古 = 1:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 3:","",""
"__system__??","}","",""
"__system__??","{麦 = 4:","",""
"__system__??","}","",""
"__system__??","{麦 = 5:","",""
"__system__??","}","",""
"Kako Mirai (talking)","にーちゃん、やっちゃんイカ 食うにゃりか？","Ni-chan, Yacchan, do you want to eat squid?","Ni-chan, ¿Yacchan ika come calamares?"
"Yamamoto Akuji (talking)","いらねー。","I don't want it.","No lo quiero."
"Kako Mirai (talking)","あっそにゃりか。 んじゃあ、未来ちゃん一人で 食うにゃり。うまうま。","Oh, that's right. Well, I'll eat alone with Mirai. Yummmm.","¿Ah, sí? Bueno, lo comeré solo con Mirai. Yum yum."
"Yamamoto Akuji (talking)","よし、そこで人間養老の滝だ…","Okay, there you have it, the Human Yoro Falls…","Bien, ahí lo tienes, las Cataratas Humanas de Yoro…"
"Kako Mirai (talking)","にーちゃん、何してるにゃりか？","Niichan, what are you doing?","Niichan, ¿qué estás haciendo?"
"Yamamoto Akuji (talking)","読書。","Reading.","La lectura."
"Kako Mirai (talking)","漫画にゃり。 漫画は読書に入らないって、 智子ちゃんに言われたにゃりよ。","Manga. Tomoko told me that manga doesn't count as reading.","Manga. Tomoko me dijo que el manga no cuenta como lectura."
"Yamamoto Akuji (talking)","どっちでもいいって。 今、いいとこだから、 邪魔しねーでくれ。","I don't care either way. I'm in a good place right now, so don't bother me.","No importa cuál. Estoy en un buen momento, así que no me interrumpas."
"Kako Mirai (talking)","アスナロ球団にゃり。 おもしろいにゃりか？","Asnaro Ball Team Nyari. Is it interesting?","Equipo de pelota de Asnarro Nyari. ¿Es interesante?"
"Yamamoto Akuji (talking)","おもしろい、おもしろい。","Interesting, interesting.","Interesante, interesante."
"Kako Mirai (talking)","ぅもーーー。 テキトーにゃり。","Oooooooooo. Texanari.","Ooooooooo. Tekito-yari."
"narrator","未来は悪司の足元に座った。","Mirai sat at the feet of Akuji.","Mirai se sentó a los pies de Akuji."
"Kako Mirai (talking)","未来ちゃん、テキトーに遊ぶにゃり。","Mirai-chan, play with Tex.","Mirai-chan, jugando con los tejanos."
"narrator","未来は悪司のズボンのジッパーを 勝手に降ろした。","Mirai took the liberty of unzipping Akuji's pants.","Mirai se tomó la libertad de bajar la cremallera de los pantalones de Akuji."
"Kako Mirai (talking)","つんつくつーん。 つんつくつーん。","Ping-pong, ping-pong, ping-pong. Tap, tap, tap, tap, tap.","Tang-tang-tang-tang. Tang-tang-tang-tang."
"Yamamoto Akuji (talking)","………おっし…… 死ぬな…死ぬな…","……… ossi…… don't die… don't die…","……… oss…… No te mueras… no te mueras…"
"Kako Mirai (talking)","つんつくつーん。 つんつくつーん。","Ping-pong, ping-pong, ping-pong. Tap, tap, tap, tap, tap.","Tang-tang-tang-tang. Tang-tang-tang-tang."
"Yamamoto Akuji (talking)","よーしよし…逆転…","All right, all right… reversal…","Muy bien, muy bien… inversión…"
"Kako Mirai (talking)","ふにゃちんにゃりー！ つまんないにゃりー！","Boring! Boring!","¡Aburrido! ¡Aburrido!"
"Yamamoto Akuji (talking)","人の股間で叫ぶなー！！","Don't scream between people's legs!","¡No grites entre las piernas de la gente!"
"Chinpira (talking)","おい、未来。 茶ぁ入れてくれよ。","Hey, Mirai. Make me a cup of tea.","Oye, Mirai. Hazme una taza de té."
"Kako Mirai (talking)","なんでにゃり。 それに未来、あんたなんかに 命令される覚えないにゃりよ。","Why not? And Mirai, I don't take orders from you.","¿Por qué no? Y Mirai, no acepto órdenes tuyas."
"Chinpira (talking)","なんだと？ 一度やってやったっていうのに、 なんだ、その態度は。","What? I did it once. What's with that attitude?","¿Qué? Lo hice una vez. ¿Por qué esa actitud?"
"Kako Mirai (talking)","やってやった~~？？？
それはこっちのセリフにゃり！
俺のちゃんぽこ、破壊マシーンって いうから、やったのに、うそうそ だったにゃりよ！
短い、皮ダブリ、細い、白い、 早いなんて破壊マシーン、未来ちゃん 初めてにゃり！
おまけに前戯もへなちょこで、 こっちの気分おかまいなしの腰ふり だったにゃり！！
やり損だったにゃり！ 返せ、一回分！","I did it~?
That's my line!
I did it because you said my pussy was a destruction machine, but you were wrong!
Short, flabby, skinny, thin, Haku-ish, fast, destruction machine, Mirai, you've never done that before!
And she was so bad at foreplay that she didn't even care what I was feeling, she was just swinging her hips around!
You missed out! Give me back my money!","¡Lo hice!
 ¡Esa es mi línea!
Dijiste que mi coño era una máquina de destrucción, así que lo hice, ¡pero estabas mintiendo!
Bajita, flaca, delgada, parecida a Haku, rápida, máquina de destrucción, Mirai, ¡eres la primera!
Y era tan mala en los preliminares, que no le importaba lo que yo sentía, ¡sólo movía las caderas!
Te lo has perdido. ¡Devuélveme mi dinero!"
"Chinpira (talking)","なっ……なななっ……！！
お、俺を馬鹿にするのか！！","Nah…… nah ……!
Oh, you're mocking me!","¡Nah…… nah ……!
 ¡Oh, te estás burlando de mí!"
"Kako Mirai (talking)","馬鹿にしてるのはそっちにゃり！ このダブル馬鹿！！","You're the one making fun of me! You double idiot!","¡Tú eres el que se burla de mí! ¡Idiota!"
"Chinpira (talking)","このクソアマー！！！","You fucking amer!!!!!!!!!!!!!!!!!!!!!!!!!!!!","¡¡¡¡¡¡¡Maldito ammer!!!!!!!"
"Kako Mirai (talking)","やるにゃりか！？ いいにゃりよ！！","You want to do it? Yes!","¿Quieres hacerlo? ¡Sí!"
"Yamamoto Akuji (talking)","何やってんだ、未来。","What are you doing, Mirai?","¿Qué estás haciendo, Mirai."
"Kako Mirai (talking)","にーちゃん！
にーちゃん、こいつひどいにゃり！
短い、皮ダブリ、細い、白い、 早い、くちゃいで、女が喜ぶと 思ってるにゃり！
前戯もへなちょこ、一発出したらタバコ 吸っちゃう、だめだめなのに、 未来ちゃんが悪いって言うにゃり！
しかも、一回やっただけで、 恋人気取りで、命令して、 ずうずうしーにゃりよー！","Nee-chan!
Nyari, he's terrible!
He thinks he can please the ladies with his short, flabby, skinny, Haku-like, fast and messy cock!
He's a sucker for foreplay, smokes when he puts out his Ippatsu, and says it's Mirai's fault even though he's a total mess!
And after just one try, he's acting like a lover, ordering her around and being so shameless!","¡Nee-chan!
 ¡Nyari, es terrible!
Bajito, fofo, delgado, Haku, rápido y desordenado, ¡piensa que está complaciendo a las mujeres!
Le gustan los juegos preliminares, fuma cuando saca su Ippatsu, y dice que la culpa es de Mirai, ¡aunque ella es un auténtico desastre!
Y después de un solo intento, actúas como si fueras su amante, dándole órdenes y siendo tan descarado."
"Chinpira (talking)","あ、悪司さん…俺…俺……","Oh, Akuji… me… me ……","Oh, Akuji… yo… yo ……"
"Yamamoto Akuji (talking)","……………","……………","……………"
"Chinpira (talking)","あの…俺……","Um… me ……","Um… yo ……"
"Yamamoto Akuji (talking)","わりぃな。 俺、そーいう男の気持ち、 わかんないんで。","Sorry. I don't know how guys like that feel.","Lo siento. No sé cómo se sienten los hombres así."
"Chinpira (talking)","うっ……
うわーーーん！！ ちくしょーーー！！ 女なんてーー！！","Ugh ……
Wooooooo!!! Damn!!! Women!","Ugh……
 ¡¡¡Wooooooooo!!! ¡Maldita sea! ¡Mujeres!"
"Kako Mirai (talking)","あーあー。 泣いちゃったにゃり。 逃げちゃったにゃり。
にーちゃん、ひどいにゃりねー。","Ahhhh… I cried. I ran away.
Nyari, you're terrible.","Aww. Lloré. Salí corriendo.
Nyari, eres terrible."
"Yamamoto Akuji (talking)","お前の方が、酷い事、 連発してたじゃねーか。","You're the one who's been saying a lot of terrible things.","Has dicho cosas peores que yo."
"Kako Mirai (talking)","にーちゃん。 みずあめ作ったにゃりよ。 食べるにゃりか？","Nya-chan. I made you some water candy. Do you want some?","Nya-chan. Te he hecho un caramelo. ¿Quieres un poco?"
"Yamamoto Akuji (talking)","おう、ひとつくれ。","Oh, give me one.","Oh, dame una."
"Kako Mirai (talking)","はいにゃり。 ぐるぐるして、美味しくしなくちゃ だめにゃりよ。","Yes, yes, yes, yes. You have to make it taste good.","Sí, sí, sí. Hay que hacerla redonda y redonda, y tiene que saber bien."
"Yamamoto Akuji (talking)","手作りって… これ、買ったんじゃなくって、 自分で作ったって事か？","Handmade… you mean you didn't buy this, you made it yourself?","Hecho a mano… ¿quieres decir que no has comprado esto, que lo has hecho tú mismo?"
